nameOfMPA,parentMPA,typeOfData,WKT
墾丁國家公園海域特別景觀區二,墾丁國家公園海域特別景觀區,POLYGON,"POLYGON((120.7525 21.9306, 120.7496 21.934, 120.7534 21.9364, 120.7564 21.933))"
墾丁國家公園海域特別景觀區三,墾丁國家公園海域特別景觀區,POLYGON,"POLYGON((120.846 21.8986, 120.844 21.9033, 120.8441 21.9117, 120.847 21.9116, 120.8501 21.8992, 120.8486 21.897))"
墾丁國家公園海域遊憩區海底公園一,墾丁國家公園海域遊憩區海底公園,POLYGON,"POLYGON((120.6847 22.0149, 120.6831 22.0214, 120.683 22.029, 120.6862 22.0292, 120.6931 22.0084, 120.6888 22.0078))"
墾丁國家公園海域遊憩區海底公園二,墾丁國家公園海域遊憩區海底公園,POLYGON,"POLYGON((120.6959 21.9957, 120.6996 21.9979, 120.7113 21.9848, 120.707 21.9827))"
墾丁國家公園海域遊憩區海底公園三,墾丁國家公園海域遊憩區海底公園,POLYGON,"POLYGON((120.7463 21.9437, 120.747 21.9464, 120.748 21.946, 120.7522 21.946, 120.7522 21.94, 120.7502 21.9386))"
墾丁國家公園海域遊憩區海底公園四,墾丁國家公園海域遊憩區海底公園,POLYGON,"POLYGON((120.7826 21.9415, 120.7761 21.9469, 120.7775 21.9497, 120.7886 21.9448, 120.7891 21.9423, 120.785 21.9424))"
墾丁國家公園海域遊憩區海上育樂區一,墾丁國家公園海域遊憩區海上育樂區,LINESTRING,"LINESTRING(120.7129 21.934, 120.7144 21.9302, 120.7189 21.9287)"
墾丁國家公園海域遊憩區海上育樂區二,墾丁國家公園海域遊憩區海上育樂區,POLYGON,"POLYGON((120.7681 21.9507, 120.7666 21.9534, 120.7643 21.9545, 120.7628 21.957, 120.7625 21.959, 120.7775 21.9497, 120.7761 21.9469, 120.7734 21.9478))"
墾丁國家公園海域遊憩區海上育樂區三,墾丁國家公園海域遊憩區海上育樂區,POLYGON,"POLYGON((120.7926 21.9419, 120.7891 21.9423, 120.7886 21.9448, 120.7982 21.9415, 120.7959 21.941, 120.7967 21.9399))"
墾丁國家公園海域遊憩區海上育樂區四,墾丁國家公園海域遊憩區海上育樂區,LINESTRING,"LINESTRING(120.8028 21.9392, 120.8059 21.9387)"
墾丁國家公園海域遊憩區海上育樂區五,墾丁國家公園海域遊憩區海上育樂區,LINESTRING,"LINESTRING(120.8173 21.9341, 120.8211 21.9307, 120.8225 21.9339)"
墾丁國家公園發電廠海域一般管制區,墾丁國家公園海域一般管制區,POLYGON,"POLYGON((120.7397 21.9196, 120.7437 21.9295, 120.7437 21.9245, 120.7466 21.9269, 120.7437 21.9197))"
東沙環礁國家公園生態保護區,東沙環礁國家公園,POLYGON,"POLYGON((116.75 20.5667, 116.75 20.8167, 116.95 20.8167, 116.95 20.5667))"
東沙環礁國家公園東沙領海特別景觀區一,東沙環礁國家公園東沙領海特別景觀區,POLYGON,"POLYGON((116.6667 20.5667, 116.6667 20.8167, 116.95 20.8167, 116.95 20.5667))"
東沙環礁國家公園南北水道及東沙島周邊海域特別景觀區,東沙環礁國家公園,POLYGON,"POLYGON((116.6667 20.5667, 116.6667 20.8167, 116.75 20.8167, 116.75 20.5667))"
澎湖南方四島國家公園海域生態保護區,澎湖南方四島國家公園,POLYGON,"POLYGON((119.5 23.2744, 119.5 23.2808, 119.5097 23.2808, 119.5097 23.2744))"
澎湖南方四島國家公園海域特別景觀區,澎湖南方四島國家公園,POLYGON,"POLYGON((119.4922 23.225, 119.4922 23.3, 119.6894 23.3, 119.6894 23.225))"
臺江國家公園海域一般管制區(一),臺江國家公園,POLYGON,"POLYGON((120.041 22.9967, 120.0183 23.0336, 119.9991 23.1094, 119.9958 23.1806, 120.0686 23.1806, 120.1382 22.9967))"
東北角暨宜蘭海岸國家風景區海域資源保護區,東北角暨宜蘭海岸國家風景區,LINESTRING,"LINESTRING(121.924 25.1294, 121.9978 25.0194)"
東部海岸國家風景區綠島海參坪至帆船鼻間海域資源保育區,東部海岸國家風景區,POLYGON,"POLYGON((121.5 22.6462, 121.5109 22.6543, 121.51 22.6454, 121.5087 22.6346))"
馬祖燕鷗保護區劉泉礁島緩衝區,馬祖燕鷗保護區緩衝區,POINT,POINT(119.9622 26.0856)
馬祖燕鷗保護區鐵尖島緩衝區,馬祖燕鷗保護區緩衝區,POINT,POINT(119.9767 26.2728)
馬祖燕鷗保護區進嶼島緩衝區,馬祖燕鷗保護區緩衝區,POINT,POINT(119.9481 26.195)
馬祖燕鷗保護區三連嶼島緩衝區,馬祖燕鷗保護區緩衝區,POINT,POINT(120.0614 26.2372)
馬祖燕鷗保護區蛇山島緩衝區,馬祖燕鷗保護區緩衝區,POINT,POINT(119.9208 25.9764)
馬祖燕鷗保護區雙子礁島緩衝區,馬祖燕鷗保護區緩衝區,POINT,POINT(120.4828 26.3536)
馬祖燕鷗保護區中島緩衝區,馬祖燕鷗保護區緩衝區,POINT,POINT(119.9928 26.2572)
馬祖燕鷗保護區白廟緩衝區,馬祖燕鷗保護區緩衝區,POINT,POINT(119.9986 26.2817)
馬祖燕鷗保護區劉泉礁島核心區,馬祖燕鷗保護區核心區,POINT,POINT(119.9622 26.0856)
馬祖燕鷗保護區鐵尖島核心區,馬祖燕鷗保護區核心區,POINT,POINT(119.9767 26.2728)
馬祖燕鷗保護區進嶼島核心區,馬祖燕鷗保護區核心區,POINT,POINT(119.9481 26.195)
馬祖燕鷗保護區三連嶼島核心區,馬祖燕鷗保護區核心區,POINT,POINT(120.0614 26.2372)
馬祖燕鷗保護區蛇山島核心區,馬祖燕鷗保護區核心區,POINT,POINT(119.9208 25.9764)
馬祖燕鷗保護區雙子礁島核心區,馬祖燕鷗保護區核心區,POINT,POINT(120.4828 26.3536)
馬祖燕鷗保護區中島核心區,馬祖燕鷗保護區核心區,POINT,POINT(119.9928 26.2572)
馬祖燕鷗保護區白廟核心區,馬祖燕鷗保護區核心區,POINT,POINT(119.9986 26.2817)
澎湖貓嶼野生動物保護區,,POINT,POINT(119.3187 23.3188)
棉花嶼花瓶嶼野生動物保護區,,POINT,POINT(122.1033 25.4843)
澎湖玄武岩自然保留區頭巾嶼,澎湖玄武岩自然保留區,POINT,POINT(119.5011 23.2903)
旭海觀音鼻自然保留區,,POINT,POINT(120.8829 22.2255)
