年份,一支釣,叉手網,大目袖網,巾著網,扒網,曳繩釣,赤尾青蝦拖網,其他,刺網,延繩釣,單船拖網,棒受網,蝦桁曳網,雙船拖網,雜魚延繩釣,鏢旗魚,櫻花蝦拖網,籠具
2013,21.6329861863176,34.9080068971441,79.9727137936071,612.943576251133,1178.19673870833,6.12547856979999,50.105200854,8.39967773252992,34.7288296913029,12.8441554512612,60.1450591103228,40.9754103489897,10.7012331531429,86.7222405470092,51.9391225484462,16.4368260668781,44.0500727134071,32.0926562499566
2014,15.972241360838,25.3244532094792,106.597161716163,2345.71210485,887.894473221202,6.81814762075002,95.85011712125,44.5950432344667,55.7283049839607,17.1285475380769,190.371788345105,64.7902314391547,8.77376193345701,199.13492663887,45.6229662872319,11.977496206404,68.751046069087,11.1301333387597
2015,15.7589078563056,41.5267395743019,147.17289725138,3802.20640926111,2105.40996207764,6.83203159619292,54.052204682221,19.3225455956098,97.423804269701,28.7577273172914,185.842421032468,48.4176788651821,19.4114461514915,75.6378889252099,53.4419168626176,19.3830973460656,96.6029231400645,9.44607632639903
2016,10.8531705305929,33.1918358309091,99.1680779341509,1195.44536433128,2388.19932699882,4.57020563672907,369.147460752069,23.167331084855,70.7955600192643,30.5821551684332,211.557749223455,41.6494089731532,14.1935902712302,154.505448017676,42.3332128784884,18.8310062121,115.255495824483,16.8717959317327
2017,14.5249949025898,64.4972484400789,103.653165773636,2216.55973823125,1950.13920562758,5.74811974452346,259.555673512,8.17358509710844,53.5302937200204,31.9609364157901,56.4543401460211,37.7687822096256,12.0867087768817,149.734895999393,41.3208104018189,10.7468506228692,75.5982849489566,14.409333234989
2018,11.9820791678459,29.1532027227381,100.113824451348,1501.14529805,1729.90726886022,4.67320538707456,355.812002861667,8.76419698611905,33.8516758845115,43.373627973802,45.2350588534409,41.1352401421786,12.3843906254375,145.584993343562,28.8459141874648,19.6223568589821,85.1219716686667,11.2959581935772
2019,11.3841901059214,84.3022108125333,91.6781976414286,3256.87258142188,1522.96959235128,5.80909856611752,311.304257651538,9.77411412007812,44.9399351740034,46.1182716159606,128.705905423045,32.4125271527158,11.9382248846624,310.141234043545,27.9738251850588,20.796648149037,80.4218818081217,14.8751490696843
2020,15.4724441101773,49.1061154841755,269.408699349714,2756.8620882375,1648.74765338637,7.20924901495671,453.821512007222,15.0946409459412,43.6998930346474,51.1793091149226,88.3777550497033,42.3931492298371,13.5050374642222,134.759553102447,28.8558064465414,28.892177048931,107.444787873091,13.8713641673553
