,水土保持處理面積 (公頃)
,12077.6
,11597.3
,6902.5
1970,7411.21
,7602.1
,5549.1
,4102.1
,5692.53
1975,4673.6
,4177.8
,3681
,3158.2
,2595.06
1980,2572.1
,2295.88
,2329.53
,2568
,2630
1985,2774.99
,3664.95
,3117.04
,2888.92
,2932.65
1990,3088.13
,2542.2
,3194
,3055
,2394
1995,2003
,1634
,1504
,1482
,1341
2000,208
,257
,376
,259
,414
2005,162
,65
,38
,29.05
,30.81
2010,10
,0.12
,1.16
,24.19
,23.33
2015,23.77
