年份,外來種(%),原生(%),特有(%),總調查數量(萬)
2008,0.04,63.82,36.14,0.8317
2009,1.00,67.81,31.19,1.128
2010,0.46,74.91,24.63,2.3045
2011,1.89,73.50,24.61,2.463
2012,4.30,71.82,23.88,3.4051
2013,5.05,69.77,25.18,3.1654
2014,6.42,69.77,23.81,2.9589
2015,5.99,67.78,26.24,10.6154
2016,9.06,66.02,24.92,12.2979
2017,11.31,63.20,25.49,12.3784
2018,10.76,54.22,35.03,10.9214
2019,11.10,56.45,32.45,11.5167
2020,12.60,54.38,33.03,11.3958
2021,11.46,56.56,31.98,10.1415
