fishingMethodCodeAppliedByFA	taxonID	fishingQuantityInTon	year
299	299	NA	2003
301	299	NA	2003
302	299	NA	2003
303	299	NA	2003
304	299	NA	2003
305	299	NA	2003
306	299	NA	2003
307	299	NA	2003
308	299	NA	2003
309	299	NA	2003
310	299	NA	2003
399	299	NA	2003
101	300	NA	2003
102	300	NA	2003
103	300	NA	2003
104	300	NA	2003
106	300	NA	2003
108	300	NA	2003
199	300	NA	2003
201	300	NA	2003
202	300	NA	2003
203	300	NA	2003
204	300	NA	2003
205	300	NA	2003
206	300	NA	2003
209	300	NA	2003
211	300	NA	2003
212	300	NA	2003
213	300	NA	2003
214	300	NA	2003
219	300	NA	2003
221	300	NA	2003
299	300	NA	2003
301	300	NA	2003
302	300	NA	2003
303	300	NA	2003
304	300	0 	2003
305	300	NA	2003
306	300	NA	2003
307	300	NA	2003
308	300	NA	2003
309	300	NA	2003
310	300	NA	2003
399	300	NA	2003
101	400	NA	2003
102	400	NA	2003
103	400	NA	2003
104	400	NA	2003
106	400	NA	2003
108	400	NA	2003
199	400	NA	2003
201	400	NA	2003
202	400	NA	2003
203	400	NA	2003
204	400	NA	2003
205	400	NA	2003
206	400	NA	2003
209	400	NA	2003
211	400	NA	2003
212	400	NA	2003
213	400	NA	2003
214	400	NA	2003
219	400	NA	2003
221	400	NA	2003
299	400	NA	2003
301	400	NA	2003
302	400	NA	2003
303	400	NA	2003
304	400	NA	2003
305	400	NA	2003
306	400	NA	2003
307	400	NA	2003
308	400	NA	2003
309	400	NA	2003
310	400	NA	2003
399	400	NA	2003
101	500	NA	2003
102	500	NA	2003
103	500	NA	2003
104	500	NA	2003
106	500	NA	2003
108	500	NA	2003
199	500	NA	2003
201	500	NA	2003
202	500	NA	2003
203	500	NA	2003
204	500	1 	2003
205	500	37 	2003
206	500	NA	2003
209	500	NA	2003
211	500	NA	2003
212	500	NA	2003
213	500	NA	2003
214	500	2 	2003
219	500	NA	2003
221	500	NA	2003
299	500	NA	2003
301	500	NA	2003
302	500	NA	2003
303	500	NA	2003
304	500	12 	2003
305	500	NA	2003
306	500	1 	2003
307	500	NA	2003
308	500	NA	2003
309	500	NA	2003
310	500	NA	2003
399	500	NA	2003
101	600	NA	2003
102	600	NA	2003
103	600	NA	2003
104	600	NA	2003
106	600	NA	2003
108	600	NA	2003
199	600	NA	2003
201	600	NA	2003
202	600	NA	2003
203	600	NA	2003
204	600	NA	2003
205	600	NA	2003
206	600	NA	2003
209	600	NA	2003
211	600	NA	2003
212	600	NA	2003
213	600	NA	2003
214	600	NA	2003
219	600	NA	2003
221	600	NA	2003
299	600	NA	2003
301	600	NA	2003
302	600	NA	2003
303	600	NA	2003
304	600	NA	2003
305	600	NA	2003
306	600	NA	2003
307	600	NA	2003
308	600	NA	2003
309	600	NA	2003
310	600	NA	2003
399	600	NA	2003
101	700	NA	2003
102	700	NA	2003
103	700	NA	2003
104	700	NA	2003
106	700	NA	2003
108	700	NA	2003
199	700	NA	2003
201	700	NA	2003
202	700	NA	2003
203	700	NA	2003
204	700	NA	2003
205	700	NA	2003
206	700	NA	2003
209	700	NA	2003
211	700	NA	2003
212	700	NA	2003
213	700	NA	2003
214	700	NA	2003
219	700	NA	2003
221	700	NA	2003
299	700	NA	2003
301	700	NA	2003
302	700	NA	2003
303	700	NA	2003
304	700	NA	2003
305	700	NA	2003
306	700	NA	2003
307	700	NA	2003
308	700	NA	2003
309	700	NA	2003
310	700	NA	2003
399	700	NA	2003
101	789	NA	2003
102	789	NA	2003
103	789	NA	2003
104	789	NA	2003
106	789	NA	2003
108	789	NA	2003
199	789	NA	2003
201	789	NA	2003
202	789	NA	2003
203	789	NA	2003
204	789	NA	2003
205	789	NA	2003
206	789	NA	2003
209	789	NA	2003
211	789	NA	2003
212	789	NA	2003
213	789	NA	2003
214	789	NA	2003
219	789	NA	2003
221	789	NA	2003
299	789	NA	2003
301	789	NA	2003
302	789	NA	2003
303	789	NA	2003
304	789	NA	2003
305	789	NA	2003
306	789	NA	2003
307	789	NA	2003
308	789	NA	2003
309	789	NA	2003
310	789	NA	2003
399	789	NA	2003
101	1100	NA	2003
102	1100	NA	2003
103	1100	NA	2003
104	1100	NA	2003
106	1100	NA	2003
108	1100	NA	2003
199	1100	NA	2003
201	1100	NA	2003
202	1100	NA	2003
203	1100	NA	2003
204	1100	NA	2003
205	1100	NA	2003
206	1100	NA	2003
209	1100	NA	2003
211	1100	NA	2003
212	1100	NA	2003
213	1100	NA	2003
214	1100	NA	2003
219	1100	NA	2003
221	1100	NA	2003
299	1100	NA	2003
301	1100	NA	2003
302	1100	NA	2003
303	1100	NA	2003
304	1100	NA	2003
305	1100	NA	2003
306	1100	NA	2003
307	1100	NA	2003
308	1100	NA	2003
309	1100	NA	2003
310	1100	NA	2003
399	1100	NA	2003
101	1200	NA	2003
102	1200	NA	2003
103	1200	NA	2003
104	1200	NA	2003
106	1200	NA	2003
108	1200	NA	2003
199	1200	NA	2003
201	1200	NA	2003
202	1200	NA	2003
203	1200	NA	2003
204	1200	NA	2003
205	1200	NA	2003
206	1200	NA	2003
209	1200	NA	2003
211	1200	NA	2003
212	1200	NA	2003
213	1200	NA	2003
214	1200	NA	2003
219	1200	NA	2003
221	1200	NA	2003
299	1200	NA	2003
301	1200	NA	2003
302	1200	NA	2003
303	1200	NA	2003
304	1200	NA	2003
305	1200	NA	2003
306	1200	NA	2003
307	1200	NA	2003
308	1200	NA	2003
309	1200	NA	2003
310	1200	NA	2003
399	1200	NA	2003
101	1400	NA	2003
102	1400	NA	2003
103	1400	NA	2003
104	1400	NA	2003
106	1400	NA	2003
108	1400	NA	2003
199	1400	NA	2003
201	1400	NA	2003
202	1400	NA	2003
203	1400	22 	2003
204	1400	NA	2003
205	1400	NA	2003
206	1400	NA	2003
209	1400	NA	2003
211	1400	NA	2003
212	1400	NA	2003
213	1400	NA	2003
214	1400	NA	2003
219	1400	NA	2003
221	1400	NA	2003
299	1400	NA	2003
301	1400	NA	2003
302	1400	NA	2003
303	1400	NA	2003
304	1400	NA	2003
305	1400	NA	2003
306	1400	NA	2003
307	1400	NA	2003
308	1400	NA	2003
309	1400	NA	2003
310	1400	NA	2003
399	1400	NA	2003
101	1500	17 	2003
102	1500	NA	2003
103	1500	NA	2003
104	1500	NA	2003
106	1500	NA	2003
108	1500	NA	2003
199	1500	NA	2003
201	1500	NA	2003
202	1500	NA	2003
203	1500	NA	2003
204	1500	143 	2003
205	1500	NA	2003
206	1500	NA	2003
209	1500	NA	2003
211	1500	NA	2003
212	1500	2 	2003
213	1500	NA	2003
214	1500	NA	2003
219	1500	NA	2003
221	1500	NA	2003
299	1500	NA	2003
301	1500	NA	2003
302	1500	NA	2003
303	1500	NA	2003
304	1500	8 	2003
305	1500	32 	2003
306	1500	2 	2003
307	1500	3 	2003
308	1500	NA	2003
309	1500	NA	2003
310	1500	NA	2003
399	1500	NA	2003
101	1601	815 	2003
102	1601	NA	2003
103	1601	NA	2003
104	1601	NA	2003
