WGS84Lati,WGS84Long,year,CommonName,Date,數量(隻),記錄方式
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,2,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,2,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,2,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,5,聽音
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,2,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,2,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/4/14,6,聽音
24.9841,121.353,2011,桃園市 龜山區,2011/4/22,1,目視
24.9841,121.353,2011,桃園市 龜山區,2011/4/22,18,目視
24.9841,121.353,2011,桃園市 龜山區,2011/4/22,1,目視
24.9841,121.353,2011,桃園市 龜山區,2011/4/22,1,目視
24.9841,121.353,2011,桃園市 龜山區,2011/4/22,4,聽音
25.168,121.4175,2011,新北市 八里區,2011/4/23,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,2,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,5,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,3,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,3,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,5,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,2,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,2,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,2,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,2,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,3,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,2,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/4/28,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/4/29,20~29,聽音
24.2697,120.8048,2011,台中市 石岡區,2011/4/29,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/4/29,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/4/29,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/4/29,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/4/29,1,聽音
24.2697,120.8048,2011,台中市 石岡區,2011/4/29,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/4/29,1,聽音
24.2697,120.8048,2011,台中市 石岡區,2011/4/29,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/4/29,1,目視
24.2769,120.7962,2011,台中市 東勢區,2011/4/29,2,聽音
24.2769,120.7962,2011,台中市 東勢區,2011/4/29,1,目視
24.9976,121.2574,2011,桃園市 蘆竹區,2011/5/5,1,目視
24.9976,121.2574,2011,桃園市 蘆竹區,2011/5/5,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/5/30,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/5/30,3,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/5/30,12,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/5/30,3,聽音
24.2075,120.5992,2011,台中市 南屯區,2011/6/16,1,目視
24.2075,120.5992,2011,台中市 南屯區,2011/6/16,2,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/6/24,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/6/24,1,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/6/24,9,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/7/1,10~19,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/7/1,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/7/1,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/7/1,9,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/7/1,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/7/1,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/7/1,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/7/1,4,聽音
24.9841,121.353,2011,桃園市 龜山區,2011/7/2,1,目視
24.9841,121.353,2011,桃園市 龜山區,2011/7/2,2,目視
24.9841,121.353,2011,桃園市 龜山區,2011/7/2,6,目視
24.9841,121.353,2011,桃園市 龜山區,2011/7/2,8,聽音
24.9988,121.337,2011,桃園市 龜山區,2011/7/21,1,目視
24.9988,121.337,2011,桃園市 龜山區,2011/7/21,10~19,聽音
24.2697,120.8048,2011,台中市 石岡區,2011/7/30,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/7/30,1,目視
24.2697,120.8048,2011,台中市 石岡區,2011/7/30,1,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/8/1,3,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/8/1,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/8/1,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/8/1,2,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/8/1,2,聽音
24.9626,121.3651,2011,新北市 鶯歌區,2011/8/1,2,聽音
25.0634,121.442,2011,新北市 新莊區,2011/8/12,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/8/12,1,聽音
25.0634,121.442,2011,新北市 新莊區,2011/8/12,4,目視
25.0634,121.442,2011,新北市 新莊區,2011/8/12,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/8/12,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/8/12,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/8/12,1,目視
25.0634,121.442,2011,新北市 新莊區,2011/8/12,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/8/26,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/8/26,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/8/26,1,目視
24.9626,121.3651,2011,新北市 鶯歌區,2011/8/26,1,目視
