緯度,經度,年,數量,縣市,鄉鎮,地點
24.94640059,121.3447769,2011,0,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2011,36,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2011,31,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2011,4,新北市,鶯歌區,尖山路 
24.98406553,121.3529945,2011,0,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2011,24,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2011,16,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2011,3,桃園市,龜山區,福源山步道
24.00305,120.476313,2011,0,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2011,0,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2011,0,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2011,0,彰化縣,埔鹽鄉,稻香生態農園
24.967976,121.607929,2011,0,台北市,文山區,草湳(指南路82段)
24.967976,121.607929,2011,0,台北市,文山區,草湳(指南路100段)
24.967976,121.607929,2011,0,台北市,文山區,草湳(指南路118段)
24.967976,121.607929,2011,0,台北市,文山區,草湳(指南路136段)
25.119162,121.470512,2011,0,台北市,北投區,關渡自然公園
25.119162,121.470512,2011,0,台北市,北投區,關渡自然公園
25.119162,121.470512,2011,0,台北市,北投區,關渡自然公園
25.119162,121.470512,2011,0,台北市,北投區,關渡自然公園
24.95498,121.466391,2012,0,新北市,土城區,山中湖
24.95498,121.466391,2012,0,新北市,土城區,山中湖
24.95498,121.466391,2012,0,新北市,土城區,山中湖
24.02107,120.597791,2012,0,彰化縣,芬園鄉,八卦山蝴蝶園
24.02107,120.597791,2012,0,彰化縣,芬園鄉,八卦山蝴蝶園
24.02107,120.597791,2012,0,彰化縣,芬園鄉,八卦山蝴蝶園
24.02107,120.597791,2012,0,彰化縣,芬園鄉,八卦山蝴蝶園
25.040294,121.399177,2012,0,新北市,新莊區,十八份坑溪上游週邊
25.040294,121.399177,2012,7,新北市,新莊區,十八份坑溪上游週邊
