緯度,經度,年,數量,縣市,鄉鎮,地點
24.844923,121.044212,2015,不計數,新竹縣,新埔鎮,墾園農場
24.148223,120.734601,2015,1,台中市,太平區,太平國中(通報)
24.26398659,120.8139031,2015,2,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,2,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,3,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
25.0153672,121.541318,2015,1,台北市,大安區,通報-台大基隆路農場辦公室
25.0153672,121.541318,2015,1,台北市,大安區,通報-台大基隆路農場辦公室
25.0153672,121.541318,2015,1,台北市,大安區,通報-台大基隆路農場辦公室
25.0153672,121.541318,2015,1,台北市,大安區,通報-台大基隆路農場辦公室
25.0153672,121.541318,2015,不計數,台北市,大安區,通報-台大基隆路農場辦公室
25.119162,121.470512,2015,不計數,台北市,北投區,關渡自然公園
25.09428604,121.4857352,2015,2,新北市,蘆洲區,蘆洲4-2蘆堤幸福菜園
25.09428604,121.4857352,2015,2,新北市,蘆洲區,蘆洲4-2蘆堤幸福菜園
25.09428604,121.4857352,2015,5,新北市,蘆洲區,蘆洲4-2蘆堤幸福菜園
25.09428604,121.4857352,2015,不計數,新北市,蘆洲區,蘆洲4-2蘆堤幸福菜園
24.964499,121.447738,2015,5,新北市,土城區,土城彈藥庫
24.964499,121.447738,2015,1,新北市,土城區,土城彈藥庫
24.964499,121.447738,2015,6,新北市,土城區,土城彈藥庫
24.964499,121.447738,2015,2,新北市,土城區,土城彈藥庫
