fishingMethodCodeAppliedByFA	year	fishingQuantityInTon
206	2000	135 
209	2000	3 
211	2000	25949 
212	2000	13323 
213	2000	1381 
214	2000	2018 
219	2000	692 
221	2000	NA
222	2000	NA
223	2000	NA
299	2000	2747 
301	2000	6263 
302	2000	1441 
303	2000	4515 
304	2000	13428 
305	2000	4530 
306	2000	4909 
307	2000	4323 
308	2000	748 
309	2000	480 
310	2000	142 
312	2000	NA
313	2000	NA
399	2000	3187 
101	2001	77728 
102	2001	NA
103	2001	229810 
104	2001	256125 
105	2001	NA
106	2001	146783 
107	2001	NA
108	2001	39750 
109	2001	NA
199	2001	22841 
201	2001	2197 
202	2001	22205 
203	2001	20728 
204	2001	56723 
205	2001	17671 
206	2001	91 
209	2001	11 
211	2001	20845 
212	2001	12781 
213	2001	657 
214	2001	1793 
219	2001	739 
221	2001	NA
222	2001	NA
223	2001	NA
299	2001	3449 
301	2001	9601 
302	2001	478 
303	2001	4887 
304	2001	14175 
305	2001	3267 
306	2001	5931 
307	2001	7068 
308	2001	826 
309	2001	453 
310	2001	242 
312	2001	NA
313	2001	NA
399	2001	2635 
101	2002	63292 
102	2002	NA
103	2002	251525 
104	2002	294055 
105	2002	NA
106	2002	110887 
107	2002	NA
108	2002	51283 
109	2002	NA
199	2002	22604 
201	2002	2540 
202	2002	34016 
203	2002	24163 
204	2002	60466 
205	2002	21067 
206	2002	293 
209	2002	19 
211	2002	21990 
212	2002	11874 
213	2002	610 
214	2002	1878 
219	2002	618 
221	2002	NA
222	2002	NA
223	2002	NA
299	2002	6415 
301	2002	8320 
302	2002	833 
303	2002	6809 
304	2002	13250 
305	2002	3860 
306	2002	5059 
307	2002	7910 
308	2002	577 
309	2002	252 
310	2002	158 
312	2002	NA
313	2002	NA
399	2002	2641 
101	2003	65417 
102	2003	NA
103	2003	195290 
104	2003	331670 
105	2003	NA
106	2003	147159 
107	2003	NA
108	2003	91515 
109	2003	NA
199	2003	22404 
201	2003	3387 
202	2003	45464 
203	2003	29819 
204	2003	54612 
205	2003	11565 
206	2003	322 
209	2003	116 
211	2003	18208 
212	2003	12139 
213	2003	748 
214	2003	1759 
219	2003	649 
221	2003	NA
222	2003	NA
223	2003	NA
299	2003	14694 
301	2003	13299 
302	2003	887 
303	2003	8220 
304	2003	13273 
305	2003	3424 
306	2003	6169 
307	2003	14097 
308	2003	514 
309	2003	360 
310	2003	471 
312	2003	NA
313	2003	NA
399	2003	3025 
