year	taxonID	vernacularName	scientificName	notesToScientificName	taxonRank	SAU1	SAU2	notesToSAU2	Chang1	FB	FBthenSAU2	SAU2thenFB	FBthenSAU2Modified	notesToFBthenSAU2Modified	SAU2thenFBModified	notesToSAU2thenFBModified
2016	56201	鋸峰齒鯊	Prionace glauca		species	4.35	4.35		NA	4.4	4.4	4.35	4.4		4.35	
2016	56301	尖吻鯖鯊	Isurus oxyrinchus		species	NA	4.5	map to genus rank	4.5	4.5	4.5	4.5	4.5		4.5	
2016	56999	其他鯊	Elasmobranchii	原文件中無此亞綱級註記，此乃根據原文件中 "Other sharks" 所做的判斷。	subclass	4.05	4.05		NA	NA	4.05	4.05	4.05		4.05	
2016	59001	秋刀魚	Cololabis saira		species	3.71	3.71		NA	3.7	3.7	3.71	3.7		3.71	
2016	60000	單棘魨科	Monacanthidae		family	3	3		NA	NA	3	3	3		3	
2016	62998	其他淡水魚類	NA		NA	NA	NA		NA	NA	NA	NA	NA		NA	
2016	62999	其他海水魚類	NA		NA	NA	NA		NA	NA	NA	NA	NA		NA	
2016	63101	阿根廷魷	Illex argentinus		species	NA	4.09	map to family rank	NA	NA	4.09	4.09	4.09		4.09	
2016	63102	美洲大赤魷	Dosidicus gigas		species	NA	4.09	map to family rank	NA	NA	4.09	4.09	4.09		4.09	
2016	63201	鎖管	Uroteuthis chinensis		species	NA	3.9	map to family rank	NA	NA	3.9	3.9	3.9		3.9	
2016	63999	其他頭足類	Cephalopoda	原文件中無此綱級註記，此乃根據原文件中 "Other cephalopods" 所做的判斷。	class	3.81	3.81		NA	NA	3.81	3.81	3.81		3.81	
2016	64002	日本對蝦	Penaeus japonicus		species	2.7	2.7		2	NA	2.7	2.7	2.7		2.7	
2016	64003	多毛對蝦	Penaeus penicillatus		species	2.7	2.7		2	NA	2.7	2.7	2.7		2.7	
2016	64006	羅氏沼蝦	Macrobrachium rosenbergii		species	NA	3.43	map to order rank	NA	NA	3.43	3.43	3.43		3.43	
2016	64008	劍蝦	Parapenaeus		genus	NA	3.43	map to order rank	NA	NA	3.43	3.43	3.43		3.43	
2016	64009	管鞭蝦	Solenocera alticarinata		species	NA	3.43	map to order rank	NA	NA	3.43	3.43	3.43		3.43	
2016	64010	凡納對蝦	Litopenaeus vannamei		species	NA	3.43	map to order rank	NA	NA	3.43	3.43	3.43		3.43	
2016	64011	晶瑩櫻蝦	Sergestes lucens		species	NA	2.93	map to family rank	NA	NA	2.93	2.93	2.93		2.93	
2016	64012	間型毛蝦	Acetes intermedius		species	NA	2.93	map to family rank	NA	NA	2.93	2.93	2.93		2.93	
2016	64101	蝦姑	Ibacus ciliatus		species	2.6	2.6		2	NA	2.6	2.6	2.6		2.6	
2016	64202	遠海梭子蟹	Portunus pelagicus		species	3	3		2	NA	3	3	3		3	
2016	64299	其他蟳蟹類	Decapoda	原文件中無此目級註記，此乃根據原文件中 "Other crabs" 所做的判斷。	order	3.43	3.43		NA	NA	3.43	3.43	3.43		3.43	
2016	65001	牡蠣	Crassostrea gigas		species	2	2		NA	NA	2	2	2		2	
2016	65002	文蛤	Meretrix lusoria		species	2	2		2	NA	2	2	2		2	
2016	65003	蜊	Tapes		genus	NA	2.1	map to phylum rank	NA	NA	2.1	2.1	2.1		2.1	
2016	65010	臺灣蜆	Corbicula fluminea		species	NA	NA		NA	NA	NA	NA	NA		NA	
2016	65999	其他貝類	Mollusca	原文件中無此門級註記	phylum	2.1	2.1		NA	NA	2.1	2.1	2.1		2.1	
2016	66000	蛙類	Anura	原文件中無此目級註記	order	NA	NA		NA	NA	NA	NA	NA		NA	
2016	67001	鱉	Trionychidae		family	NA	NA		NA	NA	NA	NA	NA		NA	
2016	67002	鱉蛋	NA		NA	NA	NA		NA	NA	NA	NA	NA		NA	
2016	71000	珊瑚	Anthozoa	原文件中無此綱級註記	class	NA	NA		NA	NA	NA	NA	NA		NA	
2016	73201	龍鬚菜	Gracilaria		genus	1	1		NA	NA	1	1	1		1	
