_海洋保護區或其子區的名稱	_所屬的海洋保護區	_法令依據	_提報機關	_管理機關	_地理圖資的類型	_原始的座標點位	_以Excel統一座標的格式	decimalLatitude	decimalLongitude
墾丁國家公園海域生態保護區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°59'52.67""""N;120°41'58.91""""E"	21°59'52.67sN 120°41'58.91sE	21.9979638888889	120.699697222222
墾丁國家公園海域生態保護區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22°0'30.32""""N;120°41'35.33""""E"	22°0'30.32sN 120°41'35.33sE	22.0084222222222	120.693147222222
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'37.71""""N;120°43'1.22""""E"	21°55'37.71sN 120°43'1.22sE	21.9271416666667	120.717005555556
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'7.33""""N;120°43'19.28""""E"	21°55'7.33sN 120°43'19.28sE	21.9187027777778	120.722022222222
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'54.11""""N;120°43'41.79""""E"	21°54'54.11sN 120°43'41.79sE	21.9150305555556	120.728275
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'6.15""""N;120°44'29.21""""E"	21°55'6.15sN 120°44'29.21sE	21.918375	120.741447222222
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'10.80""""N;120°44'23.17""""E"	21°55'10.80sN 120°44'23.17sE	21.9196666666667	120.739769444444
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'5.24""""N;120°43'42.35""""E"	21°55'5.24sN 120°43'42.35sE	21.9181222222222	120.728430555556
墾丁國家公園海域生態保護區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'43.49""""N;120°43'8.14""""E"	21°55'43.49sN 120°43'8.14sE	21.9287472222222	120.718927777778
墾丁國家公園海域生態保護區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'1.71""""N ;120°49'21.04""""E"	21°56'1.71sN 120°49'21.04sE	21.9338083333333	120.822511111111
墾丁國家公園海域生態保護區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'50.39""""N;120°49'15.92""""E"	21°55'50.39sN 120°49'15.92sE	21.9306638888889	120.821088888889
墾丁國家公園海域生態保護區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'52.09""""N;120°50'5.03""""E"	21°54'52.09sN 120°50'5.03sE	21.9144694444444	120.834730555556
墾丁國家公園海域生態保護區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'41.78""""N;120°50'49.40""""E"	21°54'41.78sN 120°50'49.40sE	21.9116055555556	120.847055555556
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'57.03""""N;120°51'0.43""""E"	21°53'57.03sN 120°51'0.43sE	21.899175	120.850119444444
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'49.15""""N;120°50'55.07""""E"	21°53'49.15sN 120°50'55.07sE	21.8969861111111	120.848630555556
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'53.84""""N;120°52'6.59""""E"	21°53'53.84sN 120°52'6.59sE	21.8982888888889	120.868497222222
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'33.26""""N;120°51'48.58""""E"	21°54'33.26sN 120°51'48.58sE	21.9092388888889	120.863494444444
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'44.47""""N;120°51'26.24""""E"	21°55'44.47sN 120°51'26.24sE	21.9290194444444	120.857288888889
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'51.09""""N;120°50'41.96""""E"	21°56'51.09sN 120°50'41.96sE	21.947525	120.844988888889
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'47.58""""N;120°50'33.65""""E"	21°56'47.58sN 120°50'33.65sE	21.94655	120.842680555556
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°58'15.20""""N;120°42'54.85""""E"	21°58'15.20sN 120°42'54.85sE	21.9708888888889	120.715236111111
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°58'18.19""""N;120°42'45.89""""E"	21°58'18.19sN 120°42'45.89sE	21.9717194444444	120.712747222222
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'57.50""""N;120°42'37.12""""E"	21°57'57.50sN 120°42'37.12sE	21.9659722222222	120.710311111111
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'24.15""""N;120°42'27.28""""E"	21°56'24.15sN 120°42'27.28sE	21.9400416666667	120.707577777778
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'2.21""""N;120°42'31.31""""E"	21°56'2.21sN 120°42'31.31sE	21.9339472222222	120.708697222222
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'4.38""""N;120°42'40.22""""E"	21°56'4.38sN 120°42'40.22sE	21.93455	120.711172222222
墾丁國家公園海域特別景觀區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'58.85""""N;120°45'22.95""""E"	21°55'58.85sN 120°45'22.95sE	21.9330138888889	120.756375
墾丁國家公園海域特別景觀區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'11.02""""N;120°45'12.25""""E"	21°56'11.02sN 120°45'12.25sE	21.9363944444444	120.753402777778
墾丁國家公園海域特別景觀區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'2.25""""N;120°44'58.62""""E"	21°56'2.25sN 120°44'58.62sE	21.9339583333333	120.749616666667
墾丁國家公園海域特別景觀區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'50.10""""N;120°45'9.13""""E"	21°55'50.10sN 120°45'9.13sE	21.9305833333333	120.752536111111
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'41.66""""N;120°50'49.34""""E"	21°54'41.66sN 120°50'49.34sE	21.9115722222222	120.847038888889
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'42.10""""N;120°50'38.69""""E"	21°54'42.10sN 120°50'38.69sE	21.9116944444444	120.844080555556
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'11.92""""N;120°50'38.28""""E"	21°54'11.92sN 120°50'38.28sE	21.9033111111111	120.843966666667
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'54.90""""N;120°50'45.67""""E"	21°53'54.90sN 120°50'45.67sE	21.8985833333333	120.846019444444
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'49.06""""N;120°50'55.07""""E"	21°53'49.06sN 120°50'55.07sE	21.8969611111111	120.848630555556
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'56.97""""N;120°51'0.40""""E"	21°53'56.97sN 120°51'0.40sE	21.8991583333333	120.850111111111
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 1'45.01""""N;120°41'10.15""""E"	22°1'45.01sN 120°41'10.15sE	22.0291694444444	120.686152777778
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 1'44.38""""N;120°40'58.87""""E"	22°1'44.38sN 120°40'58.87sE	22.0289944444444	120.683019444444
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 1'17.20""""N;120°40'59.23""""E"	22°1'17.20sN 120°40'59.23sE	22.0214444444444	120.683119444444
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 0'53.47""""N;120°41'4.92""""E"	22°0'53.47sN 120°41'4.92sE	22.0148527777778	120.6847
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 0'27.93""""N;120°41'19.60""""E"	22°0'27.93sN 120°41'19.60sE	22.0077583333333	120.688777777778
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 0'30.33""""N;120°41'35.21""""E"	22°0'30.33sN 120°41'35.21sE	22.008425	120.693113888889
墾丁國家公園海域遊憩區海底公園二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°59'52.60""""N;120°41'58.68""""E"	21°59'52.60sN 120°41'58.68sE	21.9979444444444	120.699633333333
墾丁國家公園海域遊憩區海底公園二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°59'44.37""""N;120°41'45.09""""E"	21°59'44.37sN 120°41'45.09sE	21.9956583333333	120.695858333333
墾丁國家公園海域遊憩區海底公園二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°58'57.62""""N;120°42'25.19""""E"	21°58'57.62sN 120°42'25.19sE	21.9826722222222	120.706997222222
墾丁國家公園海域遊憩區海底公園二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°59'5.42""""N;120°42'40.78""""E"	21°59'5.42sN 120°42'40.78sE	21.9848388888889	120.711327777778
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'37.26""""N;120°44'46.84""""E"	21°56'37.26sN 120°44'46.84sE	21.9436833333333	120.746344444444
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'18.83""""N;120°45'0.89""""E"	21°56'18.83sN 120°45'0.89sE	21.9385638888889	120.750247222222
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'23.92""""N;120°45'7.87""""E"	21°56'23.92sN 120°45'7.87sE	21.9399777777778	120.752186111111
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'45.58""""N;120°45'7.91""""E"	21°56'45.58sN 120°45'7.91sE	21.9459944444444	120.752197222222
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'45.76""""N;120°44'52.88""""E"	21°56'45.76sN 120°44'52.88sE	21.9460444444444	120.748022222222
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'46.96""""N;120°44'49.23""""E"	21°56'46.96sN 120°44'49.23sE	21.9463777777778	120.747008333333
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'58.86""""N;120°46'39.16""""E"	21°56'58.86sN 120°46'39.16sE	21.9496833333333	120.777544444444
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'48.96""""N;120°46'33.98""""E"	21°56'48.96sN 120°46'33.98sE	21.9469333333333	120.776105555556
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'29.34""""N;120°46'57.32""""E"	21°56'29.34sN 120°46'57.32sE	21.9414833333333	120.782588888889
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'32.66""""N;120°47'6.08""""E"	21°56'32.66sN 120°47'6.08sE	21.9424055555556	120.785022222222
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'32.30""""N;120°47'20.68""""E"	21°56'32.30sN 120°47'20.68sE	21.9423055555556	120.789077777778
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'41.46""""N;120°47'18.93""""E"	21°56'41.46sN 120°47'18.93sE	21.94485	120.788591666667
墾丁國家公園海域遊憩區海上育樂區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	LINE	"21°56'2.49""""N;120°42'46.29""""E"	21°56'2.49sN 120°42'46.29sE	21.934025	120.712858333333
墾丁國家公園海域遊憩區海上育樂區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	LINE	"21°55'48.87""""N;120°42'51.95""""E"	21°55'48.87sN 120°42'51.95sE	21.9302416666667	120.714430555556
墾丁國家公園海域遊憩區海上育樂區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	LINE	"21°55'43.35""""N;120°43'8.00""""E"	21°55'43.35sN 120°43'8.00sE	21.9287083333333	120.718888888889
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'32.30""""N;120°45'45.08""""E"	21°57'32.30sN 120°45'45.08sE	21.9589722222222	120.762522222222
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'25.23""""N;120°45'46.15""""E"	21°57'25.23sN 120°45'46.15sE	21.9570083333333	120.762819444444
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'16.20""""N;120°45'51.39""""E"	21°57'16.20sN 120°45'51.39sE	21.9545	120.764275
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'12.32""""N;120°45'59.87""""E"	21°57'12.32sN 120°45'59.87sE	21.9534222222222	120.766630555556
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'2.60""""N;120°46'5.27""""E"	21°57'2.60sN 120°46'5.27sE	21.9507222222222	120.768130555556
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'51.99""""N;120°46'24.41""""E"	21°56'51.99sN 120°46'24.41sE	21.947775	120.773447222222
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'48.79""""N;120°46'33.93""""E"	21°56'48.79sN 120°46'33.93sE	21.9468861111111	120.776091666667
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'58.82""""N;120°46'39.17""""E"	21°56'58.82sN 120°46'39.17sE	21.9496722222222	120.777547222222
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'41.44""""N;120°47'18.94""""E"	21°56'41.44sN 120°47'18.94sE	21.9448444444444	120.788594444444
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'32.38""""N;120°47'20.77""""E"	21°56'32.38sN 120°47'20.77sE	21.9423277777778	120.789102777778
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'30.99""""N;120°47'33.53""""E"	21°56'30.99sN 120°47'33.53sE	21.9419416666667	120.792647222222
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'27.46""""N;120°47'45.29""""E"	21°56'27.46sN 120°47'45.29sE	21.9409611111111	120.795913888889
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'23.50""""N;120°47'47.97""""E"	21°56'23.50sN 120°47'47.97sE	21.9398611111111	120.796658333333
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'29.39""""N;120°47'53.53""""E"	21°56'29.39sN 120°47'53.53sE	21.9414972222222	120.798202777778
墾丁國家公園海域遊憩區海上育樂區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	LINE	"21°56'21.22""""N;120°48'10.02""""E"	21°56'21.22sN 120°48'10.02sE	21.9392277777778	120.802783333333
墾丁國家公園海域遊憩區海上育樂區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	LINE	"21°56'19.43""""N;120°48'21.14""""E"	21°56'19.43sN 120°48'21.14sE	21.9387305555556	120.805872222222
墾丁國家公園海域遊憩區海上育樂區五	墾丁國家公園	國家公園法		墾丁國家公園管理處	LINE	"21°56'2.60""""N;120°49'2.11""""E"	21°56'2.60sN 120°49'2.11sE	21.9340555555556	120.817252777778
墾丁國家公園海域遊憩區海上育樂區五	墾丁國家公園	國家公園法		墾丁國家公園管理處	LINE	"21°55'50.36""""N;120°49'15.89""""E"	21°55'50.36sN 120°49'15.89sE	21.9306555555556	120.821080555556
墾丁國家公園海域遊憩區海上育樂區五	墾丁國家公園	國家公園法		墾丁國家公園管理處	LINE	"21°56'1.87""""N;120°49'21.06""""E"	21°56'1.87sN 120°49'21.06sE	21.9338527777778	120.822516666667
墾丁國家公園發電廠海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'10.72""""N;120°44'23.08""""E"	21°55'10.72sN 120°44'23.08sE	21.9196444444444	120.739744444444
墾丁國家公園發電廠海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'10.81""""N;120°44'37.19""""E"	21°55'10.81sN 120°44'37.19sE	21.9196694444444	120.743663888889
墾丁國家公園發電廠海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'28.20""""N;120°44'37.27""""E"	21°55'28.20sN 120°44'37.27sE	21.9245	120.743686111111
墾丁國家公園發電廠海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'36.70""""N;120°44'47.64""""E"	21°55'36.70sN 120°44'47.64sE	21.9268611111111	120.746566666667
墾丁國家公園發電廠海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'46.04""""N;120°44'37.24""""E"	21°55'46.04sN 120°44'37.24sE	21.9294555555556	120.743677777778
東沙環礁國家公園生態保護區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°45’E, 20°49’N	20°49'N 116°45'E	20.8166666666667	116.75
東沙環礁國家公園生態保護區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°57’E, 20°49’N	20°49'N 116°57'E	20.8166666666667	116.95
東沙環礁國家公園生態保護區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°57’E, 20°34’N	20°34'N 116°57'E	20.5666666666667	116.95
東沙環礁國家公園生態保護區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°45’E, 20°34’N	20°34'N 116°45'E	20.5666666666667	116.75
東沙環礁國家公園東沙領海特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°40’E, 20°49’N	20°49'N 116°40'E	20.8166666666667	116.666666666667
東沙環礁國家公園東沙領海特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°57’E, 20°49’N	20°49'N 116°57'E	20.8166666666667	116.95
東沙環礁國家公園東沙領海特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°57’E, 20°34’N	20°34'N 116°57'E	20.5666666666667	116.95
東沙環礁國家公園東沙領海特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°40’E, 20°34’N	20°34'N 116°40'E	20.5666666666667	116.666666666667
東沙環礁國家公園南北水道及東沙島周邊海域特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°40’E, 20°49’N	20°49'N 116°40'E	20.8166666666667	116.666666666667
東沙環礁國家公園南北水道及東沙島周邊海域特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°45’E, 20°49’N	20°49'N 116°45'E	20.8166666666667	116.75
東沙環礁國家公園南北水道及東沙島周邊海域特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°45’E, 20°34’N	20°34'N 116°45'E	20.5666666666667	116.75
東沙環礁國家公園南北水道及東沙島周邊海域特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	116°40’E, 20°34’N	20°34'N 116°40'E	20.5666666666667	116.666666666667
澎湖南方四島國家公園海域生態保護區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處	POLYGON	"23°16'51""""N;119°30'00""""E"	23°16'51sN 119°30'00sE	23.2808333333333	119.5
澎湖南方四島國家公園海域生態保護區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處	POLYGON	"23°16'51""""N;119°30'35""""E"	23°16'51sN 119°30'35sE	23.2808333333333	119.509722222222
澎湖南方四島國家公園海域生態保護區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處	POLYGON	"23°16'28""""N;119°30'35""""E"	23°16'28sN 119°30'35sE	23.2744444444444	119.509722222222
澎湖南方四島國家公園海域生態保護區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處	POLYGON	"23°16'28""""N;119°30'00""""E"	23°16'28sN 119°30'00sE	23.2744444444444	119.5
澎湖南方四島國家公園海域特別景觀區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處	POLYGON	"23°18'00""""N;119°29'32""""E"	23°18'00sN 119°29'32sE	23.3	119.492222222222
澎湖南方四島國家公園海域特別景觀區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處	POLYGON	"23°18'00""""N;119°41'22""""E"	23°18'00sN 119°41'22sE	23.3	119.689444444444
澎湖南方四島國家公園海域特別景觀區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處	POLYGON	"23°13'30""""N;119°41'22""""E"	23°13'30sN 119°41'22sE	23.225	119.689444444444
澎湖南方四島國家公園海域特別景觀區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處	POLYGON	"23°13'30""""N;119°29'32""""E"	23°13'30sN 119°29'32sE	23.225	119.492222222222
東北角暨宜蘭海岸國家風景區海域資源保護區	東北角暨宜蘭海岸國家風景區	都市計畫法	東北角暨宜蘭海岸國家風景區管理處	東北角暨宜蘭海岸國家風景區管理處	LINE	25°7’45.73”N;121°55’26.50”E	25°7'45.73sN 121°55'26.50sE	25.1293694444444	121.924027777778
東北角暨宜蘭海岸國家風景區海域資源保護區	東北角暨宜蘭海岸國家風景區	都市計畫法	東北角暨宜蘭海岸國家風景區管理處	東北角暨宜蘭海岸國家風景區管理處	LINE	25°1’9.83”N;121°59’52.10”E	25°1'9.83sN 121°59'52.10sE	25.0193972222222	121.997805555556
東部海岸國家風景區綠島海參坪至帆船鼻間海域資源保育區	東部海岸國家風景區		東部海岸國家風景區管理處	東部海岸國家風景區管理處	LINK	"22°38'46.15""""N;121°30'0.06""""E"	22°38'46.15sN 121°30'0.06sE	22.6461527777778	121.500016666667
東部海岸國家風景區綠島海參坪至帆船鼻間海域資源保育區	東部海岸國家風景區		東部海岸國家風景區管理處	東部海岸國家風景區管理處	LINK	"22°39'15.66""""N;121°30'39.12""""E"	22°39'15.66sN 121°30'39.12sE	22.65435	121.510866666667
東部海岸國家風景區綠島海參坪至帆船鼻間海域資源保育區	東部海岸國家風景區		東部海岸國家風景區管理處	東部海岸國家風景區管理處	LINK	"22°38'43.27""""N;121°30'35.89""""E"	22°38'43.27sN 121°30'35.89sE	22.6453527777778	121.509969444444
東部海岸國家風景區綠島海參坪至帆船鼻間海域資源保育區	東部海岸國家風景區		東部海岸國家風景區管理處	東部海岸國家風景區管理處	LINK	"22°38'4.5""""N;121°30'31.39""""E"	22°38'4.5sN 121°30'31.39sE	22.6345833333333	121.508719444444
馬祖燕鷗保護區劉泉礁島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°05'08”N;119°57'44”E	26°05'08sN 119°57'44sE	26.0855555555556	119.962222222222
馬祖燕鷗保護區鐵尖島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°16'22”N;119°58'36”E	26°16'22sN 119°58'36sE	26.2727777777778	119.976666666667
馬祖燕鷗保護區進嶼島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°11'42”N;119°56'53”E	26°11'42sN 119°56'53sE	26.195	119.948055555556
馬祖燕鷗保護區三連嶼島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°14'14”N;120°03'41”E	26°14'14sN 120°03'41sE	26.2372222222222	120.061388888889
馬祖燕鷗保護區蛇山島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	25°58'35”N;119°55'15”E	25°58'35sN 119°55'15sE	25.9763888888889	119.920833333333
馬祖燕鷗保護區雙子礁島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°21'13”N;120°28'58”E	26°21'13sN 120°28'58sE	26.3536111111111	120.482777777778
馬祖燕鷗保護區中島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°15'26”N;119°59'34”E	26°15'26sN 119°59'34sE	26.2572222222222	119.992777777778
馬祖燕鷗保護區白廟	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°16'54”N;119°59'55”E	26°16'54sN 119°59'55sE	26.2816666666667	119.998611111111
澎湖貓嶼野生動物保護區		野生動物保育法	林務局	澎湖縣政府	POINT	北緯 23°19.13' 東經 119°19.12'	23°19.13'N 119°19.12'E	23.3188333333333	119.318666666667
棉花嶼花瓶嶼野生動物保護區		野生動物保育法	林務局	基隆市政府	POINT	北緯 25°29.06' 東經 122°06.20'	25°29.06'N 122°06.20'E	25.4843333333333	122.103333333333
澎湖玄武岩自然保留區頭巾嶼	澎湖玄武岩自然保留區	文化資產保存法		澎湖縣政府	POINT	"23°17'25""""N;119°30'4""""E"	23°17'25sN 119°30'4sE	23.2902777777778	119.501111111111
旭海觀音鼻自然保留區		文化資產保存法		屏東縣政府	POINT	"22°13'31.8""""N 120°52'58.3""""E"	22°13'31.8sN 120°52'58.3sE	22.2255	120.882861111111
