_海洋保護區或其子區的名稱	_所屬的海洋保護區	_法令依據	_提報機關	_管理機關	_地理圖資的類型	_原始的座標點位	_以Excel統一座標的格式	decimalLatitude	decimalLongitude
伸港(二)螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"24°10'55.85""""N 120°27'32.05""""E"	24°10'55.85sN 120°27'32.05sE	24.1821805555556	120.458902777778
伸港(二)螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"24°10'58.27""""N 120°27'23.55""""E"	24°10'58.27sN 120°27'23.55sE	24.1828527777778	120.456541666667
王功螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"23°58'08.31""""N 120°19'05.14""""E"	23°58'08.31sN 120°19'05.14sE	23.968975	120.318094444444
王功螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"23°58'11.30""""N 120°19'19.73""""E"	23°58'11.30sN 120°19'19.73sE	23.9698055555556	120.322147222222
王功螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"23°57'28.82""""N 120°18'34.78""""E"	23°57'28.82sN 120°18'34.78sE	23.9580055555556	120.309661111111
王功螻蛄蝦繁殖保育區		漁業法	漁業署	彰化縣政府	POLYGON	"23°57'23.93""""N 120°18'40.04""""E"	23°57'23.93sN 120°18'40.04sE	23.9566472222222	120.311122222222
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°58'08.31""""N 120°19'05.14""""E"	23°58'08.31sN 120°19'05.14sE	23.968975	120.318094444444
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°58'11.30""""N 120°19'19.73""""E"	23°58'11.30sN 120°19'19.73sE	23.9698055555556	120.322147222222
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'53.12""""N 120°18'53.36""""E"	23°57'53.12sN 120°18'53.36sE	23.9647555555556	120.314822222222
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'48.52""""N 120°19'00.65""""E"	23°57'48.52sN 120°19'00.65sE	23.9634777777778	120.316847222222
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'53.12""""N 120°18'53.36""""E"	23°57'53.12sN 120°18'53.36sE	23.9647555555556	120.314822222222
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'48.52""""N 120°19'00.65""""E"	23°57'48.52sN 120°19'00.65sE	23.9634777777778	120.316847222222
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'28.82""""N 120°18'34.78""""E"	23°57'28.82sN 120°18'34.78sE	23.9580055555556	120.309661111111
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'23.93""""N 120°18'40.04""""E"	23°57'23.93sN 120°18'40.04sE	23.9566472222222	120.311122222222
琉球漁業資源保育區西北區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	LINK	22°21.323'N,120°22.862'E	22°21.323'N 120°22.862'E	22.3553833333333	120.381033333333
琉球漁業資源保育區西北區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	LINK	22°20.520'N`, 120°21.772'E	22°20.520'N 120°21.772'E	22.342	120.362866666667
琉球漁業資源保育區箱網養殖區					POLYGON	22°21.713’N120°22.661’ E	22°21.713'N 120°22.661' E	22.3618833333333	120.377683333333
琉球漁業資源保育區箱網養殖區					POLYGON	22°21.533’N120°22.152’ E	22°21.533'N 120°22.152' E	22.3588833333333	120.3692
琉球漁業資源保育區箱網養殖區					POLYGON	22°21.010’ N120°21.425’ E	22°21.010'N 120°21.425' E	22.3501666666667	120.357083333333
琉球漁業資源保育區箱網養殖區					POLYGON	22°20.990’ N120°21.577’ E	22°20.990'N 120°21.577' E	22.3498333333333	120.359616666667
琉球漁業資源保育區箱網養殖區					POLYGON	22°20.990’ N120°21.660’ E	22°20.990'N 120°21.660' E	22.3498333333333	120.361
琉球漁業資源保育區箱網養殖區					POLYGON	22°21.006’ N120°21.817’ E	22°21.006'N 120°21.817' E	22.3501	120.363616666667
琉球漁業資源保育區箱網養殖區					POLYGON	22°21.201’ N120°22.130’ E	22°21.201'N 120°22.130' E	22.35335	120.368833333333
琉球漁業資源保育區箱網養殖區					POLYGON	22°21.396’ N120°22.663’ E	22°21.396'N 120°22.663' E	22.3566	120.377716666667
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	POLYGON	22°20.522’ N120°21.781’ E	22°20.522'N 120°21.781' E	22.3420333333333	120.363016666667
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	POLYGON	22°20.501’ N120°21.731’ E	22°20.501'N 120°21.731' E	22.3416833333333	120.362183333333
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	POLYGON	22°20.585’ N120°21.693’ E	22°20.585'N 120°21.693' E	22.3430833333333	120.36155
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	POLYGON	22°20.693’ N120°21.674’ E	22°20.693'N 120°21.674' E	22.3448833333333	120.361233333333
