$海洋保護區或其子區的名稱	$所屬的海洋保護區	$法令依據	$提報機關	$管理機關	$地理圖資的類型	$原始的座標點位	$以Excel統一座標的格式
王功螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'28.82""N 120°18'34.78""E"	"23°57'28.82""N 120°18'34.78""E"
王功螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'23.93""N 120°18'40.04""E"	"23°57'23.93""N 120°18'40.04""E"
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°58'08.31""N 120°19'05.14""E"	"23°58'08.31""N 120°19'05.14""E"
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°58'11.30""N 120°19'19.73""E"	"23°58'11.30""N 120°19'19.73""E"
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'53.12""N 120°18'53.36""E"	"23°57'53.12""N 120°18'53.36""E"
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'48.52""N 120°19'00.65""E"	"23°57'48.52""N 120°19'00.65""E"
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'53.12""N 120°18'53.36""E"	"23°57'53.12""N 120°18'53.36""E"
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'48.52""N 120°19'00.65""E"	"23°57'48.52""N 120°19'00.65""E"
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'28.82""N 120°18'34.78""E"	"23°57'28.82""N 120°18'34.78""E"
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	POLYGON	"23°57'23.93""N 120°18'40.04""E"	"23°57'23.93""N 120°18'40.04""E"
琉球漁業資源保育區	NA	漁業法	漁業署	屏東縣政府			
琉球漁業資源保育區西北區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府		"22°21.323'N,120°22.862'E"	22°21.323'N 120°22.862'E
琉球漁業資源保育區西北區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府		"22°20.520'N`, 120°21.772'E"	22°20.520'N 120°21.772'E
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	POLYGON	22°21.713’N120°22.661’ E	22°21.713'N 120°22.661' E
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	POLYGON	22°21.533’N120°22.152’ E	22°21.533'N 120°22.152' E
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	POLYGON	22°21.010’ N120°21.425’ E	22°21.010'N 120°21.425' E
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	POLYGON	22°20.990’ N120°21.577’ E	22°20.990'N 120°21.577' E
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	POLYGON	22°20.990’ N120°21.660’ E	22°20.990'N 120°21.660' E
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	POLYGON	22°21.006’ N120°21.817’ E	22°21.006'N 120°21.817' E
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	POLYGON	22°21.201’ N120°22.130’ E	22°21.201'N 120°22.130' E
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	POLYGON	22°21.396’ N120°22.663’ E	22°21.396'N 120°22.663' E
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	POLYGON	22°20.522’ N120°21.781’ E	22°20.522'N 120°21.781' E
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	POLYGON	22°20.501’ N120°21.731’ E	22°20.501'N 120°21.731' E
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	POLYGON	22°20.585’ N120°21.693’ E	22°20.585'N 120°21.693' E
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	POLYGON	22°20.693’ N120°21.674’ E	22°20.693'N 120°21.674' E
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	POLYGON	22°20.579’ N120°21.752’ E	22°20.579'N 120°21.752' E
琉球漁業資源保育區環島分區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府			
車城漁業資源保育區	NA	漁業法	漁業署	屏東縣政府	LINE	22°6'41.89''N;120°42'47.16''E	22°6'41.89''N 120°42'47.16''E
車城漁業資源保育區	NA	漁業法	漁業署	屏東縣政府	LINE	22°5'31.53''N;120°42'54.46''E	22°5'31.53''N 120°42'54.46''E
國立海洋生物博物館資源培育區	NA	漁業法	漁業署	屏東縣政府	NA	NA	NA
綠島漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	POLYGON		
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 40 分 30.3 秒 E121 度 28 分 44.0 秒	22°40'30.3''N 121°28'44.0''E
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 40 分 37.1 秒 E121 度 28 分 45.7 秒	22°40'37.1''N 121°28'45.7''E
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 40 分 38.2 秒 E121 度 29 分 1.0 秒	22°40'38.2''N 121°29'1.0''E
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 40 分 44.0 秒 E121 度 28 分 56.1 秒	22°40'44.0''N 121°28'56.1''E
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 33.2 秒 E121 度 28 分 27.4 秒	22°39'33.2''N 121°28'27.4''E
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 33.1 秒 E121 度 28 分 24.2 秒	22°39'33.1''N 121°28'24.2''E
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	N22 度 39 分 28.4 秒 E 21 度 28 分 24.2 秒	22°39'28.4''N 121°28'24.2''E
