$海洋保護區或其子區的名稱	$所屬的海洋保護區	$法令依據	$提報機關	$管理機關	$地理圖資的類型	$原始的座標點位	$以Excel統一座標的格式
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'33.26""N;120°51'48.58""E"	"21°54'33.26""N 120°51'48.58""E"
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'44.47""N;120°51'26.24""E"	"21°55'44.47""N 120°51'26.24""E"
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'51.09""N;120°50'41.96""E"	"21°56'51.09""N 120°50'41.96""E"
墾丁國家公園海域生態保護區四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'47.58""N;120°50'33.65""E"	"21°56'47.58""N 120°50'33.65""E"
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°58'15.20""N;120°42'54.85""E"	"21°58'15.20""N 120°42'54.85""E"
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°58'18.19""N;120°42'45.89""E"	"21°58'18.19""N 120°42'45.89""E"
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'57.50""N;120°42'37.12""E"	"21°57'57.50""N 120°42'37.12""E"
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'24.15""N;120°42'27.28""E"	"21°56'24.15""N 120°42'27.28""E"
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'2.21""N;120°42'31.31""E"	"21°56'2.21""N 120°42'31.31""E"
墾丁國家公園海域特別景觀區一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'4.38""N;120°42'40.22""E"	"21°56'4.38""N 120°42'40.22""E"
墾丁國家公園海域特別景觀區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'58.85""N;120°45'22.95""E"	"21°55'58.85""N 120°45'22.95""E"
墾丁國家公園海域特別景觀區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'11.02""N;120°45'12.25""E"	"21°56'11.02""N 120°45'12.25""E"
墾丁國家公園海域特別景觀區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'2.25""N;120°44'58.62""E"	"21°56'2.25""N 120°44'58.62""E"
墾丁國家公園海域特別景觀區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'50.10""N;120°45'9.13""E"	"21°55'50.10""N 120°45'9.13""E"
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'41.66""N;120°50'49.34""E"	"21°54'41.66""N 120°50'49.34""E"
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'42.10""N;120°50'38.69""E"	"21°54'42.10""N 120°50'38.69""E"
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°54'11.92""N;120°50'38.28""E"	"21°54'11.92""N 120°50'38.28""E"
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'54.90""N;120°50'45.67""E"	"21°53'54.90""N 120°50'45.67""E"
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'49.06""N;120°50'55.07""E"	"21°53'49.06""N 120°50'55.07""E"
墾丁國家公園海域特別景觀區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°53'56.97""N;120°51'0.40""E"	"21°53'56.97""N 120°51'0.40""E"
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 1'45.01""N;120°41'10.15""E"	"22° 1'45.01""N 120°41'10.15""E"
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 1'44.38""N;120°40'58.87""E"	"22° 1'44.38""N 120°40'58.87""E"
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 1'17.20""N;120°40'59.23""E"	"22° 1'17.20""N 120°40'59.23""E"
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 0'53.47""N;120°41'4.92""E"	"22° 0'53.47""N 120°41'4.92""E"
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 0'27.93""N;120°41'19.60""E"	"22° 0'27.93""N 120°41'19.60""E"
墾丁國家公園海域遊憩區海底公園一	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"22° 0'30.33""N;120°41'35.21""E"	"22° 0'30.33""N 120°41'35.21""E"
墾丁國家公園海域遊憩區海底公園二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°59'52.60""N;120°41'58.68""E"	"21°59'52.60""N 120°41'58.68""E"
墾丁國家公園海域遊憩區海底公園二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°59'44.37""N;120°41'45.09""E"	"21°59'44.37""N 120°41'45.09""E"
墾丁國家公園海域遊憩區海底公園二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°58'57.62""N;120°42'25.19""E"	"21°58'57.62""N 120°42'25.19""E"
墾丁國家公園海域遊憩區海底公園二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°59'5.42""N;120°42'40.78""E"	"21°59'5.42""N 120°42'40.78""E"
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'37.26""N;120°44'46.84""E"	"21°56'37.26""N 120°44'46.84""E"
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'18.83""N;120°45'0.89""E"	"21°56'18.83""N 120°45'0.89""E"
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'23.92""N;120°45'7.87""E"	"21°56'23.92""N 120°45'7.87""E"
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'45.58""N;120°45'7.91""E"	"21°56'45.58""N 120°45'7.91""E"
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'45.76""N;120°44'52.88""E"	"21°56'45.76""N 120°44'52.88""E"
墾丁國家公園海域遊憩區海底公園三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'46.96""N;120°44'49.23""E"	"21°56'46.96""N 120°44'49.23""E"
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'58.86""N;120°46'39.16""E"	"21°56'58.86""N 120°46'39.16""E"
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'48.96""N;120°46'33.98""E"	"21°56'48.96""N 120°46'33.98""E"
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'29.34""N;120°46'57.32""E"	"21°56'29.34""N 120°46'57.32""E"
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'32.66""N;120°47'6.08""E"	"21°56'32.66""N 120°47'6.08""E"
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'32.30""N;120°47'20.68""E"	"21°56'32.30""N 120°47'20.68""E"
墾丁國家公園海域遊憩區海底公園四	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'41.46""N;120°47'18.93""E"	"21°56'41.46""N 120°47'18.93""E"
墾丁國家公園海域遊憩區海上育樂區一	墾丁國家公園	國家公園法		墾丁國家公園管理處		"21°56'2.49""N;120°42'46.29""E"	"21°56'2.49""N 120°42'46.29""E"
墾丁國家公園海域遊憩區海上育樂區一	墾丁國家公園	國家公園法		墾丁國家公園管理處		"21°55'48.87""N;120°42'51.95""E"	"21°55'48.87""N 120°42'51.95""E"
墾丁國家公園海域遊憩區海上育樂區一	墾丁國家公園	國家公園法		墾丁國家公園管理處		"21°55'43.35""N;120°43'8.00""E"	"21°55'43.35""N 120°43'8.00""E"
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'32.30""N;120°45'45.08""E"	"21°57'32.30""N 120°45'45.08""E"
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'25.23""N;120°45'46.15""E"	"21°57'25.23""N 120°45'46.15""E"
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'16.20""N;120°45'51.39""E"	"21°57'16.20""N 120°45'51.39""E"
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'12.32""N;120°45'59.87""E"	"21°57'12.32""N 120°45'59.87""E"
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°57'2.60""N;120°46'5.27""E"	"21°57'2.60""N 120°46'5.27""E"
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'51.99""N;120°46'24.41""E"	"21°56'51.99""N 120°46'24.41""E"
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'48.79""N;120°46'33.93""E"	"21°56'48.79""N 120°46'33.93""E"
墾丁國家公園海域遊憩區海上育樂區二	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'58.82""N;120°46'39.17""E"	"21°56'58.82""N 120°46'39.17""E"
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'41.44""N;120°47'18.94""E"	"21°56'41.44""N 120°47'18.94""E"
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'32.38""N;120°47'20.77""E"	"21°56'32.38""N 120°47'20.77""E"
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'30.99""N;120°47'33.53""E"	"21°56'30.99""N 120°47'33.53""E"
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'27.46""N;120°47'45.29""E"	"21°56'27.46""N 120°47'45.29""E"
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'23.50""N;120°47'47.97""E"	"21°56'23.50""N 120°47'47.97""E"
墾丁國家公園海域遊憩區海上育樂區三	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°56'29.39""N;120°47'53.53""E"	"21°56'29.39""N 120°47'53.53""E"
墾丁國家公園海域遊憩區海上育樂區四	墾丁國家公園	國家公園法		墾丁國家公園管理處		"21°56'21.22""N;120°48'10.02""E"	"21°56'21.22""N 120°48'10.02""E"
墾丁國家公園海域遊憩區海上育樂區四	墾丁國家公園	國家公園法		墾丁國家公園管理處		"21°56'19.43""N;120°48'21.14""E"	"21°56'19.43""N 120°48'21.14""E"
墾丁國家公園海域遊憩區海上育樂區五	墾丁國家公園	國家公園法		墾丁國家公園管理處		"21°56'2.60""N;120°49'2.11""E"	"21°56'2.60""N 120°49'2.11""E"
墾丁國家公園海域遊憩區海上育樂區五	墾丁國家公園	國家公園法		墾丁國家公園管理處		"21°55'50.36""N;120°49'15.89""E"	"21°55'50.36""N 120°49'15.89""E"
墾丁國家公園海域遊憩區海上育樂區五	墾丁國家公園	國家公園法		墾丁國家公園管理處		"21°56'1.87""N;120°49'21.06""E"	"21°56'1.87""N 120°49'21.06""E"
墾丁國家公園發電廠海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'10.72""N;120°44'23.08""E"	"21°55'10.72""N 120°44'23.08""E"
墾丁國家公園發電廠海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'10.81""N;120°44'37.19""E"	"21°55'10.81""N 120°44'37.19""E"
墾丁國家公園發電廠海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'28.20""N;120°44'37.27""E"	"21°55'28.20""N 120°44'37.27""E"
墾丁國家公園發電廠海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'36.70""N;120°44'47.64""E"	"21°55'36.70""N 120°44'47.64""E"
墾丁國家公園發電廠海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處	POLYGON	"21°55'46.04""N;120°44'37.24""E"	"21°55'46.04""N 120°44'37.24""E"
墾丁國家公園其他海域一般管制區	墾丁國家公園	國家公園法		墾丁國家公園管理處			
東沙環礁國家公園	NA	國家公園法		海洋國家公園管理處			
東沙環礁國家公園生態保護區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	"116°45’E, 20°49’N"	20°49'N 116°45'E
東沙環礁國家公園生態保護區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	"116°57’E, 20°49’N"	20°49'N 116°57'E
東沙環礁國家公園生態保護區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	"116°57’E, 20°34’N"	20°34'N 116°57'E
東沙環礁國家公園生態保護區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	POLYGON	"116°45’E, 20°34’N"	20°34'N 116°45'E
東沙環礁國家公園東沙領海特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處		"116°40’E, 20°49’N"	20°49'N 116°40'E
東沙環礁國家公園東沙領海特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處		"116°57’E, 20°49’N"	20°49'N 116°57'E
東沙環礁國家公園東沙領海特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處		"116°57’E, 20°34’N"	20°34'N 116°57'E
東沙環礁國家公園東沙領海特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處		"116°40’E, 20°34’N"	20°34'N 116°40'E
東沙環礁國家公園南北水道及東沙島周邊海域特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處		"116°40’E, 20°49’N"	20°49'N 116°40'E
東沙環礁國家公園南北水道及東沙島周邊海域特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處		"116°45’E, 20°49’N"	20°49'N 116°45'E
東沙環礁國家公園南北水道及東沙島周邊海域特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處		"116°45’E, 20°34’N"	20°34'N 116°45'E
東沙環礁國家公園南北水道及東沙島周邊海域特別景觀區	東沙環礁國家公園	國家公園法		海洋國家公園管理處		"116°40’E, 20°34’N"	20°34'N 116°40'E
東沙環礁國家公園一般管制區	東沙環礁國家公園	國家公園法		海洋國家公園管理處	NA	NA	NA
澎湖南方四島國家公園	NA	國家公園法		海洋國家公園管理處			
澎湖南方四島國家公園海域生態保護區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處		"23°16'51""N;119°30'00""E"	"23°16'51""N 119°30'00""E"
澎湖南方四島國家公園海域生態保護區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處		"23°16'51""N;119°30'35""E"	"23°16'51""N 119°30'35""E"
澎湖南方四島國家公園海域生態保護區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處		"23°16'28""N;119°30'35""E"	"23°16'28""N 119°30'35""E"
澎湖南方四島國家公園海域生態保護區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處		"23°16'28""N;119°30'00""E"	"23°16'28""N 119°30'00""E"
澎湖南方四島國家公園海域特別景觀區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處		"23°18'00""N;119°29'32""E"	"23°18'00""N 119°29'32""E"
澎湖南方四島國家公園海域特別景觀區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處		"23°18'00""N;119°41'22""E"	"23°18'00""N 119°41'22""E"
澎湖南方四島國家公園海域特別景觀區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處		"23°13'30""N;119°41'22""E"	"23°13'30""N 119°41'22""E"
澎湖南方四島國家公園海域特別景觀區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處		"23°13'30""N;119°29'32""E"	"23°13'30""N 119°29'32""E"
澎湖南方四島國家公園海域遊憩區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處	NA	NA	NA
澎湖南方四島國家公園海域一般管制區	澎湖南方四島國家公園	國家公園法		海洋國家公園管理處	NA	NA	NA
臺江國家公園	NA	國家公園法		臺江國家公園管理處			
臺江國家公園海域一般管制區(一)	臺江國家公園	國家公園法		臺江國家公園管理處	POLYGON	23°180651 N;120°068586 E	23°180651 N 120°068586 E
臺江國家公園海域一般管制區(一)	臺江國家公園	國家公園法		臺江國家公園管理處	POLYGON	23°180651 N;119°995844 E	23°180651 N 119°995844 E
臺江國家公園海域一般管制區(一)	臺江國家公園	國家公園法		臺江國家公園管理處	POLYGON	23°109443 N;119°999106 E	23°109443 N 119°999106 E
臺江國家公園海域一般管制區(一)	臺江國家公園	國家公園法		臺江國家公園管理處	POLYGON	23°033636 N;120°018332 E	23°033636 N 120°018332 E
臺江國家公園海域一般管制區(一)	臺江國家公園	國家公園法		臺江國家公園管理處	POLYGON	22°996665 N;120°040991 E	22°996665 N 120°040991 E
臺江國家公園海域一般管制區(一)	臺江國家公園	國家公園法		臺江國家公園管理處	POLYGON	22°996665 N;120°138151 E	22°996665 N 120°138151 E
臺江國家公園海域一般管制區(二)	臺江國家公園	國家公園法		臺江國家公園管理處	NA	NA	NA
東北角暨宜蘭海岸國家風景區	NA	都市計畫法	東北角暨宜蘭海岸國家風景區管理處	東北角暨宜蘭海岸國家風景區管理處			
東北角暨宜蘭海岸國家風景區海域資源保護區	東北角暨宜蘭海岸國家風景區	都市計畫法	東北角暨宜蘭海岸國家風景區管理處	東北角暨宜蘭海岸國家風景區管理處		25°7’45.73”N;121°55’26.50”E	"25°7'45.73""N 121°55'26.50""E"
東北角暨宜蘭海岸國家風景區海域資源保護區	東北角暨宜蘭海岸國家風景區	都市計畫法	東北角暨宜蘭海岸國家風景區管理處	東北角暨宜蘭海岸國家風景區管理處		25°1’9.83”N;121°59’52.10”E	"25°1'9.83""N 121°59'52.10""E"
東部海岸國家風景區	NA			東部海岸國家風景區管理處			
東部海岸國家風景區綠島海參坪至帆船鼻間海域資源保育區	東部海岸國家風景區		東部海岸國家風景區管理處	東部海岸國家風景區管理處		"22°38'46.15""N;121°30'0.06""E"	"22°38'46.15""N 121°30'0.06""E"
東部海岸國家風景區綠島海參坪至帆船鼻間海域資源保育區	東部海岸國家風景區		東部海岸國家風景區管理處	東部海岸國家風景區管理處		"22°39'15.66""N;121°30'39.12""E"	"22°39'15.66""N 121°30'39.12""E"
東部海岸國家風景區綠島海參坪至帆船鼻間海域資源保育區	東部海岸國家風景區		東部海岸國家風景區管理處	東部海岸國家風景區管理處		"22°38'43.27""N;121°30'35.89""E"	"22°38'43.27""N 121°30'35.89""E"
東部海岸國家風景區綠島海參坪至帆船鼻間海域資源保育區	東部海岸國家風景區		東部海岸國家風景區管理處	東部海岸國家風景區管理處		"22°38'4.5""N;121°30'31.39""E"	"22°38'4.5""N 121°30'31.39""E"
馬祖燕鷗保護區	NA	野生動物保育法	馬祖國家風景區管理處	連江縣政府			
馬祖燕鷗保護區劉泉礁島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°05'08”N;119°57'44”E	"26°05'08""N 119°57'44""E"
馬祖燕鷗保護區鐵尖島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°16'22”N;119°58'36”E	"26°16'22""N 119°58'36""E"
馬祖燕鷗保護區進嶼島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°11'42”N;119°56'53”E	"26°11'42""N 119°56'53""E"
馬祖燕鷗保護區三連嶼島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°14'14”N;120°03'41”E	"26°14'14""N 120°03'41""E"
馬祖燕鷗保護區蛇山島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	25°58'35”N;119°55'15”E	"25°58'35""N 119°55'15""E"
馬祖燕鷗保護區雙子礁島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°21'13”N;120°28'58”E	"26°21'13""N 120°28'58""E"
馬祖燕鷗保護區中島	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°15'26”N;119°59'34”E	"26°15'26""N 119°59'34""E"
馬祖燕鷗保護區白廟	馬祖燕鷗保護區	野生動物保育法	馬祖國家風景區管理處	連江縣政府	POINT	26°16'54”N;119°59'55”E	"26°16'54""N 119°59'55""E"
澎湖貓嶼野生動物保護區	NA	野生動物保育法	林務局	澎湖縣政府	POINT	北緯 23°19.13' 東經 119°19.12'	北緯 23°19.13'東經 119°19.12'
棉花嶼花瓶嶼野生動物保護區	NA	野生動物保育法	林務局	基隆市政府	POINT	北緯 25°29.06' 東經 122°06.20'	北緯 25°29.06'東經 122°06.20'
澎湖玄武岩自然保留區	NA	文化資產保存法 		澎湖縣政府			
澎湖玄武岩自然保留區釘鉤嶼	澎湖玄武岩自然保留區	文化資產保存法 		澎湖縣政府		"23°35'23""~23°35'37""N 119°40'58""~119°41'19""E"	"23°35'23""~23°35'37""N 119°40'58""~119°41'19""E"
澎湖玄武岩自然保留區雞善嶼	澎湖玄武岩自然保留區	文化資產保存法 		澎湖縣政府		23°35’57”~23°36’5”N 119°40’11”~119°40’22”E	"23°35'57"" ~23°36'5""N 119°40'11"" ~119°40'22""E"
澎湖玄武岩自然保留區小白沙嶼	澎湖玄武岩自然保留區	文化資產保存法 		澎湖縣政府	NA	NA	NA
澎湖玄武岩自然保留區東吉嶼	澎湖玄武岩自然保留區	文化資產保存法 		澎湖縣政府		"23°15'5""~23°14'13""N 119°39'5""~119°39'52""E"	"23°15'5""~23°14'13""N 119°39'5""~119°39'52""E"
澎湖玄武岩自然保留區西吉嶼	澎湖玄武岩自然保留區	文化資產保存法 		澎湖縣政府		"23°13'10""~23°13'19""N 119°35'42""~119°36'27""E"	"23°13'10""~23°13'19""N 119°35'42""~119°36'27""E"
澎湖玄武岩自然保留區鐵砧嶼	澎湖玄武岩自然保留區	文化資產保存法 		澎湖縣政府		"23°15'45""~23°15'50""N 119°29'15""~119°29'20""E"	"23°15'45""~23°15'50""N 119°29'15""~119°29'20""E"
澎湖玄武岩自然保留區頭巾嶼	澎湖玄武岩自然保留區	文化資產保存法 		澎湖縣政府	POINT	"23°17'25""N;119°30'4""E"	"23°17'25""N 119°30'4""E"
旭海觀音鼻自然保留區	NA	文化資產保存法 		屏東縣政府	POINT	"22°13'31.8""N 120°52'58.3""E"	"22°13'31.8""N 120°52'58.3""E"
