Code	漁業種類	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值
	Type of Fishery	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value
0	總計	381,688	3,276,549	425,277	3,865,405	458,222	4,145,694	531,170	5,193,418	560,918	5,839,887	613,152	7,156,552
100	遠洋漁業合計	135,949	1,014,509	169,260	1,341,718	189,068	1,559,406	241,043	2,196,000	254,770	2,436,105	275,971	3,185,456
101	單船拖網	18,780	119,600	18,542	124,654	16,918	111,736	21,272	140,951	25,190	153,957	44,363	295,842
102	雙船拖網	106,782	778,910	126,302	847,777	133,289	875,521	140,198	975,544	135,110	991,805	137,676	1,031,749
103	鰹鮪圍網	-	-	-	-	-	-	-	-	-	-	-	-
104	鮪延繩釣	10,227	115,278	24,353	368,943	38,861	572,149	79,573	1,079,505	94,470	1,290,343	93,932	1,857,865
105	大目流刺網	-	-	-	-	-	-	-	-	-	-	-	-
106	魷釣	-	-	-	-	-	-	-	-	-	-	-	-
107	魷魚流刺網	-	-	-	-	-	-	-	-	-	-	-	-
108	秋刀魚火誘網	-	-	-	-	-	-	-	-	-	-	-	-
109	珊瑚	-	-	-	-	-	-	-	-	-	-	-	-
199	其他遠洋漁業	110	721	63	344	-	-	-	-	-	-	-	-
200	近海漁業合計	156,566	1,265,351	167,718	1,469,366	182,628	1,585,399	204,064	1,891,809	218,211	2,146,243	232,541	2,235,575
201	巾著網	17,630	101,393	21,856	170,907	26,558	166,203	26,619	152,027	33,571	203,238	19,071	183,719
202	鯖 圍 網	-	-	-	-	29	197	415	2,519	287	1,974	1,984	11,172
203	火誘網	29,447	167,493	23,891	163,696	19,370	121,760	24,939	134,070	22,868	141,823	33,617	198,973
204	中小型拖網	31,308	286,341	49,550	455,300	63,281	628,417	69,016	731,197	77,255	842,699	86,951	962,773
205	刺網	14,473	172,280	10,753	131,286	14,713	178,790	10,163	130,574	9,924	124,075	8,475	105,854
206	追逐網	2,622	13,577	2,158	12,929	3,106	11,661	2,789	15,554	3,070	15,806	2,235	12,745
209	其他網	-	-	-	-	-	-	-	-	-	-	-	-
211	鮪延繩釣	16,276	157,639	18,977	194,569	19,451	186,325	24,471	272,287	25,850	297,951	27,552	304,303
212	鯛及雜魚延繩釣	14,341	135,939	18,551	170,198	21,100	178,703	22,436	200,896	21,375	203,447	21,349	208,069
213	曳繩釣	4,164	36,029	5,047	45,312	4,394	31,485	4,960	35,411	3,369	23,281	3,004	22,142
