0000	總        計	1,299,741 	92,294,568 	1,260,410 	87,739,422 	70,472 	3,529,050 	1,920 	132,249 	178 	8,784 	382 	32,076 	694 	54,226 
				單位：	產量：公噸, 千尾(觀賞魚)						Unit：	Quantity：M.T.; 1000Pcs. by ornamental fish			
	(1) 漁業種類別魚類別生產量值(續)				價值：新臺幣千元			(1) By type of fisheries by species(Continued)				Value：Thousand NT $			
	"                    魚類別
                    Species"	主        要        魚        類													
		鯉科						鱸    魚    類  							
		鱅		鰻  鱺  科		淡水鯰		小計		紅眼沙鱸		尖吻鱸		觀賞魚類	
代碼	"漁業種類
Type of Fishery"	02005		03000		04001		Sub Total		05003		05004		07000	
Code		產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值
		Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value
0000	總        計	666 	37,163 	5,585 	3,347,154 	304 	16,583 	14,016 	1,337,557 	0 	2 	14,016 	1,337,554 	50,471 	958,105 
1000	遠洋漁業合計	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1001	單船拖網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1002	雙船拖網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1003	鰹鮪圍網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1004	秋刀魚棒受網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1050	鮪延繩釣　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1051	魷釣　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1099	其他遠洋漁業　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2000	近海漁業合計	-	-	-	-	-	-	0 	25 	-	-	0 	25 	-	-
2001	巾著網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2002	鯖鰺圍網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2003	棒受網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2004	中小拖網　	-	-	-	-	-	-	0 	13 	-	-	0 	13 	-	-
2005	刺網　	-	-	-	-	-	-	0 	13 	-	-	0 	13 	-	-
2006	扒網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2049	其他網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2050	鮪延繩釣　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2051	雜魚延繩釣　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2052	曳繩釣　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2053	一支釣　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2079	其他釣　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2096	籠具　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2097	珊瑚　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2098	飛魚卵漁業　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2099	其他近海漁業　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3000	沿岸漁業合計	-	-	4 	366 	-	-	1 	147 	0 	2 	1 	145 	-	-
3001	定置漁具　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3002	地曳網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3003	焚寄網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3004	刺網　	-	-	4 	366 	-	-	1 	147 	0 	2 	1 	145 	-	-
3005	追逐網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3006	流袋網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3007	魩鱙漁業　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3008	櫻花蝦漁業　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3009	赤尾青蝦漁業　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3049	其他網　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3050	一支釣　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3051	雜魚延繩釣　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3079	其他釣　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3096	鏢旗魚　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3097	遊漁　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3098	籠具　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3099	其他沿岸漁業　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4000	內陸漁撈合計	92 	6,006 	-	-	-	-	-	-	-	-	-	-	-	-
4001	河川漁撈　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4002	水庫漁撈　	92 	6,006 	-	-	-	-	-	-	-	-	-	-	-	-
4099	其他內陸漁撈　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5000	海面養殖合計	-	-	-	-	-	-	6 	1,200 	-	-	6 	1,200 	-	-
5001	淺海養殖　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5002	箱網養殖　	-	-	-	-	-	-	6 	1,200 	-	-	6 	1,200 	-	-
5099	其他海面養殖　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6000	內陸養殖合計	574 	31,157 	5,581 	3,346,788 	304 	16,583 	14,009 	1,336,185 	-	-	14,009 	1,336,185 	50,471 	958,105 
6001	鹹水魚塭　	-	-	-	-	-	-	3,326 	305,988 	-	-	3,326 	305,988 	-	-
6002	淡水魚塭　	510 	26,600 	5,581 	3,346,788 	304 	16,583 	10,683 	1,030,197 	-	-	10,683 	1,030,197 	-	-
6003	箱網養殖　	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6004	觀賞魚養殖　	-	-	-	-	-	-	-	-	-	-	-	-	50,471 	958,105 
6099	其他內陸養殖　	64 	4,557 	-	-	-	-	-	-	-	-	-	-	-	-
"註:1.民國99年以後觀賞魚改以尾數計算，不合計產量只合計價值。
     2.本表只揭露主要魚種，各魚種生產量值之合計，將不等於總生產量值。"						"1.The Ornamental fish were counted by number since 2010. Only the value was summed, but not the production.     
2.Only major species are showed in this table, therefore the sum of production/value of species does not match  the grand total."									
7‧漁業生產量									7‧FISHERIES PRODUCTION						
				單位：	產量：公噸, 千尾(觀賞魚)						Unit：	Quantity：M.T.; 1000Pcs. by ornamental fish			
	(1) 漁業種類別魚類別生產量值(續)				價值：新臺幣千元			(1) By type of fisheries by species(Continued)				Value：Thousand NT $			
	"                    魚類別
                    Species"	主        要        魚        類													
								鯛科							
		麥奇鈎吻鮭		香魚		虱目魚		小計		真鯛		黃背牙鯛		黑棘鯛	
代碼	"漁業種類
Type of Fishery"	08001		09001		10001		Sub Total		12001		12002		12004	
Code		產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值
		Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value
0000	總        計	262 	53,385 	987 	148,778 	53,551 	3,506,125 	#REF!	#REF!	205 	46,124 	310 	102,946 	351 	77,985 
1000	遠洋漁業合計	-	-	-	-	-	-	#REF!	#REF!	62 	5,647 	-	-	-	-
1001	單船拖網　	-	-	-	-	-	-	#REF!	#REF!	54 	5,390 	-	-	-	-
1002	雙船拖網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
1003	鰹鮪圍網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
1004	秋刀魚棒受網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
1050	鮪延繩釣　	-	-	-	-	-	-	#REF!	#REF!	9 	256 	-	-	-	-
1051	魷釣　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
1099	其他遠洋漁業　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2000	近海漁業合計	-	-	-	-	0 	3 	#REF!	#REF!	99 	30,698 	191 	61,018 	45 	10,888 
2001	巾著網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2002	鯖鰺圍網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
2003	棒受網　	-	-	-	-	-	-	#REF!	#REF!	-	-	-	-	-	-
