taxonID	scientificName	scientificNameChecked	taxonRank
6602	Boleophthalmus pectinirostris	Boleophthalmus pectinirostris	species
6603	Boleophthalmus pectinirostris	Boleophthalmus pectinirostris	species
6604	Alligator mississippiensis	Alligator mississippiensis	species
6605	NA	NA	species
6700	Tripneutes gratilla	Tripneutes gratilla	species
6800	Stichopus japonicus	Stichopus japonicus	species
6900	Corallium japonicume	Corallium japonicume	species
7101	Gelidium amansii	Gelidium amansii	species
7102	Porphyra tenera	Porphyra tenera	species
8001	Oncorhynchus mykiss	Oncorhynchus mykiss	species
9001	Plecoglossus altivelis	Plecoglossus altivelis	species
10001	Chanos chanos	Chanos chanos	species
12001	Pagrus major	Pagrus major	species
12002	Dentex hypselosomus	Dentex hypselosomus	species
12004	Acanthopagrus schlegelii	Acanthopagrus schlegelii	species
23001	Priacanthus macracanthus	Priacanthus macracanthus	species
26002	Epinephelus coioide	Epinephelus coioides	species
26003	Epinephelus lanceolatus	Epinephelus lanceolatus	species
34001	Rachycentron canadum	Rachycentron canadum	species
35001	Mene maculata	Mene maculata	species
36001	Trachurus japonicus	Trachurus japonicus	species
36003	Decapterus maruadsi	Decapterus maruadsi	species
36005	Alepes djedaba	Alepes djedaba	species
37001	Mugil cephalus	Mugil cephalus	species
38002	Pampus echinogaster	Pampus echinogaster	species
39001	Psenopsis anomala	Psenopsis anomala	species
49001	Coryphaena hippurus	Coryphaena hippurus	species
51003	Spratelloides gracilis	Spratelloides gracilis	species
52001	Engraulis japonicus	Engraulis japonicus	species
53001	Scomber australasicus	Scomber australasicus	species
53101	Katsuwonus pelamis	Katsuwonus pelamis	species
53102	Auxis thazard	Auxis thazard	species
53103	Auxis rochei	Auxis rochei	species
53201	Scomberomorus commerson	Scomberomorus commerson	species
53202	Scomberomorus niphonius	Scomberomorus niphonius	species
53301	Thunnus alalunga	Thunnus alalunga	species
53302	Thunnus obesus	Thunnus obesus	species
53303	Thunnus albacares	Thunnus albacares	species
53304	Thunnus orientalis	Thunnus orientalis	species
53305	Thunnus maccoyii	Thunnus maccoyii	species
54001	Xiphias gladius	Xiphias gladius	species
55001	Kajikia audax	Kajikia audax	species
55003	Makaira nigricans	Makaira nigricans	species
55004	Istiompax indica	Istiompax indica	species
55005	Istiophorus platypterus	Istiophorus platypterus	species
56201	Prionace glauca	Prionace glauca	species
56301	Isurus oxyrinchus	Isurus oxyrinchus	species
59001	Cololabis saira	Cololabis saira	species
63101	Illex argentinus	Illex argentinus	species
63102	Dosidicus gigas	Dosidicus gigas	species
63201	Uroteuthis chinensis	Uroteuthis chinensis	species
64002	Penaeus japonicus	Penaeus japonicus	species
64003	Penaeus penicillatus	Penaeus penicillatus	species
64006	Macrobrachium rosenbergii	Macrobrachium rosenbergii	species
64009	Solenocera alticarinata	Solenocera alticarinata	species
64010	Litopenaeus vannamei	Litopenaeus vannamei	species
64011	Sergestes lucens	Sergestes lucens	species
64012	Acetes intermedius	Acetes intermedius	species
64101	Ibacus ciliatus	Ibacus ciliatus	species
64202	Portunus pelagicus	Portunus pelagicus	species
65001	Crassostrea gigas	Crassostrea gigas	species
65002	Meretrix lusoria	Meretrix lusoria	species
65010	Corbicula fluminea	Corbicula fluminea	species
