���k�N�X	���k�W��	�������	����q����
2001	巾著網　	其他	-
2002	鯖鰺圍網　	其他	-
2003	棒受網　	其他	-
2004	中小拖網　	其他	-
2005	刺網　	其他	-
2006	扒網　	其他	-
2049	其他網　	其他	-
2050	鮪延繩釣　	其他	-
2051	雜魚延繩釣　	其他	-
2052	曳繩釣　	其他	-
2053	一支釣　	其他	-
2079	其他釣　	其他	-
2096	籠具　	其他	-
2097	珊瑚　	其他	-
2098	飛魚卵漁業　	其他	-
2099	其他近海漁業　	其他	-
3000	沿岸漁業合計	其他	7
3001	定置漁具　	其他	-
3002	地曳網　	其他	-
3003	焚寄網　	其他	-
3004	刺網　	其他	7
3005	追逐網　	其他	-
3006	流袋網　	其他	-
3007	魩鱙漁業　	其他	-
3008	櫻花蝦漁業　	其他	-
3009	赤尾青蝦漁業　	其他	-
3049	其他網　	其他	-
3050	一支釣　	其他	-
3051	雜魚延繩釣　	其他	-
3079	其他釣　	其他	-
3096	鏢旗魚　	其他	-
3097	遊漁　	其他	-
3098	籠具　	其他	-
3099	其他沿岸漁業　	其他	-
4000	內陸漁撈合計	其他	80
4001	河川漁撈　	其他	-
4002	水庫漁撈　	其他	80
4099	其他內陸漁撈　	其他	-
5000	海面養殖合計	其他	-
5001	淺海養殖　	其他	-
5002	箱網養殖　	其他	-
5099	其他海面養殖　	其他	-
6000	內陸養殖合計	其他	481
6001	鹹水魚塭　	其他	-
6002	淡水魚塭　	其他	423
6003	箱網養殖　	其他	-
6004	觀賞魚養殖　	其他	-
6099	其他內陸養殖　	其他	58
0000	總 計	鰻 鱺 科	235
1000	遠洋漁業合計	鰻 鱺 科	-
1001	單船拖網　	鰻 鱺 科	-
1002	雙船拖網　	鰻 鱺 科	-
1003	鰹鮪圍網　	鰻 鱺 科	-
1004	秋刀魚棒受網　	鰻 鱺 科	-
1050	鮪延繩釣　	鰻 鱺 科	-
1051	魷釣　	鰻 鱺 科	-
1099	其他遠洋漁業　	鰻 鱺 科	-
2000	近海漁業合計	鰻 鱺 科	-
2001	巾著網　	鰻 鱺 科	-
2002	鯖鰺圍網　	鰻 鱺 科	-
2003	棒受網　	鰻 鱺 科	-
2004	中小拖網　	鰻 鱺 科	-
2005	刺網　	鰻 鱺 科	-
2006	扒網　	鰻 鱺 科	-
2049	其他網　	鰻 鱺 科	-
2050	鮪延繩釣　	鰻 鱺 科	-
2051	雜魚延繩釣　	鰻 鱺 科	-
2052	曳繩釣　	鰻 鱺 科	-
2053	一支釣　	鰻 鱺 科	-
2079	其他釣　	鰻 鱺 科	-
2096	籠具　	鰻 鱺 科	-
2097	珊瑚　	鰻 鱺 科	-
2098	飛魚卵漁業　	鰻 鱺 科	-
2099	其他近海漁業　	鰻 鱺 科	-
3000	沿岸漁業合計	鰻 鱺 科	-
3001	定置漁具　	鰻 鱺 科	-
3002	地曳網　	鰻 鱺 科	-
3003	焚寄網　	鰻 鱺 科	-
3004	刺網　	鰻 鱺 科	-
3005	追逐網　	鰻 鱺 科	-
3006	流袋網　	鰻 鱺 科	-
3007	魩鱙漁業　	鰻 鱺 科	-
3008	櫻花蝦漁業　	鰻 鱺 科	-
3009	赤尾青蝦漁業　	鰻 鱺 科	-
3049	其他網　	鰻 鱺 科	-
3050	一支釣　	鰻 鱺 科	-
3051	雜魚延繩釣　	鰻 鱺 科	-
3079	其他釣　	鰻 鱺 科	-
3096	鏢旗魚　	鰻 鱺 科	-
3097	遊漁　	鰻 鱺 科	-
3098	籠具　	鰻 鱺 科	-
3099	其他沿岸漁業　	鰻 鱺 科	-
4000	內陸漁撈合計	鰻 鱺 科	1
4001	河川漁撈　	鰻 鱺 科	-
4002	水庫漁撈　	鰻 鱺 科	1
4099	其他內陸漁撈　	鰻 鱺 科	-
5000	海面養殖合計	鰻 鱺 科	-
5001	淺海養殖　	鰻 鱺 科	-
5002	箱網養殖　	鰻 鱺 科	-
5099	其他海面養殖　	鰻 鱺 科	-
6000	內陸養殖合計	鰻 鱺 科	234
6001	鹹水魚塭　	鰻 鱺 科	-
6002	淡水魚塭　	鰻 鱺 科	219
6003	箱網養殖　	鰻 鱺 科	-
6004	觀賞魚養殖　	鰻 鱺 科	-
6099	其他內陸養殖　	鰻 鱺 科	15
0000	總 計	淡水鯰	4,812
1000	遠洋漁業合計	淡水鯰	-
1001	單船拖網　	淡水鯰	-
1002	雙船拖網　	淡水鯰	-
1003	鰹鮪圍網　	淡水鯰	-
1004	秋刀魚棒受網　	淡水鯰	-
1050	鮪延繩釣　	淡水鯰	-
1051	魷釣　	淡水鯰	-
1099	其他遠洋漁業　	淡水鯰	-
2000	近海漁業合計	淡水鯰	-
2001	巾著網　	淡水鯰	-
2002	鯖鰺圍網　	淡水鯰	-
2003	棒受網　	淡水鯰	-
2004	中小拖網　	淡水鯰	-
2005	刺網　	淡水鯰	-
2006	扒網　	淡水鯰	-
2049	其他網　	淡水鯰	-
2050	鮪延繩釣　	淡水鯰	-
2051	雜魚延繩釣　	淡水鯰	-
2052	曳繩釣　	淡水鯰	-
2053	一支釣　	淡水鯰	-
2079	其他釣　	淡水鯰	-
2096	籠具　	淡水鯰	-
2097	珊瑚　	淡水鯰	-
2098	飛魚卵漁業　	淡水鯰	-
2099	其他近海漁業　	淡水鯰	-
3000	沿岸漁業合計	淡水鯰	-
3001	定置漁具　	淡水鯰	-
3002	地曳網　	淡水鯰	-
3003	焚寄網　	淡水鯰	-
3004	刺網　	淡水鯰	-
3005	追逐網　	淡水鯰	-
3006	流袋網　	淡水鯰	-
3007	魩鱙漁業　	淡水鯰	-
3008	櫻花蝦漁業　	淡水鯰	-
3009	赤尾青蝦漁業　	淡水鯰	-
3049	其他網　	淡水鯰	-
3050	一支釣　	淡水鯰	-
3051	雜魚延繩釣　	淡水鯰	-
3079	其他釣　	淡水鯰	-
3096	鏢旗魚　	淡水鯰	-
3097	遊漁　	淡水鯰	-
3098	籠具　	淡水鯰	-
3099	其他沿岸漁業　	淡水鯰	-
4000	內陸漁撈合計	淡水鯰	-
4001	河川漁撈　	淡水鯰	-
4002	水庫漁撈　	淡水鯰	-
4099	其他內陸漁撈　	淡水鯰	-
5000	海面養殖合計	淡水鯰	-
5001	淺海養殖　	淡水鯰	-
5002	箱網養殖　	淡水鯰	-
5099	其他海面養殖　	淡水鯰	-
6000	內陸養殖合計	淡水鯰	4,812
6001	鹹水魚塭　	淡水鯰	272
6002	淡水魚塭　	淡水鯰	4,535
6003	箱網養殖　	淡水鯰	-
6004	觀賞魚養殖　	淡水鯰	-
6099	其他內陸養殖　	淡水鯰	5
0000	總 計	尖吻鱸	18,818
1000	遠洋漁業合計	尖吻鱸	-
1001	單船拖網　	尖吻鱸	-
1002	雙船拖網　	尖吻鱸	-
1003	鰹鮪圍網　	尖吻鱸	-
1004	秋刀魚棒受網　	尖吻鱸	-
1050	鮪延繩釣　	尖吻鱸	-
1051	魷釣　	尖吻鱸	-
1099	其他遠洋漁業　	尖吻鱸	-
2000	近海漁業合計	尖吻鱸	27
2001	巾著網　	尖吻鱸	-
2002	鯖鰺圍網　	尖吻鱸	-
2003	棒受網　	尖吻鱸	-
2004	中小拖網　	尖吻鱸	1
2005	刺網　	尖吻鱸	26
2006	扒網　	尖吻鱸	-
2049	其他網　	尖吻鱸	-
2050	鮪延繩釣　	尖吻鱸	-
2051	雜魚延繩釣　	尖吻鱸	-
2052	曳繩釣　	尖吻鱸	-
2053	一支釣　	尖吻鱸	0
2079	其他釣　	尖吻鱸	-
2096	籠具　	尖吻鱸	-
2097	珊瑚　	尖吻鱸	-
2098	飛魚卵漁業　	尖吻鱸	-
2099	其他近海漁業　	尖吻鱸	-
3000	沿岸漁業合計	尖吻鱸	49
3001	定置漁具　	尖吻鱸	0
3002	地曳網　	尖吻鱸	-
3003	焚寄網　	尖吻鱸	-
3004	刺網　	尖吻鱸	45
3005	追逐網　	尖吻鱸	-
3006	流袋網　	尖吻鱸	-
3007	魩鱙漁業　	尖吻鱸	-
3008	櫻花蝦漁業　	尖吻鱸	-
3009	赤尾青蝦漁業　	尖吻鱸	-
3049	其他網　	尖吻鱸	-
3050	一支釣　	尖吻鱸	4
3051	雜魚延繩釣　	尖吻鱸	-
3079	其他釣　	尖吻鱸	-
3096	鏢旗魚　	尖吻鱸	-
3097	遊漁　	尖吻鱸	-
3098	籠具　	尖吻鱸	-
3099	其他沿岸漁業　	尖吻鱸	-
4000	內陸漁撈合計	尖吻鱸	-
4001	河川漁撈　	尖吻鱸	-
4002	水庫漁撈　	尖吻鱸	-
4099	其他內陸漁撈　	尖吻鱸	-
5000	海面養殖合計	尖吻鱸	-
5001	淺海養殖　	尖吻鱸	-
5002	箱網養殖　	尖吻鱸	-
5099	其他海面養殖　	尖吻鱸	-
6000	內陸養殖合計	尖吻鱸	18,741
6001	鹹水魚塭　	尖吻鱸	3,838
6002	淡水魚塭　	尖吻鱸	14,895
6003	箱網養殖　	尖吻鱸	-
6004	觀賞魚養殖　	尖吻鱸	-
6099	其他內陸養殖　	尖吻鱸	9
0000	總 計	觀賞魚類	-
1000	遠洋漁業合計	觀賞魚類	-
1001	單船拖網　	觀賞魚類	-
1002	雙船拖網　	觀賞魚類	-
1003	鰹鮪圍網　	觀賞魚類	-
1004	秋刀魚棒受網　	觀賞魚類	-
1050	鮪延繩釣　	觀賞魚類	-
1051	魷釣　	觀賞魚類	-
1099	其他遠洋漁業　	觀賞魚類	-
2000	近海漁業合計	觀賞魚類	-
2001	巾著網　	觀賞魚類	-
2002	鯖鰺圍網　	觀賞魚類	-
2003	棒受網　	觀賞魚類	-
2004	中小拖網　	觀賞魚類	-
2005	刺網　	觀賞魚類	-
2006	扒網　	觀賞魚類	-
2049	其他網　	觀賞魚類	-
