���k�N�X	���k�W��	�������	����q����
5002	箱網養殖　	虱目魚	-
5099	其他海面養殖　	虱目魚	-
6000	內陸養殖合計	虱目魚	170
6001	鹹水魚塭　	虱目魚	-
6002	淡水魚塭　	虱目魚	170
6003	箱網養殖　	虱目魚	-
6004	觀賞魚養殖　	虱目魚	-
6099	其他內陸養殖　	虱目魚	-
0000	總 計	真鯛	1,045
1000	遠洋漁業合計	真鯛	-
1001	單船拖網　	真鯛	-
1002	雙船拖網　	真鯛	-
1003	鰹鮪圍網　	真鯛	-
1004	秋刀魚棒受網　	真鯛	-
1050	鮪延繩釣　	真鯛	-
1051	魷釣　	真鯛	-
1099	其他遠洋漁業　	真鯛	-
2000	近海漁業合計	真鯛	-
2001	巾著網　	真鯛	-
2002	鯖鰺圍網　	真鯛	-
2003	棒受網　	真鯛	-
2004	中小拖網　	真鯛	-
2005	刺網　	真鯛	-
2006	扒網　	真鯛	-
2049	其他網　	真鯛	-
2050	鮪延繩釣　	真鯛	-
2051	雜魚延繩釣　	真鯛	-
2052	曳繩釣　	真鯛	-
2053	一支釣　	真鯛	-
2079	其他釣　	真鯛	-
2096	籠具　	真鯛	-
2097	珊瑚　	真鯛	-
2098	飛魚卵漁業　	真鯛	-
2099	其他近海漁業　	真鯛	-
3000	沿岸漁業合計	真鯛	-
3001	定置漁具　	真鯛	-
3002	地曳網　	真鯛	-
3003	焚寄網　	真鯛	-
3004	刺網　	真鯛	-
3005	追逐網　	真鯛	-
3006	流袋網　	真鯛	-
3007	魩鱙漁業　	真鯛	-
3008	櫻花蝦漁業　	真鯛	-
3009	赤尾青蝦漁業　	真鯛	-
3049	其他網　	真鯛	-
3050	一支釣　	真鯛	-
3051	雜魚延繩釣　	真鯛	-
3079	其他釣　	真鯛	-
3096	鏢旗魚　	真鯛	-
3097	遊漁　	真鯛	-
3098	籠具　	真鯛	-
3099	其他沿岸漁業　	真鯛	-
4000	內陸漁撈合計	真鯛	-
4001	河川漁撈　	真鯛	-
4002	水庫漁撈　	真鯛	-
4099	其他內陸漁撈　	真鯛	-
5000	海面養殖合計	真鯛	-
5001	淺海養殖　	真鯛	-
5002	箱網養殖　	真鯛	-
5099	其他海面養殖　	真鯛	-
6000	內陸養殖合計	真鯛	1,045
6001	鹹水魚塭　	真鯛	-
6002	淡水魚塭　	真鯛	1,045
6003	箱網養殖　	真鯛	-
6004	觀賞魚養殖　	真鯛	-
6099	其他內陸養殖　	真鯛	-
0000	總 計	白姑魚	2,353
1000	遠洋漁業合計	白姑魚	-
1001	單船拖網　	白姑魚	-
1002	雙船拖網　	白姑魚	-
1003	鰹鮪圍網　	白姑魚	-
1004	秋刀魚棒受網　	白姑魚	-
1050	鮪延繩釣　	白姑魚	-
1051	魷釣　	白姑魚	-
1099	其他遠洋漁業　	白姑魚	-
2000	近海漁業合計	白姑魚	1,141
2001	巾著網　	白姑魚	-
2002	鯖鰺圍網　	白姑魚	-
2003	棒受網　	白姑魚	-
2004	中小拖網　	白姑魚	212
2005	刺網　	白姑魚	98
2006	扒網　	白姑魚	-
2049	其他網　	白姑魚	-
2050	鮪延繩釣　	白姑魚	-
2051	雜魚延繩釣　	白姑魚	619
2052	曳繩釣　	白姑魚	-
2053	一支釣　	白姑魚	211
2079	其他釣　	白姑魚	-
2096	籠具　	白姑魚	0
2097	珊瑚　	白姑魚	-
2098	飛魚卵漁業　	白姑魚	-
2099	其他近海漁業　	白姑魚	0
3000	沿岸漁業合計	白姑魚	512
3001	定置漁具　	白姑魚	7
3002	地曳網　	白姑魚	-
3003	焚寄網　	白姑魚	-
3004	刺網　	白姑魚	277
3005	追逐網　	白姑魚	-
3006	流袋網　	白姑魚	-
3007	魩鱙漁業　	白姑魚	-
3008	櫻花蝦漁業　	白姑魚	-
3009	赤尾青蝦漁業　	白姑魚	-
3049	其他網　	白姑魚	0
3050	一支釣　	白姑魚	173
3051	雜魚延繩釣　	白姑魚	45
3079	其他釣　	白姑魚	-
3096	鏢旗魚　	白姑魚	-
3097	遊漁　	白姑魚	10
3098	籠具　	白姑魚	-
3099	其他沿岸漁業　	白姑魚	1
4000	內陸漁撈合計	白姑魚	-
4001	河川漁撈　	白姑魚	-
4002	水庫漁撈　	白姑魚	-
4099	其他內陸漁撈　	白姑魚	-
5000	海面養殖合計	白姑魚	90
5001	淺海養殖　	白姑魚	-
5002	箱網養殖　	白姑魚	90
5099	其他海面養殖　	白姑魚	-
6000	內陸養殖合計	白姑魚	610
6001	鹹水魚塭　	白姑魚	578
6002	淡水魚塭　	白姑魚	33
6003	箱網養殖　	白姑魚	-
6004	觀賞魚養殖　	白姑魚	-
6099	其他內陸養殖　	白姑魚	-
0000	總 計	金線魚	541
1000	遠洋漁業合計	金線魚	-
1001	單船拖網　	金線魚	-
1002	雙船拖網　	金線魚	-
1003	鰹鮪圍網　	金線魚	-
1004	秋刀魚棒受網　	金線魚	-
1050	鮪延繩釣　	金線魚	-
1051	魷釣　	金線魚	-
1099	其他遠洋漁業　	金線魚	-
2000	近海漁業合計	金線魚	374
2001	巾著網　	金線魚	-
2002	鯖鰺圍網　	金線魚	-
2003	棒受網　	金線魚	-
2004	中小拖網　	金線魚	78
2005	刺網　	金線魚	1
2006	扒網　	金線魚	-
2049	其他網　	金線魚	-
2050	鮪延繩釣　	金線魚	-
2051	雜魚延繩釣　	金線魚	141
2052	曳繩釣　	金線魚	-
2053	一支釣　	金線魚	153
2079	其他釣　	金線魚	-
2096	籠具　	金線魚	0
2097	珊瑚　	金線魚	-
2098	飛魚卵漁業　	金線魚	-
2099	其他近海漁業　	金線魚	0
3000	沿岸漁業合計	金線魚	167
3001	定置漁具　	金線魚	-
3002	地曳網　	金線魚	-
3003	焚寄網　	金線魚	-
3004	刺網　	金線魚	30
3005	追逐網　	金線魚	-
3006	流袋網　	金線魚	-
3007	魩鱙漁業　	金線魚	-
3008	櫻花蝦漁業　	金線魚	-
3009	赤尾青蝦漁業　	金線魚	-
3049	其他網　	金線魚	-
3050	一支釣　	金線魚	117
3051	雜魚延繩釣　	金線魚	16
3079	其他釣　	金線魚	-
3096	鏢旗魚　	金線魚	-
3097	遊漁　	金線魚	4
3098	籠具　	金線魚	-
3099	其他沿岸漁業　	金線魚	-
4000	內陸漁撈合計	金線魚	-
4001	河川漁撈　	金線魚	-
4002	水庫漁撈　	金線魚	-
4099	其他內陸漁撈　	金線魚	-
5000	海面養殖合計	金線魚	-
5001	淺海養殖　	金線魚	-
5002	箱網養殖　	金線魚	-
5099	其他海面養殖　	金線魚	-
6000	內陸養殖合計	金線魚	-
6001	鹹水魚塭　	金線魚	-
6002	淡水魚塭　	金線魚	-
6003	箱網養殖　	金線魚	-
6004	觀賞魚養殖　	金線魚	-
6099	其他內陸養殖　	金線魚	-
0000	總 計	其他	567
1000	遠洋漁業合計	其他	-
1001	單船拖網　	其他	-
1002	雙船拖網　	其他	-
1003	鰹鮪圍網　	其他	-
1004	秋刀魚棒受網　	其他	-
1050	鮪延繩釣　	其他	-
1051	魷釣　	其他	-
1099	其他遠洋漁業　	其他	-
2000	近海漁業合計	其他	-
2001	巾著網　	其他	-
2002	鯖鰺圍網　	其他	-
2003	棒受網　	其他	-
2004	中小拖網　	其他	-
2005	刺網　	其他	-
2006	扒網　	其他	-
2049	其他網　	其他	-
2050	鮪延繩釣　	其他	-
2051	雜魚延繩釣　	其他	-
2052	曳繩釣　	其他	-
2053	一支釣　	其他	-
2079	其他釣　	其他	-
2096	籠具　	其他	-
2097	珊瑚　	其他	-
2098	飛魚卵漁業　	其他	-
2099	其他近海漁業　	其他	-
3000	沿岸漁業合計	其他	7
3001	定置漁具　	其他	-
3002	地曳網　	其他	-
3003	焚寄網　	其他	-
3004	刺網　	其他	7
3005	追逐網　	其他	-
3006	流袋網　	其他	-
3007	魩鱙漁業　	其他	-
3008	櫻花蝦漁業　	其他	-
3009	赤尾青蝦漁業　	其他	-
3049	其他網　	其他	-
3050	一支釣　	其他	-
3051	雜魚延繩釣　	其他	-
3079	其他釣　	其他	-
3096	鏢旗魚　	其他	-
3097	遊漁　	其他	-
3098	籠具　	其他	-
3099	其他沿岸漁業　	其他	-
4000	內陸漁撈合計	其他	80
4001	河川漁撈　	其他	-
4002	水庫漁撈　	其他	80
4099	其他內陸漁撈　	其他	-
5000	海面養殖合計	其他	-
5001	淺海養殖　	其他	-
5002	箱網養殖　	其他	-
5099	其他海面養殖　	其他	-
6000	內陸養殖合計	其他	481
6001	鹹水魚塭　	其他	-
6002	淡水魚塭　	其他	423
6003	箱網養殖　	其他	-
6004	觀賞魚養殖　	其他	-
6099	其他內陸養殖　	其他	58
0000	總 計	合齒魚科	1,680
1000	遠洋漁業合計	合齒魚科	-
1001	單船拖網　	合齒魚科	-
1002	雙船拖網　	合齒魚科	-
1003	鰹鮪圍網　	合齒魚科	-
1004	秋刀魚棒受網　	合齒魚科	-
1050	鮪延繩釣　	合齒魚科	-
1051	魷釣　	合齒魚科	-
1099	其他遠洋漁業　	合齒魚科	-
2000	近海漁業合計	合齒魚科	990
2001	巾著網　	合齒魚科	-
2002	鯖鰺圍網　	合齒魚科	-
2003	棒受網　	合齒魚科	-
2004	中小拖網　	合齒魚科	697
2005	刺網　	合齒魚科	165
2006	扒網　	合齒魚科	-
2049	其他網　	合齒魚科	-
2050	鮪延繩釣　	合齒魚科	-
2051	雜魚延繩釣　	合齒魚科	87
2052	曳繩釣　	合齒魚科	-
2053	一支釣　	合齒魚科	40
2079	其他釣　	合齒魚科	-
2096	籠具　	合齒魚科	0
2097	珊瑚　	合齒魚科	-
2098	飛魚卵漁業　	合齒魚科	-
2099	其他近海漁業　	合齒魚科	-
3000	沿岸漁業合計	合齒魚科	690
3001	定置漁具　	合齒魚科	92
3002	地曳網　	合齒魚科	0
3003	焚寄網　	合齒魚科	-
3004	刺網　	合齒魚科	548
3005	追逐網　	合齒魚科	-
3006	流袋網　	合齒魚科	-
3007	魩鱙漁業　	合齒魚科	-
3008	櫻花蝦漁業　	合齒魚科	-
3009	赤尾青蝦漁業　	合齒魚科	-
3049	其他網　	合齒魚科	3
3050	一支釣　	合齒魚科	32
3051	雜魚延繩釣　	合齒魚科	15
3079	其他釣　	合齒魚科	-
3096	鏢旗魚　	合齒魚科	-
3097	遊漁　	合齒魚科	-
3098	籠具　	合齒魚科	-
3099	其他沿岸漁業　	合齒魚科	-
4000	內陸漁撈合計	合齒魚科	-
4001	河川漁撈　	合齒魚科	-
4002	水庫漁撈　	合齒魚科	-
4099	其他內陸漁撈　	合齒魚科	-
5000	海面養殖合計	合齒魚科	-
5001	淺海養殖　	合齒魚科	-
5002	箱網養殖　	合齒魚科	-
5099	其他海面養殖　	合齒魚科	-
6000	內陸養殖合計	合齒魚科	-
6001	鹹水魚塭　	合齒魚科	-
6002	淡水魚塭　	合齒魚科	-
6003	箱網養殖　	合齒魚科	-
6004	觀賞魚養殖　	合齒魚科	-
6099	其他內陸養殖　	合齒魚科	-
0000	總 計	其他	567
1000	遠洋漁業合計	其他	-
1001	單船拖網　	其他	-
1002	雙船拖網　	其他	-
1003	鰹鮪圍網　	其他	-
1004	秋刀魚棒受網　	其他	-
1050	鮪延繩釣　	其他	-
1051	魷釣　	其他	-
1099	其他遠洋漁業　	其他	-
2000	近海漁業合計	其他	-
2001	巾著網　	其他	-
2002	鯖鰺圍網　	其他	-
2003	棒受網　	其他	-
2004	中小拖網　	其他	-
2005	刺網　	其他	-
2006	扒網　	其他	-
2049	其他網　	其他	-
2050	鮪延繩釣　	其他	-
2051	雜魚延繩釣　	其他	-
2052	曳繩釣　	其他	-
2053	一支釣　	其他	-
2079	其他釣　	其他	-
2096	籠具　	其他	-
2097	珊瑚　	其他	-
2098	飛魚卵漁業　	其他	-
2099	其他近海漁業　	其他	-
3000	沿岸漁業合計	其他	7
3001	定置漁具　	其他	-
3002	地曳網　	其他	-
3003	焚寄網　	其他	-
3004	刺網　	其他	7
3005	追逐網　	其他	-
3006	流袋網　	其他	-
3007	魩鱙漁業　	其他	-
3008	櫻花蝦漁業　	其他	-
3009	赤尾青蝦漁業　	其他	-
3049	其他網　	其他	-
3050	一支釣　	其他	-
3051	雜魚延繩釣　	其他	-
3079	其他釣　	其他	-
3096	鏢旗魚　	其他	-
3097	遊漁　	其他	-
3098	籠具　	其他	-
3099	其他沿岸漁業　	其他	-
4000	內陸漁撈合計	其他	80
4001	河川漁撈　	其他	-
4002	水庫漁撈　	其他	80
4099	其他內陸漁撈　	其他	-
5000	海面養殖合計	其他	-
5001	淺海養殖　	其他	-
5002	箱網養殖　	其他	-
5099	其他海面養殖　	其他	-
6000	內陸養殖合計	其他	481
6001	鹹水魚塭　	其他	-
6002	淡水魚塭　	其他	423
6003	箱網養殖　	其他	-
6004	觀賞魚養殖　	其他	-
6099	其他內陸養殖　	其他	58
0000	總 計	眼眶魚	931
1000	遠洋漁業合計	眼眶魚	-
1001	單船拖網　	眼眶魚	-
1002	雙船拖網　	眼眶魚	-
1003	鰹鮪圍網　	眼眶魚	-
1004	秋刀魚棒受網　	眼眶魚	-
1050	鮪延繩釣　	眼眶魚	-
1051	魷釣　	眼眶魚	-
1099	其他遠洋漁業　	眼眶魚	-
2000	近海漁業合計	眼眶魚	543
2001	巾著網　	眼眶魚	-
2002	鯖鰺圍網　	眼眶魚	-
2003	棒受網　	眼眶魚	-
2004	中小拖網　	眼眶魚	385
2005	刺網　	眼眶魚	72
2006	扒網　	眼眶魚	-
2049	其他網　	眼眶魚	-
2050	鮪延繩釣　	眼眶魚	-
2051	雜魚延繩釣　	眼眶魚	50
2052	曳繩釣　	眼眶魚	-
2053	一支釣　	眼眶魚	35
2079	其他釣　	眼眶魚	-
2096	籠具　	眼眶魚	-
2097	珊瑚　	眼眶魚	-
2098	飛魚卵漁業　	眼眶魚	-
2099	其他近海漁業　	眼眶魚	-
3000	沿岸漁業合計	眼眶魚	388
3001	定置漁具　	眼眶魚	64
3002	地曳網　	眼眶魚	-
3003	焚寄網　	眼眶魚	-
3004	刺網　	眼眶魚	284
3005	追逐網　	眼眶魚	-
3006	流袋網　	眼眶魚	-
3007	魩鱙漁業　	眼眶魚	-
3008	櫻花蝦漁業　	眼眶魚	-
3009	赤尾青蝦漁業　	眼眶魚	-
3049	其他網　	眼眶魚	0
3050	一支釣　	眼眶魚	24
3051	雜魚延繩釣　	眼眶魚	15
3079	其他釣　	眼眶魚	-
3096	鏢旗魚　	眼眶魚	-
3097	遊漁　	眼眶魚	-
3098	籠具　	眼眶魚	-
3099	其他沿岸漁業　	眼眶魚	-
4000	內陸漁撈合計	眼眶魚	-
4001	河川漁撈　	眼眶魚	-
4002	水庫漁撈　	眼眶魚	-
4099	其他內陸漁撈　	眼眶魚	-
5000	海面養殖合計	眼眶魚	-
5001	淺海養殖　	眼眶魚	-
5002	箱網養殖　	眼眶魚	-
5099	其他海面養殖　	眼眶魚	-
6000	內陸養殖合計	眼眶魚	-
6001	鹹水魚塭　	眼眶魚	-
6002	淡水魚塭　	眼眶魚	-
6003	箱網養殖　	眼眶魚	-
6004	觀賞魚養殖　	眼眶魚	-
6099	其他內陸養殖　	眼眶魚	-
0000	總 計	藍圓鰺	21,001
1000	遠洋漁業合計	藍圓鰺	25
1001	單船拖網　	藍圓鰺	-
1002	雙船拖網　	藍圓鰺	-
1003	鰹鮪圍網　	藍圓鰺	-
1004	秋刀魚棒受網　	藍圓鰺	-
1050	鮪延繩釣　	藍圓鰺	25
1051	魷釣　	藍圓鰺	-
1099	其他遠洋漁業　	藍圓鰺	-
2000	近海漁業合計	藍圓鰺	404
2001	巾著網　	藍圓鰺	-
2002	鯖鰺圍網　	藍圓鰺	-
2003	棒受網　	藍圓鰺	-
2004	中小拖網　	藍圓鰺	181
2005	刺網　	藍圓鰺	24
2006	扒網　	藍圓鰺	2
2049	其他網　	藍圓鰺	-
2050	鮪延繩釣　	藍圓鰺	-
2051	雜魚延繩釣　	藍圓鰺	107
2052	曳繩釣　	藍圓鰺	-
2053	一支釣　	藍圓鰺	91
2079	其他釣　	藍圓鰺	-
2096	籠具　	藍圓鰺	-
2097	珊瑚　	藍圓鰺	-
2098	飛魚卵漁業　	藍圓鰺	-
2099	其他近海漁業　	藍圓鰺	-
3000	沿岸漁業合計	藍圓鰺	93
3001	定置漁具　	藍圓鰺	3
3002	地曳網　	藍圓鰺	-
3003	焚寄網　	藍圓鰺	-
3004	刺網　	藍圓鰺	41
3005	追逐網　	藍圓鰺	-
3006	流袋網　	藍圓鰺	-
3007	魩鱙漁業　	藍圓鰺	-
3008	櫻花蝦漁業　	藍圓鰺	-
3009	赤尾青蝦漁業　	藍圓鰺	-
3049	其他網　	藍圓鰺	-
3050	一支釣　	藍圓鰺	24
3051	雜魚延繩釣　	藍圓鰺	25
3079	其他釣　	藍圓鰺	-
3096	鏢旗魚　	藍圓鰺	-
3097	遊漁　	藍圓鰺	-
3098	籠具　	藍圓鰺	-
3099	其他沿岸漁業　	藍圓鰺	0
4000	內陸漁撈合計	藍圓鰺	-
4001	河川漁撈　	藍圓鰺	-
4002	水庫漁撈　	藍圓鰺	-
4099	其他內陸漁撈　	藍圓鰺	-
5000	海面養殖合計	藍圓鰺	367
5001	淺海養殖　	藍圓鰺	-
5002	箱網養殖　	藍圓鰺	367
5099	其他海面養殖　	藍圓鰺	-
6000	內陸養殖合計	藍圓鰺	20,112
6001	鹹水魚塭　	藍圓鰺	20,112
6002	淡水魚塭　	藍圓鰺	-
6003	箱網養殖　	藍圓鰺	-
6004	觀賞魚養殖　	藍圓鰺	-
6099	其他內陸養殖　	藍圓鰺	-
0000	總 計	吉打副葉鰺	12,101
1000	遠洋漁業合計	吉打副葉鰺	-
1001	單船拖網　	吉打副葉鰺	-
1002	雙船拖網　	吉打副葉鰺	-
1003	鰹鮪圍網　	吉打副葉鰺	-
1004	秋刀魚棒受網　	吉打副葉鰺	-
1050	鮪延繩釣　	吉打副葉鰺	-
1051	魷釣　	吉打副葉鰺	-
1099	其他遠洋漁業　	吉打副葉鰺	-
2000	近海漁業合計	吉打副葉鰺	8
2001	巾著網　	吉打副葉鰺	-
2002	鯖鰺圍網　	吉打副葉鰺	-
2003	棒受網　	吉打副葉鰺	-
2004	中小拖網　	吉打副葉鰺	3
2005	刺網　	吉打副葉鰺	2
2006	扒網　	吉打副葉鰺	-
2049	其他網　	吉打副葉鰺	-
2050	鮪延繩釣　	吉打副葉鰺	-
2051	雜魚延繩釣　	吉打副葉鰺	1
2052	曳繩釣　	吉打副葉鰺	-
2053	一支釣　	吉打副葉鰺	2
2079	其他釣　	吉打副葉鰺	-
2096	籠具　	吉打副葉鰺	-
2097	珊瑚　	吉打副葉鰺	-
2098	飛魚卵漁業　	吉打副葉鰺	-
2099	其他近海漁業　	吉打副葉鰺	-
3000	沿岸漁業合計	吉打副葉鰺	20
3001	定置漁具　	吉打副葉鰺	-
3002	地曳網　	吉打副葉鰺	-
3003	焚寄網　	吉打副葉鰺	-
3004	刺網　	吉打副葉鰺	18
3005	追逐網　	吉打副葉鰺	-
3006	流袋網　	吉打副葉鰺	-
3007	魩鱙漁業　	吉打副葉鰺	-
3008	櫻花蝦漁業　	吉打副葉鰺	-
3009	赤尾青蝦漁業　	吉打副葉鰺	-
3049	其他網　	吉打副葉鰺	-
3050	一支釣　	吉打副葉鰺	1
3051	雜魚延繩釣　	吉打副葉鰺	-
3079	其他釣　	吉打副葉鰺	-
3096	鏢旗魚　	吉打副葉鰺	-
3097	遊漁　	吉打副葉鰺	-
3098	籠具　	吉打副葉鰺	-
3099	其他沿岸漁業　	吉打副葉鰺	-
4000	內陸漁撈合計	吉打副葉鰺	-
4001	河川漁撈　	吉打副葉鰺	-
4002	水庫漁撈　	吉打副葉鰺	-
4099	其他內陸漁撈　	吉打副葉鰺	-
5000	海面養殖合計	吉打副葉鰺	174
5001	淺海養殖　	吉打副葉鰺	-
5002	箱網養殖　	吉打副葉鰺	174
5099	其他海面養殖　	吉打副葉鰺	-
6000	內陸養殖合計	吉打副葉鰺	11,900
6001	鹹水魚塭　	吉打副葉鰺	11,900
6002	淡水魚塭　	吉打副葉鰺	-
6003	箱網養殖　	吉打副葉鰺	-
6004	觀賞魚養殖　	吉打副葉鰺	-
6099	其他內陸養殖　	吉打副葉鰺	-
0000	總 計	其他	567
1000	遠洋漁業合計	其他	-
1001	單船拖網　	其他	-
1002	雙船拖網　	其他	-
1003	鰹鮪圍網　	其他	-
1004	秋刀魚棒受網　	其他	-
1050	鮪延繩釣　	其他	-
1051	魷釣　	其他	-
1099	其他遠洋漁業　	其他	-
2000	近海漁業合計	其他	-
2001	巾著網　	其他	-
2002	鯖鰺圍網　	其他	-
2003	棒受網　	其他	-
2004	中小拖網　	其他	-
2005	刺網　	其他	-
2006	扒網　	其他	-
2049	其他網　	其他	-
2050	鮪延繩釣　	其他	-
2051	雜魚延繩釣　	其他	-
2052	曳繩釣　	其他	-
2053	一支釣　	其他	-
2079	其他釣　	其他	-
2096	籠具　	其他	-
2097	珊瑚　	其他	-
2098	飛魚卵漁業　	其他	-
2099	其他近海漁業　	其他	-
3000	沿岸漁業合計	其他	7
3001	定置漁具　	其他	-
3002	地曳網　	其他	-
3003	焚寄網　	其他	-
3004	刺網　	其他	7
3005	追逐網　	其他	-
3006	流袋網　	其他	-
3007	魩鱙漁業　	其他	-
3008	櫻花蝦漁業　	其他	-
3009	赤尾青蝦漁業　	其他	-
3049	其他網　	其他	-
3050	一支釣　	其他	-
3051	雜魚延繩釣　	其他	-
3079	其他釣　	其他	-
3096	鏢旗魚　	其他	-
3097	遊漁　	其他	-
3098	籠具　	其他	-
3099	其他沿岸漁業　	其他	-
4000	內陸漁撈合計	其他	80
4001	河川漁撈　	其他	-
4002	水庫漁撈　	其他	80
4099	其他內陸漁撈　	其他	-
5000	海面養殖合計	其他	-
5001	淺海養殖　	其他	-
5002	箱網養殖　	其他	-
5099	其他海面養殖　	其他	-
6000	內陸養殖合計	其他	481
6001	鹹水魚塭　	其他	-
6002	淡水魚塭　	其他	423
6003	箱網養殖　	其他	-
6004	觀賞魚養殖　	其他	-
6099	其他內陸養殖　	其他	58
0000	總 計	刺鯧	3,492
1000	遠洋漁業合計	刺鯧	25
1001	單船拖網　	刺鯧	-
1002	雙船拖網　	刺鯧	-
1003	鰹鮪圍網　	刺鯧	-
1004	秋刀魚棒受網　	刺鯧	-
1050	鮪延繩釣　	刺鯧	25
1051	魷釣　	刺鯧	-
1099	其他遠洋漁業　	刺鯧	-
2000	近海漁業合計	刺鯧	396
2001	巾著網　	刺鯧	-
2002	鯖鰺圍網　	刺鯧	-
2003	棒受網　	刺鯧	-
2004	中小拖網　	刺鯧	178
2005	刺網　	刺鯧	22
2006	扒網　	刺鯧	2
2049	其他網　	刺鯧	-
2050	鮪延繩釣　	刺鯧	-
2051	雜魚延繩釣　	刺鯧	105
2052	曳繩釣　	刺鯧	-
2053	一支釣　	刺鯧	89
2079	其他釣　	刺鯧	-
2096	籠具　	刺鯧	-
2097	珊瑚　	刺鯧	-
2098	飛魚卵漁業　	刺鯧	-
2099	其他近海漁業　	刺鯧	-
3000	沿岸漁業合計	刺鯧	72
3001	定置漁具　	刺鯧	2
3002	地曳網　	刺鯧	-
3003	焚寄網　	刺鯧	-
3004	刺網　	刺鯧	23
3005	追逐網　	刺鯧	-
3006	流袋網　	刺鯧	-
3007	魩鱙漁業　	刺鯧	-
3008	櫻花蝦漁業　	刺鯧	-
3009	赤尾青蝦漁業　	刺鯧	-
3049	其他網　	刺鯧	-
3050	一支釣　	刺鯧	22
3051	雜魚延繩釣　	刺鯧	25
3079	其他釣　	刺鯧	-
3096	鏢旗魚　	刺鯧	-
3097	遊漁　	刺鯧	-
3098	籠具　	刺鯧	-
3099	其他沿岸漁業　	刺鯧	0
4000	內陸漁撈合計	刺鯧	-
4001	河川漁撈　	刺鯧	-
4002	水庫漁撈　	刺鯧	-
4099	其他內陸漁撈　	刺鯧	-
5000	海面養殖合計	刺鯧	128
5001	淺海養殖　	刺鯧	-
5002	箱網養殖　	刺鯧	128
5099	其他海面養殖　	刺鯧	-
6000	內陸養殖合計	刺鯧	2,871
6001	鹹水魚塭　	刺鯧	2,871
6002	淡水魚塭　	刺鯧	-
6003	箱網養殖　	刺鯧	-
6004	觀賞魚養殖　	刺鯧	-
6099	其他內陸養殖　	刺鯧	-
0000	總 計	馬鮁科	301
1000	遠洋漁業合計	馬鮁科	-
1001	單船拖網　	馬鮁科	-
1002	雙船拖網　	馬鮁科	-
1003	鰹鮪圍網　	馬鮁科	-
1004	秋刀魚棒受網　	馬鮁科	-
1050	鮪延繩釣　	馬鮁科	-
1051	魷釣　	馬鮁科	-
1099	其他遠洋漁業　	馬鮁科	-
2000	近海漁業合計	馬鮁科	202
2001	巾著網　	馬鮁科	-
2002	鯖鰺圍網　	馬鮁科	-
2003	棒受網　	馬鮁科	-
2004	中小拖網　	馬鮁科	188
2005	刺網　	馬鮁科	13
2006	扒網　	馬鮁科	-
2049	其他網　	馬鮁科	-
2050	鮪延繩釣　	馬鮁科	-
2051	雜魚延繩釣　	馬鮁科	-
2052	曳繩釣　	馬鮁科	-
2053	一支釣　	馬鮁科	-
2079	其他釣　	馬鮁科	-
2096	籠具　	馬鮁科	-
2097	珊瑚　	馬鮁科	-
2098	飛魚卵漁業　	馬鮁科	-
2099	其他近海漁業　	馬鮁科	-
3000	沿岸漁業合計	馬鮁科	99
3001	定置漁具　	馬鮁科	-
3002	地曳網　	馬鮁科	-
3003	焚寄網　	馬鮁科	-
3004	刺網　	馬鮁科	99
3005	追逐網　	馬鮁科	-
3006	流袋網　	馬鮁科	-
3007	魩鱙漁業　	馬鮁科	-
3008	櫻花蝦漁業　	馬鮁科	-
3009	赤尾青蝦漁業　	馬鮁科	-
3049	其他網　	馬鮁科	0
3050	一支釣　	馬鮁科	-
3051	雜魚延繩釣　	馬鮁科	-
3079	其他釣　	馬鮁科	-
3096	鏢旗魚　	馬鮁科	-
3097	遊漁　	馬鮁科	-
3098	籠具　	馬鮁科	-
3099	其他沿岸漁業　	馬鮁科	-
4000	內陸漁撈合計	馬鮁科	-
4001	河川漁撈　	馬鮁科	-
4002	水庫漁撈　	馬鮁科	-
4099	其他內陸漁撈　	馬鮁科	-
5000	海面養殖合計	馬鮁科	-
5001	淺海養殖　	馬鮁科	-
5002	箱網養殖　	馬鮁科	-
5099	其他海面養殖　	馬鮁科	-
6000	內陸養殖合計	馬鮁科	-
6001	鹹水魚塭　	馬鮁科	-
6002	淡水魚塭　	馬鮁科	-
6003	箱網養殖　	馬鮁科	-
6004	觀賞魚養殖　	馬鮁科	-
6099	其他內陸養殖　	馬鮁科	-
0000	總 計	飛魚卵	1,530
1000	遠洋漁業合計	飛魚卵	2
1001	單船拖網　	飛魚卵	-
1002	雙船拖網　	飛魚卵	-
1003	鰹鮪圍網　	飛魚卵	-
1004	秋刀魚棒受網　	飛魚卵	-
1050	鮪延繩釣　	飛魚卵	2
1051	魷釣　	飛魚卵	-
1099	其他遠洋漁業　	飛魚卵	-
2000	近海漁業合計	飛魚卵	3
2001	巾著網　	飛魚卵	-
2002	鯖鰺圍網　	飛魚卵	-
2003	棒受網　	飛魚卵	-
2004	中小拖網　	飛魚卵	-
2005	刺網　	飛魚卵	1
2006	扒網　	飛魚卵	-
2049	其他網　	飛魚卵	-
2050	鮪延繩釣　	飛魚卵	-
2051	雜魚延繩釣　	飛魚卵	2
2052	曳繩釣　	飛魚卵	-
2053	一支釣　	飛魚卵	-
2079	其他釣　	飛魚卵	-
2096	籠具　	飛魚卵	-
2097	珊瑚　	飛魚卵	-
2098	飛魚卵漁業　	飛魚卵	-
2099	其他近海漁業　	飛魚卵	-
3000	沿岸漁業合計	飛魚卵	11
3001	定置漁具　	飛魚卵	4
