採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2003/11/20 上午 12:40:00,5123,1,--,22.9,34.3,8,6,--,--,<3,0.2,--,0.26,0.031,0.01,0.36,0.0009,<0.002,0.0018,0.0058,0.0074,<0.0006
基隆沿海海域,基隆港一,乙,2003/8/14 上午 10:25:00,5123,1,--,27.5,33,8.1,7,--,--,3.2,0.2,--,0.07,<0.025,0.006,0.35,0.0005,<0.002,0.0007,0.0046,<0.004,<0.0006
基隆沿海海域,基隆港一,乙,2003/5/22 下午 12:34:00,5123,1,--,23.4,33.2,8.3,6.4,--,--,<3,0.3,--,0.06,0.04,0.004,0.8,<0.0005,<0.002,0.0038,0.0122,<0.004,<0.0006
基隆沿海海域,基隆港一,乙,2003/3/12 上午 10:20:00,5123,1,--,18.7,34.5,7.9,5.4,--,--,<3,0.2,--,0.08,<0.025,0.011,0.58,<0.0005,<0.002,0.0136,0.0137,<0.004,0.0011
基隆沿海海域,基隆港二,乙,2003/11/20 上午 01:15:00,5124,1,--,22.8,34.3,8.1,6,--,--,<3,0.2,--,0.14,0.037,0.011,0.29,0.0006,<0.002,0.0086,0.006,0.0047,0.001
基隆沿海海域,基隆港二,乙,2003/8/14 上午 10:00:00,5124,1,--,29.1,33.1,8,6.9,--,--,<3,0.5,--,0.08,<0.025,0.004,0.16,<0.0005,<0.002,0.0011,0.0043,<0.004,<0.0006
基隆沿海海域,基隆港二,乙,2003/5/22 下午 12:25:00,5124,1,--,23.6,33.2,8.3,6,--,--,6.5,0.3,--,<0.05,0.037,0.005,0.53,<0.0005,<0.002,0.0015,0.0188,<0.004,<0.0006
基隆沿海海域,基隆港二,乙,2003/3/12 上午 10:35:00,5124,1,--,18.7,34.4,7.9,5.5,--,--,<3,0.3,--,0.07,<0.025,0.011,0.39,<0.0005,<0.002,0.0009,0.0005,<0.004,0.0009
基隆沿海海域,基隆拋泥區一,乙,2003/11/20 上午 01:00:00,5125,1,--,23.1,34.3,8.1,6.1,--,--,<3,0.2,--,0.08,0.043,0.01,0.25,0.0005,<0.002,0.001,0.0087,0.0051,<0.0006
基隆沿海海域,基隆拋泥區一,乙,2003/8/14 上午 10:10:00,5125,1,--,27.5,33.1,8.1,6.9,--,--,<3,0.3,--,0.19,<0.025,0.088,0.23,<0.0005,<0.002,0.0012,0.0059,<0.004,<0.0006
基隆沿海海域,基隆拋泥區一,乙,2003/5/22 下午 12:45:00,5125,1,--,23.4,33.3,8.3,6.1,--,--,19.3,0.4,--,0.07,0.04,0.009,0.9,<0.0005,<0.002,0.0021,0.0113,<0.004,<0.0006
基隆沿海海域,基隆拋泥區一,乙,2003/3/12 上午 10:10:00,5125,1,--,18.6,34.6,7.9,5.9,--,--,<3,<0.1,--,0.05,<0.025,0.012,0.46,<0.0005,<0.002,0.0012,0.001,<0.004,<0.0006
基隆沿海海域,八斗子垃圾場,乙,2003/11/20 上午 01:58:00,5126,1,--,22.4,34.3,8,6.1,--,--,<3,0.2,--,<0.05,0.037,0.007,0.38,<0.0005,<0.002,0.0012,0.0056,0.0046,<0.0006
基隆沿海海域,八斗子垃圾場,乙,2003/8/14 上午 09:00:00,5126,1,--,27.5,33.2,8,6.4,--,--,7.3,0.2,--,<0.05,<0.025,0.006,<0.05,<0.0005,<0.002,0.0024,0.0046,<0.004,<0.0006
基隆沿海海域,八斗子垃圾場,乙,2003/5/22 上午 11:20:00,5126,1,--,23.4,33.4,8.2,6,--,--,12,0.2,--,0.05,0.052,0.008,0.76,<0.0005,<0.002,0.0027,0.0104,0.004,<0.0006
基隆沿海海域,八斗子垃圾場,乙,2003/3/12 上午 11:10:00,5126,1,--,19.2,34.7,7.9,5.7,--,--,3.5,<0.1,--,0.11,<0.025,0.009,0.34,<0.0005,<0.002,0.0015,0.0029,<0.004,<0.0006
基隆沿海海域,和平島,乙,2003/11/20 上午 01:32:00,5127,1,--,22.8,34.3,8,5.9,--,--,<3,0.3,--,<0.05,0.031,0.008,0.33,<0.0005,<0.002,0.0039,0.0057,0.005,<0.0006
基隆沿海海域,和平島,乙,2003/8/14 上午 09:40:00,5127,1,--,27.7,33.2,8,6.8,--,--,3.9,0.3,--,0.09,<0.025,0.005,0.5,<0.0005,<0.002,0.0014,0.0058,<0.004,<0.0006
基隆沿海海域,和平島,乙,2003/5/22 下午 12:15:00,5127,1,--,24.3,33.3,8.3,7.2,--,--,12.1,0.3,--,0.06,0.037,0.006,0.71,<0.0005,<0.002,0.0023,0.0256,<0.004,<0.0006
基隆沿海海域,和平島,乙,2003/3/12 上午 10:45:00,5127,1,--,19.4,34.7,7.9,5.8,--,--,3.1,0.2,--,<0.05,<0.025,0.01,0.31,<0.0005,<0.002,0.0014,0.0061,<0.004,0.0011
台北沿海海域(甲),核四預定地外海,甲,2003/11/20 上午 04:22:00,5128,1,--,22.5,33.8,7.9,5.7,--,--,<3,0.5,--,0.35,0.037,0.005,0.39,<0.0005,<0.002,0.008,0.0105,<0.004,<0.0006
