採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2010/11/1 上午 10:44:00,5123,1.0,20.6,21.8,36.1,8.1,6.7,6.5,90.3,3.0,0.3,0.01,0.07,0.052,0.005,0.454,0.00002,<0.001,0.0006,0.0049,0.0004,<0.0003
基隆沿海海域,基隆港一,乙,2010/8/12 上午 10:54:00,5123,1.0,31.4,27.6,35.1,8.1,6.3,6.2,95.9,3.4,1.7,0.01,0.01,0.013,0.001,0.287,0.00002,<0.001,0.0006,0.0072,0.0005,<0.0003
基隆沿海海域,基隆港一,乙,2010/5/3 上午 10:10:00,5123,1.0,23.7,21.1,35.3,8.1,7.0,6.9,93.6,<2.0,0.7,0.04,0.05,0.026,0.008,0.308,0.00001,<0.001,0.0013,0.0053,0.0003,<0.0003
基隆沿海海域,基隆港一,乙,2010/1/18 上午 10:06:00,5123,1.0,17.7,17.3,34.6,8.1,7.2,7.0,88.9,2.1,0.3,<0.01,0.12,0.049,0.003,0.750,0.00003,<0.001,0.0008,0.0057,0.0006,<0.0003
基隆沿海海域,基隆港二,乙,2010/11/1 上午 10:31:00,5124,1.0,20.4,21.6,36.1,8.1,6.4,6.4,88.7,4.5,0.3,0.01,0.08,0.038,0.005,0.457,0.00002,<0.001,0.0005,0.0039,0.0006,<0.0003
基隆沿海海域,基隆港二,乙,2010/8/12 上午 10:39:00,5124,1.0,31.5,27.6,35.1,8.1,6.2,6.2,95.7,4.4,1.2,<0.01,0.01,0.059,0.002,0.201,0.00002,<0.001,0.0009,0.0095,0.0009,<0.0003
基隆沿海海域,基隆港二,乙,2010/5/3 上午 09:54:00,5124,1.0,23.4,21.0,35.3,8.1,6.9,6.8,92.5,<2.0,1.3,0.06,0.05,0.028,0.008,0.305,<0.00001,<0.001,0.0005,0.0024,0.0001,<0.0003
基隆沿海海域,基隆港二,乙,2010/1/18 上午 09:50:00,5124,1.0,17.6,17.3,34.6,8.1,7.3,7.1,89.0,<2.0,0.3,<0.01,0.12,0.053,0.003,0.705,0.00004,<0.001,0.0050,0.0068,0.0002,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2010/11/1 上午 10:17:00,5125,1.0,20.3,21.6,36.1,8.1,6.6,6.6,90.5,5.0,0.4,0.02,0.07,0.037,0.005,0.445,0.00002,<0.001,0.0005,0.0039,0.0004,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2010/8/12 上午 10:24:00,5125,1.0,31.3,27.7,35.0,8.1,6.3,6.3,98.7,3.2,0.7,0.01,<0.01,<0.003,<0.001,0.305,0.00002,<0.001,0.0008,0.0197,0.0003,<0.0003
