採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
崎頂海水浴場,崎頂海水浴場右,乙,2003/9/22 上午 11:56:00,6033,26.4,7.9,13,--,--,--,0.14,0.011,32.1,0.339,--,--,0.105,320,10
新金山海水浴場,新金山海水浴場右,乙,2003/9/22 上午 11:55:00,6023,26,7.8,6.6,--,--,--,0.24,0.009,30.7,1.67,--,--,0.089,180,31
新金山海水浴場,新金山海水浴場中,乙,2003/9/22 上午 11:45:00,6022,26,7.7,6.7,--,--,--,0.13,0.0093,31.2,1.65,--,--,0.043,190,53
崎頂海水浴場,崎頂海水浴場中,乙,2003/9/22 上午 11:44:00,6032,26.4,7.9,13,--,--,--,0.13,0.01,32.1,0.291,--,--,0.097,310,42
新金山海水浴場,新金山海水浴場左,乙,2003/9/22 上午 11:35:00,6021,25.8,7.6,7.1,--,--,--,0.15,0.0066,30.8,1.95,--,--,0.04,300,75
崎頂海水浴場,崎頂海水浴場左,乙,2003/9/22 上午 11:31:00,6031,26.4,7.9,14,--,--,--,0.12,0.01,32,0.399,--,--,0.076,370,31
通霄海水浴場,通霄海水浴場右,乙,2003/9/22 上午 10:24:00,6043,25.1,7.9,29,--,--,--,0.14,0.01,32.2,0.405,--,--,0.038,25,31
通霄海水浴場,通霄海水浴場中,乙,2003/9/22 上午 10:13:00,6042,25.1,7.9,28,--,--,--,0.14,0.011,32.2,0.441,--,--,0.049,<10,10
通霄海水浴場,通霄海水浴場左,乙,2003/9/22 上午 10:01:00,6041,25.1,7.9,30,--,--,--,0.14,0.011,32,0.474,--,--,0.038,<10,53
福隆海水浴場,福隆海水浴場右,乙,2003/9/22 上午 09:45:00,6013,26.1,8,6.4,--,--,--,0.1,0.0066,26.8,0.55,--,--,0.031,3400,453
福隆海水浴場,福隆海水浴場中,乙,2003/9/22 上午 09:35:00,6012,25.9,8,6,--,--,--,0.37,0.0086,16.7,3.3,--,--,0.058,6500,504
福隆海水浴場,福隆海水浴場左,乙,2003/9/22 上午 09:25:00,6011,26,7.9,5.7,--,--,--,0.35,0.0096,16.2,2.99,--,--,0.067,7400,306
旗津海水浴場,旗津海水浴場右,乙,2003/9/22 上午 09:10:00,6083,29.7,8.2,3.6,--,--,--,0.06,<0.001,33.8,0.18,--,--,<0.025,<10,<10
旗津海水浴場,旗津海水浴場中,乙,2003/9/22 上午 09:03:00,6082,29.6,8.2,3.6,--,--,--,<0.05,<0.001,33.8,0.17,--,--,<0.025,<10,10
旗津海水浴場,旗津海水浴場左,乙,2003/9/22 上午 08:55:00,6081,29.5,8.2,4.6,--,--,--,<0.05,<0.001,33.8,0.19,--,--,0.0276,10,<10
大安海水浴場,大安海水浴場右,乙,2003/9/22 上午 08:51:00,6053,25.1,8,30,--,--,--,<0.05,0.008,32.3,0.483,--,--,0.048,1400,137
大安海水浴場,大安海水浴場中,乙,2003/9/22 上午 08:41:00,6052,25,8,29,--,--,--,<0.05,0.005,32.2,0.579,--,--,0.046,700,64
大安海水浴場,大安海水浴場左,乙,2003/9/22 上午 08:30:00,6051,25,8,32,--,--,--,<0.05,0.006,32.2,0.573,--,--,0.045,590,31
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2003/9/22 上午 07:29:00,6073,28.3,8.2,9.4,--,--,--,<0.05,0.002,34,0.29,--,--,0.0521,16000,324
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2003/9/22 上午 07:18:00,6072,28.2,8.2,4,--,--,--,<0.05,0.002,33.9,0.32,--,--,0.0521,20000,406
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2003/9/22 上午 07:02:00,6071,28.3,8.2,8.5,--,--,--,<0.05,0.002,33.9,0.27,--,--,0.0552,13000,306
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2003/9/22 上午 06:00:00,6093,26.8,8.2,3.2,--,--,--,<0.05,0.001,33.6,0.31,--,--,0.0276,3900,478
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2003/9/22 上午 05:53:00,6092,27.1,8.2,2.7,--,--,--,<0.05,0.002,33.6,0.3,--,--,0.0276,5100,1013
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2003/9/22 上午 05:45:00,6063,28.5,8.2,7.6,--,--,--,<0.05,0.002,34.8,0.24,--,--,0.0368,<10,10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2003/9/22 上午 05:43:00,6091,27.2,8.2,2.1,--,--,--,<0.05,0.001,33.5,0.43,--,--,0.0981,5800,945
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2003/9/22 上午 05:36:00,6062,28.6,8.2,6.4,--,--,--,<0.05,0.002,34.8,0.22,--,--,0.0398,35,<10
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2003/9/22 上午 05:25:00,6061,28.5,8.1,5.6,--,--,--,0.08,0.002,34.9,0.18,--,--,0.0398,80,10
杉原海水浴場,杉原海水浴場右,甲,2003/9/21 下午 05:20:00,6103,28.8,8.2,7.1,--,--,--,0.05,0.002,33.9,0.38,--,--,<0.025,<10,<10
杉原海水浴場,杉原海水浴場中,甲,2003/9/21 下午 05:10:00,6102,28.5,8.2,6.7,--,--,--,<0.05,<0.001,33.9,0.43,--,--,<0.025,<10,10
杉原海水浴場,杉原海水浴場左,甲,2003/9/21 下午 05:00:00,6101,28.8,8.2,6.5,--,--,--,<0.05,0.001,33.9,0.51,--,--,<0.025,<10,<10
新金山海水浴場,新金山海水浴場右,乙,2003/9/8 下午 12:20:00,6023,31.1,7.9,2.7,--,--,--,0.07,<0.001,31.1,5.41,--,--,<0.025,<10,<10
新金山海水浴場,新金山海水浴場中,乙,2003/9/8 下午 12:00:00,6022,31.1,8,2.8,--,--,--,0.07,0.004,30.9,5.32,--,--,<0.025,20,<10
新金山海水浴場,新金山海水浴場左,乙,2003/9/8 上午 11:40:00,6021,31.1,8,2.6,--,--,--,0.08,0.003,30.6,5.32,--,--,<0.025,<10,<10
崎頂海水浴場,崎頂海水浴場右,乙,2003/9/8 上午 11:32:00,6033,31,7.9,7.5,--,--,--,<0.05,0.002,33.3,0.465,--,--,0.05,40,10
崎頂海水浴場,崎頂海水浴場中,乙,2003/9/8 上午 11:20:00,6032,31,7.9,6.2,--,--,--,<0.05,0.002,33.3,0.47,--,--,0.056,35,10
崎頂海水浴場,崎頂海水浴場左,乙,2003/9/8 上午 11:10:00,6031,31,7.9,6.3,--,--,--,<0.05,0.004,33.1,0.393,--,--,0.043,35,<10
通霄海水浴場,通霄海水浴場右,乙,2003/9/8 上午 10:07:00,6043,30.8,7.9,9.3,--,--,--,<0.05,0.001,33.3,0.833,--,--,0.063,10,10
通霄海水浴場,通霄海水浴場中,乙,2003/9/8 上午 09:55:00,6042,30.6,7.9,9.3,--,--,--,<0.05,0.002,33.2,0.681,--,--,0.071,10,<10
福隆海水浴場,福隆海水浴場右,乙,2003/9/8 上午 09:45:00,6013,29.8,8.1,6.2,--,--,--,0.18,0.004,30.4,0.6,--,--,<0.025,170,87
通霄海水浴場,通霄海水浴場左,乙,2003/9/8 上午 09:45:00,6041,30.6,7.9,9.5,--,--,--,<0.05,0.002,33.3,0.542,--,--,0.077,<10,20
福隆海水浴場,福隆海水浴場中,乙,2003/9/8 上午 09:30:00,6012,29.9,8,7.3,--,--,--,0.18,0.002,26.1,0.6,--,--,<0.025,270,87
福隆海水浴場,福隆海水浴場左,乙,2003/9/8 上午 09:15:00,6011,30.4,7.8,6.2,--,--,--,0.15,0.004,25.1,0.58,--,--,<0.025,450,75
旗津海水浴場,旗津海水浴場右,乙,2003/9/8 上午 09:12:00,6083,29.8,8.2,17,--,--,--,<0.05,0.002,33.1,0.42,--,--,<0.025,<10,10
旗津海水浴場,旗津海水浴場中,乙,2003/9/8 上午 09:05:00,6082,29.9,8.2,15,--,--,--,<0.05,0.002,33.1,0.34,--,--,<0.025,<10,<10
