採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
大安海水浴場,大安海水浴場右,乙,2003/9/8 上午 08:58:00,6053,30.2,7.9,14,--,--,--,<0.05,0.003,33.1,0.753,--,--,0.122,250,87
旗津海水浴場,旗津海水浴場左,乙,2003/9/8 上午 08:55:00,6081,29.6,8.2,7,--,--,--,<0.05,<0.001,33.2,0.5,--,--,0.0245,10,20
大安海水浴場,大安海水浴場中,乙,2003/9/8 上午 08:39:00,6052,30.2,7.8,15,--,--,--,<0.05,0.003,33.1,0.799,--,--,0.111,190,20
大安海水浴場,大安海水浴場左,乙,2003/9/8 上午 08:30:00,6051,30.2,7.9,13,--,--,--,<0.05,0.004,33,0.84,--,--,0.11,380,120
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2003/9/8 上午 07:26:00,6073,28.7,8.1,12,--,--,--,<0.05,0.015,32.4,0.32,--,--,0.0582,150,31
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2003/9/8 上午 07:14:00,6072,28.7,8.1,8.7,--,--,--,<0.05,0.015,32.5,0.35,--,--,0.0552,160,42
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2003/9/8 上午 07:03:00,6071,28.8,8,10,--,--,--,<0.05,0.015,32.5,0.28,--,--,0.0552,120,120
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2003/9/8 上午 06:20:00,6093,28.3,8.2,2,--,--,--,<0.05,0.001,33.6,0.19,--,--,<0.025,<10,42
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2003/9/8 上午 06:12:00,6092,28.2,8.2,4.2,--,--,--,<0.05,0.001,33.6,0.19,--,--,0.0582,<10,10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2003/9/8 上午 06:00:00,6091,28.2,8.2,5.5,--,--,--,<0.05,0.001,33.6,0.2,--,--,0.0306,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2003/9/8 上午 05:32:00,6063,28.2,8.1,7.8,--,--,--,<0.05,0.014,32.8,0.35,--,--,0.0674,<10,180
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2003/9/8 上午 05:19:00,6061,28.2,8.1,7,--,--,--,<0.05,0.014,32.9,0.29,--,--,0.0919,<10,31
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2003/9/8 上午 05:06:00,6062,28.1,8.1,2.3,--,--,--,<0.05,0.014,32.8,0.33,--,--,0.049,<10,64
杉原海水浴場,杉原海水浴場右,甲,2003/9/7 下午 05:25:00,6103,30.5,8.2,24,--,--,--,<0.05,0.002,33.2,0.25,--,--,<0.025,110,10
杉原海水浴場,杉原海水浴場中,甲,2003/9/7 下午 05:10:00,6102,31.2,8.2,32,--,--,--,<0.05,0.003,32.8,0.26,--,--,<0.025,25,31
杉原海水浴場,杉原海水浴場左,甲,2003/9/7 下午 05:00:00,6101,31.2,8.2,19,--,--,--,<0.05,0.002,33,0.29,--,--,<0.025,35,20
新金山海水浴場,新金山海水浴場右,乙,2003/8/25 下午 12:00:00,6023,30.4,7.8,3.1,--,--,--,0.1,0.005,26.1,4.87,--,--,<0.025,340,20
新金山海水浴場,新金山海水浴場中,乙,2003/8/25 上午 11:52:00,6022,30.5,7.7,2.5,--,--,--,0.09,0.005,25.5,4.03,--,--,<0.025,450,20
崎頂海水浴場,崎頂海水浴場右,乙,2003/8/25 上午 11:47:00,6033,32.2,8,4,--,--,--,0.05,0.002,33,0.193,--,--,0.032,<10,<10
新金山海水浴場,新金山海水浴場左,乙,2003/8/25 上午 11:45:00,6021,30.5,7.7,2.6,--,--,--,0.08,0.004,24.8,3.76,--,--,0.025,450,20
崎頂海水浴場,崎頂海水浴場中,乙,2003/8/25 上午 11:35:00,6032,32.2,8,3.5,--,--,--,0.05,0.004,33,0.171,--,--,0.032,<10,<10
崎頂海水浴場,崎頂海水浴場左,乙,2003/8/25 上午 11:25:00,6031,32.2,8,3.2,--,--,--,0.05,0.003,33.1,0.149,--,--,0.03,<10,<10
通霄海水浴場,通霄海水浴場右,乙,2003/8/25 上午 10:09:00,6043,31.1,8,4.4,--,--,--,0.07,0.003,31.1,0.073,--,--,0.026,<10,10
通霄海水浴場,通霄海水浴場中,乙,2003/8/25 上午 10:01:00,6042,31.2,8,3.9,--,--,--,0.06,0.001,31.2,0.067,--,--,0.03,<10,<10
福隆海水浴場,福隆海水浴場右,乙,2003/8/25 上午 09:50:00,6013,29.1,7.7,8.5,--,--,--,0.24,0.004,24.6,0.82,--,--,<0.025,<10,<10
通霄海水浴場,通霄海水浴場左,乙,2003/8/25 上午 09:50:00,6041,31,8,4.4,--,--,--,0.07,0.003,31,0.084,--,--,0.032,<10,20
福隆海水浴場,福隆海水浴場中,乙,2003/8/25 上午 09:40:00,6012,29.3,7.6,9.1,--,--,--,0.14,0.004,21.8,0.79,--,--,<0.025,<10,10
福隆海水浴場,福隆海水浴場左,乙,2003/8/25 上午 09:30:00,6011,29.2,7.6,4.9,--,--,--,0.27,0.007,20.2,0.78,--,--,<0.025,10,<10
旗津海水浴場,旗津海水浴場右,乙,2003/8/25 上午 09:20:00,6083,29.2,8.2,26,--,--,--,0.05,0.005,33,0.27,--,--,0.0429,35,120
旗津海水浴場,旗津海水浴場中,乙,2003/8/25 上午 09:11:00,6082,29.1,8.2,30,--,--,--,0.06,0.005,33,0.31,--,--,0.0276,45,64
旗津海水浴場,旗津海水浴場左,乙,2003/8/25 上午 09:04:00,6081,29.3,8.2,30,--,--,--,<0.05,0.004,33,0.3,--,--,0.0276,65,64
大安海水浴場,大安海水浴場右,乙,2003/8/25 上午 08:52:00,6053,30.4,7.9,9.7,--,--,--,0.13,0.006,32.6,0.314,--,--,0.033,35,110
大安海水浴場,大安海水浴場中,乙,2003/8/25 上午 08:42:00,6052,30.4,7.9,7.9,--,--,--,0.12,0.004,32.7,0.314,--,--,0.04,75,270
大安海水浴場,大安海水浴場左,乙,2003/8/25 上午 08:30:00,6051,30.6,7.9,8.8,--,--,--,0.14,0.003,32.4,0.253,--,--,0.047,<10,190
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2003/8/25 上午 07:40:00,6073,29.6,8,80,--,--,--,<0.05,0.007,33,0.25,--,--,0.049,11000,500
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2003/8/25 上午 07:23:00,6071,29.5,8.1,80,--,--,--,0.05,0.007,33,0.27,--,--,0.0521,11000,620
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2003/8/25 上午 07:09:00,6072,29.5,8.1,90,--,--,--,<0.05,0.007,33.1,0.29,--,--,0.049,12000,660
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2003/8/25 上午 05:42:00,6093,28.1,8.1,14,--,--,--,<0.05,0.001,33.3,0.18,--,--,0.0245,260,360
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2003/8/25 上午 05:35:00,6092,28.2,8.2,10,--,--,--,<0.05,0.001,33.4,0.14,--,--,<0.025,350,250
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2003/8/25 上午 05:30:00,6091,28.1,8.1,9.4,--,--,--,0.06,<0.001,33.3,0.17,--,--,<0.025,340,290
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2003/8/25 上午 05:28:00,6063,29.6,8.1,60,--,--,--,0.05,0.004,33.2,0.23,--,--,0.0429,40,31
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2003/8/25 上午 05:17:00,6062,29.6,8.1,65,--,--,--,0.07,0.004,33.2,0.23,--,--,0.049,50,20
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2003/8/25 上午 05:05:00,6061,29.7,8,60,--,--,--,0.05,0.004,33.3,0.21,--,--,0.0368,30,53
杉原海水浴場,杉原海水浴場右,甲,2003/8/24 下午 05:16:00,6103,28.8,8.2,12,--,--,--,0.06,0.002,33.4,0.24,--,--,0.0245,<10,<10
杉原海水浴場,杉原海水浴場中,甲,2003/8/24 下午 05:09:00,6102,28.9,8.2,11,--,--,--,<0.05,0.002,33.4,0.27,--,--,<0.025,<10,<10
杉原海水浴場,杉原海水浴場左,甲,2003/8/24 下午 05:00:00,6101,28.9,8.2,13,--,--,--,<0.05,0.002,33.4,0.22,--,--,0.0245,<10,10
新金山海水浴場,新金山海水浴場右,乙,2003/8/11 下午 12:00:00,6023,30.4,7.9,2.7,--,--,--,0.07,0.003,26.7,3.12,--,--,<0.025,95,10
崎頂海水浴場,崎頂海水浴場右,乙,2003/8/11 上午 11:49:00,6033,30.9,8,4.3,--,--,--,0.08,0.004,33.6,0.582,--,--,0.056,10,<10
新金山海水浴場,新金山海水浴場中,乙,2003/8/11 上午 11:45:00,6022,30.4,7.9,2.3,--,--,--,0.05,0.003,27,3.04,--,--,0.031,40,10
崎頂海水浴場,崎頂海水浴場中,乙,2003/8/11 上午 11:39:00,6032,30.8,8,3.9,--,--,--,<0.05,0.005,33.7,0.505,--,--,0.041,15,<10
新金山海水浴場,新金山海水浴場左,乙,2003/8/11 上午 11:30:00,6021,30.3,7.9,2.2,--,--,--,0.06,0.004,27,3.1,--,--,<0.025,90,<10
崎頂海水浴場,崎頂海水浴場左,乙,2003/8/11 上午 11:28:00,6031,30.8,8,4.4,--,--,--,0.06,0.002,33.6,0.434,--,--,0.047,10,<10
旗津海水浴場,旗津海水浴場右,乙,2003/8/11 上午 10:10:00,6083,30.5,8.2,8.3,--,--,--,<0.05,0.003,33.2,0.17,--,--,0.0245,25,31
通霄海水浴場,通霄海水浴場右,乙,2003/8/11 上午 10:08:00,6043,30.8,7.9,2.3,--,--,--,0.06,0.004,32.9,0.462,--,--,0.036,15,10
旗津海水浴場,旗津海水浴場中,乙,2003/8/11 上午 09:59:00,6082,30.5,8.2,9.8,--,--,--,<0.05,0.002,33.2,0.16,--,--,<0.025,40,20
通霄海水浴場,通霄海水浴場中,乙,2003/8/11 上午 09:58:00,6042,30.6,7.9,2.8,--,--,--,0.08,0.003,32.9,0.565,--,--,0.047,15,10
旗津海水浴場,旗津海水浴場左,乙,2003/8/11 上午 09:50:00,6081,30.5,8.2,7.2,--,--,--,<0.05,0.002,33.2,0.17,--,--,0.0337,35,20
通霄海水浴場,通霄海水浴場左,乙,2003/8/11 上午 09:48:00,6041,30.6,7.9,3.7,--,--,--,0.09,0.005,32.8,1.63,--,--,0.042,10,<10
福隆海水浴場,福隆海水浴場右,乙,2003/8/11 上午 09:30:00,6013,30.1,8.1,11.6,--,--,--,<0.05,0.002,31,0.67,--,--,<0.025,390,10
福隆海水浴場,福隆海水浴場中,乙,2003/8/11 上午 09:15:00,6012,30.1,8.1,11.5,--,--,--,<0.05,<0.001,31.1,0.64,--,--,<0.025,<10,<10
福隆海水浴場,福隆海水浴場左,乙,2003/8/11 上午 09:00:00,6011,30.1,8,9.6,--,--,--,<0.05,0.004,31,0.64,--,--,<0.025,1100,<10
大安海水浴場,大安海水浴場右,乙,2003/8/11 上午 08:48:00,6053,30,8,12,--,--,--,0.25,0.022,32.8,1.71,--,--,0.105,8500,340
大安海水浴場,大安海水浴場中,乙,2003/8/11 上午 08:40:00,6052,30,8,13,--,--,--,0.23,0.021,32.7,1.25,--,--,0.082,11000,450
大安海水浴場,大安海水浴場左,乙,2003/8/11 上午 08:30:00,6051,29.8,8,14,--,--,--,0.31,0.028,32.6,1.73,--,--,0.079,8500,150
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2003/8/11 上午 08:00:00,6073,30,8.2,77,--,--,--,<0.05,0.016,32.8,0.3,--,--,0.0858,3900,430
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2003/8/11 上午 07:47:00,6071,30.1,8.2,65,--,--,--,0.08,0.013,32.4,0.41,--,--,0.144,9300,530
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2003/8/11 上午 07:36:00,6072,30.1,8.1,36,--,--,--,0.06,0.011,32.9,0.34,--,--,0.095,3400,360
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2003/8/11 上午 05:55:00,6093,29.5,8.2,2.3,--,--,--,<0.05,<0.001,33.7,0.21,--,--,<0.025,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2003/8/11 上午 05:47:00,6092,29.3,8.2,1.9,--,--,--,<0.05,<0.001,33.5,0.11,--,--,<0.025,95,110
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2003/8/11 上午 05:38:00,6091,29.3,8.2,2.6,--,--,--,<0.05,<0.001,33.6,0.15,--,--,0.0245,270,150
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2003/8/11 上午 05:26:00,6063,29.4,8.2,8.8,--,--,--,<0.05,0.002,33.4,0.19,--,--,0.0644,10,31
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2003/8/11 上午 05:15:00,6062,29.4,8.2,8.3,--,--,--,<0.05,0.001,33.4,0.14,--,--,0.049,10,10
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2003/8/11 上午 05:03:00,6061,29.5,8.2,6.3,--,--,--,0.05,0.002,33.4,0.13,--,--,0.0735,10,10
杉原海水浴場,杉原海水浴場右,甲,2003/8/10 下午 05:15:00,6103,31.5,8.2,4.8,--,--,--,<0.05,<0.001,33.4,0.27,--,--,<0.025,25,42
杉原海水浴場,杉原海水浴場中,甲,2003/8/10 下午 05:08:00,6102,31.4,8.2,5.3,--,--,--,<0.05,0.002,33.4,0.32,--,--,<0.025,35,20
杉原海水浴場,杉原海水浴場左,甲,2003/8/10 下午 05:00:00,6101,31.5,8.2,4.6,--,--,--,0.05,0.001,33.4,0.32,--,--,<0.025,10,<10
新金山海水浴場,新金山海水浴場右,乙,2003/7/28 下午 12:02:00,6023,31.1,8,3.6,--,--,--,<0.05,0.002,30,5.4,--,--,0.034,<10,<10
新金山海水浴場,新金山海水浴場中,乙,2003/7/28 上午 11:50:00,6022,31.2,7.9,4.3,--,--,--,<0.05,0.002,29.3,5.44,--,--,0.031,<10,<10
新金山海水浴場,新金山海水浴場左,乙,2003/7/28 上午 11:45:00,6021,31.1,7.9,3.3,--,--,--,<0.05,0.002,29.3,4.51,--,--,<0.025,<10,<10
崎頂海水浴場,崎頂海水浴場右,乙,2003/7/28 上午 11:36:00,6033,31.6,8.1,9.9,--,--,--,0.076,0.004,33.6,1.44,--,--,0.057,190,20
崎頂海水浴場,崎頂海水浴場中,乙,2003/7/28 上午 11:28:00,6032,31.6,8.1,10,--,--,--,0.13,0.003,33.4,2.65,--,--,0.035,230,20
崎頂海水浴場,崎頂海水浴場左,乙,2003/7/28 上午 11:20:00,6031,31.4,8.1,10,--,--,--,0.1,0.003,33.6,2.17,--,--,0.042,250,20
通霄海水浴場,通霄海水浴場右,乙,2003/7/28 上午 10:15:00,6043,31.1,8.1,8.5,--,--,--,0.076,0.014,34,0.821,--,--,0.023,5,<10
通霄海水浴場,通霄海水浴場中,乙,2003/7/28 上午 10:06:00,6042,31.1,8.1,8.4,--,--,--,0.11,0.006,34,1.54,--,--,0.039,5,20
通霄海水浴場,通霄海水浴場左,乙,2003/7/28 上午 09:56:00,6041,31,8.1,8.8,--,--,--,0.075,0.001,34,0.859,--,--,0.044,<10,10
旗津海水浴場,旗津海水浴場右,乙,2003/7/28 上午 09:45:00,6083,30.5,8.2,15,--,--,--,<0.05,0.003,34.1,0.18,--,--,0.0368,<10,<10
旗津海水浴場,旗津海水浴場中,乙,2003/7/28 上午 09:33:00,6082,30.5,8.2,17,--,--,--,0.15,0.003,34.1,0.2,--,--,0.0337,<10,31
福隆海水浴場,福隆海水浴場右,乙,2003/7/28 上午 09:28:00,6013,30.1,8,5.3,--,--,--,<0.05,0.002,31.5,0.6,--,--,<0.025,73,10
旗津海水浴場,旗津海水浴場左,乙,2003/7/28 上午 09:22:00,6081,30.4,8.2,13,--,--,--,0.09,0.003,34,0.21,--,--,0.0429,<10,31
福隆海水浴場,福隆海水浴場中,乙,2003/7/28 上午 09:16:00,6012,30.1,7.9,7.9,--,--,--,<0.05,0.002,31.4,0.67,--,--,<0.025,82,<10
福隆海水浴場,福隆海水浴場左,乙,2003/7/28 上午 09:05:00,6011,30.2,7.9,11,--,--,--,<0.05,0.002,31.6,0.66,--,--,<0.025,86,<10
大安海水浴場,大安海水浴場右,乙,2003/7/28 上午 08:51:00,6053,30.6,8,14,--,--,--,0.19,0.012,32.4,5.11,--,--,0.067,2600,64
大安海水浴場,大安海水浴場中,乙,2003/7/28 上午 08:42:00,6052,30.6,8,14,--,--,--,0.22,0.012,32,3.92,--,--,0.178,3700,75
大安海水浴場,大安海水浴場左,乙,2003/7/28 上午 08:33:00,6051,30.4,8,14,--,--,--,0.37,0.015,31.4,2.67,--,--,0.16,4100,150
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2003/7/28 上午 07:36:00,6073,30.4,8.1,31,--,--,--,0.13,0.011,33.8,0.35,--,--,0.1042,950,42
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2003/7/28 上午 07:28:00,6072,30.6,8.1,34,--,--,--,0.1,0.013,33.7,0.34,--,--,0.1165,750,220
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2003/7/28 上午 07:21:00,6071,30.6,8.1,31,--,--,--,0.05,0.012,33.5,0.34,--,--,0.095,1300,160
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2003/7/28 上午 06:12:00,6093,28.2,8.2,4.5,--,--,--,0.08,0.002,34.4,0.12,--,--,<0.025,82,10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2003/7/28 上午 06:03:00,6092,28.2,8.2,2.2,--,--,--,<0.05,0.003,34.4,0.13,--,--,0.0337,150,53
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2003/7/28 上午 05:55:00,6091,28.8,8.2,2.7,--,--,--,0.06,0.003,34.4,0.11,--,--,<0.025,95,<10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2003/7/28 上午 05:37:00,6063,28.9,8.1,8.5,--,--,--,<0.05,0.006,33.6,0.22,--,--,0.0705,<10,99
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2003/7/28 上午 05:31:00,6062,28.9,8.1,8.7,--,--,--,<0.05,0.006,33.4,0.22,--,--,0.0674,<10,31
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2003/7/28 上午 05:23:00,6061,28.8,8.1,15,--,--,--,<0.05,0.006,33.4,0.23,--,--,0.0705,<10,31
杉原海水浴場,杉原海水浴場右,甲,2003/7/27 下午 05:30:00,6103,29.6,8.2,11,--,--,--,0.09,0.002,34.3,0.18,--,--,0.0521,<10,10
杉原海水浴場,杉原海水浴場中,甲,2003/7/27 下午 05:21:00,6102,29.8,8.2,15,--,--,--,<0.05,0.001,34.3,0.21,--,--,0.0337,20,20
