採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2013/11/6 上午 11:10:00,5123,1.0,27.6,22.4,34.0,8.1,--,6.6,90.3,6.6,--,--,--,--,--,--,0.00001,--,0.0002,0.0022,0.0001,<0.0003
基隆沿海海域,基隆港一,乙,2013/8/7 上午 11:14:00,5123,1.0,36.7,28.6,33.5,8.1,--,6.2,94.5,2.6,--,--,--,--,--,--,0.00001,--,0.0003,0.0091,0.0002,<0.0003
基隆沿海海域,基隆港一,乙,2013/5/13 上午 10:42:00,5123,1.0,27.4,24.0,34.5,8.1,--,6.3,90.1,<2.0,--,--,--,--,--,--,0.00001,--,0.0003,0.0058,0.0002,<0.0003
基隆沿海海域,基隆港一,乙,2013/2/4 上午 10:34:00,5123,1.0,22.4,17.5,33.5,8.2,--,7.5,94.9,5.1,0.4,<0.01,0.13,0.050,0.002,0.633,<0.00001,<0.001,0.0010,0.0025,0.0003,<0.0003
基隆沿海海域,基隆港二,乙,2013/11/6 上午 10:49:00,5124,1.0,27.4,22.5,34.2,8.1,--,6.5,89.3,5.6,--,--,--,--,--,--,0.00001,--,0.0010,0.0041,0.0004,<0.0003
基隆沿海海域,基隆港二,乙,2013/8/7 上午 10:51:00,5124,1.0,35.8,28.5,33.5,8.1,--,6.2,95.3,<2.0,--,--,--,--,--,--,<0.00001,--,0.0003,0.0055,0.0002,<0.0003
基隆沿海海域,基隆港二,乙,2013/5/13 上午 10:31:00,5124,1.0,27.4,23.6,34.7,8.1,--,6.6,95.1,2.6,--,--,--,--,--,--,0.00001,--,0.0003,0.0051,0.0001,<0.0003
基隆沿海海域,基隆港二,乙,2013/2/4 上午 10:20:00,5124,1.0,22.3,17.6,33.4,8.1,--,7.7,97.0,3.7,0.7,<0.01,0.13,0.055,0.002,0.626,<0.00001,<0.001,0.0003,0.0017,<0.0001,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2013/11/6 上午 10:31:00,5125,1.0,27.3,22.5,34.0,8.1,--,6.5,89.9,7.4,--,--,--,--,--,--,0.00001,--,0.0007,0.0035,0.0006,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2013/8/7 上午 10:34:00,5125,1.0,33.4,28.4,33.6,8.1,--,5.9,89.9,2.0,--,--,--,--,--,--,<0.00001,--,0.0004,0.0057,0.0002,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2013/5/13 上午 10:14:00,5125,1.0,27.6,23.7,34.8,8.1,--,6.6,94.9,2.0,--,--,--,--,--,--,0.00001,--,0.0004,0.0061,0.0002,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2013/2/4 上午 10:06:00,5125,1.0,22.2,18.0,33.5,8.0,--,7.6,96.1,6.6,0.5,<0.01,0.12,0.051,0.002,0.626,<0.00001,<0.001,0.0006,0.0037,<0.0001,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2013/11/6 上午 09:46:00,5126,1.0,27.1,22.5,34.0,8.1,--,6.7,93.3,4.8,--,--,--,--,--,--,0.00001,--,0.0010,0.0077,0.0002,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2013/8/7 上午 09:50:00,5126,1.0,34.0,29.2,33.5,8.1,--,6.2,97.0,<2.0,--,--,--,--,--,--,<0.00001,--,0.0002,0.0068,0.0002,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2013/5/13 上午 09:38:00,5126,1.0,27.5,24.0,34.7,8.1,--,6.4,92.2,2.1,--,--,--,--,--,--,0.00001,--,0.0006,0.0053,0.0001,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2013/2/4 上午 09:22:00,5126,1.0,20.3,17.5,33.7,8.1,--,7.6,96.1,4.8,0.4,<0.01,0.14,0.046,0.002,0.610,<0.00001,<0.001,0.0003,0.0016,<0.0001,<0.0003
基隆沿海海域,和平島,乙,2013/11/6 上午 10:10:00,5127,1.0,27.1,22.5,34.2,8.1,--,6.5,89.0,6.4,--,--,--,--,--,--,<0.00001,--,0.0003,0.0025,0.0002,<0.0003
基隆沿海海域,和平島,乙,2013/8/7 上午 10:15:00,5127,1.0,33.2,28.5,33.5,8.1,--,6.2,95.9,2.1,--,--,--,--,--,--,0.00001,--,0.0004,0.0074,0.0003,<0.0003
基隆沿海海域,和平島,乙,2013/5/13 上午 10:00:00,5127,1.0,27.7,23.7,34.7,8.1,--,6.4,91.3,<2.0,--,--,--,--,--,--,<0.00001,--,0.0003,0.0057,0.0002,<0.0003
基隆沿海海域,和平島,乙,2013/2/4 上午 09:48:00,5127,1.0,22.1,17.7,33.6,8.0,--,7.7,97.4,5.7,0.7,0.02,0.13,0.047,0.002,0.636,<0.00001,<0.001,0.0004,0.0014,0.0002,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2013/11/6 上午 07:14:00,5128,1.0,26.7,23.1,32.6,8.2,--,6.3,88.2,4.6,--,--,--,--,--,--,0.00001,--,0.0004,0.0064,<0.0001,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2013/8/7 上午 07:19:00,5128,1.0,30.9,28.5,33.6,8.1,--,6.1,93.8,2.9,--,--,--,--,--,--,<0.00001,--,0.0003,0.0489,0.0003,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2013/5/13 上午 07:27:00,5128,1.0,29.6,24.5,33.0,8.1,--,6.5,93.2,2.9,--,--,--,--,--,--,0.00004,--,0.0096,0.0190,<0.0001,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2013/2/4 上午 06:51:00,5128,1.0,19.6,18.0,31.7,8.1,--,7.6,95.3,4.9,1.0,<0.01,0.13,0.047,0.001,0.760,0.00001,<0.001,0.0003,0.0034,0.0002,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2013/11/6 上午 08:10:00,5129,1.0,26.3,22.1,28.5,8.2,--,7.2,95.8,8.2,--,--,--,--,--,--,0.00008,--,0.0150,0.0116,<0.0001,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2013/8/7 上午 08:33:00,5129,1.0,33.5,28.8,33.5,8.1,--,6.1,94.7,2.0,--,--,--,--,--,--,0.00002,--,0.0003,0.0261,0.0003,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2013/5/13 上午 08:28:00,5129,1.0,27.8,23.8,31.4,8.0,--,6.4,91.0,5.2,--,--,--,--,--,--,0.00002,--,0.0006,0.0575,0.0002,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2013/2/4 上午 08:05:00,5129,1.0,22.2,17.5,33.3,8.0,--,7.5,94.1,4.6,0.4,<0.01,0.13,0.020,0.002,0.868,0.00003,<0.001,0.0097,0.0045,0.0003,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2013/11/6 下午 12:50:00,5130,1.0,26.3,23.7,33.6,8.1,--,6.7,95.0,15.5,--,--,--,--,--,--,0.00001,--,0.0006,0.0032,0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2013/8/7 下午 03:37:00,5130,1.0,31.1,30.5,33.2,8.1,--,6.2,98.7,6.7,--,--,--,--,--,--,<0.00001,--,0.0003,0.0056,0.0002,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2013/5/13 下午 02:44:00,5130,1.0,26.5,25.9,26.8,8.1,--,6.3,90.1,5.0,--,--,--,--,--,--,0.00001,--,0.0004,0.0045,<0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2013/2/4 下午 01:43:00,5130,1.0,27.2,19.1,30.4,8.1,--,7.3,92.8,6.3,0.5,0.35,0.27,0.125,0.031,1.71,<0.00001,<0.001,0.0008,0.0044,<0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2013/11/6 上午 11:55:00,5131,1.0,26.3,23.6,33.4,8.0,--,6.8,94.8,12.9,--,--,--,--,--,--,0.00001,--,0.0005,0.0031,<0.0001,<0.0003
