採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
崎頂海水浴場,崎頂海水浴場右,乙,2008/9/1 下午 12:01:00,6033,29.1,8.3,45,32.8,6.3,0.10,0.09,0.017,32.1,0.110,6.3,98.1,0.117,350,320
新金山海水浴場,新金山海水浴場右,乙,2008/9/1 上午 11:56:00,6023,26.5,8.1,2.7,27.5,6.7,0.02,0.10,0.004,30.9,1.81,6.7,100.9,0.019,35,<10
崎頂海水浴場,崎頂海水浴場中,乙,2008/9/1 上午 11:50:00,6032,29.1,8.3,45,32.8,6.3,0.24,0.10,0.017,32.1,0.147,6.4,98.4,0.113,400,270
新金山海水浴場,新金山海水浴場中,乙,2008/9/1 上午 11:40:00,6022,26.3,8.1,7.2,27.4,6.7,0.02,0.06,0.002,31.1,1.38,6.5,101.5,0.033,30,10
崎頂海水浴場,崎頂海水浴場左,乙,2008/9/1 上午 11:40:00,6031,29.1,8.2,60,32.8,6.4,0.19,0.11,0.017,32.1,0.184,6.5,100.1,0.113,650,270
新金山海水浴場,新金山海水浴場左,乙,2008/9/1 上午 11:25:00,6021,26.2,8.1,3.6,27.4,6.8,0.02,0.08,0.003,31.0,1.28,6.6,102.0,0.036,35,<10
通霄海水浴場,通霄海水浴場右,乙,2008/9/1 上午 10:40:00,6043,29.8,8.2,8.0,33.6,6.5,0.04,0.01,<0.001,32.3,0.178,6.7,102.3,<0.003,<10,10
通霄海水浴場,通霄海水浴場中,乙,2008/9/1 上午 10:30:00,6042,29.6,8.2,9.1,33.6,6.7,<0.01,<0.01,<0.001,32.0,0.184,6.8,104.7,<0.003,15,<10
通霄海水浴場,通霄海水浴場左,乙,2008/9/1 上午 10:20:00,6041,29.5,8.1,8.6,33.6,6.7,0.01,<0.01,<0.001,32.0,0.193,6.7,105.1,<0.003,30,20
旗津海水浴場,旗津海水浴場右,乙,2008/9/1 上午 09:37:00,6083,29.5,8.2,16.0,29.4,6.2,<0.01,0.02,0.001,34.7,0.439,6.1,97.3,0.019,<10,10
