採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
崎頂海水浴場,崎頂海水浴場右,乙,2005/9/26 下午 01:05:00,6033,29.9,8.2,55,31.5,6.2,0.13,0.05,0.017,34.1,0.76,6.3,--,0.104,120,20
崎頂海水浴場,崎頂海水浴場中,乙,2005/9/26 下午 12:45:00,6032,29.8,8.2,55,31.5,6.2,0.12,0.04,0.017,34.1,0.96,6.3,--,0.104,130,64
崎頂海水浴場,崎頂海水浴場左,乙,2005/9/26 下午 12:30:00,6031,29.9,8.2,60,31.5,6.3,0.13,0.05,0.017,34.1,0.79,6.3,--,0.092,120,64
新金山海水浴場,新金山海水浴場右,乙,2005/9/26 上午 11:38:00,6023,28.3,8.1,3.4,27.3,6.7,0.03,0.06,0.006,31.3,2.05,6.9,--,0.025,110,31
新金山海水浴場,新金山海水浴場中,乙,2005/9/26 上午 11:26:00,6022,28.2,8.1,3.8,27.2,6.6,0.05,0.07,0.007,31.7,2.04,6.8,--,0.021,110,31
新金山海水浴場,新金山海水浴場左,乙,2005/9/26 上午 11:10:00,6021,28.3,8,3.2,27.2,6.5,0.06,0.07,0.006,30.9,3.19,6.8,--,0.031,120,42
通霄海水浴場,通霄海水浴場右,乙,2005/9/26 上午 10:45:00,6043,29.4,8.2,50,30.5,6.3,0.13,0.05,0.014,33.5,1.11,6.2,--,0.046,270,64
通霄海水浴場,通霄海水浴場中,乙,2005/9/26 上午 10:25:00,6042,29.5,8.2,50,30.5,6.3,0.14,0.06,0.015,33.5,1.07,6.3,--,0.043,120,110
通霄海水浴場,通霄海水浴場左,乙,2005/9/26 上午 10:15:00,6041,29.6,8.2,55,30.5,6.3,0.13,0.06,0.014,33.4,0.96,6.3,--,0.058,95,87
大安海水浴場,大安海水浴場右,乙,2005/9/26 上午 09:30:00,6053,29,8.2,60,28,6.6,0.1,0.08,0.015,32.6,1.34,6.5,--,0.037,1900,500
旗津海水浴場,旗津海水浴場右,乙,2005/9/26 上午 09:16:00,6083,29.4,8,24,30.1,6.2,<0.02,0.02,0.005,34.7,0.35,6.3,--,0.043,20,20
大安海水浴場,大安海水浴場中,乙,2005/9/26 上午 09:15:00,6052,29.2,8.2,55,28,6.4,0.04,0.09,0.016,32.5,1.14,6.5,--,0.049,1500,340
旗津海水浴場,旗津海水浴場中,乙,2005/9/26 上午 09:08:00,6082,29.4,8,22,30.1,6.2,<0.02,0.01,0.005,34.7,0.35,6.3,--,0.025,25,10
大安海水浴場,大安海水浴場左,乙,2005/9/26 上午 09:00:00,6051,29.1,8.2,45,28,6.5,0.16,0.09,0.016,32.5,1.2,6.4,--,0.043,1700,250
旗津海水浴場,旗津海水浴場左,乙,2005/9/26 上午 09:00:00,6081,29.4,8,27,30.1,6.2,<0.02,0.04,0.004,34.7,0.38,6.3,--,0.043,30,20
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2005/9/26 上午 07:00:00,6063,28.3,8.3,34,26.7,6.6,0.03,0.09,0.007,34,0.29,6.7,--,0.07,<10,20
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2005/9/26 上午 06:49:00,6062,28.4,8.3,34,26.7,6.4,0.03,0.02,0.004,33.9,0.28,6.5,--,0.043,<10,20
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2005/9/26 上午 06:32:00,6061,27.9,8.3,50,26.7,6.5,0.03,0.03,0.005,34,0.3,6.5,--,0.049,<10,20
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2005/9/26 上午 06:08:00,6093,27,8.1,6.2,24.7,6.2,<0.02,0.02,0.005,34.5,0.19,6.3,--,0.021,450,64
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2005/9/26 上午 06:00:00,6092,26.9,8.1,6.3,24.7,6.3,<0.02,0.03,0.004,34.5,0.18,6.3,--,0.028,490,53
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2005/9/26 上午 05:53:00,6091,26.9,8.1,6.6,24.7,6.3,<0.02,0.01,<0.001,34.5,0.18,6.3,--,0.015,490,64
西子灣海水浴場,西子灣海水浴場右,乙,2005/9/25 下午 05:28:00,6113,29,8.3,6.4,28.7,6.2,0.06,0.1,0.005,34.2,0.27,6.4,--,0.037,<10,20
西子灣海水浴場,西子灣海水浴場中,乙,2005/9/25 下午 05:17:00,6112,29.3,8.3,8.7,28.7,6.2,0.05,0.02,0.005,34.3,0.35,6.3,--,0.07,<10,<10
西子灣海水浴場,西子灣海水浴場左,乙,2005/9/25 下午 05:03:00,6111,29.4,8.2,9.9,28.7,6.2,0.05,0.07,0.005,34.2,0.29,6.3,--,0.025,<10,<10
杉原海水浴場,杉原海水浴場右,甲,2005/9/25 下午 04:35:00,6103,30.6,8.1,24,31.4,6.4,<0.02,0.04,0.005,34,0.56,6.4,--,0.037,10,64
杉原海水浴場,杉原海水浴場中,甲,2005/9/25 下午 04:28:00,6102,30.6,8.1,22,31.4,6.4,<0.02,0.04,0.005,34,0.58,6.4,--,0.031,10,20
杉原海水浴場,杉原海水浴場左,甲,2005/9/25 下午 04:20:00,6101,30.6,8,25,31.4,6.4,<0.02,0.04,0.006,34,0.56,6.4,--,0.025,15,87
崎頂海水浴場,崎頂海水浴場右,乙,2005/9/12 下午 12:55:00,6033,30.8,8.2,21,34,6.3,0.12,0.07,0.019,33.8,0.58,6.1,--,0.211,<10,20
崎頂海水浴場,崎頂海水浴場中,乙,2005/9/12 下午 12:35:00,6032,30.9,8.2,20,34,6.3,0.12,0.07,0.019,33.8,0.59,6.2,--,0.092,<10,20
崎頂海水浴場,崎頂海水浴場左,乙,2005/9/12 下午 12:20:00,6031,30.8,8.2,23,34,6.3,0.12,0.08,0.02,33.8,0.58,6.1,--,0.104,<10,20
新金山海水浴場,新金山海水浴場右,乙,2005/9/12 上午 10:51:00,6023,27.5,8.1,1.4,30.4,6.4,0.08,0.03,0.002,33,0.95,6.5,--,0.018,10,10
新金山海水浴場,新金山海水浴場中,乙,2005/9/12 上午 10:41:00,6022,27.5,8.1,1.5,30.2,6.4,0.08,0.05,0.003,32.6,1.01,6.1,--,0.015,<10,10
通霄海水浴場,通霄海水浴場右,乙,2005/9/12 上午 10:40:00,6043,30.2,8.2,29,33.5,6.4,0.11,0.08,0.013,32.1,1.2,6.3,--,0.043,40,87
新金山海水浴場,新金山海水浴場左,乙,2005/9/12 上午 10:30:00,6021,27.4,8,1.7,30.2,6.4,0.05,0.05,0.003,32.8,1.08,6.1,--,0.015,10,10
通霄海水浴場,通霄海水浴場中,乙,2005/9/12 上午 10:25:00,6042,30.2,8.2,22,33.5,6.5,0.12,0.06,0.01,32.4,0.92,6.4,--,0.07,40,64
通霄海水浴場,通霄海水浴場左,乙,2005/9/12 上午 10:10:00,6041,30.5,8.2,22,33.5,6.4,0.11,0.06,0.01,32.4,0.92,6.3,--,0.037,65,53
大安海水浴場,大安海水浴場右,乙,2005/9/12 上午 09:20:00,6053,28.5,8.2,130,29,6.4,0.07,0.06,0.009,32.9,0.84,6.4,--,0.034,800,220
旗津海水浴場,旗津海水浴場右,乙,2005/9/12 上午 09:07:00,6083,30.8,8.1,9.5,31.4,6.4,0.05,0.12,0.018,31.4,1.06,6.4,--,0.034,90,53
大安海水浴場,大安海水浴場中,乙,2005/9/12 上午 09:05:00,6052,28.4,8.2,110,29,6.5,0.06,0.05,0.007,32.8,0.83,6.4,--,0.043,1100,340
旗津海水浴場,旗津海水浴場中,乙,2005/9/12 上午 09:00:00,6082,30.8,8.1,9.5,31.4,6.4,0.04,0.11,0.016,31.4,1.04,6.5,--,0.028,170,75
旗津海水浴場,旗津海水浴場左,乙,2005/9/12 上午 08:53:00,6081,30.8,8.1,7.8,31.4,6.4,0.04,0.11,0.016,31.4,1.04,6.5,--,0.018,130,64
大安海水浴場,大安海水浴場左,乙,2005/9/12 上午 08:50:00,6051,28.3,8.2,100,29,6.4,0.07,0.05,0.007,32.8,0.81,6.4,--,0.04,800,250
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2005/9/12 上午 06:47:00,6063,27.7,8.2,19,27.4,6.2,0.04,0.04,0.017,33.1,0.4,6.1,--,0.055,<10,53
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2005/9/12 上午 06:34:00,6062,27.7,8.2,18,27.4,6.1,0.04,0.04,0.018,33.1,0.4,6.2,--,0.049,<10,42
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2005/9/12 上午 06:20:00,6061,27.5,8.2,17,27.4,6.3,0.07,0.04,0.017,33.1,0.4,6.2,--,0.049,<10,31
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2005/9/12 上午 06:15:00,6093,28,8,4.7,27.3,6.2,<0.02,0.04,0.002,34.8,0.22,6.2,--,0.015,3000,210
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2005/9/12 上午 06:08:00,6092,27.9,8.1,5.2,27.3,6.2,<0.02,0.02,0.002,34.8,0.21,6.2,--,0.018,1700,220
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2005/9/12 上午 06:00:00,6091,27.9,8.1,5.3,27.3,6.2,0.03,<0.01,0.018,34.8,0.23,6.2,--,0.015,2000,190
西子灣海水浴場,西子灣海水浴場右,乙,2005/9/11 下午 05:03:00,6113,28.8,8.3,4.6,29.8,6.5,0.02,0.05,0.013,33,0.15,6.5,--,0.015,35,20
西子灣海水浴場,西子灣海水浴場中,乙,2005/9/11 下午 04:51:00,6112,28.9,8.3,4.8,29.8,6.2,0.05,0.04,0.013,33,0.2,6.4,--,0.021,60,20
西子灣海水浴場,西子灣海水浴場左,乙,2005/9/11 下午 04:40:00,6111,29.1,8.2,9.5,29.8,6.1,0.13,0.11,0.005,32.8,0.38,6.3,--,0.04,2100,180
杉原海水浴場,杉原海水浴場右,甲,2005/9/11 下午 04:33:00,6103,29.3,8.1,4.8,31.4,6.3,<0.02,<0.01,<0.001,34.8,0.39,6.3,--,0.015,<10,<10
杉原海水浴場,杉原海水浴場中,甲,2005/9/11 下午 04:27:00,6102,29.3,8.1,5.6,31.4,6.3,<0.02,<0.01,0.001,34.8,0.39,6.3,--,0.012,<10,<10
杉原海水浴場,杉原海水浴場左,甲,2005/9/11 下午 04:20:00,6101,29.3,8.1,5.6,31.4,6.3,<0.02,0.02,<0.001,34.8,0.4,6.3,--,0.015,<10,<10
新金山海水浴場,新金山海水浴場右,乙,2005/8/29 下午 01:32:00,6023,31.8,8,4.5,30.1,6.2,<0.02,0.08,0.007,30.4,4.44,6.5,--,0.018,<10,110
新金山海水浴場,新金山海水浴場中,乙,2005/8/29 下午 01:17:00,6022,31.7,8,4.5,30,6.2,0.03,0.08,0.006,30.3,4.54,6.6,--,0.018,<10,160
崎頂海水浴場,崎頂海水浴場右,乙,2005/8/29 下午 01:15:00,6033,32.4,8.4,40,32,6,0.04,0.01,0.002,30.3,0.17,6.2,--,0.055,35,75
新金山海水浴場,新金山海水浴場左,乙,2005/8/29 下午 01:02:00,6021,31.8,8,3.8,30,6.2,<0.02,0.07,0.007,30.4,4.51,6.5,--,0.018,<10,140
崎頂海水浴場,崎頂海水浴場中,乙,2005/8/29 下午 12:55:00,6032,32.5,8.5,45,32,6,0.07,0.01,0.002,30.4,0.16,6.2,--,0.028,<10,120
