採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
新金山海水浴場,新金山海水浴場右,乙,2013/8/26 下午 01:45:00,6023,30.2,8.0,--,33.2,--,--,--,--,24.9,--,--,--,--,<10,<10
新金山海水浴場,新金山海水浴場中,乙,2013/8/26 下午 01:34:00,6022,30.1,7.7,--,33.2,--,--,--,--,20.0,--,--,--,--,<10,<10
新金山海水浴場,新金山海水浴場左,乙,2013/8/26 下午 01:25:00,6021,30.5,7.8,--,33.0,--,--,--,--,20.8,--,--,--,--,<10,10
福隆海水浴場,福隆海水浴場右,乙,2013/8/26 上午 10:55:00,6013,29.2,8.2,--,33.5,--,--,--,--,31.9,--,--,--,--,45,<10
福隆海水浴場,福隆海水浴場中,乙,2013/8/26 上午 10:44:00,6012,29.7,8.2,--,33.7,--,--,--,--,32.0,--,--,--,--,25,<10
福隆海水浴場,福隆海水浴場左,乙,2013/8/26 上午 10:35:00,6011,30.1,8.2,--,33.5,--,--,--,--,32.0,--,--,--,--,<10,<10
通霄海水浴場,通霄海水浴場右,乙,2013/8/26 上午 10:31:00,6043,30.2,8.1,--,29.9,--,--,--,--,32.3,--,--,--,--,25,42
通霄海水浴場,通霄海水浴場中,乙,2013/8/26 上午 10:21:00,6042,30.6,8.1,--,29.9,--,--,--,--,32.4,--,--,--,--,40,31
通霄海水浴場,通霄海水浴場左,乙,2013/8/26 上午 10:12:00,6041,30.5,8.1,--,29.9,--,--,--,--,32.4,--,--,--,--,60,64
磯崎海水浴場,磯崎海水浴場右,甲,2013/8/26 上午 09:17:00,6213,28.5,8.2,--,32.4,--,--,--,--,33.9,--,--,--,--,35,10
外澳濱海遊憩區,外澳濱海遊憩區右,甲,2013/8/26 上午 09:14:00,6173,28.5,8.2,--,31.4,--,--,--,--,31.6,--,--,--,--,40,<10
磯崎海水浴場,磯崎海水浴場中,甲,2013/8/26 上午 09:06:00,6212,28.6,8.2,--,32.2,--,--,--,--,34.0,--,--,--,--,<10,10
外澳濱海遊憩區,外澳濱海遊憩區中,甲,2013/8/26 上午 09:05:00,6172,28.7,8.2,--,31.4,--,--,--,--,31.7,--,--,--,--,35,10
外澳濱海遊憩區,外澳濱海遊憩區左,甲,2013/8/26 上午 08:55:00,6171,28.5,8.2,--,31.2,--,--,--,--,31.5,--,--,--,--,50,<10
磯崎海水浴場,磯崎海水浴場左,甲,2013/8/26 上午 08:55:00,6211,28.8,8.2,--,32.0,--,--,--,--,34.1,--,--,--,--,40,<10
西子灣海水浴場,西子灣海水浴場左,乙,2013/8/25 下午 02:10:00,6111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
西子灣海水浴場,西子灣海水浴場中,乙,2013/8/25 下午 02:10:00,6112,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
西子灣海水浴場,西子灣海水浴場右,乙,2013/8/25 下午 02:10:00,6113,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
杉原海水浴場,杉原海水浴場右,甲,2013/8/25 下午 01:35:00,6103,31.0,8.2,--,34.2,--,--,--,--,34.2,--,--,--,--,<10,10
杉原海水浴場,杉原海水浴場中,甲,2013/8/25 下午 01:30:00,6102,31.0,8.1,--,34.2,--,--,--,--,34.3,--,--,--,--,<10,<10
杉原海水浴場,杉原海水浴場左,甲,2013/8/25 下午 01:25:00,6101,29.8,8.1,--,34.2,--,--,--,--,33.6,--,--,--,--,<10,<10
旗津海水浴場,旗津海水浴場左,乙,2013/8/25 下午 01:15:00,6081,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
旗津海水浴場,旗津海水浴場中,乙,2013/8/25 下午 01:15:00,6082,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
旗津海水浴場,旗津海水浴場右,乙,2013/8/25 下午 01:15:00,6083,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2013/8/25 上午 11:05:00,6063,29.3,8.1,--,30.8,--,--,--,--,32.2,--,--,--,--,170,120
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2013/8/25 上午 10:55:00,6062,29.0,8.1,--,30.8,--,--,--,--,32.1,--,--,--,--,150,160
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2013/8/25 上午 10:45:00,6061,29.1,8.0,--,30.8,--,--,--,--,32.0,--,--,--,--,150,190
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2013/8/25 上午 10:12:00,6093,28.9,8.2,--,30.5,--,--,--,--,33.0,--,--,--,--,80,84
觀音亭,觀音亭右,甲,2013/8/25 上午 10:09:00,6263,30.0,8.1,--,29.4,--,--,--,--,32.9,--,--,--,--,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2013/8/25 上午 10:05:00,6092,29.0,8.2,--,30.5,--,--,--,--,32.9,--,--,--,--,130,41
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2013/8/25 上午 10:00:00,6091,28.8,8.2,--,30.5,--,--,--,--,32.8,--,--,--,--,170,98
觀音亭,觀音亭左,甲,2013/8/25 上午 09:56:00,6261,30.0,8.1,--,29.4,--,--,--,--,32.8,--,--,--,--,45,<10
觀音亭,觀音亭中,甲,2013/8/25 上午 09:50:00,6262,30.1,8.1,--,29.4,--,--,--,--,32.8,--,--,--,--,20,10
新金山海水浴場,新金山海水浴場右,乙,2013/7/29 下午 01:44:00,6023,28.8,8.1,--,33.7,--,--,--,--,32.4,--,--,--,--,<10,<10
新金山海水浴場,新金山海水浴場中,乙,2013/7/29 下午 01:38:00,6022,28.8,8.1,--,33.7,--,--,--,--,33.0,--,--,--,--,10,<10
新金山海水浴場,新金山海水浴場左,乙,2013/7/29 下午 01:32:00,6021,28.6,8.1,--,33.9,--,--,--,--,32.9,--,--,--,--,<10,<10
福隆海水浴場,福隆海水浴場右,乙,2013/7/29 上午 10:55:00,6013,28.4,8.1,--,33.7,--,--,--,--,32.9,--,--,--,--,<10,<10
福隆海水浴場,福隆海水浴場中,乙,2013/7/29 上午 10:49:00,6012,27.8,8.1,--,33.9,--,--,--,--,32.9,--,--,--,--,<10,<10
福隆海水浴場,福隆海水浴場左,乙,2013/7/29 上午 10:43:00,6011,28.2,8.1,--,33.8,--,--,--,--,32.8,--,--,--,--,25,<10
通霄海水浴場,通霄海水浴場右,乙,2013/7/29 上午 10:14:00,6043,31.2,8.1,--,32.0,--,--,--,--,32.9,--,--,--,--,110,75
通霄海水浴場,通霄海水浴場中,乙,2013/7/29 上午 10:10:00,6042,31.0,8.1,--,32.0,--,--,--,--,33.0,--,--,--,--,85,75
通霄海水浴場,通霄海水浴場左,乙,2013/7/29 上午 10:01:00,6041,30.9,8.1,--,32.0,--,--,--,--,33.1,--,--,--,--,100,87
磯崎海水浴場,磯崎海水浴場右,甲,2013/7/29 上午 09:19:00,6213,28.7,8.1,--,32.1,--,--,--,--,34.2,--,--,--,--,<10,<10
外澳濱海遊憩區,外澳濱海遊憩區左,甲,2013/7/29 上午 09:17:00,6171,27.2,8.2,--,32.2,--,--,--,--,32.5,--,--,--,--,<10,<10
外澳濱海遊憩區,外澳濱海遊憩區中,甲,2013/7/29 上午 09:10:00,6172,27.6,8.2,--,32.3,--,--,--,--,33.1,--,--,--,--,40,<10
磯崎海水浴場,磯崎海水浴場中,甲,2013/7/29 上午 09:07:00,6212,28.9,8.2,--,32.0,--,--,--,--,34.0,--,--,--,--,10,10
外澳濱海遊憩區,外澳濱海遊憩區右,甲,2013/7/29 上午 09:02:00,6173,27.5,8.2,--,32.2,--,--,--,--,32.8,--,--,--,--,<10,<10
