採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2002/11/14 下午 03:29:00,5123,1,--,23.8,31.5,7.6,5.7,--,--,4.8,0.3,--,<0.05,<0.025,0.003,0.41,<0.0005,<0.002,0.0041,0.0134,0.0246,<0.0006
基隆沿海海域,基隆港一,乙,2002/9/25 下午 03:51:00,5123,1,--,24.2,34.4,7.5,5.7,--,--,3.7,0.9,--,0.07,<0.025,0.007,0.5,<0.0005,<0.002,0.0016,0.0165,0.01,<0.0006
基隆沿海海域,基隆港一,乙,2002/6/18 下午 01:50:00,5123,1,--,28.2,31.5,7.6,5.3,--,--,<3,0.4,--,1.02,1.43,0.005,1.09,0.0016,<0.002,0.0034,0.0155,<0.004,0.0009
基隆沿海海域,基隆港一,乙,2002/3/13 上午 11:50:00,5123,1,--,21.4,32.1,7.6,7.1,--,--,<3,0.5,--,0.14,0.067,0.011,0.15,0.0009,<0.002,0.0079,0.0174,<0.004,<0.0006
基隆沿海海域,基隆港二,乙,2002/11/14 下午 02:55:00,5124,1,--,23.6,31.5,7.6,5.8,--,--,8.5,<0.1,--,<0.05,<0.025,0.005,0.3,<0.0005,<0.002,0.0011,0.0102,0.0175,<0.0006
基隆沿海海域,基隆港二,乙,2002/9/25 下午 03:36:00,5124,1,--,24.4,34.1,7.5,6.2,--,--,4,0.9,--,0.06,<0.025,0.007,0.42,0.0011,<0.002,0.0011,0.0076,<0.004,<0.0006
基隆沿海海域,基隆港二,乙,2002/6/18 下午 01:25:00,5124,1,--,26.7,31.3,7.7,5.3,--,--,3.3,0.2,--,0.29,0.156,0.006,0.32,0.001,<0.002,0.0032,0.0106,0.0049,<0.0006
基隆沿海海域,基隆港二,乙,2002/3/13 下午 12:10:00,5124,1,--,21.2,31.1,7.6,6.5,--,--,<3,0.4,--,0.45,0.083,0.012,0.48,0.0006,<0.002,0.002,0.0036,<0.004,<0.0006
基隆沿海海域,基隆拋泥區一,乙,2002/11/14 下午 03:42:00,5125,1,--,23.8,31.5,7.5,5.9,--,--,4.3,0.2,--,<0.05,<0.025,0.004,0.6,0.0006,<0.002,0.0007,0.0158,0.0095,<0.0006
基隆沿海海域,基隆拋泥區一,乙,2002/9/25 下午 03:15:00,5125,1,--,24.3,34.3,7.5,6.9,--,--,6.2,0.8,--,<0.05,0.04,0.008,0.54,<0.0005,<0.002,0.0015,0.0066,<0.004,<0.0006
基隆沿海海域,基隆拋泥區一,乙,2002/6/18 下午 01:05:00,5125,1,--,26.9,31.7,7.6,5.3,--,--,<3,<0.1,--,0.27,0.098,0.004,0.3,0.001,<0.002,0.0034,0.0082,0.0077,0.0006
基隆沿海海域,基隆拋泥區一,乙,2002/3/13 上午 11:30:00,5125,1,--,21.5,33.2,7.6,5.1,--,--,11.6,0.2,--,0.2,0.049,0.012,0.23,0.0009,<0.002,0.0024,0.0033,<0.004,0.001
基隆沿海海域,八斗子垃圾場,乙,2002/11/14 下午 02:30:00,5126,1,--,23.7,31.6,7.6,6,--,--,5.4,0.1,--,0.06,<0.025,0.005,0.39,<0.0005,<0.002,0.0041,0.0198,0.0159,<0.0006
基隆沿海海域,八斗子垃圾場,乙,2002/9/25 下午 02:35:00,5126,1,--,25,34.5,7.6,6.7,--,--,6.8,1.1,--,<0.05,<0.025,0.004,0.49,<0.0005,<0.002,<0.0005,0.0104,<0.004,<0.0006
基隆沿海海域,八斗子垃圾場,乙,2002/6/18 下午 12:25:00,5126,1,--,26.8,31.5,8,5.7,--,--,<3,<0.1,--,0.2,0.166,0.004,0.22,0.001,<0.002,0.0028,0.0112,0.0085,<0.0006
基隆沿海海域,八斗子垃圾場,乙,2002/3/13 上午 10:55:00,5126,1,--,21.3,33.4,7.6,4.4,--,--,<3,0.2,--,0.24,0.04,0.012,0.24,0.0008,<0.002,0.0027,0.0125,0.0046,0.0013
基隆沿海海域,和平島,乙,2002/11/14 下午 03:11:00,5127,1,--,23.7,31.5,7.7,5.8,--,--,6.5,<0.1,--,0.05,<0.025,0.004,0.59,<0.0005,<0.002,0.0043,0.0259,0.0144,<0.0006
基隆沿海海域,和平島,乙,2002/9/25 下午 02:55:00,5127,1,--,24.4,33.9,7.5,5.5,--,--,12.9,1.1,--,<0.05,0.046,0.007,0.38,0.0008,<0.002,0.004,0.0309,0.0054,<0.0006
基隆沿海海域,和平島,乙,2002/6/18 下午 12:45:00,5127,1,--,26.8,31.6,7.8,5.4,--,--,<3,<0.1,--,0.17,0.196,0.004,0.19,0.0012,<0.002,0.0029,0.0071,0.0084,<0.0006
基隆沿海海域,和平島,乙,2002/3/13 上午 11:10:00,5127,1,--,21.1,32.1,7.6,5.3,--,--,<3,0.1,--,0.29,0.04,0.011,0.3,0.0008,<0.002,0.0026,0.0123,0.0047,0.0016
台北沿海海域(甲),核四預定地外海,甲,2002/11/14 下午 01:02:00,5128,1,--,24,31.4,7.7,6.6,--,--,6.7,0.2,--,0.09,<0.025,0.008,0.49,<0.0005,<0.002,0.0025,0.0188,0.0202,<0.0006
台北沿海海域(甲),核四預定地外海,甲,2002/9/25 上午 10:35:00,5128,1,--,25.1,35.2,7.7,6.6,--,--,6.4,0.6,--,<0.05,<0.025,0.004,0.39,<0.0005,<0.002,0.028,0.0265,<0.004,<0.0006
台北沿海海域(甲),核四預定地外海,甲,2002/6/18 上午 11:05:00,5128,1,--,27.1,31.4,7.9,6,--,--,3.2,0.2,--,0.11,0.156,0.003,0.12,0.0015,<0.002,0.0049,0.0137,0.0103,0.0009
台北沿海海域(甲),核四預定地外海,甲,2002/3/13 上午 09:48:00,5128,1,--,19.3,33.4,7.6,4.6,--,--,<3,0.2,--,0.22,0.034,0.007,0.24,0.0007,<0.002,0.0032,0.0088,0.0046,0.001
台北沿海海域(乙),濂洞溪外海,乙,2002/11/14 下午 01:44:00,5129,1,--,23.9,31.6,7.8,6.2,--,--,5.2,0.4,--,<0.05,<0.025,0.017,0.41,<0.0005,<0.002,0.0035,0.0216,0.011,<0.0006
台北沿海海域(乙),濂洞溪外海,乙,2002/9/25 上午 11:15:00,5129,1,--,25.3,34.7,7.7,6.6,--,--,5.6,0.6,--,<0.05,<0.025,0.005,0.32,<0.0005,<0.002,0.0009,0.0126,<0.004,<0.0006
台北沿海海域(乙),濂洞溪外海,乙,2002/6/18 上午 11:25:00,5129,1,--,26.7,31.6,7.9,5.8,--,--,<3,0.2,--,0.16,0.239,0.005,0.18,0.0013,<0.002,0.003,0.0083,0.009,<0.0006
台北沿海海域(乙),濂洞溪外海,乙,2002/3/13 上午 10:05:00,5129,1,--,20.3,32.3,7.8,5.7,--,--,6.7,0.1,--,0.23,0.034,0.01,0.24,<0.0005,<0.002,0.0041,0.005,<0.004,0.0011
台北沿海海域(乙),八里污水廠外海一,乙,2002/11/14 下午 04:57:00,5130,1,--,23.6,31.2,7.6,5.5,--,--,15.4,0.2,--,0.06,<0.025,0.004,0.58,<0.0005,<0.002,0.0023,0.006,0.0085,<0.0006
台北沿海海域(乙),八里污水廠外海一,乙,2002/9/25 下午 05:35:00,5130,1,--,25.3,33.4,7.5,5.7,--,--,12.3,0.8,--,0.05,0.061,0.039,0.53,<0.0005,<0.002,0.0007,0.0047,<0.004,<0.0006
台北沿海海域(乙),八里污水廠外海一,乙,2002/6/18 下午 03:30:00,5130,1,--,28.2,31.2,7.6,5,--,--,<3,<0.1,--,0.41,0.35,0.007,0.43,0.0009,<0.002,0.0039,0.0199,0.0102,<0.0006
