採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2014/11/5 上午 10:40:00,5123,1.0,23.7,22.2,33.7,8.0,--,6.4,87.3,4.2,--,--,--,--,--,--,0.00002,--,0.0004,0.0033,0.0003,<0.0003
基隆沿海海域,基隆港一,乙,2014/8/18 上午 10:23:00,5123,1.0,30.5,28.3,33.7,8.0,--,6.0,92.7,11.2,--,--,--,--,--,--,0.00001,--,0.0004,0.0041,0.0002,<0.0003
基隆沿海海域,基隆港一,乙,2014/5/19 上午 09:37:00,5123,1.0,28.1,24.5,35.0,8.1,--,6.6,96.3,2.6,--,--,--,--,--,--,<0.00001,--,0.0002,0.0017,0.0001,<0.0003
基隆沿海海域,基隆港一,乙,2014/2/6 上午 11:01:00,5123,1.0,18.6,17.2,34.1,8.0,--,7.1,90.1,10.3,0.3,0.03,0.14,0.059,0.005,0.609,0.00002,<0.001,0.0004,0.0030,<0.0001,<0.0003
基隆沿海海域,基隆港二,乙,2014/11/5 上午 10:29:00,5124,1.0,23.4,21.9,33.5,8.0,--,6.3,85.2,5.6,--,--,--,--,--,--,0.00003,--,0.0004,0.0037,0.0003,<0.0003
基隆沿海海域,基隆港二,乙,2014/8/18 上午 10:09:00,5124,1.0,30.4,28.2,33.7,7.9,--,5.9,92.6,6.4,--,--,--,--,--,--,0.00002,--,0.0003,0.0046,0.0003,<0.0003
基隆沿海海域,基隆港二,乙,2014/5/19 上午 09:26:00,5124,1.0,28.1,24.1,35.0,8.1,--,6.6,94.7,4.2,--,--,--,--,--,--,0.00002,--,0.0003,0.0044,<0.0001,<0.0003
基隆沿海海域,基隆港二,乙,2014/2/6 上午 10:43:00,5124,1.0,18.5,17.0,34.0,8.0,--,7.4,93.6,4.4,0.3,<0.01,0.14,0.050,0.006,0.606,0.00002,<0.001,0.0004,0.0025,<0.0001,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2014/11/5 上午 10:20:00,5125,1.0,23.1,22.1,33.5,7.8,--,6.4,86.9,3.1,--,--,--,--,--,--,0.00002,--,0.0004,0.0037,0.0004,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2014/8/18 上午 09:55:00,5125,1.0,30.5,28.0,33.1,8.0,--,5.9,91.9,6.4,--,--,--,--,--,--,0.00001,--,0.0003,0.0055,0.0008,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2014/5/19 上午 09:14:00,5125,1.0,28.0,24.3,35.0,8.1,--,6.7,97.7,6.4,--,--,--,--,--,--,0.00001,--,0.0003,0.0033,0.0001,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2014/2/6 上午 10:30:00,5125,1.0,18.5,17.0,33.8,8.1,--,7.3,92.2,4.3,0.5,0.01,0.14,0.059,0.006,0.599,0.00002,<0.001,0.0005,0.0029,<0.0001,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2014/11/5 上午 09:41:00,5126,1.0,22.3,21.4,33.8,7.9,--,7.2,97.2,3.5,--,--,--,--,--,--,0.00002,--,0.0002,0.0032,<0.0001,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2014/8/18 上午 09:10:00,5126,1.0,30.4,28.2,33.5,7.9,--,6.0,92.1,5.7,--,--,--,--,--,--,0.00002,--,0.0005,0.0033,0.0002,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2014/5/19 上午 08:36:00,5126,1.0,25.9,23.4,35.0,8.1,--,6.5,92.6,3.6,--,--,--,--,--,--,0.00001,--,0.0003,0.0050,<0.0001,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2014/2/6 上午 09:35:00,5126,1.0,18.4,17.0,33.8,8.0,--,7.1,90.3,8.2,0.2,0.01,0.14,0.059,0.005,0.666,0.00002,<0.001,0.0002,0.0023,<0.0001,<0.0003
基隆沿海海域,和平島,乙,2014/11/5 上午 10:03:00,5127,1.0,22.8,21.6,33.8,7.9,--,5.8,80.2,5.5,--,--,--,--,--,--,0.00002,--,0.0008,0.0028,0.0001,<0.0003
基隆沿海海域,和平島,乙,2014/8/18 上午 09:39:00,5127,1.0,30.5,28.3,33.6,8.0,--,6.0,93.4,4.8,--,--,--,--,--,--,0.00002,--,0.0003,0.0034,0.0001,<0.0003
基隆沿海海域,和平島,乙,2014/5/19 上午 08:59:00,5127,1.0,27.9,23.9,35.1,8.1,--,6.5,93.1,3.1,--,--,--,--,--,--,0.00001,--,0.0004,0.0023,<0.0001,<0.0003
基隆沿海海域,和平島,乙,2014/2/6 上午 10:13:00,5127,1.0,18.5,17.1,33.9,8.0,--,7.4,93.8,7.3,0.5,0.01,0.13,0.060,0.006,0.596,0.00002,<0.001,0.0003,0.0024,0.0002,<0.0003
