採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
福隆海水浴場,福隆海水浴場右,乙,2004/10/4 上午 09:51:00,6013,24.3,8.2,1.4,--,--,--,0.12,0.006,26.8,2.49,--,--,<0.025,3500,240
福隆海水浴場,福隆海水浴場中,乙,2004/10/4 上午 09:40:00,6012,24.1,8.1,1.6,--,--,--,0.07,0.005,26.6,2.34,--,--,<0.025,2500,99
旗津海水浴場,旗津海水浴場右,乙,2004/10/4 上午 09:36:00,6083,29.1,8.3,8.1,--,--,--,<0.05,0.001,33.2,0.13,--,--,<0.025,20,<10
福隆海水浴場,福隆海水浴場左,乙,2004/10/4 上午 09:30:00,6011,24.1,8.1,1.8,--,--,--,0.12,0.005,26.8,2.82,--,--,<0.025,5300,220
旗津海水浴場,旗津海水浴場中,乙,2004/10/4 上午 09:29:00,6082,29.2,8.2,7.4,--,--,--,<0.05,<0.001,33.2,0.11,--,--,<0.025,<10,20
旗津海水浴場,旗津海水浴場左,乙,2004/10/4 上午 09:21:00,6081,29.1,8.3,6.3,--,--,--,<0.05,0.001,33.4,0.2,--,--,<0.025,<10,20
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2004/10/4 上午 07:20:00,6063,25.1,8.2,75,--,--,--,0.06,0.024,33.4,0.43,--,--,0.086,<10,87
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2004/10/4 上午 07:05:00,6062,25.1,8.2,65,--,--,--,0.07,0.024,33.4,0.42,--,--,0.089,<10,120
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2004/10/4 上午 06:50:00,6061,24.5,8.2,60,--,--,--,0.06,0.024,33.4,0.46,--,--,0.089,<10,110
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2004/10/4 上午 06:17:00,6093,25.9,8.2,5.6,--,--,--,<0.05,<0.001,34,0.19,--,--,<0.025,20,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2004/10/4 上午 06:09:00,6092,25.9,8.2,1.4,--,--,--,<0.05,<0.001,33.9,0.18,--,--,<0.025,15,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2004/10/4 上午 06:02:00,6091,25.8,8.2,1,--,--,--,<0.05,0.001,34,0.18,--,--,<0.025,<10,<10
西子灣海水浴場,西子灣海水浴場右,乙,2004/10/3 下午 05:30:00,6113,29.3,8.3,7.1,--,--,--,0.07,0.013,33.6,0.18,--,--,0.037,230,10
西子灣海水浴場,西子灣海水浴場中,乙,2004/10/3 下午 05:15:00,6112,29.3,8.3,7.6,--,--,--,0.06,0.014,33.5,0.16,--,--,0.034,290,10
杉原海水浴場,杉原海水浴場右,甲,2004/10/3 下午 05:05:00,6103,26.8,8.3,12,--,--,--,<0.05,0.001,34.6,0.25,--,--,<0.025,<10,<10
西子灣海水浴場,西子灣海水浴場左,乙,2004/10/3 下午 05:00:00,6111,29.3,8.2,5.6,--,--,--,0.05,0.013,33.6,0.19,--,--,0.034,160,<10
杉原海水浴場,杉原海水浴場中,甲,2004/10/3 下午 04:59:00,6102,26.9,8.3,10,--,--,--,<0.05,0.001,34.7,0.22,--,--,<0.025,<10,<10
杉原海水浴場,杉原海水浴場左,甲,2004/10/3 下午 04:53:00,6101,26.9,8.3,8.4,--,--,--,<0.05,0.001,34.5,0.25,--,--,0.025,<10,10
崎頂海水浴場,崎頂海水浴場右,乙,2004/9/13 下午 02:02:00,6033,28.5,7.9,16,--,--,--,0.22,0.017,29.1,1.41,--,--,<0.025,1100,240
崎頂海水浴場,崎頂海水浴場中,乙,2004/9/13 下午 01:51:00,6032,28.3,7.9,14,--,--,--,0.24,0.017,28.2,1.48,--,--,0.027,1700,320
崎頂海水浴場,崎頂海水浴場左,乙,2004/9/13 下午 01:40:00,6031,28.2,7.9,15,--,--,--,0.32,0.016,28.2,1.67,--,--,<0.025,1600,250
新金山海水浴場,新金山海水浴場右,乙,2004/9/13 上午 11:50:00,6023,28.2,8.1,1.3,--,--,--,0.06,0.021,30.1,1.38,--,--,0.028,170,31
新金山海水浴場,新金山海水浴場中,乙,2004/9/13 上午 11:42:00,6022,28.3,8.1,1.7,--,--,--,<0.05,0.021,30.2,1.44,--,--,0.028,130,20
新金山海水浴場,新金山海水浴場左,乙,2004/9/13 上午 11:30:00,6021,28.3,8.1,1.6,--,--,--,<0.05,0.02,30.1,1.43,--,--,<0.025,140,20
福隆海水浴場,福隆海水浴場右,乙,2004/9/13 上午 09:56:00,6013,25,7.5,10.4,--,--,--,0.5,<0.001,16.5,7.06,--,--,<0.025,4200,590
福隆海水浴場,福隆海水浴場中,乙,2004/9/13 上午 09:45:00,6012,25,7.5,10.4,--,--,--,0.54,0.002,16.5,8.16,--,--,0.028,7000,740
福隆海水浴場,福隆海水浴場左,乙,2004/9/13 上午 09:30:00,6011,25,7.4,10.3,--,--,--,0.55,<0.001,14.3,7.03,--,--,<0.025,5900,590
旗津海水浴場,旗津海水浴場右,乙,2004/9/13 上午 09:17:00,6083,28.3,8.1,12,--,--,--,<0.05,0.003,34,0.19,--,--,0.061,70,10
旗津海水浴場,旗津海水浴場中,乙,2004/9/13 上午 09:05:00,6082,28.3,8.1,12,--,--,--,<0.05,0.003,34.1,0.3,--,--,0.077,80,20
旗津海水浴場,旗津海水浴場左,乙,2004/9/13 上午 08:54:00,6081,28.4,8.1,11,--,--,--,<0.05,<0.001,34.1,0.36,--,--,<0.025,65,10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2004/9/13 上午 07:14:00,6063,27.5,8.2,30,--,--,--,0.05,0.01,31.7,0.68,--,--,0.089,810,250
