採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
新金山海水浴場,新金山海水浴場右,乙,2014/9/1 下午 01:38:00,6023,31.2,8.1,--,34.5,--,--,--,--,33.0,--,--,--,--,30,<10
新金山海水浴場,新金山海水浴場中,乙,2014/9/1 下午 01:32:00,6022,31.7,8.0,--,34.5,--,--,--,--,32.8,--,--,--,--,<10,<10
新金山海水浴場,新金山海水浴場左,乙,2014/9/1 下午 01:25:00,6021,31.5,8.0,--,34.7,--,--,--,--,32.9,--,--,--,--,20,<10
福隆海水浴場,福隆海水浴場右,乙,2014/9/1 上午 10:53:00,6013,29.5,8.0,--,34.8,--,--,--,--,33.0,--,--,--,--,<10,<10
福隆海水浴場,福隆海水浴場中,乙,2014/9/1 上午 10:46:00,6012,29.8,8.1,--,34.8,--,--,--,--,32.6,--,--,--,--,25,<10
福隆海水浴場,福隆海水浴場左,乙,2014/9/1 上午 10:36:00,6011,29.8,8.1,--,34.9,--,--,--,--,33.0,--,--,--,--,35,<10
外澳濱海遊憩區,外澳濱海遊憩區右,甲,2014/9/1 上午 09:16:00,6173,29.7,8.1,--,34.7,--,--,--,--,32.5,--,--,--,--,90,<10
通霄海水浴場,通霄海水浴場右,乙,2014/9/1 上午 09:10:00,6043,31.1,8.3,--,29.7,--,--,--,--,32.7,--,--,--,--,<10,<10
外澳濱海遊憩區,外澳濱海遊憩區中,甲,2014/9/1 上午 09:05:00,6172,29.4,8.1,--,34.6,--,--,--,--,32.6,--,--,--,--,90,<10
通霄海水浴場,通霄海水浴場中,乙,2014/9/1 上午 09:03:00,6042,31.0,8.3,--,29.7,--,--,--,--,32.7,--,--,--,--,<10,<10
通霄海水浴場,通霄海水浴場左,乙,2014/9/1 上午 08:56:00,6041,31.1,8.3,--,29.7,--,--,--,--,32.7,--,--,--,--,<10,20
外澳濱海遊憩區,外澳濱海遊憩區左,甲,2014/9/1 上午 08:55:00,6171,30.0,8.1,--,34.7,--,--,--,--,32.8,--,--,--,--,60,<10
旗津海水浴場,旗津海水浴場右,乙,2014/8/31 下午 03:50:00,6083,32.5,8.2,--,33.0,--,--,--,--,33.8,--,--,--,--,<10,<10
旗津海水浴場,旗津海水浴場中,乙,2014/8/31 下午 03:42:00,6082,32.4,8.2,--,33.0,--,--,--,--,33.8,--,--,--,--,<10,<10
旗津海水浴場,旗津海水浴場左,乙,2014/8/31 下午 03:35:00,6081,32.5,8.2,--,33.0,--,--,--,--,33.8,--,--,--,--,<10,<10
杉原海水浴場,杉原海水浴場右,甲,2014/8/31 下午 01:55:00,6103,31.1,8.1,--,34.9,--,--,--,--,33.8,--,--,--,--,<10,10
杉原海水浴場,杉原海水浴場中,甲,2014/8/31 下午 01:50:00,6102,31.2,8.1,--,34.9,--,--,--,--,33.8,--,--,--,--,15,<10
杉原海水浴場,杉原海水浴場左,甲,2014/8/31 下午 01:40:00,6101,31.1,8.1,--,34.9,--,--,--,--,33.9,--,--,--,--,<10,<10
西子灣海水浴場,西子灣海水浴場右,乙,2014/8/31 下午 01:16:00,6113,33.4,8.2,--,32.5,--,--,--,--,32.6,--,--,--,--,<10,<10
西子灣海水浴場,西子灣海水浴場中,乙,2014/8/31 下午 01:10:00,6112,33.4,8.2,--,32.5,--,--,--,--,32.6,--,--,--,--,10,<10
西子灣海水浴場,西子灣海水浴場左,乙,2014/8/31 下午 01:03:00,6111,33.4,8.2,--,32.5,--,--,--,--,32.7,--,--,--,--,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2014/8/31 下午 12:16:00,6093,30.8,8.1,--,33.9,--,--,--,--,33.8,--,--,--,--,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2014/8/31 下午 12:08:00,6092,30.9,8.1,--,33.9,--,--,--,--,33.8,--,--,--,--,10,10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2014/8/31 下午 12:00:00,6091,31.2,8.1,--,33.9,--,--,--,--,33.8,--,--,--,--,10,<10
港口海灘,港口海灘右,甲,2014/8/31 上午 10:45:00,6253,31.5,8.1,--,34.6,--,--,--,--,33.3,--,--,--,--,<10,<10
港口海灘,港口海灘中,甲,2014/8/31 上午 10:35:00,6252,31.5,8.1,--,34.6,--,--,--,--,33.3,--,--,--,--,<10,<10
港口海灘,港口海灘左,甲,2014/8/31 上午 10:25:00,6251,31.7,8.1,--,34.6,--,--,--,--,33.3,--,--,--,--,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2014/8/31 上午 10:13:00,6063,31.9,8.2,--,30.4,--,--,--,--,33.1,--,--,--,--,<10,<10
觀音亭,觀音亭右,甲,2014/8/31 上午 10:10:00,6263,30.2,8.1,--,30.8,--,--,--,--,33.4,--,--,--,--,10,<10
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2014/8/31 上午 10:07:00,6062,31.8,8.2,--,30.4,--,--,--,--,33.0,--,--,--,--,<10,10
觀音亭,觀音亭中,甲,2014/8/31 上午 10:01:00,6262,29.9,8.1,--,30.8,--,--,--,--,33.3,--,--,--,--,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2014/8/31 上午 10:00:00,6061,31.7,8.1,--,30.4,--,--,--,--,33.2,--,--,--,--,15,<10
觀音亭,觀音亭左,甲,2014/8/31 上午 09:49:00,6261,29.7,8.1,--,30.8,--,--,--,--,33.4,--,--,--,--,<10,<10
新金山海水浴場,新金山海水浴場右,乙,2014/7/28 下午 01:39:00,6023,30.6,8.1,--,34.3,--,--,--,--,32.3,--,--,--,--,330,<10
新金山海水浴場,新金山海水浴場中,乙,2014/7/28 下午 01:34:00,6022,30.3,8.1,--,34.3,--,--,--,--,31.9,--,--,--,--,70,<10
新金山海水浴場,新金山海水浴場左,乙,2014/7/28 下午 01:27:00,6021,30.1,8.0,--,34.4,--,--,--,--,31.8,--,--,--,--,130,<10
福隆海水浴場,福隆海水浴場右,乙,2014/7/28 上午 10:52:00,6013,30.0,8.1,--,34.2,--,--,--,--,30.6,--,--,--,--,65,<10
福隆海水浴場,福隆海水浴場中,乙,2014/7/28 上午 10:45:00,6012,29.8,8.1,--,34.1,--,--,--,--,30.8,--,--,--,--,40,<10
福隆海水浴場,福隆海水浴場左,乙,2014/7/28 上午 10:38:00,6011,29.4,8.1,--,34.1,--,--,--,--,31.0,--,--,--,--,<10,<10
通霄海水浴場,通霄海水浴場右,乙,2014/7/28 上午 10:17:00,6043,31.0,8.2,--,31.5,--,--,--,--,33.1,--,--,--,--,15,10
通霄海水浴場,通霄海水浴場中,乙,2014/7/28 上午 10:12:00,6042,31.3,8.2,--,31.5,--,--,--,--,33.3,--,--,--,--,10,20
通霄海水浴場,通霄海水浴場左,乙,2014/7/28 上午 10:02:00,6041,30.5,8.1,--,31.5,--,--,--,--,33.3,--,--,--,--,30,42
外澳濱海遊憩區,外澳濱海遊憩區左,甲,2014/7/28 上午 09:14:00,6171,29.2,8.1,--,32.0,--,--,--,--,32.1,--,--,--,--,130,10
外澳濱海遊憩區,外澳濱海遊憩區中,甲,2014/7/28 上午 09:05:00,6172,29.0,8.1,--,32.0,--,--,--,--,32.5,--,--,--,--,240,<10
外澳濱海遊憩區,外澳濱海遊憩區右,甲,2014/7/28 上午 08:56:00,6173,28.5,8.1,--,31.9,--,--,--,--,32.3,--,--,--,--,150,10
旗津海水浴場,旗津海水浴場右,乙,2014/7/27 下午 02:54:00,6083,30.5,8.1,--,30.2,--,--,--,--,31.0,--,--,--,--,<10,<10
旗津海水浴場,旗津海水浴場中,乙,2014/7/27 下午 02:47:00,6082,30.4,8.1,--,30.2,--,--,--,--,30.8,--,--,--,--,<10,<10
旗津海水浴場,旗津海水浴場左,乙,2014/7/27 下午 02:40:00,6081,30.4,8.1,--,30.2,--,--,--,--,30.5,--,--,--,--,<10,20
西子灣海水浴場,西子灣海水浴場右,乙,2014/7/27 下午 01:30:00,6113,31.2,8.1,--,34.0,--,--,--,--,31.7,--,--,--,--,<10,20
西子灣海水浴場,西子灣海水浴場中,乙,2014/7/27 下午 01:20:00,6112,31.1,8.1,--,34.0,--,--,--,--,31.7,--,--,--,--,<10,<10
西子灣海水浴場,西子灣海水浴場左,乙,2014/7/27 下午 01:10:00,6111,31.1,8.1,--,34.0,--,--,--,--,31.7,--,--,--,--,<10,<10
杉原海水浴場,杉原海水浴場右,甲,2014/7/27 上午 11:37:00,6103,31.5,8.1,--,33.7,--,--,--,--,33.3,--,--,--,--,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2014/7/27 上午 11:36:00,6093,31.2,8.1,--,33.4,--,--,--,--,33.2,--,--,--,--,50,<10
杉原海水浴場,杉原海水浴場中,甲,2014/7/27 上午 11:29:00,6102,31.5,8.1,--,33.7,--,--,--,--,33.2,--,--,--,--,55,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2014/7/27 上午 11:28:00,6092,31.0,8.1,--,33.4,--,--,--,--,33.1,--,--,--,--,<10,10
杉原海水浴場,杉原海水浴場左,甲,2014/7/27 上午 11:20:00,6101,31.4,8.1,--,33.7,--,--,--,--,33.3,--,--,--,--,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2014/7/27 上午 11:17:00,6091,31.1,8.1,--,33.4,--,--,--,--,32.7,--,--,--,--,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2014/7/27 上午 10:20:00,6063,30.6,8.1,--,33.4,--,--,--,--,33.2,--,--,--,--,<10,10
觀音亭,觀音亭右,甲,2014/7/27 上午 10:15:00,6263,30.5,8.1,--,33.5,--,--,--,--,32.8,--,--,--,--,<10,<10
港口海灘,港口海灘右,甲,2014/7/27 上午 10:13:00,6253,29.5,8.1,--,30.1,--,--,--,--,26.1,--,--,--,--,<10,30
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2014/7/27 上午 10:10:00,6062,30.5,8.1,--,33.4,--,--,--,--,33.2,--,--,--,--,<10,10
觀音亭,觀音亭中,甲,2014/7/27 上午 10:09:00,6262,31.7,8.2,--,33.5,--,--,--,--,32.7,--,--,--,--,<10,<10
港口海灘,港口海灘中,甲,2014/7/27 上午 10:06:00,6252,29.6,8.1,--,30.1,--,--,--,--,25.9,--,--,--,--,<10,31
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2014/7/27 上午 10:00:00,6061,30.1,8.1,--,33.4,--,--,--,--,33.3,--,--,--,--,<10,<10
觀音亭,觀音亭左,甲,2014/7/27 上午 10:00:00,6261,30.2,8.1,--,33.5,--,--,--,--,33.0,--,--,--,--,<10,<10
港口海灘,港口海灘左,甲,2014/7/27 上午 09:57:00,6251,29.6,8.1,--,30.1,--,--,--,--,25.7,--,--,--,--,10,31
新金山海水浴場,新金山海水浴場右,乙,2014/6/30 下午 01:42:00,6023,29.7,8.0,--,33.9,--,--,--,--,27.6,--,--,--,--,<10,<10
新金山海水浴場,新金山海水浴場中,乙,2014/6/30 下午 01:36:00,6022,29.7,8.0,--,33.9,--,--,--,--,25.8,--,--,--,--,<10,<10
新金山海水浴場,新金山海水浴場左,乙,2014/6/30 下午 01:30:00,6021,30.0,7.9,--,34.6,--,--,--,--,22.3,--,--,--,--,<10,<10
福隆海水浴場,福隆海水浴場右,乙,2014/6/30 上午 10:57:00,6013,28.8,8.1,--,35.0,--,--,--,--,30.3,--,--,--,--,200,<10
福隆海水浴場,福隆海水浴場中,乙,2014/6/30 上午 10:50:00,6012,28.8,8.1,--,35.0,--,--,--,--,30.5,--,--,--,--,200,<10
福隆海水浴場,福隆海水浴場左,乙,2014/6/30 上午 10:40:00,6011,29.1,8.1,--,35.0,--,--,--,--,30.2,--,--,--,--,180,30
通霄海水浴場,通霄海水浴場右,乙,2014/6/30 上午 10:13:00,6043,30.2,8.1,--,29.6,--,--,--,--,34.0,--,--,--,--,<10,<10
通霄海水浴場,通霄海水浴場中,乙,2014/6/30 上午 10:07:00,6042,30.5,8.1,--,29.6,--,--,--,--,33.9,--,--,--,--,10,<10
通霄海水浴場,通霄海水浴場左,乙,2014/6/30 上午 10:01:00,6041,30.5,8.1,--,29.6,--,--,--,--,33.9,--,--,--,--,<10,<10
外澳濱海遊憩區,外澳濱海遊憩區左,甲,2014/6/30 上午 09:20:00,6171,28.0,8.2,--,32.2,--,--,--,--,34.4,--,--,--,--,<10,41
外澳濱海遊憩區,外澳濱海遊憩區中,甲,2014/6/30 上午 09:13:00,6172,28.0,8.2,--,32.1,--,--,--,--,34.4,--,--,--,--,<10,<10
外澳濱海遊憩區,外澳濱海遊憩區右,甲,2014/6/30 上午 09:00:00,6173,28.0,8.1,--,31.8,--,--,--,--,34.3,--,--,--,--,<10,10
旗津海水浴場,旗津海水浴場右,乙,2014/6/29 下午 03:17:00,6083,32.5,8.2,--,32.5,--,--,--,--,33.7,--,--,--,--,<10,<10
旗津海水浴場,旗津海水浴場中,乙,2014/6/29 下午 03:10:00,6082,32.6,8.2,--,32.5,--,--,--,--,33.5,--,--,--,--,<10,<10
旗津海水浴場,旗津海水浴場左,乙,2014/6/29 下午 03:05:00,6081,31.3,8.2,--,32.5,--,--,--,--,33.6,--,--,--,--,20,20
西子灣海水浴場,西子灣海水浴場右,乙,2014/6/29 下午 02:42:00,6113,31.7,8.1,--,33.5,--,--,--,--,33.1,--,--,--,--,<10,<10
西子灣海水浴場,西子灣海水浴場中,乙,2014/6/29 下午 02:35:00,6112,31.5,8.1,--,33.5,--,--,--,--,33.1,--,--,--,--,<10,<10
西子灣海水浴場,西子灣海水浴場左,乙,2014/6/29 下午 02:13:00,6111,31.3,8.1,--,33.5,--,--,--,--,33.1,--,--,--,--,<10,<10
杉原海水浴場,杉原海水浴場右,甲,2014/6/29 下午 01:37:00,6103,30.7,8.1,--,36.2,--,--,--,--,34.2,--,--,--,--,<10,<10
杉原海水浴場,杉原海水浴場中,甲,2014/6/29 下午 01:31:00,6102,30.6,8.1,--,36.2,--,--,--,--,34.2,--,--,--,--,<10,<10
杉原海水浴場,杉原海水浴場左,甲,2014/6/29 下午 01:23:00,6101,30.8,8.1,--,36.2,--,--,--,--,34.2,--,--,--,--,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2014/6/29 上午 11:38:00,6093,30.7,8.2,--,33.4,--,--,--,--,34.1,--,--,--,--,450,170
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2014/6/29 上午 11:32:00,6092,30.9,8.1,--,33.4,--,--,--,--,34.1,--,--,--,--,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2014/6/29 上午 11:25:00,6091,30.8,8.1,--,33.4,--,--,--,--,34.1,--,--,--,--,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2014/6/29 上午 10:45:00,6063,31.2,8.1,--,33.3,--,--,--,--,34.4,--,--,--,--,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2014/6/29 上午 10:37:00,6061,31.4,8.1,--,33.3,--,--,--,--,34.4,--,--,--,--,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2014/6/29 上午 10:27:00,6062,31.4,8.1,--,33.3,--,--,--,--,34.4,--,--,--,--,<10,<10
港口海灘,港口海灘右,甲,2014/6/29 上午 10:15:00,6253,28.7,8.1,--,33.3,--,--,--,--,33.4,--,--,--,--,10,<10
港口海灘,港口海灘中,甲,2014/6/29 上午 10:10:00,6252,28.8,8.1,--,33.3,--,--,--,--,34.1,--,--,--,--,35,20
港口海灘,港口海灘左,甲,2014/6/29 上午 10:00:00,6251,29.5,8.1,--,33.3,--,--,--,--,34.1,--,--,--,--,40,10
觀音亭,觀音亭右,甲,2014/6/29 上午 08:43:00,6263,28.4,8.1,--,29.2,--,--,--,--,33.8,--,--,--,--,25,97
觀音亭,觀音亭中,甲,2014/6/29 上午 08:37:00,6262,28.3,8.1,--,29.2,--,--,--,--,33.8,--,--,--,--,75,<10
觀音亭,觀音亭左,甲,2014/6/29 上午 08:33:00,6261,28.3,8.1,--,29.2,--,--,--,--,33.8,--,--,--,--,130,52
