採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
淺水灣,淺水灣左,甲,2010/8/30 上午 07:32:00,6201,29.1,8.0,9.2,27.7,5.9,0.11,0.08,0.005,26.1,0.332,5.9,88.9,0.043,160,52
淺水灣,淺水灣中,甲,2010/8/30 上午 07:22:00,6202,29.0,8.0,10,27.6,5.9,0.12,0.10,0.007,25.7,0.348,5.8,87.9,0.026,200,30
淺水灣,淺水灣右,甲,2010/8/30 上午 07:10:00,6203,29.1,8.0,12,27.6,5.9,0.07,0.09,0.006,25.8,0.377,5.7,89.3,0.025,250,41
白砂沙灘,白砂沙灘右,甲,2010/8/29 下午 02:15:00,6243,30.1,8.1,2.8,31.2,6.4,0.06,0.02,0.002,33.5,0.257,6.3,101.8,0.022,15,<10
西子灣海水浴場,西子灣海水浴場中,乙,2010/8/29 下午 02:08:00,6112,30.3,8.2,7.6,27.0,6.6,<0.01,<0.01,0.001,33.6,0.133,6.5,105.2,0.012,<10,<10
白砂沙灘,白砂沙灘中,甲,2010/8/29 下午 02:08:00,6242,30.0,8.1,2.4,31.2,6.5,0.02,<0.01,0.003,33.4,0.243,6.5,102.6,0.007,<10,<10
白砂沙灘,白砂沙灘左,甲,2010/8/29 下午 02:00:00,6241,30.2,8.1,3.4,31.2,6.4,<0.01,0.04,0.001,33.5,0.230,6.6,102.4,0.008,<10,<10
西子灣海水浴場,西子灣海水浴場左,乙,2010/8/29 下午 01:56:00,6111,30.2,8.2,7.4,27.0,6.3,<0.01,0.01,0.001,33.4,0.172,6.2,100.4,0.008,<10,<10
旗津海水浴場,旗津海水浴場右,乙,2010/8/29 下午 01:50:00,6083,29.8,8.3,12,30.1,6.3,<0.01,0.02,0.002,32.9,0.380,6.2,98.4,0.009,15,10
西子灣海水浴場,西子灣海水浴場右,乙,2010/8/29 下午 01:48:00,6113,30.1,8.2,6.2,27.0,7.5,<0.01,<0.01,0.002,33.8,0.148,7.4,119.4,0.007,<10,20
旗津海水浴場,旗津海水浴場中,乙,2010/8/29 下午 01:40:00,6082,29.9,8.3,13,30.1,6.2,<0.01,0.02,0.001,32.9,0.373,6.2,97.8,0.008,15,<10
旗津海水浴場,旗津海水浴場左,乙,2010/8/29 下午 01:30:00,6081,29.8,8.3,12,30.1,6.2,<0.01,0.02,0.001,32.9,0.311,6.2,97.5,0.018,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2010/8/29 下午 12:38:00,6093,30.5,8.1,2.8,30.8,6.5,0.03,0.01,0.002,33.1,0.213,6.5,102.2,0.015,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2010/8/29 下午 12:32:00,6092,30.4,8.1,1.8,30.8,6.4,<0.01,0.04,0.002,32.9,0.291,6.5,101.2,0.005,15,10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2010/8/29 下午 12:20:00,6091,30.5,8.1,4.2,30.8,6.4,0.05,0.02,0.002,32.8,0.199,6.4,101.8,0.006,65,10
觀音亭,觀音亭右,甲,2010/8/29 下午 12:16:00,6263,30.6,8.2,2.0,33.3,6.9,<0.01,0.03,0.003,34.3,0.456,6.7,110.9,0.012,<10,<10
觀音亭,觀音亭中,甲,2010/8/29 下午 12:08:00,6262,30.9,8.2,2.6,33.3,6.8,<0.01,0.02,0.002,34.2,0.366,6.7,110.2,0.011,10,<10
觀音亭,觀音亭左,甲,2010/8/29 下午 12:00:00,6261,30.8,8.1,1.7,33.3,6.9,<0.01,0.02,0.003,34.1,0.441,6.8,110.8,0.012,<10,<10
船帆石,船帆石右,甲,2010/8/29 上午 11:35:00,6233,30.5,8.1,11,32.0,6.6,0.05,0.02,0.002,32.5,0.483,6.6,102.2,0.007,120,41
船帆石,船帆石中,甲,2010/8/29 上午 11:28:00,6232,30.6,8.1,7.7,32.0,6.6,0.04,0.01,0.002,32.6,0.270,6.7,102.5,0.003,60,20
船帆石,船帆石左,甲,2010/8/29 上午 11:15:00,6231,30.5,8.1,13,32.0,6.6,<0.01,0.03,0.002,32.4,0.273,6.7,102.8,0.004,100,20
山水沙灘,山水沙灘右,甲,2010/8/29 上午 11:12:00,6163,29.0,8.2,3.3,31.2,6.3,<0.01,0.04,0.001,34.2,0.286,6.1,98.7,0.011,<10,<10
山水沙灘,山水沙灘中,甲,2010/8/29 上午 11:06:00,6162,29.0,8.2,1.8,31.2,6.3,<0.01,0.02,0.002,34.1,0.196,6.1,98.5,0.022,<10,<10
山水沙灘,山水沙灘左,甲,2010/8/29 上午 11:00:00,6161,29.0,8.2,4.0,31.2,6.4,<0.01,0.03,0.001,34.2,0.169,6.2,99.1,0.012,<10,<10
中澳沙灘,中澳沙灘左,甲,2010/8/29 上午 10:35:00,6221,28.8,8.2,4.8,29.4,6.0,<0.01,0.02,0.002,31.9,0.174,6.0,92.9,0.013,530,120
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2010/8/29 上午 10:28:00,6061,31.6,8.2,7.9,32.5,6.4,<0.01,<0.01,<0.001,33.6,0.169,6.3,103.8,0.012,<10,<10
中澳沙灘,中澳沙灘中,甲,2010/8/29 上午 10:25:00,6222,28.6,8.2,3.7,29.4,6.1,<0.01,0.01,0.002,31.9,0.183,6.0,94.3,0.014,520,230
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2010/8/29 上午 10:20:00,6062,31.3,8.2,7.3,32.5,6.3,<0.01,<0.01,0.001,33.7,0.118,6.2,102.4,0.010,<10,<10
杉原海水浴場,杉原海水浴場右,甲,2010/8/29 上午 10:20:00,6103,29.4,8.1,2.7,31.2,6.3,<0.01,0.01,0.001,33.7,0.317,6.4,99.7,0.011,<10,<10
中澳沙灘,中澳沙灘右,甲,2010/8/29 上午 10:15:00,6223,28.8,8.2,2.8,29.4,6.1,<0.01,0.03,0.003,31.9,0.181,6.0,94.3,0.007,550,200
杉原海水浴場,杉原海水浴場中,甲,2010/8/29 上午 10:10:00,6102,29.5,8.2,3.6,31.2,6.4,<0.01,<0.01,0.001,33.7,0.297,6.4,101.4,0.008,<10,<10
港口海灘,港口海灘右,甲,2010/8/29 上午 10:10:00,6253,28.5,8.1,17,27.8,7.6,0.03,0.12,0.002,19.7,4.04,7.6,105.5,0.017,770,130
林投公園,林投公園右,甲,2010/8/29 上午 10:10:00,6273,29.3,8.2,11,29.5,6.2,<0.01,0.01,0.002,34.0,0.248,6.1,97.0,0.007,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2010/8/29 上午 10:08:00,6063,30.6,8.2,7.6,32.5,6.4,<0.01,<0.01,0.001,33.6,0.085,6.2,102.4,0.017,15,10
林投公園,林投公園中,甲,2010/8/29 上午 10:05:00,6272,29.6,8.2,14,29.5,6.2,<0.01,0.01,0.002,33.9,0.248,6.0,97.3,0.009,<10,<10
港口海灘,港口海灘中,甲,2010/8/29 上午 10:04:00,6252,28.6,8.1,14,27.8,7.6,0.02,0.08,0.002,19.4,2.55,7.7,106.2,0.011,2800,320
林投公園,林投公園左,甲,2010/8/29 上午 10:00:00,6271,29.5,8.2,8.7,29.5,6.2,<0.01,0.01,0.003,33.9,0.239,6.0,96.9,0.008,<10,<10
杉原海水浴場,杉原海水浴場左,甲,2010/8/29 上午 09:55:00,6101,29.5,8.1,5.9,31.2,6.4,<0.01,0.02,0.002,33.7,0.348,6.5,100.8,0.012,<10,<10
港口海灘,港口海灘左,甲,2010/8/29 上午 09:55:00,6251,28.4,8.3,17,27.8,7.5,<0.01,0.17,0.003,19.5,5.83,7.5,105.8,0.016,2600,260
福隆海水浴場,福隆海水浴場右,乙,2010/8/23 下午 02:41:00,6013,29.3,8.2,2.1,32.3,6.7,0.12,<0.01,0.002,31.8,0.329,6.5,104.1,0.019,530,<10
福隆海水浴場,福隆海水浴場中,乙,2010/8/23 下午 02:33:00,6012,29.7,8.1,3.0,32.4,6.5,0.02,<0.01,0.002,32.1,0.312,6.5,102.1,0.017,70,10
福隆海水浴場,福隆海水浴場左,乙,2010/8/23 下午 02:25:00,6011,29.6,8.1,4.5,32.3,6.6,0.04,0.01,0.001,31.9,0.329,6.6,102.1,0.016,20,<10
外澳濱海遊憩區,外澳濱海遊憩區右,甲,2010/8/23 下午 01:11:00,6173,30.4,8.1,3.3,32.5,6.3,<0.01,<0.01,0.002,31.7,0.319,6.3,99.9,0.013,<10,<10
外澳濱海遊憩區,外澳濱海遊憩區中,甲,2010/8/23 下午 01:03:00,6172,31.0,8.1,2.8,30.8,6.2,<0.01,0.01,0.002,31.9,0.326,6.2,98.2,0.014,<10,<10
外澳濱海遊憩區,外澳濱海遊憩區左,甲,2010/8/23 下午 12:55:00,6171,30.8,8.2,3.5,29.7,6.2,0.01,<0.01,0.001,31.7,0.329,6.2,97.0,0.014,<10,<10
大武崙沙灘,大武崙沙灘右,甲,2010/8/23 下午 12:15:00,6183,29.8,8.2,6.9,30.6,7.0,<0.01,<0.01,0.002,33.2,0.283,7.0,109.3,0.039,35,<10
大武崙沙灘,大武崙沙灘中,甲,2010/8/23 下午 12:05:00,6182,30.4,8.3,14,30.6,7.6,<0.01,<0.01,0.001,33.1,0.444,7.6,123.6,0.034,<10,10
大武崙沙灘,大武崙沙灘左,甲,2010/8/23 上午 11:55:00,6181,29.7,8.1,6.8,30.4,6.7,0.02,0.02,0.002,33.4,0.427,6.9,105.6,0.017,310,110
塘后,塘后右,甲,2010/8/23 上午 11:32:00,6283,27.9,8.1,2.8,32.2,6.9,0.04,0.03,0.002,34.2,0.234,6.7,105.6,0.029,<10,62
塘后,塘后中,甲,2010/8/23 上午 11:15:00,6282,28.0,8.1,2.4,32.1,6.8,0.05,0.04,0.002,34.1,0.227,6.7,105.3,0.016,<10,51
新金山海水浴場,新金山海水浴場左,乙,2010/8/23 上午 11:02:00,6021,28.9,8.1,4.2,34.6,6.1,0.01,<0.01,0.002,33.5,0.417,6.1,95.4,0.026,<10,<10
塘后,塘后左,甲,2010/8/23 上午 10:58:00,6281,28.0,8.0,3.0,32.1,6.9,0.03,0.02,0.002,34.0,0.201,6.9,105.4,0.049,<10,20
新金山海水浴場,新金山海水浴場中,乙,2010/8/23 上午 10:52:00,6022,28.9,8.1,4.4,34.6,6.2,0.01,<0.01,0.002,33.9,0.431,6.2,96.0,0.021,<10,<10
新金山海水浴場,新金山海水浴場右,乙,2010/8/23 上午 10:40:00,6023,28.7,8.1,3.2,34.6,6.2,<0.01,<0.01,0.002,33.7,0.375,6.2,97.1,0.020,<10,10
后湖海濱公園,后湖海濱公園右,乙,2010/8/23 上午 10:40:00,6143,28.6,8.2,21,29.5,6.3,0.03,0.02,0.002,33.0,0.116,6.4,97.1,0.021,20,<10
后湖海濱公園,后湖海濱公園中,乙,2010/8/23 上午 10:24:00,6142,28.6,8.1,20,29.4,6.3,<0.01,0.02,0.001,32.9,0.063,6.4,98.2,0.026,20,<10
