採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
台北沿海海域(乙),八里污水廠外海一,乙,2006/8/7 下午 01:30:00,5130,1.0,32.1,29.6,33.2,8.2,6.6,6.9,109.7,6.1,4.1,0.03,<0.01,0.011,0.004,<0.05,0.000014,0.001040,0.000894,0.004910,<0.0002,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2006/5/4 下午 12:50:00,5130,1.0,28.3,26.2,33.9,8.2,6.3,6.4,95.9,5.3,0.3,0.05,0.06,0.029,0.010,0.35,0.000013,<0.0010,0.0010,0.0033,0.000274,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2006/11/8 下午 01:30:00,5131,1.0,28.5,25.4,34.8,8.2,6.4,6.6,95.7,6.0,0.6,0.05,0.05,0.048,0.038,0.37,<0.000001,0.001120,0.000843,0.005650,0.000226,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2006/8/7 下午 02:10:00,5131,1.0,33.1,30.9,33.1,8.3,6.5,6.6,107.1,6.6,8.3,0.03,<0.01,0.023,0.006,<0.05,0.000020,0.001050,0.005820,0.003850,0.000626,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2006/5/4 下午 01:40:00,5131,1.0,28.1,26.4,15.5,8.2,5.7,5.8,70.3,6.4,0.1,0.70,0.47,0.278,0.039,6.38,0.000016,<0.0010,0.0010,0.0059,0.000230,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2006/11/9 上午 07:10:00,5132,1.0,26.1,23.5,34.5,8.2,6.4,6.4,90.8,6.4,0.6,0.08,0.07,0.060,0.056,0.46,<0.000001,0.001260,0.000580,0.001950,<0.0002,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2006/8/8 上午 07:40:00,5132,1.0,29.8,30.0,33.9,8.3,6.9,7.0,111.4,5.9,3.3,<0.02,0.01,0.005,0.004,<0.05,0.000031,<0.001000,0.000494,0.002040,<0.0002,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2006/5/5 上午 07:50:00,5132,1.0,25.9,25.4,33.3,8.2,6.2,6.4,94.6,5.3,0.7,0.11,0.09,0.053,0.014,0.50,0.000018,<0.0010,0.0010,0.0058,<0.0002,<0.0003
台北沿海海域(乙),深澳發電廠外海,乙,2006/11/8 上午 09:15:00,5133,1.0,26.1,23.0,35.0,8.2,6.7,6.7,94.5,4.6,0.5,<0.02,0.03,0.021,0.006,0.27,<0.000001,0.001080,0.001920,0.002950,<0.0002,<0.0003
台北沿海海域(乙),深澳發電廠外海,乙,2006/8/7 上午 09:45:00,5133,1.0,28.4,29.6,34.4,8.2,5.9,6.0,95.6,<2.0,1.2,0.03,<0.01,<0.004,0.002,0.13,0.000011,0.001110,0.000778,0.003800,<0.0002,<0.0003
