採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2004/11/9 上午 11:50:00,5123,1,--,23.4,32.2,8.2,7.1,7,83.8,5,1,--,<0.05,<0.025,0.006,0.35,<0.0005,<0.002,0.0015,0.0038,<0.004,<0.0006
基隆沿海海域,基隆港一,乙,2004/9/2 下午 02:32:00,5123,1,--,27.9,33.5,8.2,6.6,6.5,84.4,4.2,0.7,--,<0.05,0.025,0.002,0.63,<0.0005,<0.002,0.0012,0.0042,<0.004,0.0006
基隆沿海海域,基隆港一,乙,2004/5/13 下午 02:20:00,5123,1,--,26.8,33.4,8.3,5.3,5,63.7,<3,1.9,--,0.1,<0.025,<0.001,0.31,<0.0005,<0.002,0.0009,0.0007,<0.004,0.001
基隆沿海海域,基隆港一,乙,2004/2/13 上午 10:47:00,5123,1,--,19.4,33.2,8,5.3,5.7,63.2,<3,0.3,--,0.11,0.074,<0.001,0.78,<0.0005,<0.002,0.0008,0.0061,0.0046,0.0008
基隆沿海海域,基隆港二,乙,2004/11/9 下午 12:15:00,5124,1,--,23.3,31.9,8.3,6.7,6.6,78.9,5.1,1.2,--,0.06,<0.025,0.004,0.45,<0.0005,<0.002,0.0014,0.0031,<0.004,<0.0006
基隆沿海海域,基隆港二,乙,2004/9/2 下午 03:14:00,5124,1,--,28,33,8.2,6.6,6.4,83.2,13,1.1,--,<0.05,0.028,0.007,0.5,<0.0005,<0.002,0.0011,0.0022,<0.004,<0.0006
基隆沿海海域,基隆港二,乙,2004/5/13 下午 03:00:00,5124,1,--,26.7,33.3,8.3,5.4,5,63.6,<3,0.3,--,0.08,<0.025,0.001,0.32,<0.0005,<0.002,0.0015,<0.0005,<0.004,0.0007
基隆沿海海域,基隆港二,乙,2004/2/13 上午 10:59:00,5124,1,--,18.9,33.1,8,6.9,5.5,60.4,3.3,0.2,--,0.11,0.074,<0.001,0.78,<0.0005,<0.002,0.0009,0.0053,0.0051,<0.0006
基隆沿海海域,基隆拋泥區一,乙,2004/11/9 上午 11:24:00,5125,1,--,23.2,32.1,8.3,7.2,7,83.5,5.8,1.4,--,<0.05,<0.025,0.005,0.3,<0.0005,<0.002,0.0014,0.0043,<0.004,<0.0006
基隆沿海海域,基隆拋泥區一,乙,2004/9/2 下午 01:41:00,5125,1,--,25.8,33.9,8.2,6.3,6.2,77.6,6,0.5,--,<0.05,0.028,0.009,0.51,<0.0005,<0.002,0.0007,0.0023,<0.004,<0.0006
