採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2011/10/28 上午 10:34:00,5123,1.0,26.3,23.0,33.7,8.1,--,6.8,95.5,3.4,3.0,<0.01,0.06,0.026,0.006,0.271,0.00002,0.0043,0.0004,0.0060,0.0004,<0.0003
基隆沿海海域,基隆港一,乙,2011/8/1 上午 10:38:00,5123,1.0,29.2,27.8,34.3,8.2,--,6.4,98.4,<2.0,1.0,0.01,0.01,0.015,0.002,0.180,<0.00001,0.0027,<0.0001,<0.0002,<0.0001,<0.0003
基隆沿海海域,基隆港一,乙,2011/5/2 上午 10:17:00,5123,1.0,25.0,23.6,35.9,8.1,--,6.6,94.5,3.3,0.3,<0.01,0.02,0.014,0.003,0.178,0.00002,0.0025,0.0021,0.0061,0.0003,<0.0003
基隆沿海海域,基隆港一,乙,2011/2/22 上午 10:01:00,5123,1.0,17.2,18.6,34.8,8.1,--,6.4,82.5,2.9,0.1,0.03,0.17,0.064,0.006,0.866,0.00002,<0.001,0.0004,0.0031,0.0003,<0.0003
基隆沿海海域,基隆港二,乙,2011/10/28 上午 10:16:00,5124,1.0,24.4,22.4,33.7,8.1,--,6.7,92.8,6.6,2.1,0.01,0.09,0.033,0.005,0.354,0.00001,0.0048,0.0002,0.0025,0.0010,<0.0003
基隆沿海海域,基隆港二,乙,2011/8/1 上午 10:20:00,5124,1.0,29.2,26.8,34.4,8.1,--,6.3,94.8,2.5,0.7,0.02,0.02,0.015,0.002,0.240,0.00001,0.0031,0.0009,0.0025,0.0001,<0.0003
基隆沿海海域,基隆港二,乙,2011/5/2 上午 10:04:00,5124,1.0,24.9,23.4,35.9,8.1,--,6.4,92.3,4.8,0.3,0.01,0.03,0.017,0.003,0.215,0.00002,0.0024,0.0036,0.0087,0.0004,<0.0003
基隆沿海海域,基隆港二,乙,2011/2/22 上午 09:48:00,5124,1.0,17.1,18.6,36.0,8.0,--,6.2,81.6,3.7,0.1,<0.01,0.12,0.054,0.004,0.712,0.00001,<0.001,0.0002,0.0018,0.0003,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2011/10/28 上午 09:56:00,5125,1.0,24.7,23.2,33.7,8.2,--,6.9,96.6,3.2,2.7,<0.01,0.06,0.019,0.006,0.255,0.00002,0.0043,0.0004,0.0032,0.0014,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2011/8/1 上午 10:09:00,5125,1.0,29.3,27.9,34.4,8.1,--,6.4,97.9,2.2,0.6,0.02,<0.01,0.012,0.001,0.153,0.00002,0.0028,0.0017,0.0028,0.0002,<0.0003
