採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
淺水灣,淺水灣右,甲,2011/8/29 下午 01:16:00,6203,27.8,8.1,50,28.1,6.4,0.02,0.11,0.005,33.4,0.986,--,100.9,0.051,95,31
淺水灣,淺水灣中,甲,2011/8/29 下午 01:09:00,6202,27.9,8.1,45,28.1,6.5,0.02,0.12,0.006,33.1,1.17,--,101.7,0.057,120,41
淺水灣,淺水灣左,甲,2011/8/29 下午 01:00:00,6201,27.9,8.0,40,28.0,6.2,0.02,0.14,0.005,33.2,1.10,--,97.2,0.050,70,<10
新金山海水浴場,新金山海水浴場右,乙,2011/8/29 上午 10:54:00,6023,26.5,8.1,4.3,23.2,6.7,0.04,0.05,0.005,33.4,1.49,--,100.2,0.033,45,10
新金山海水浴場,新金山海水浴場中,乙,2011/8/29 上午 10:40:00,6022,26.5,8.1,8.6,23.1,6.7,0.04,0.06,0.005,33.6,1.44,--,100.3,0.035,60,20
崎頂海水浴場,崎頂海水浴場左,乙,2011/8/29 上午 10:40:00,6031,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
崎頂海水浴場,崎頂海水浴場中,乙,2011/8/29 上午 10:40:00,6032,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
崎頂海水浴場,崎頂海水浴場右,乙,2011/8/29 上午 10:40:00,6033,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新金山海水浴場,新金山海水浴場左,乙,2011/8/29 上午 10:30:00,6021,26.6,8.1,7.2,23.2,6.7,0.04,0.05,0.005,33.5,1.06,--,100.2,0.034,35,20
通霄海水浴場,通霄海水浴場左,乙,2011/8/29 上午 09:00:00,6041,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
通霄海水浴場,通霄海水浴場中,乙,2011/8/29 上午 09:00:00,6042,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
通霄海水浴場,通霄海水浴場右,乙,2011/8/29 上午 09:00:00,6043,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福隆海水浴場,福隆海水浴場左,乙,2011/8/29 上午 12:00:00,6011,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福隆海水浴場,福隆海水浴場中,乙,2011/8/29 上午 12:00:00,6012,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
福隆海水浴場,福隆海水浴場右,乙,2011/8/29 上午 12:00:00,6013,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
白沙灣海水浴場,白沙灣海水浴場左,乙,2011/8/29 上午 12:00:00,6121,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
白沙灣海水浴場,白沙灣海水浴場中,乙,2011/8/29 上午 12:00:00,6122,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
白沙灣海水浴場,白沙灣海水浴場右,乙,2011/8/29 上午 12:00:00,6123,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
后湖海濱公園,后湖海濱公園左,乙,2011/8/29 上午 12:00:00,6141,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
