採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
崎頂海水浴場,崎頂海水浴場右,乙,2007/10/1 下午 12:20:00,6033,29.8,8.3,38,30.1,6.3,0.20,0.05,0.014,33.3,0.281,6.6,102.5,0.128,500,53
崎頂海水浴場,崎頂海水浴場中,乙,2007/10/1 下午 12:05:00,6032,29.6,8.2,39,30.1,6.4,0.20,0.05,0.014,33.4,0.230,6.5,101.7,0.135,650,53
崎頂海水浴場,崎頂海水浴場左,乙,2007/10/1 上午 11:50:00,6031,29.5,8.2,38,30.1,6.5,0.21,0.05,0.013,33.4,0.217,6.6,103.3,0.137,350,20
新金山海水浴場,新金山海水浴場右,乙,2007/10/1 上午 11:45:00,6023,24.5,8.3,8.5,32.5,6.9,<0.02,0.07,0.008,33.8,1.37,7.0,100.9,0.037,35,20
新金山海水浴場,新金山海水浴場中,乙,2007/10/1 上午 11:35:00,6022,24.4,8.3,9.2,31.8,7.4,0.02,0.08,0.006,33.8,1.39,7.4,106.6,0.037,40,20
新金山海水浴場,新金山海水浴場左,乙,2007/10/1 上午 11:20:00,6021,24.3,8.3,7.7,31.2,7.4,<0.02,0.07,0.005,33.8,1.35,7.4,105.8,0.033,25,53
通霄海水浴場,通霄海水浴場右,乙,2007/10/1 上午 10:30:00,6043,29.8,8.3,50,33.0,6.3,0.03,0.02,0.001,33.5,0.331,6.3,102.8,0.043,<10,20
通霄海水浴場,通霄海水浴場中,乙,2007/10/1 上午 10:15:00,6042,29.9,8.3,50,33.0,6.4,0.05,0.02,0.001,33.5,0.342,6.5,102.5,0.040,<10,20
通霄海水浴場,通霄海水浴場左,乙,2007/10/1 上午 10:00:00,6041,29.8,8.3,50,33.0,6.5,0.10,0.03,0.002,33.3,0.280,6.6,103.4,0.056,<10,10
福隆海水浴場,福隆海水浴場右,乙,2007/10/1 上午 09:27:00,6013,23.8,8.3,2.1,28.4,6.6,0.02,0.08,0.004,34.0,0.801,6.7,94.5,0.040,85,20
旗津海水浴場,旗津海水浴場右,乙,2007/10/1 上午 09:26:00,6083,29.6,8.1,14.0,31.4,6.4,0.03,0.07,0.009,34.9,0.143,6.3,102.4,0.026,65,10
