採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2002/9/9 下午 04:45:00,6073,30.3,8.2,11,--,--,--,<0.05,<0.001,33.7,0.15,--,--,<0.008,<10,20
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2002/9/9 下午 04:25:00,6072,30.2,8.21,13,--,--,--,<0.05,<0.001,33.6,0.15,--,--,<0.008,10,10
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2002/9/9 下午 04:10:00,6071,30.4,8.19,10,--,--,--,<0.05,0.001,33.6,0.15,--,--,<0.008,10,<10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2002/9/9 下午 03:30:00,6063,31.3,8.17,11,--,--,--,<0.05,<0.001,33.5,0.15,--,--,<0.008,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2002/9/9 下午 03:15:00,6062,31.3,8.16,9.7,--,--,--,<0.05,<0.001,33.5,0.18,--,--,<0.008,25,20
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2002/9/9 下午 02:50:00,6061,31.5,8.17,4.6,--,--,--,0.09,0.002,33.5,0.2,--,--,<0.008,10,31
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2002/9/9 下午 02:05:00,6093,29.9,8.12,16,--,--,--,<0.05,<0.001,33.9,0.25,--,--,<0.008,50,42
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2002/9/9 下午 01:55:00,6092,29.8,8.12,12,--,--,--,<0.05,0.001,33.9,0.18,--,--,<0.008,290,87
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2002/9/9 下午 01:45:00,6091,29.8,8.13,6,--,--,--,<0.05,<0.001,33.9,0.23,--,--,<0.008,420,137
旗津海水浴場,旗津海水浴場右,乙,2002/9/9 下午 01:10:00,6083,28.5,8.11,3.6,--,--,--,<0.05,0.002,33.5,0.18,--,--,<0.008,<10,10
旗津海水浴場,旗津海水浴場中,乙,2002/9/9 下午 12:58:00,6082,28.6,8.1,4.7,--,--,--,<0.05,0.003,33.6,0.15,--,--,<0.008,<10,<10
新金山海水浴場,新金山海水浴場右,乙,2002/9/9 下午 12:50:00,6023,27.9,7.7,2.8,--,--,--,0.05,0.007,33.1,0.86,--,--,<0.008,10,<10
旗津海水浴場,旗津海水浴場左,乙,2002/9/9 下午 12:50:00,6081,28.5,8.08,7.5,--,--,--,0.06,0.003,33.6,0.38,--,--,<0.008,<10,31
新金山海水浴場,新金山海水浴場中,乙,2002/9/9 下午 12:38:00,6022,27.9,7.7,2.5,--,--,--,<0.05,0.006,33.1,0.84,--,--,<0.008,5,10
新金山海水浴場,新金山海水浴場左,乙,2002/9/9 下午 12:25:00,6021,27.9,7.7,2.7,--,--,--,<0.05,0.009,33.3,0.74,--,--,0.021,5,10
崎頂海水浴場,崎頂海水浴場右,乙,2002/9/9 上午 11:59:00,6033,28.7,8.2,50,--,--,--,0.13,0.02,33.3,1.8,--,--,0.093,1000,53
崎頂海水浴場,崎頂海水浴場中,乙,2002/9/9 上午 11:51:00,6032,28.7,8.2,45,--,--,--,0.1,0.015,33.2,1.35,--,--,0.09,450,53
崎頂海水浴場,崎頂海水浴場左,乙,2002/9/9 上午 11:41:00,6031,28.6,8.2,45,--,--,--,0.11,0.015,33.2,1.21,--,--,0.08,1000,124
福隆海水浴場,福隆海水浴場右,乙,2002/9/9 上午 10:20:00,6013,28.7,7.9,3.7,--,--,--,0.16,0.004,15.5,4.34,--,--,<0.008,700,150
通霄海水浴場,通霄海水浴場右,乙,2002/9/9 上午 10:17:00,6043,27.2,8.2,18,--,--,--,0.06,0.006,33.4,0.972,--,--,0.024,65,42
福隆海水浴場,福隆海水浴場中,乙,2002/9/9 上午 10:13:00,6012,28.7,7.8,3.6,--,--,--,0.3,0.006,15.6,4.42,--,--,<0.008,800,42
通霄海水浴場,通霄海水浴場中,乙,2002/9/9 上午 10:09:00,6042,27.2,8.2,20,--,--,--,<0.05,0.008,33.4,1.05,--,--,0.024,95,42
福隆海水浴場,福隆海水浴場左,乙,2002/9/9 上午 10:05:00,6011,28.7,7.8,4,--,--,--,0.24,0.006,15.5,4.48,--,--,<0.008,110,<10
通霄海水浴場,通霄海水浴場左,乙,2002/9/9 上午 10:00:00,6041,27.1,8.2,23,--,--,--,<0.05,0.006,33.4,1.08,--,--,0.021,50,31
大安海水浴場,大安海水浴場右,乙,2002/9/9 上午 08:39:00,6053,27.1,8.2,120,--,--,--,0.08,0.008,33.5,1.46,--,--,0.044,350,192
大安海水浴場,大安海水浴場中,乙,2002/9/9 上午 08:30:00,6052,27,8.2,150,--,--,--,0.09,0.014,33.4,1.31,--,--,0.029,450,271
大安海水浴場,大安海水浴場左,乙,2002/9/9 上午 08:20:00,6051,27,8.2,130,--,--,--,0.07,0.007,33.5,1.35,--,--,0.031,900,164
新金山海水浴場,新金山海水浴場右,乙,2002/8/26 下午 01:11:00,6023,23.4,7.9,1.9,--,--,--,<0.05,0.004,33,0.19,--,--,0.036,20,<10
新金山海水浴場,新金山海水浴場中,乙,2002/8/26 下午 01:00:00,6022,23.4,7.8,2.6,--,--,--,<0.05,0.001,32.6,0.26,--,--,<0.008,230,<10
新金山海水浴場,新金山海水浴場左,乙,2002/8/26 下午 12:50:00,6021,23.4,7.8,2.1,--,--,--,<0.05,0.004,32.7,0.31,--,--,<0.008,21,<10
崎頂海水浴場,崎頂海水浴場右,乙,2002/8/26 下午 12:12:00,6033,30.3,8.2,9.1,--,--,--,<0.05,0.002,32.9,0.889,--,--,<0.008,250,42
崎頂海水浴場,崎頂海水浴場中,乙,2002/8/26 下午 12:01:00,6032,30.2,8.2,8.2,--,--,--,<0.05,0.003,33.1,0.724,--,--,<0.008,<10,10
崎頂海水浴場,崎頂海水浴場左,乙,2002/8/26 上午 11:48:00,6031,30.3,8.2,8.3,--,--,--,<0.05,0.005,33,0.61,--,--,0.008,5,20
旗津海水浴場,旗津海水浴場右,乙,2002/8/26 上午 11:20:00,6083,30.2,8.12,7.5,--,--,--,<0.05,0.003,33.6,0.37,--,--,<0.008,<10,<10
旗津海水浴場,旗津海水浴場中,乙,2002/8/26 上午 10:59:00,6082,30.2,8.14,7.5,--,--,--,<0.05,0.002,33.6,0.59,--,--,0.01,<10,<10
旗津海水浴場,旗津海水浴場左,乙,2002/8/26 上午 10:45:00,6081,30.2,8.12,7.5,--,--,--,0.06,0.002,33.6,0.14,--,--,<0.008,<10,<10
福隆海水浴場,福隆海水浴場右,乙,2002/8/26 上午 10:40:00,6013,23.5,7.5,2.2,--,--,--,<0.05,0.003,32.5,0.21,--,--,0.017,75,<10
通霄海水浴場,通霄海水浴場右,乙,2002/8/26 上午 10:28:00,6043,29.6,8.1,27,--,--,--,<0.05,0.001,33,0.96,--,--,<0.008,580,10
福隆海水浴場,福隆海水浴場中,乙,2002/8/26 上午 10:25:00,6012,23.6,8,1.6,--,--,--,<0.05,0.009,32.4,0.15,--,--,0.009,77,<10
通霄海水浴場,通霄海水浴場中,乙,2002/8/26 上午 10:19:00,6042,29.5,8.1,26,--,--,--,<0.05,0.002,32.9,0.842,--,--,<0.008,450,31
福隆海水浴場,福隆海水浴場左,乙,2002/8/26 上午 10:15:00,6011,23.6,7.9,1.9,--,--,--,<0.05,0.004,32.8,0.16,--,--,<0.008,30,111
通霄海水浴場,通霄海水浴場左,乙,2002/8/26 上午 10:08:00,6041,29.5,8.1,27,--,--,--,<0.05,0.003,32.9,1.17,--,--,<0.008,480,42
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2002/8/26 上午 08:50:00,6071,30.4,8.17,5.7,--,--,--,<0.05,0.001,33.4,0.1,--,--,<0.008,570,10
大安海水浴場,大安海水浴場右,乙,2002/8/26 上午 08:48:00,6053,28.8,8,60,--,--,--,0.09,0.011,33.1,2.82,--,--,0.026,240,164
