採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
福隆海水浴場,福隆海水浴場右,乙,2009/9/21 上午 11:33:00,6013,27.9,8.1,7.3,30.7,6.6,0.01,0.05,0.004,32.1,0.635,6.4,99.6,0.018,240,<10
福隆海水浴場,福隆海水浴場中,乙,2009/9/21 上午 11:22:00,6012,27.8,8.2,7.7,30.5,6.6,<0.01,0.04,0.003,32.4,0.614,6.6,99.8,0.017,200,10
福隆海水浴場,福隆海水浴場左,乙,2009/9/21 上午 11:10:00,6011,27.7,8.1,3.3,30.4,6.5,0.02,0.05,0.003,32.5,0.452,6.4,99.0,0.020,85,10
西子灣海水浴場,西子灣海水浴場右,乙,2009/9/21 上午 10:40:00,6113,31.2,8.1,15,32.4,6.5,<0.01,0.11,0.007,32.9,0.363,6.3,106.4,0.010,160,<10
七星潭風景特定區,七星潭風景區右,甲,2009/9/21 上午 10:40:00,6133,28.7,8.2,4.5,30.0,6.3,<0.01,0.06,0.002,31.6,0.608,6.4,97.0,0.017,110,10
西子灣海水浴場,西子灣海水浴場中,乙,2009/9/21 上午 10:30:00,6112,31.2,8.1,17,32.4,6.5,<0.01,0.15,0.007,32.9,0.434,6.3,106.1,0.022,250,<10
西子灣海水浴場,西子灣海水浴場左,乙,2009/9/21 上午 10:20:00,6111,31.2,8.1,16,32.4,6.6,<0.01,0.11,0.007,32.9,0.366,6.4,106.5,0.018,240,<10
七星潭風景特定區,七星潭風景區中,甲,2009/9/21 上午 10:15:00,6132,29.0,8.2,5.6,29.9,6.3,0.03,0.04,0.002,31.6,0.518,6.4,97.5,0.007,120,<10
七星潭風景特定區,七星潭風景區左,甲,2009/9/21 上午 09:55:00,6131,28.7,8.1,5.5,29.8,6.4,0.03,0.04,0.002,31.8,0.461,6.4,97.7,0.012,<10,<10
新金山海水浴場,新金山海水浴場右,乙,2009/9/21 上午 09:48:00,6023,25.6,8.1,8.1,29.9,6.8,<0.01,0.10,0.007,32.7,0.962,6.8,99.4,0.037,<10,10
新金山海水浴場,新金山海水浴場中,乙,2009/9/21 上午 09:37:00,6022,25.6,8.1,8.1,29.9,6.8,<0.01,0.07,0.007,33.1,0.953,6.6,99.6,0.036,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2009/9/21 上午 09:28:00,6093,29.8,8.2,5.0,30.2,7.4,<0.01,0.03,<0.001,33.5,0.247,7.3,117.6,0.024,<10,<10
新金山海水浴場,新金山海水浴場左,乙,2009/9/21 上午 09:25:00,6021,25.6,8.0,7.6,29.8,6.9,<0.01,0.07,0.006,32.5,0.941,6.7,101.1,0.035,15,<10
山水沙灘,山水沙灘右,甲,2009/9/21 上午 09:25:00,6163,27.7,8.1,0.50,31.3,6.2,<0.01,0.04,0.002,34.8,0.283,6.0,99.7,0.017,<10,<10
通霄海水浴場,通霄海水浴場右,乙,2009/9/21 上午 09:20:00,6043,29.7,8.2,3.8,30.5,6.2,0.01,0.01,0.001,33.4,0.235,6.3,98.0,0.015,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2009/9/21 上午 09:17:00,6092,29.7,8.2,5.1,30.2,7.4,<0.01,0.02,<0.001,33.5,0.262,7.2,117.5,0.011,<10,<10
山水沙灘,山水沙灘中,甲,2009/9/21 上午 09:15:00,6162,27.7,8.1,0.50,31.3,6.2,<0.01,0.06,0.002,34.8,0.268,6.0,100.2,0.012,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2009/9/21 上午 09:07:00,6091,29.7,8.2,3.2,30.2,7.4,<0.01,0.02,<0.001,33.5,0.227,7.2,117.6,0.006,<10,<10
通霄海水浴場,通霄海水浴場中,乙,2009/9/21 上午 09:05:00,6042,29.7,8.2,3.9,30.5,6.2,0.02,0.01,0.001,33.5,0.233,6.3,98.0,0.019,<10,<10
山水沙灘,山水沙灘左,甲,2009/9/21 上午 09:00:00,6161,27.7,8.1,0.45,31.3,6.2,<0.01,0.04,0.002,34.7,0.283,6.0,99.8,0.008,<10,<10
通霄海水浴場,通霄海水浴場左,乙,2009/9/21 上午 08:50:00,6041,29.7,8.1,4.4,30.5,6.2,0.03,<0.01,0.001,33.4,0.229,6.3,98.2,0.009,<10,<10
白沙灣海水浴場,白沙灣海水浴場右,乙,2009/9/21 上午 07:54:00,6123,27.4,8.2,14,29.2,6.5,<0.01,0.20,0.010,32.6,0.905,6.4,98.4,0.038,240,10
白沙灣海水浴場,白沙灣海水浴場中,乙,2009/9/21 上午 07:42:00,6122,27.4,8.1,14,29.0,6.6,<0.01,0.08,0.010,32.2,0.527,6.4,99.3,0.035,95,10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2009/9/21 上午 07:30:00,6063,28.5,8.1,13,29.8,6.3,0.05,0.04,0.010,33.7,0.361,6.2,99.3,0.065,25,20
白沙灣海水浴場,白沙灣海水浴場左,乙,2009/9/21 上午 07:30:00,6121,27.3,8.1,9.6,29.1,6.6,<0.01,0.10,0.011,32.7,0.533,6.5,99.7,0.032,40,10
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2009/9/21 上午 07:20:00,6062,28.6,8.1,13,29.8,6.3,0.06,0.04,0.011,33.7,0.323,6.2,99.7,0.064,50,<10
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2009/9/21 上午 07:10:00,6061,28.6,8.1,14,29.8,6.3,0.08,0.04,0.011,33.7,0.326,6.2,99.6,0.064,15,10
后湖海濱公園,后湖海濱公園左,乙,2009/9/21 上午 12:00:00,6141,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
后湖海濱公園,后湖海濱公園中,乙,2009/9/21 上午 12:00:00,6142,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
后湖海濱公園,后湖海濱公園右,乙,2009/9/21 上午 12:00:00,6143,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
珠螺灣,珠螺灣左,乙,2009/9/21 上午 12:00:00,6151,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
珠螺灣,珠螺灣中,乙,2009/9/21 上午 12:00:00,6152,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
珠螺灣,珠螺灣右,乙,2009/9/21 上午 12:00:00,6153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
杉原海水浴場,杉原海水浴場左,甲,2009/9/20 下午 03:30:00,6101,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
杉原海水浴場,杉原海水浴場中,甲,2009/9/20 下午 03:30:00,6102,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
杉原海水浴場,杉原海水浴場右,甲,2009/9/20 下午 03:30:00,6103,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
