採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2012/10/26 上午 10:25:00,5123,1.0,24.1,23.1,32.8,8.1,--,6.8,95.7,4.4,2.0,0.05,0.05,0.030,0.006,0.400,0.00001,<0.001,0.0003,0.0018,0.0003,<0.0003
基隆沿海海域,基隆港一,乙,2012/9/3 上午 10:34:00,5123,1.0,30.9,26.2,33.9,8.2,--,6.0,88.9,5.7,0.7,0.04,0.04,0.043,0.011,0.370,0.00001,<0.001,0.0008,0.0042,0.0003,<0.0003
基隆沿海海域,基隆港一,乙,2012/5/8 上午 11:20:00,5123,1.0,26.5,24.1,34.5,8.1,--,5.6,81.7,2.5,0.6,<0.01,0.05,0.033,0.003,0.375,0.00001,<0.001,0.0014,0.0036,0.0004,<0.0003
基隆沿海海域,基隆港一,乙,2012/2/10 上午 11:36:00,5123,1.0,18.5,17.6,34.9,8.1,--,6.5,82.5,7.7,0.3,0.02,0.14,0.049,<0.001,0.789,0.00005,<0.001,0.0034,0.0038,0.0002,<0.0003
基隆沿海海域,基隆港二,乙,2012/10/26 上午 10:09:00,5124,1.0,24.1,22.6,32.7,8.1,--,6.6,92.1,4.4,1.4,0.07,0.06,0.048,0.006,0.455,0.00001,<0.001,0.0004,0.0035,0.0005,<0.0003
基隆沿海海域,基隆港二,乙,2012/9/3 上午 10:16:00,5124,1.0,30.9,26.0,33.9,8.2,--,6.0,88.2,5.1,0.6,0.02,0.04,0.024,0.012,0.336,0.00001,<0.001,0.0005,0.0033,0.0002,<0.0003
基隆沿海海域,基隆港二,乙,2012/5/8 上午 10:58:00,5124,1.0,26.6,23.8,34.5,8.1,--,5.6,80.0,3.4,0.2,<0.01,0.05,0.026,0.003,0.381,0.00001,<0.001,0.0016,0.0052,0.0003,<0.0003
基隆沿海海域,基隆港二,乙,2012/2/10 上午 11:19:00,5124,1.0,18.4,17.6,34.9,8.1,--,6.4,81.8,5.8,0.3,0.01,0.14,0.053,<0.001,0.792,0.00003,<0.001,0.0004,0.0037,0.0002,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2012/10/26 上午 09:49:00,5125,1.0,24.0,23.1,32.7,8.1,--,6.4,89.6,5.0,1.8,0.05,0.05,0.034,0.006,0.390,0.00001,<0.001,0.0003,0.0019,0.0004,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2012/9/3 上午 09:58:00,5125,1.0,30.8,26.0,33.9,8.1,--,6.1,91.1,5.1,0.7,0.02,0.03,0.026,0.010,0.312,0.00001,<0.001,0.0006,0.0040,0.0003,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2012/5/8 上午 10:35:00,5125,1.0,26.2,23.6,34.5,8.1,--,5.6,80.3,2.7,0.5,0.02,0.05,0.026,0.003,0.397,0.00001,<0.001,0.0011,0.0034,0.0003,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2012/2/10 上午 10:56:00,5125,1.0,18.4,17.7,34.9,8.1,--,6.6,83.9,4.6,0.3,0.03,0.14,0.049,<0.001,0.767,0.00003,<0.001,0.0015,0.0037,0.0002,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2012/10/26 上午 09:04:00,5126,1.0,24.0,22.3,34.1,8.1,--,6.9,96.2,3.8,1.4,0.08,0.07,0.042,0.005,0.464,0.00002,<0.001,0.0004,0.0042,0.0004,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2012/9/3 上午 09:20:00,5126,1.0,30.4,26.4,33.9,8.2,--,6.3,94.2,3.2,0.5,<0.01,0.02,0.028,0.008,0.310,0.00001,<0.001,0.0005,0.0039,0.0003,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2012/5/8 上午 09:41:00,5126,1.0,25.8,23.1,34.6,8.1,--,6.5,92.3,3.9,0.4,<0.01,0.06,0.038,0.004,0.458,0.00002,<0.001,0.0017,0.0050,0.0004,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2012/2/10 上午 10:12:00,5126,1.0,18.4,17.7,34.9,8.1,--,6.5,82.9,5.3,0.3,<0.01,0.15,0.051,0.001,0.792,0.00002,<0.001,0.0006,0.0037,0.0002,<0.0003
基隆沿海海域,和平島,乙,2012/10/26 上午 09:25:00,5127,1.0,23.9,22.9,34.0,8.1,--,6.5,91.9,4.6,1.5,<0.01,0.06,0.035,0.007,0.433,0.00002,<0.001,0.0004,0.0025,0.0003,<0.0003
基隆沿海海域,和平島,乙,2012/9/3 上午 09:39:00,5127,1.0,30.6,26.1,33.9,8.2,--,6.2,92.1,3.6,0.8,0.02,0.03,0.033,0.009,0.322,0.00001,<0.001,0.0009,0.0033,0.0005,<0.0003
基隆沿海海域,和平島,乙,2012/5/8 上午 10:12:00,5127,1.0,26.1,23.3,34.5,8.1,--,5.6,79.3,3.2,0.6,0.01,0.06,0.033,0.003,0.433,0.00001,<0.001,0.0007,0.0029,0.0003,<0.0003
基隆沿海海域,和平島,乙,2012/2/10 上午 10:36:00,5127,1.0,18.6,17.7,34.9,8.1,--,6.4,82.1,4.5,0.3,0.03,0.15,0.052,<0.001,0.795,0.00003,<0.001,0.0005,0.0032,0.0002,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2012/10/26 上午 07:15:00,5128,1.0,23.7,23.5,34.8,8.1,--,6.4,90.9,2.5,0.9,0.07,0.05,0.025,0.004,0.402,0.00003,<0.001,0.0012,0.0083,0.0013,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2012/9/3 上午 07:11:00,5128,1.0,26.8,26.5,34.0,8.2,--,6.3,94.5,2.9,0.9,0.06,0.02,0.016,0.003,0.270,0.00002,<0.001,0.0009,0.0089,0.0011,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2012/5/8 上午 07:04:00,5128,1.0,24.9,24.2,34.8,8.1,--,6.6,95.0,<2.0,1.0,0.07,0.03,0.016,0.003,0.271,0.00002,<0.001,0.0018,0.0073,0.0006,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2012/2/10 上午 07:27:00,5128,1.0,18.8,18.4,33.9,8.1,--,6.6,85.0,2.9,0.3,0.05,0.13,0.038,0.001,0.742,0.00006,<0.001,0.0064,0.0105,0.0005,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2012/10/26 上午 07:49:00,5129,1.0,23.7,22.6,34.1,8.1,--,6.5,90.9,2.6,1.0,0.05,0.05,0.042,0.006,0.446,0.00016,<0.001,0.0007,0.0050,0.0003,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2012/9/3 上午 07:59:00,5129,1.0,29.4,26.2,33.9,8.1,--,6.1,90.9,2.7,0.5,0.04,0.03,0.021,0.008,0.324,0.00002,<0.001,0.0024,0.0056,0.0005,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2012/5/8 上午 08:07:00,5129,1.0,24.9,24.1,34.6,8.1,--,6.2,89.0,<2.0,0.7,0.03,0.05,0.050,0.003,0.397,0.00001,<0.001,0.0014,0.0049,0.0003,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2012/2/10 上午 08:28:00,5129,1.0,18.7,18.0,34.4,8.0,--,6.8,87.5,4.1,0.3,0.03,0.15,0.030,0.001,0.808,0.00005,<0.001,0.0081,0.0075,<0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2012/10/26 下午 01:45:00,5130,1.0,23.2,25.1,33.7,8.1,--,7.6,110.0,7.3,4.1,0.08,0.05,0.028,0.018,0.298,0.00001,<0.001,0.0007,0.0033,0.0004,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2012/9/3 下午 01:12:00,5130,1.0,33.3,28.6,33.0,8.1,--,6.1,93.5,6.2,1.0,0.03,0.04,0.059,0.019,0.484,<0.00001,<0.001,0.0006,0.0024,0.0002,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2012/5/8 下午 01:49:00,5130,1.0,28.1,26.4,33.9,8.1,--,4.7,69.8,7.2,1.6,0.04,0.06,0.042,0.005,0.381,0.00001,<0.001,0.0017,0.0087,0.0002,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2012/2/10 下午 01:49:00,5130,1.0,17.9,16.2,33.9,8.1,--,8.0,99.4,9.7,0.5,0.05,0.15,0.053,0.009,0.804,0.00004,<0.001,0.0007,0.0208,<0.0001,<0.0003
