採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2016/10/27 上午 09:41:00,5123,1.0,29.7,26.3,33.6,8.0,--,6.3,92.9,2.8,--,--,--,--,--,--,0.00004,--,0.0005,0.0045,<0.0001,<0.0003
基隆沿海海域,基隆港一,乙,2016/8/18 上午 09:43:00,5123,1,30.4,28.4,34.3,8.1,--,6.1,95.7,3.1,--,--,--,--,--,--,<0.00001,--,0.0006,0.0026,0.0001,<0.0003
基隆沿海海域,基隆港一,乙,2016/5/4 上午 10:21:00,5123,1.0,29.7,26.1,34.3,8.1,--,6.4,96.3,4.7,--,--,--,--,--,--,<0.00001,--,0.0004,0.0034,<0.0001,<0.0003
基隆沿海海域,基隆港一,乙,2016/1/26 上午 10:14:00,5123,1.0,14.4,18.4,34.3,8.2,--,7.1,90.5,7.0,0.3,<0.01,0.10,0.042,0.003,0.534,0.00001,<0.001,0.0002,0.0006,<0.0001,<0.0003
基隆沿海海域,基隆港二,乙,2016/10/27 上午 09:34:00,5124,1.0,29.6,26.2,33.5,8.0,--,6.2,92.1,3.6,--,--,--,--,--,--,0.00002,--,0.0005,0.0026,<0.0001,<0.0003
基隆沿海海域,基隆港二,乙,2016/8/18 上午 09:34:00,5124,1,30.1,28.0,34.3,8.1,--,5.8,90.3,3.2,--,--,--,--,--,--,<0.00001,--,0.0003,0.0034,0.0002,<0.0003
基隆沿海海域,基隆港二,乙,2016/5/4 上午 10:11:00,5124,1.0,29.3,25.6,34.3,8.1,--,6.4,95.3,5.9,--,--,--,--,--,--,<0.00001,--,0.0007,0.0033,0.0004,<0.0003
基隆沿海海域,基隆港二,乙,2016/1/26 上午 10:02:00,5124,1.0,14.8,18.5,34.0,8.2,--,7.1,90.4,5.5,0.3,<0.01,0.11,0.034,0.003,0.570,0.00001,<0.001,0.0002,0.0008,<0.0001,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2016/10/27 上午 09:27:00,5125,1.0,29.5,26.2,33.6,8.1,--,6.2,91.2,3.7,--,--,--,--,--,--,0.00002,--,0.0004,0.0029,<0.0001,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2016/8/18 上午 09:28:00,5125,1,29.8,28.2,34.3,8.1,--,5.9,92.4,3.4,--,--,--,--,--,--,0.00001,--,0.0008,0.0042,0.0011,<0.0003
