採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
西子灣海水浴場,西子灣海水浴場右,乙,2006/9/10 下午 04:57:00,6113,30.4,8.4,1.9,29.8,6.9,<0.02,<0.01,0.002,33.0,0.05,6.9,--,0.008,10,<10
杉原海水浴場,杉原海水浴場右,甲,2006/9/10 下午 04:50:00,6103,30.0,8.2,3.6,33.7,6.5,<0.02,<0.01,<0.001,33.3,0.18,6.5,--,0.024,<10,20
西子灣海水浴場,西子灣海水浴場中,乙,2006/9/10 下午 04:43:00,6112,30.4,8.3,1.6,29.8,6.6,<0.02,<0.01,0.001,33.0,0.07,6.8,--,0.041,60,<10
杉原海水浴場,杉原海水浴場中,甲,2006/9/10 下午 04:38:00,6102,30.2,8.2,4.5,33.7,6.4,<0.02,<0.01,<0.001,33.6,0.17,6.4,--,0.007,<10,20
西子灣海水浴場,西子灣海水浴場左,乙,2006/9/10 下午 04:30:00,6111,30.1,8.3,1.8,29.8,6.7,<0.02,<0.01,0.001,33.0,0.09,6.8,--,0.020,110,<10
杉原海水浴場,杉原海水浴場左,甲,2006/9/10 下午 04:25:00,6101,30.1,8.2,4.5,33.7,6.5,<0.02,<0.01,<0.001,33.5,0.14,6.5,--,0.017,<10,10
崎頂海水浴場,崎頂海水浴場右,乙,2006/8/28 下午 01:10:00,6033,33.0,8.2,7,30.0,6.0,0.04,0.02,0.001,33.7,0.18,6.6,--,0.024,<10,31
崎頂海水浴場,崎頂海水浴場中,乙,2006/8/28 下午 12:55:00,6032,33.1,8.2,8,29.9,6.1,0.03,0.02,0.002,33.8,0.18,6.5,--,0.025,25,20
崎頂海水浴場,崎頂海水浴場左,乙,2006/8/28 下午 12:40:00,6031,32.8,8.2,8,29.7,6.0,0.03,0.02,0.001,33.6,0.35,6.3,--,0.017,<10,10
新金山海水浴場,新金山海水浴場右,乙,2006/8/28 下午 12:02:00,6023,28.3,8.0,2.7,34.3,6.7,0.02,0.08,0.006,30.2,4.97,6.7,--,0.014,380,53
新金山海水浴場,新金山海水浴場中,乙,2006/8/28 上午 11:46:00,6022,28.3,8.0,5.8,34.1,6.8,0.02,0.07,0.006,32.0,3.33,6.9,--,0.019,160,110
新金山海水浴場,新金山海水浴場左,乙,2006/8/28 上午 11:30:00,6021,28.1,8.0,6.0,33.5,6.7,0.03,0.08,0.006,30.2,3.05,6.6,--,0.026,180,42
通霄海水浴場,通霄海水浴場中,乙,2006/8/28 上午 10:35:00,6042,32.5,8.3,6,29.9,6.2,0.06,0.03,0.002,33.4,0.49,6.8,--,<0.004,<10,<10
