採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
新金山海水浴場,新金山海水浴場右,乙,2015/8/31 下午 01:45:00,6023,25.9,8.1,--,27.0,--,--,--,--,28.7,--,--,--,--,90,10
新金山海水浴場,新金山海水浴場中,乙,2015/8/31 下午 01:35:00,6022,26.0,8.1,--,27.1,--,--,--,--,29.8,--,--,--,--,50,<10
新金山海水浴場,新金山海水浴場左,乙,2015/8/31 下午 01:25:00,6021,26.0,8.1,--,27.0,--,--,--,--,30.7,--,--,--,--,210,<10
崎頂海水浴場,崎頂海水浴場右,乙,2015/8/31 上午 11:02:00,6033,27.5,8.2,--,26.0,--,--,--,--,31.7,--,--,--,--,620,150
崎頂海水浴場,崎頂海水浴場中,乙,2015/8/31 上午 10:56:00,6032,27.5,8.2,--,26.0,--,--,--,--,31.7,--,--,--,--,730,87
福隆海水浴場,福隆海水浴場右,乙,2015/8/31 上午 10:55:00,6013,25.6,8.1,--,30.7,--,--,--,--,11.5,--,--,--,--,2100,31
崎頂海水浴場,崎頂海水浴場左,乙,2015/8/31 上午 10:50:00,6031,27.5,8.2,--,26.0,--,--,--,--,31.6,--,--,--,--,800,42
福隆海水浴場,福隆海水浴場中,乙,2015/8/31 上午 10:45:00,6012,25.9,8.1,--,30.8,--,--,--,--,10.8,--,--,--,--,2000,30
福隆海水浴場,福隆海水浴場左,乙,2015/8/31 上午 10:35:00,6011,26.2,8.1,--,30.6,--,--,--,--,15.1,--,--,--,--,1200,31
通霄海水浴場,通霄海水浴場右,乙,2015/8/31 上午 09:28:00,6043,27.3,8.2,--,25.4,--,--,--,--,31.3,--,--,--,--,440,10
通霄海水浴場,通霄海水浴場中,乙,2015/8/31 上午 09:20:00,6042,27.2,8.2,--,25.4,--,--,--,--,31.2,--,--,--,--,390,160
磯崎海水浴場,磯崎海水浴場右,甲,2015/8/31 上午 09:16:00,6213,28.4,8.2,--,31.6,--,--,--,--,32.2,--,--,--,--,55,<10
外澳濱海遊憩區,外澳濱海遊憩區右,甲,2015/8/31 上午 09:15:00,6173,27.3,8.2,--,27.8,--,--,--,--,33.3,--,--,--,--,170,<10
通霄海水浴場,通霄海水浴場左,乙,2015/8/31 上午 09:14:00,6041,27.2,8.2,--,25.4,--,--,--,--,31.3,--,--,--,--,490,87
磯崎海水浴場,磯崎海水浴場中,甲,2015/8/31 上午 09:06:00,6212,28.3,8.2,--,31.1,--,--,--,--,32.4,--,--,--,--,65,10
外澳濱海遊憩區,外澳濱海遊憩區中,甲,2015/8/31 上午 09:05:00,6172,27.3,8.1,--,27.6,--,--,--,--,33.3,--,--,--,--,75,<10
外澳濱海遊憩區,外澳濱海遊憩區左,甲,2015/8/31 上午 08:55:00,6171,27.3,8.1,--,27.4,--,--,--,--,33.0,--,--,--,--,95,<10
磯崎海水浴場,磯崎海水浴場左,甲,2015/8/31 上午 08:55:00,6211,28.4,8.1,--,30.9,--,--,--,--,32.5,--,--,--,--,120,10
旗津海水浴場,旗津海水浴場左,乙,2015/8/30 下午 01:16:00,6081,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
旗津海水浴場,旗津海水浴場中,乙,2015/8/30 下午 01:16:00,6082,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
旗津海水浴場,旗津海水浴場右,乙,2015/8/30 下午 01:16:00,6083,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
西子灣海水浴場,西子灣海水浴場左,乙,2015/8/30 下午 12:48:00,6111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
西子灣海水浴場,西子灣海水浴場中,乙,2015/8/30 下午 12:48:00,6112,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
西子灣海水浴場,西子灣海水浴場右,乙,2015/8/30 下午 12:48:00,6113,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
杉原海水浴場,杉原海水浴場右,甲,2015/8/30 上午 11:21:00,6103,28.2,8.2,--,31.4,--,--,--,--,34.5,--,--,--,--,920,340
杉原海水浴場,杉原海水浴場中,甲,2015/8/30 上午 11:14:00,6102,28.2,8.2,--,31.4,--,--,--,--,35.0,--,--,--,--,140,74
杉原海水浴場,杉原海水浴場左,甲,2015/8/30 上午 11:08:00,6101,28.2,8.2,--,31.4,--,--,--,--,35.7,--,--,--,--,100,86
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2015/8/30 上午 10:42:00,6093,28.0,8.1,--,32.8,--,--,--,--,34.6,--,--,--,--,50,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2015/8/30 上午 10:33:00,6092,27.8,8.1,--,32.8,--,--,--,--,34.6,--,--,--,--,35,160
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2015/8/30 上午 10:24:00,6063,27.0,8.2,--,24.8,--,--,--,--,32.5,--,--,--,--,290,96
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2015/8/30 上午 10:22:00,6091,27.8,8.1,--,32.8,--,--,--,--,34.5,--,--,--,--,650,20
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2015/8/30 上午 10:14:00,6062,26.8,8.2,--,24.8,--,--,--,--,32.9,--,--,--,--,370,160
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2015/8/30 上午 10:04:00,6061,26.8,8.2,--,24.8,--,--,--,--,32.9,--,--,--,--,410,130
觀音亭,觀音亭右,甲,2015/8/30 上午 09:11:00,6263,26.1,8.1,--,26.9,--,--,--,--,21.9,--,--,--,--,3900,1900
觀音亭,觀音亭中,甲,2015/8/30 上午 09:03:00,6262,25.9,8.1,--,26.9,--,--,--,--,21.9,--,--,--,--,5100,2100
觀音亭,觀音亭左,甲,2015/8/30 上午 08:57:00,6261,26.1,8.1,--,26.9,--,--,--,--,21.9,--,--,--,--,5100,2900
新金山海水浴場,新金山海水浴場右,乙,2015/7/27 下午 01:39:00,6023,29.6,8.1,--,34.5,--,--,--,--,32.6,--,--,--,--,<10,<10
新金山海水浴場,新金山海水浴場中,乙,2015/7/27 下午 01:32:00,6022,30.2,8.1,--,34.4,--,--,--,--,32.4,--,--,--,--,<10,10
新金山海水浴場,新金山海水浴場左,乙,2015/7/27 下午 01:25:00,6021,30.3,8.0,--,34.4,--,--,--,--,31.8,--,--,--,--,<10,<10
福隆海水浴場,福隆海水浴場右,乙,2015/7/27 上午 10:50:00,6013,29.0,8.2,--,34.3,--,--,--,--,32.3,--,--,--,--,25,10
福隆海水浴場,福隆海水浴場中,乙,2015/7/27 上午 10:43:00,6012,29.6,8.1,--,34.3,--,--,--,--,31.6,--,--,--,--,15,<10
崎頂海水浴場,崎頂海水浴場右,乙,2015/7/27 上午 10:40:00,6033,30.4,8.2,--,30.7,--,--,--,--,33.4,--,--,--,--,50,<10
福隆海水浴場,福隆海水浴場左,乙,2015/7/27 上午 10:35:00,6011,29.0,8.1,--,34.2,--,--,--,--,32.0,--,--,--,--,15,31
崎頂海水浴場,崎頂海水浴場中,乙,2015/7/27 上午 10:34:00,6032,30.5,8.2,--,30.7,--,--,--,--,33.3,--,--,--,--,65,<10
崎頂海水浴場,崎頂海水浴場左,乙,2015/7/27 上午 10:29:00,6031,30.4,8.2,--,30.7,--,--,--,--,33.3,--,--,--,--,110,<10
磯崎海水浴場,磯崎海水浴場右,甲,2015/7/27 上午 09:16:00,6213,27.7,8.2,--,30.4,--,--,--,--,34.0,--,--,--,--,<10,<10
通霄海水浴場,通霄海水浴場右,乙,2015/7/27 上午 09:14:00,6043,29.7,8.2,--,30.8,--,--,--,--,33.6,--,--,--,--,10,<10
外澳濱海遊憩區,外澳濱海遊憩區右,甲,2015/7/27 上午 09:11:00,6173,28.8,8.1,--,34.0,--,--,--,--,33.6,--,--,--,--,<10,<10
通霄海水浴場,通霄海水浴場中,乙,2015/7/27 上午 09:07:00,6042,29.6,8.2,--,30.8,--,--,--,--,33.6,--,--,--,--,<10,<10
磯崎海水浴場,磯崎海水浴場中,甲,2015/7/27 上午 09:06:00,6212,27.6,8.2,--,30.5,--,--,--,--,34.0,--,--,--,--,<10,<10
