採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
台北沿海海域(乙),濂洞溪外海,乙,2015/8/12 上午 07:55:00,5129,1.0,32.1,26.0,34.4,8.0,--,6.1,90.5,4.0,--,--,--,--,--,--,0.00001,--,0.0006,0.0034,0.0002,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2015/5/13 上午 08:29:00,5129,1.0,24.2,23.5,34.6,8.0,--,6.3,90.4,14.6,--,--,--,--,--,--,0.00006,--,0.0104,0.0042,0.0001,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2015/1/20 上午 08:23:00,5129,1.0,17.7,17.5,34.8,7.9,--,6.9,89.0,16.7,0.3,0.04,0.13,0.046,0.003,1.55,0.00008,<0.001,0.0327,0.0100,<0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2015/11/12 下午 01:48:00,5130,1.0,24.3,24.7,34.3,8.2,--,6.4,93.1,15.7,--,--,--,--,--,--,0.00001,--,0.0003,0.0012,<0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2015/8/12 下午 02:08:00,5130,1.0,32.5,28.6,7.8,7.6,--,6.3,86.8,34.9,--,--,--,--,--,--,0.00001,--,0.0007,0.0033,<0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2015/5/13 下午 01:07:00,5130,1.0,30.5,25.6,21.5,7.9,--,5.0,59.8,9.5,--,--,--,--,--,--,0.00001,--,0.0007,0.0029,<0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2015/1/20 下午 02:41:00,5130,1.0,18.3,18.1,34.3,8.1,--,7.7,100.3,13.4,1.1,0.06,0.15,0.066,0.010,0.603,0.00001,<0.001,0.0006,0.0026,<0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2015/11/12 下午 12:54:00,5131,1.0,23.2,24.2,34.0,8.1,--,6.4,92.9,17.7,--,--,--,--,--,--,0.00001,--,0.0086,0.0026,0.0097,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2015/8/12 下午 01:00:00,5131,1.0,32.5,28.7,31.5,8.0,--,6.5,99.1,9.4,--,--,--,--,--,--,0.00002,--,0.0006,0.0038,<0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2015/5/13 下午 12:20:00,5131,1.0,29.4,26.0,34.2,7.9,--,6.1,91.5,14.8,--,--,--,--,--,--,0.00002,--,0.0005,0.0019,<0.0001,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2015/1/20 下午 01:35:00,5131,1.0,18.4,18.3,34.6,8.1,--,7.1,91.6,13.1,1.1,0.02,0.14,0.053,0.007,0.575,0.00002,<0.001,0.0007,0.0027,0.0002,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2015/11/13 上午 07:33:00,5132,1.0,23.6,24.4,34.1,8.2,--,6.2,89.5,25.4,--,--,--,--,--,--,0.00002,--,0.0007,0.0052,<0.0001,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2015/8/13 上午 06:48:00,5132,1.0,30.6,28.5,33.3,8.1,--,5.9,91.1,8.0,--,--,--,--,--,--,0.00002,--,0.0009,0.0047,0.0002,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2015/5/14 上午 06:51:00,5132,1.0,27.6,25.9,34.5,8.0,--,5.8,87.7,12.1,--,--,--,--,--,--,0.00001,--,0.0005,0.0093,<0.0001,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2015/1/21 上午 06:50:00,5132,1.0,17.4,17.2,34.6,8.2,--,7.5,95.4,15.3,1.0,0.06,0.15,0.076,0.012,0.335,0.00002,<0.001,0.0008,0.0035,0.0001,<0.0003
台北沿海海域(乙),深澳發電廠外海,乙,2015/11/12 上午 08:45:00,5133,1.0,22.7,21.7,34.3,8.1,--,6.5,88.6,6.2,--,--,--,--,--,--,0.00002,--,0.0010,0.0030,0.0002,<0.0003
台北沿海海域(乙),深澳發電廠外海,乙,2015/8/12 上午 08:32:00,5133,1.0,32.4,26.5,33.7,8.1,--,6.8,97.3,3.1,--,--,--,--,--,--,0.00001,--,0.0005,0.0043,<0.0001,<0.0003
台北沿海海域(乙),深澳發電廠外海,乙,2015/5/13 上午 09:00:00,5133,1.0,24.6,23.5,35.3,8.1,--,6.3,94.5,7.3,--,--,--,--,--,--,0.00002,--,0.0008,0.0020,0.0003,<0.0003
台北沿海海域(乙),深澳發電廠外海,乙,2015/1/20 上午 09:05:00,5133,1.0,17.6,17.6,35.8,8.1,--,7.1,91.5,10.5,0.4,0.01,0.11,0.050,0.003,0.612,0.00002,<0.001,0.0011,0.0028,0.0003,<0.0003
台北沿海海域(乙),淡水河口外4海浬處,乙,2015/11/12 下午 01:21:00,5134,1.0,23.9,24.2,34.7,8.2,--,6.5,93.1,4.6,--,--,--,--,--,--,0.00001,--,0.0003,0.0016,0.0002,<0.0003
台北沿海海域(乙),淡水河口外4海浬處,乙,2015/8/12 下午 01:31:00,5134,1.0,32.9,29.0,33.4,8.1,--,6.1,95.2,6.1,--,--,--,--,--,--,0.00001,--,0.0004,0.0022,<0.0001,<0.0003
台北沿海海域(乙),淡水河口外4海浬處,乙,2015/5/13 下午 12:39:00,5134,1.0,30.1,26.6,34.8,8.1,--,6.3,93.6,9.9,--,--,--,--,--,--,0.00001,--,0.0004,0.0018,<0.0001,<0.0003
台北沿海海域(乙),淡水河口外4海浬處,乙,2015/1/20 下午 02:07:00,5134,1.0,18.2,17.9,34.8,8.1,--,7.5,96.7,9.3,0.7,<0.01,0.13,0.052,0.004,0.560,0.00002,<0.001,0.0006,0.0022,0.0001,<0.0003
台北沿海海域(乙),林口發電廠,乙,2015/11/13 上午 07:14:00,5135,1.0,23.4,24.4,34.1,8.1,--,6.3,89.9,24.2,--,--,--,--,--,--,0.00002,--,0.0013,0.0046,0.0001,<0.0003
台北沿海海域(乙),林口發電廠,乙,2015/8/13 上午 06:30:00,5135,1.0,30.5,28.4,32.1,8.0,--,5.8,88.2,6.2,--,--,--,--,--,--,0.00002,--,0.0007,0.0037,<0.0001,<0.0003
台北沿海海域(乙),林口發電廠,乙,2015/5/14 上午 06:35:00,5135,1.0,27.5,25.9,34.4,8.0,--,5.8,86.1,7.5,--,--,--,--,--,--,0.00003,--,0.0009,0.0192,0.0001,<0.0003
台北沿海海域(乙),林口發電廠,乙,2015/1/21 上午 06:35:00,5135,1.0,17.6,17.0,34.6,8.2,--,7.7,98.0,9.0,0.6,0.08,0.16,0.068,0.012,0.578,0.00002,<0.001,0.0007,0.0044,0.0001,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2015/11/12 上午 08:55:00,5136,1.0,22.5,22.2,33.0,8.1,--,6.7,92.9,4.5,--,--,--,--,--,--,0.00002,--,0.0007,0.0074,0.0001,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2015/8/12 上午 08:45:00,5136,1.0,32.5,26.9,34.3,8.1,--,6.4,96.1,4.2,--,--,--,--,--,--,0.00001,--,0.0004,0.0032,0.0002,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2015/5/13 上午 09:13:00,5136,1.0,24.8,23.5,34.9,8.1,--,6.2,89.7,10.0,--,--,--,--,--,--,0.00002,--,0.0005,0.0022,0.0002,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2015/1/20 上午 09:23:00,5136,1.0,17.5,17.2,35.2,8.1,--,7.7,98.2,8.5,0.3,0.02,0.12,0.048,0.003,0.888,0.00003,<0.001,0.0009,0.0055,0.0001,<0.0003
桃園沿海海域,海湖電廠,乙,2015/11/13 上午 07:52:00,5137,1.0,23.6,24.4,34.1,8.1,--,6.3,91.0,25.8,--,--,--,--,--,--,0.00001,--,0.0004,0.0019,<0.0001,<0.0003
桃園沿海海域,海湖電廠,乙,2015/8/13 上午 07:03:00,5137,1.0,31.0,28.5,33.5,8.1,--,6.0,92.1,9.0,--,--,--,--,--,--,0.00002,--,0.0005,0.0326,<0.0001,<0.0003
桃園沿海海域,海湖電廠,乙,2015/5/14 上午 07:12:00,5137,1.0,27.5,26.3,34.3,8.0,--,6.3,91.8,20.3,--,--,--,--,--,--,<0.00001,--,0.0004,0.0038,<0.0001,<0.0003
桃園沿海海域,海湖電廠,乙,2015/1/21 上午 07:11:00,5137,1.0,17.5,17.0,34.5,8.2,--,7.4,93.2,9.2,0.8,0.07,0.15,0.071,0.012,0.566,0.00001,<0.001,0.0005,0.0029,<0.0001,<0.0003
桃園沿海海域,新南崁溪口,乙,2015/11/13 上午 08:09:00,5138,1.0,23.7,24.6,34.1,8.1,--,6.5,94.8,26.9,--,--,--,--,--,--,0.00001,--,0.0005,0.0026,<0.0001,<0.0003
桃園沿海海域,新南崁溪口,乙,2015/8/13 上午 07:19:00,5138,1.0,31.2,28.6,33.6,8.1,--,6.0,94.1,15.3,--,--,--,--,--,--,0.00002,--,0.0006,0.0051,<0.0001,<0.0003
桃園沿海海域,新南崁溪口,乙,2015/5/14 上午 07:25:00,5138,1.0,27.4,25.9,34.2,8.0,--,6.0,88.7,29.7,--,--,--,--,--,--,0.00001,--,0.0009,0.0030,<0.0001,<0.0003
桃園沿海海域,新南崁溪口,乙,2015/1/21 上午 07:29:00,5138,1.0,17.3,17.3,34.5,8.2,--,7.5,94.8,12.1,1.1,0.06,0.14,0.068,0.013,0.578,0.00001,<0.001,0.0006,0.0030,<0.0001,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2015/11/13 上午 08:31:00,5139,1.0,23.5,24.3,34.2,8.1,--,6.4,92.3,29.5,--,--,--,--,--,--,0.00001,--,0.0006,0.0024,<0.0001,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2015/8/13 上午 07:47:00,5139,1.0,32.0,28.6,33.5,8.0,--,6.1,95.4,22.6,--,--,--,--,--,--,0.00002,--,0.0008,0.0356,<0.0001,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2015/5/14 上午 07:52:00,5139,1.0,27.4,25.9,34.6,7.8,--,5.6,83.9,15.2,--,--,--,--,--,--,0.00001,--,0.0001,0.0007,<0.0001,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2015/1/21 上午 07:58:00,5139,1.0,17.0,16.8,34.3,8.2,--,7.6,94.8,14.1,0.6,0.06,0.16,0.083,0.013,0.581,0.00002,<0.001,0.0006,0.0028,<0.0001,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2015/11/13 上午 08:48:00,5140,1.0,23.5,24.3,34.2,8.1,--,6.6,94.6,24.9,--,--,--,--,--,--,0.00001,--,0.0007,0.0019,<0.0001,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2015/8/13 上午 08:03:00,5140,1.0,32.3,28.6,33.8,8.0,--,5.7,89.7,12.7,--,--,--,--,--,--,0.00002,--,0.0006,0.0024,<0.0001,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2015/5/14 上午 08:05:00,5140,1.0,27.5,25.9,34.7,8.0,--,5.8,86.1,6.8,--,--,--,--,--,--,0.00001,--,0.0008,0.0028,<0.0001,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2015/1/21 上午 08:12:00,5140,1.0,17.1,17.0,34.3,8.2,--,7.6,96.4,12.7,0.7,0.07,0.16,0.089,0.014,0.572,0.00002,<0.001,0.0007,0.0060,0.0001,<0.0003
桃園沿海海域,觀音溪口,乙,2015/11/13 上午 09:45:00,5141,1.0,23.2,24.1,34.2,8.1,--,6.5,92.8,27.8,--,--,--,--,--,--,0.00002,--,0.0010,0.0022,0.0001,<0.0003
桃園沿海海域,觀音溪口,乙,2015/8/13 上午 09:27:00,5141,1.0,31.9,28.8,34.0,8.0,--,6.0,92.7,11.5,--,--,--,--,--,--,0.00001,--,0.0006,0.0021,0.0001,<0.0003
桃園沿海海域,觀音溪口,乙,2015/5/14 上午 09:05:00,5141,1.0,28.2,26.9,35.1,8.0,--,5.8,86.9,21.3,--,--,--,--,--,--,0.00002,--,0.0007,0.0022,<0.0001,<0.0003
桃園沿海海域,觀音溪口,乙,2015/1/21 上午 09:10:00,5141,1.0,16.9,16.9,34.1,8.1,--,7.4,94.0,14.9,0.5,0.12,0.28,0.103,0.020,0.738,0.00002,<0.001,0.0011,0.0030,<0.0001,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2015/11/13 上午 11:00:00,5142,1,26.8,24.9,33.7,8.1,--,6.6,96.2,8.0,--,--,--,--,--,--,0.00002,--,0.0005,0.0026,0.0002,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2015/7/16 上午 10:46:00,5142,1,31.1,29.6,33.7,8.2,--,7.2,114.3,5.1,--,--,--,--,--,--,0.00002,--,0.0002,0.0022,0.0001,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2015/4/24 下午 01:02:00,5142,1,23.9,25.0,34.2,8.1,--,6.9,101.1,3.6,--,--,--,--,--,--,0.00002,--,0.0003,0.0029,0.0003,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2015/1/22 上午 10:53:00,5142,1,17.6,17.4,33.3,8.2,--,7.8,98.7,10.5,1.2,0.01,0.10,0.066,0.024,0.529,0.00002,<0.001,0.0004,0.0018,0.0001,<0.0003
新竹香山沿海海域,鳳山溪北側,乙,2015/11/13 上午 11:08:00,5143,1,27.0,24.9,33.7,8.1,--,6.6,96.2,10.2,--,--,--,--,--,--,0.00002,--,0.0004,0.0017,0.0001,<0.0003
新竹香山沿海海域,鳳山溪北側,乙,2015/7/16 上午 10:53:00,5143,1,28.0,29.6,33.7,8.2,--,7.2,114.4,2.9,--,--,--,--,--,--,0.00001,--,0.0003,0.0030,0.0002,<0.0003
新竹香山沿海海域,鳳山溪北側,乙,2015/4/24 下午 01:13:00,5143,1,24.1,25.1,34.3,8.1,--,7.0,101.6,5.5,--,--,--,--,--,--,0.00002,--,0.0003,0.0016,0.0003,<0.0003
新竹香山沿海海域,鳳山溪北側,乙,2015/1/22 上午 10:43:00,5143,1,17.7,17.4,33.2,8.2,--,7.8,98.5,7.7,1.6,0.03,0.10,0.058,0.024,0.616,0.00006,<0.001,0.0005,0.0018,0.0002,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2015/11/13 上午 10:31:00,5144,1,26.6,24.8,33.5,8.1,--,6.7,97.0,9.1,--,--,--,--,--,--,0.00002,--,0.0005,0.0025,0.0002,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2015/7/16 上午 10:24:00,5144,1,31.1,29.8,33.7,8.2,--,7.1,113.2,6.2,--,--,--,--,--,--,0.00002,--,0.0002,0.0023,0.0003,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2015/4/24 下午 12:35:00,5144,1,26.0,25.2,34.4,8.1,--,6.9,100.4,3.2,--,--,--,--,--,--,0.00003,--,0.0003,0.0117,0.0010,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2015/1/22 上午 11:17:00,5144,1,17.9,17.8,33.5,8.2,--,7.8,99.7,3.7,1.7,<0.01,0.08,0.035,0.021,0.467,0.00007,<0.001,0.0004,0.0022,0.0001,<0.0003
新竹香山沿海海域,紅毛港外,乙,2015/11/13 上午 11:23:00,5145,1,26.9,24.6,33.5,8.1,--,6.7,96.2,12.1,--,--,--,--,--,--,0.00003,--,0.0006,0.0017,0.0001,<0.0003
新竹香山沿海海域,紅毛港外,乙,2015/7/16 上午 11:07:00,5145,1,29.3,29.6,33.7,8.2,--,6.9,109.5,4.6,--,--,--,--,--,--,0.00002,--,0.0003,0.0022,0.0001,<0.0003
新竹香山沿海海域,紅毛港外,乙,2015/4/24 下午 01:30:00,5145,1,23.7,24.3,34.0,8.2,--,7.2,104.1,5.9,--,--,--,--,--,--,0.00002,--,0.0005,0.0022,0.0001,<0.0003
新竹香山沿海海域,紅毛港外,乙,2015/1/22 上午 10:27:00,5145,1,17.9,17.4,32.8,8.1,--,7.8,98.4,14.9,1.3,0.07,0.16,0.085,0.023,0.723,0.00004,<0.001,0.0011,0.0048,0.0001,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2015/11/13 上午 09:40:00,5146,1.0,28.9,24.0,32.9,8.2,--,6.8,95.4,7.8,--,--,--,--,--,--,0.00001,--,0.0007,0.0075,0.0001,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2015/8/28 上午 10:30:00,5146,1.0,26.5,27.7,31.8,8.2,--,6.4,97.2,2.4,--,--,--,--,--,--,<0.00001,--,0.0002,0.0029,<0.0001,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2015/5/20 上午 10:02:00,5146,1.0,23.7,23.3,34.2,8.2,--,7.1,102.1,4.9,--,--,--,--,--,--,0.00001,--,0.0002,0.0029,<0.0001,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2015/1/27 上午 10:10:00,5146,1.0,19.2,19.2,34.2,8.2,--,6.9,92.3,2.2,0.5,<0.01,0.06,0.034,0.018,0.413,0.00001,<0.001,0.0003,0.0051,<0.0001,<0.0003
宜蘭蘇澳沿海海域    ,得子口溪口,甲,2015/11/13 上午 10:20:00,5147,1.0,29.3,24.3,33.1,8.2,--,6.8,95.7,8.9,--,--,--,--,--,--,0.00001,--,0.0005,0.0056,<0.0001,<0.0003
宜蘭蘇澳沿海海域    ,得子口溪口,甲,2015/8/28 上午 11:20:00,5147,1.0,27.2,27.7,19.8,8.0,--,7.1,100.9,11.9,--,--,--,--,--,--,0.00001,--,0.0002,0.0034,<0.0001,<0.0003
