採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
基隆沿海海域,基隆港一,乙,2007/12/1 上午 11:15:00,5123,1.0,21.4,19.9,35.8,8.1,6.6,6.6,88.4,5.1,0.3,<0.02,0.10,0.039,<0.001,0.530,0.00008,<0.001,0.0018,0.0027,<0.0002,<0.0003
基隆沿海海域,基隆港一,乙,2007/8/1 上午 10:55:00,5123,1.0,31.3,28.8,34.8,8.2,6.2,6.3,98.6,7.8,5.5,<0.02,0.02,0.008,0.004,0.117,0.00003,<0.001000,0.0007,0.0046,0.0005,<0.0003
基隆沿海海域,基隆港一,乙,2007/5/7 上午 10:34:00,5123,1.0,27.2,24.0,35.1,8.2,6.4,6.6,94.6,<2.0,0.5,0.03,<0.01,0.021,0.004,0.160,0.000018,<0.001000,0.000111,0.003800,0.000570,<0.0003
基隆沿海海域,基隆港一,乙,2007/2/4 上午 10:30:00,5123,1.0,19.5,18.4,34.8,8.3,7.0,7.1,89.8,3.4,0.3,<0.02,0.08,0.034,0.003,0.53,0.000018,<0.001000,0.000693,0.002470,0.000718,<0.0003
基隆沿海海域,基隆港二,乙,2007/12/1 上午 11:00:00,5124,1.0,21.8,19.7,35.8,8.1,6.6,6.6,88.8,3.8,0.2,<0.02,0.08,0.040,0.001,0.531,0.00006,<0.001,0.0039,0.0065,0.0003,<0.0003
基隆沿海海域,基隆港二,乙,2007/8/1 上午 10:35:00,5124,1.0,31.7,28.6,34.7,8.2,6.1,6.1,95.8,6.1,2.7,0.03,0.02,0.013,0.003,0.200,0.00002,<0.001000,0.0006,0.0034,0.0005,<0.0003
基隆沿海海域,基隆港二,乙,2007/5/7 上午 10:19:00,5124,1.0,27.1,24.1,35.0,8.2,6.3,6.5,93.3,2.5,0.6,0.04,0.01,0.018,0.004,0.176,0.000017,<0.001000,0.000311,0.001900,0.000530,<0.0003
基隆沿海海域,基隆港二,乙,2007/2/4 上午 10:19:00,5124,1.0,19.5,18.4,34.6,8.2,7.0,7.2,90.8,<2.0,0.4,<0.02,0.08,0.037,0.002,0.54,0.000037,<0.001000,0.000328,0.002880,0.000184,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2007/12/1 上午 10:40:00,5125,1.0,21.5,20.0,35.8,8.1,6.6,6.6,88.6,7.1,0.4,<0.02,0.08,0.038,<0.001,0.522,0.00014,<0.001,0.0012,0.0043,0.0002,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2007/8/1 上午 10:15:00,5125,1.0,31.5,30.0,34.9,8.2,6.2,6.3,101.0,5.0,0.3,<0.02,0.01,0.004,0.002,0.136,0.00003,<0.001000,0.0006,0.0036,0.0005,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2007/5/7 上午 10:03:00,5125,1.0,26.7,24.0,35.0,8.2,6.4,6.5,93.9,3.3,0.4,0.02,<0.01,0.017,0.003,0.146,0.000026,<0.001000,0.000162,0.003340,0.001220,<0.0003
基隆沿海海域,基隆拋泥區一,乙,2007/2/4 上午 10:05:00,5125,1.0,19.1,18.5,34.8,8.3,6.9,7.0,89.1,<2.0,0.4,<0.02,0.08,0.028,0.004,0.53,0.000033,<0.001000,0.000867,0.001430,0.000178,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2007/12/1 上午 10:02:00,5126,1.0,21.5,19.9,35.8,8.1,6.8,6.7,90.4,8.0,0.3,<0.02,0.08,0.046,0.001,0.538,0.00011,<0.001,0.0018,0.0076,0.0005,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2007/8/1 上午 09:41:00,5126,1.0,31.2,29.6,34.8,8.2,6.3,6.3,100.9,5.1,0.7,0.03,0.01,0.004,0.003,0.263,0.00002,<0.001000,0.0005,0.0039,0.0003,<0.0003
基隆沿海海域,八斗子垃圾場,乙,2007/5/7 上午 09:21:00,5126,1.0,26.9,24.0,35.0,8.2,6.4,6.6,94.7,3.6,0.5,0.04,0.02,0.012,0.002,0.156,0.000013,<0.001000,0.000367,0.002020,0.000205,0.0003
基隆沿海海域,八斗子垃圾場,乙,2007/2/4 上午 09:30:00,5126,1.0,19.1,18.4,34.7,8.3,6.8,6.9,87.6,2.8,0.4,<0.02,0.08,0.027,0.004,0.53,0.000021,<0.001000,0.000798,0.003360,0.000150,0.0005
基隆沿海海域,和平島,乙,2007/12/1 上午 10:22:00,5127,1.0,21.7,20.0,35.8,8.1,6.6,6.6,88.5,7.3,0.4,<0.02,0.08,0.038,0.001,0.508,0.00010,<0.001,0.0016,0.0084,0.0006,<0.0003
基隆沿海海域,和平島,乙,2007/8/1 上午 09:59:00,5127,1.0,30.4,29.9,34.8,8.2,6.2,6.4,99.2,2.3,0.4,0.03,<0.01,0.005,0.003,0.209,0.00005,<0.001000,0.0009,0.0085,0.0004,<0.0003
基隆沿海海域,和平島,乙,2007/5/7 上午 09:45:00,5127,1.0,26.9,24.1,35.0,8.2,6.4,6.6,94.6,2.5,0.6,0.02,<0.01,0.012,0.003,0.146,0.000014,<0.001000,0.000435,0.001810,0.000498,<0.0003
基隆沿海海域,和平島,乙,2007/2/4 上午 09:50:00,5127,1.0,19.9,18.8,34.8,8.3,6.9,7.1,89.9,4.2,0.4,<0.02,0.08,0.038,0.002,0.54,0.000038,<0.001000,0.000304,0.001850,0.000123,<0.0003
