採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
台北沿海海域(甲),核四預定地外海,甲,2007/12/1 上午 07:55:00,5128,1.0,21.2,20.9,35.5,8.1,6.7,6.7,91.7,4.8,0.3,<0.02,0.06,0.031,0.002,0.410,0.00008,<0.001,0.0015,0.0100,0.0006,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2007/8/1 上午 07:40:00,5128,1.0,32.0,29.5,34.8,8.1,6.4,6.3,100.8,<2.0,1.0,0.02,0.02,0.007,0.003,0.145,0.00003,<0.001000,0.0006,0.0103,0.0004,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2007/5/7 上午 07:10:00,5128,1.0,25.4,23.9,35.1,8.2,6.6,6.7,97.0,2.0,0.6,0.04,<0.01,0.006,0.002,0.141,0.000020,<0.001000,0.000623,0.003800,0.000370,<0.0003
台北沿海海域(甲),核四預定地外海,甲,2007/2/4 上午 07:30:00,5128,1.0,16.1,19.0,34.9,8.1,6.9,7.0,89.6,<2.0,0.6,<0.02,0.05,0.029,0.002,0.36,0.000048,<0.001000,0.000391,0.004380,0.000757,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2007/12/1 上午 08:50:00,5129,1.0,22.1,19.9,35.5,8.1,6.7,6.8,90.4,7.0,0.1,<0.02,0.08,0.025,<0.001,0.558,0.00005,<0.001,<0.0001,0.0065,0.0004,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2007/8/1 上午 08:40:00,5129,1.0,32.4,28.3,34.7,8.1,6.3,6.4,99.1,3.3,1.5,<0.02,0.06,0.008,0.004,0.200,0.00005,<0.001000,0.0013,0.0093,0.0004,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2007/5/7 上午 08:00:00,5129,1.0,25.5,24.0,35.1,8.2,6.6,6.7,96.7,<2.0,0.6,0.05,<0.01,0.015,0.002,0.136,0.000018,<0.001000,0.000784,0.004110,0.000713,<0.0003
台北沿海海域(乙),濂洞溪外海,乙,2007/2/4 上午 08:20:00,5129,1.0,18.9,18.0,34.2,8.0,7.1,7.2,91.0,5.8,0.1,0.02,0.09,0.006,0.003,1.66,0.000016,<0.001000,0.002880,0.010800,0.000181,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2007/12/1 下午 01:30:00,5130,1.0,24.4,20.7,34.9,8.1,7.0,7.0,93.9,18.1,0.1,0.09,0.22,0.090,0.010,1.81,0.00005,<0.001,0.0085,0.0103,0.0003,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2007/8/1 下午 02:00:00,5130,1.0,35.4,31.3,34.3,8.1,6.7,6.8,106.1,9.3,5.1,0.04,0.02,0.013,0.007,0.131,0.00004,<0.001000,0.0009,0.0057,0.0005,0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2007/5/7 下午 01:00:00,5130,1.0,27.4,24.1,34.2,8.2,6.1,6.2,90.9,3.5,1.2,0.05,0.03,0.043,0.009,0.238,0.000055,<0.001000,0.000615,0.003520,0.000130,<0.0003
台北沿海海域(乙),八里污水廠外海一,乙,2007/2/4 下午 12:05:00,5130,1.0,23.1,18.7,34.0,8.1,7.6,7.6,96.4,5.2,0.6,0.05,0.09,0.035,0.016,0.53,0.000027,<0.001000,0.000798,0.003650,0.000169,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2007/12/1 下午 12:40:00,5131,1.0,25.2,19.7,31.4,8.1,7.0,7.0,90.6,24.8,0.2,<0.02,0.14,0.070,0.009,0.946,0.00010,<0.001,0.0032,0.0090,0.0006,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2007/8/1 下午 01:00:00,5131,1.0,32.4,30.4,34.5,8.2,6.2,6.2,98.3,7.9,6.9,0.05,0.02,0.009,0.006,0.107,0.00003,0.0015,0.0019,0.0080,0.0005,<0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2007/5/7 下午 12:05:00,5131,1.0,27.3,25.3,34.6,8.1,6.1,6.2,90.9,2.7,1.4,0.05,0.06,0.030,0.008,0.170,0.000015,<0.001000,0.000560,0.002920,0.000245,0.0003
台北沿海海域(乙),八里污水廠外海二,乙,2007/2/4 下午 01:10:00,5131,1.0,25.0,18.3,33.5,8.2,7.5,7.6,96.3,5.5,0.5,0.08,0.11,0.049,0.020,0.67,0.000029,<0.001000,0.000309,0.003460,0.000099,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2007/12/2 上午 08:15:00,5132,1.0,20.0,18.5,34.2,8.0,6.7,6.8,87.3,17.8,0.2,0.06,0.17,0.067,0.007,1.02,0.00007,<0.001,0.0020,0.0106,0.0004,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2007/8/2 上午 07:35:00,5132,1.0,30.9,30.3,33.5,8.2,6.3,6.1,96.4,8.5,9.8,0.08,0.04,0.015,0.009,0.148,0.00002,<0.001000,0.0019,0.0043,<0.000200,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2007/5/8 上午 08:00:00,5132,1.0,25.9,25.0,34.3,8.2,6.4,6.7,97.5,5.1,4.4,0.10,0.09,0.040,0.017,0.153,0.000022,<0.001000,0.000652,0.003520,0.000143,<0.0003
台北沿海海域(乙),林口發電廠外海,乙,2007/2/5 上午 07:41:00,5132,1.0,15.9,16.9,33.7,8.2,7.6,7.6,95.8,17.5,1.1,0.11,0.13,0.058,0.023,0.76,0.000084,<0.001000,0.000840,0.003140,0.000241,0.0003
台北沿海海域(乙),深澳發電廠外海,乙,2007/12/1 上午 09:21:00,5133,1.0,21.8,20.0,35.7,8.1,6.6,6.7,89.4,6.8,0.3,<0.02,0.08,0.046,0.002,0.515,0.00007,<0.001,0.0017,0.0106,0.0005,<0.0003
台北沿海海域(乙),深澳發電廠外海,乙,2007/8/1 上午 09:10:00,5133,1.0,32.1,28.9,34.8,8.2,6.3,6.5,102.0,2.8,1.0,0.04,0.02,0.005,0.002,0.168,0.00001,<0.001000,0.0011,0.0035,0.0002,<0.0003
台北沿海海域(乙),深澳發電廠外海,乙,2007/5/7 上午 08:42:00,5133,1.0,26.1,24.0,35.0,8.2,6.5,6.6,96.3,<2.0,0.6,0.03,<0.01,0.010,0.002,0.143,0.000036,<0.001000,0.000425,0.001270,0.000412,<0.0003
台北沿海海域(乙),深澳發電廠外海,乙,2007/2/4 上午 09:05:00,5133,1.0,19.1,19.6,34.6,8.3,7.3,7.4,95.1,3.3,0.5,<0.02,0.07,0.030,0.005,0.64,0.000025,<0.001000,0.000287,0.003380,0.000190,0.0005
台北沿海海域(乙),淡水河口外4海浬處,乙,2007/12/1 下午 01:00:00,5134,1.0,25.1,19.8,34.5,8.1,7.0,7.0,93.6,10.5,0.1,0.02,0.15,0.084,0.006,1.02,0.00007,<0.001,0.0016,0.0093,0.0005,<0.0003
台北沿海海域(乙),淡水河口外4海浬處,乙,2007/8/1 下午 01:30:00,5134,1.0,32.5,30.5,34.8,8.2,6.6,6.6,106.3,9.8,3.6,<0.02,0.01,0.007,0.005,0.101,0.00001,<0.001000,0.0013,0.0046,0.0005,<0.0003
台北沿海海域(乙),淡水河口外4海浬處,乙,2007/5/7 下午 12:30:00,5134,1.0,27.4,25.4,34.9,8.2,6.2,6.4,94.2,3.6,0.4,0.03,<0.01,0.019,0.004,0.106,0.000018,<0.001000,0.000653,0.001890,0.000259,<0.0003
台北沿海海域(乙),淡水河口外4海浬處,乙,2007/2/4 下午 12:30:00,5134,1.0,23.4,18.7,34.0,8.2,7.7,7.7,98.5,4.9,0.4,0.03,0.10,0.028,0.015,0.50,0.000043,<0.001000,0.000357,0.006100,0.000287,<0.0003
台北沿海海域(乙),林口發電廠,乙,2007/12/2 上午 08:00:00,5135,1.0,19.5,18.5,34.1,8.1,6.6,6.7,87.6,25.2,0.2,0.10,0.18,0.082,0.011,1.11,0.00015,<0.001,0.0017,0.0099,0.0003,0.0003
台北沿海海域(乙),林口發電廠,乙,2007/8/2 上午 07:20:00,5135,1.0,30.4,30.2,33.5,8.1,6.5,6.3,100.3,13.0,14.3,0.03,0.02,0.006,0.008,0.078,0.00003,<0.001000,0.0008,0.0023,<0.0002,<0.0003
台北沿海海域(乙),林口發電廠,乙,2007/5/8 上午 07:40:00,5135,1.0,25.0,24.6,34.4,8.2,6.7,6.9,98.6,5.7,12.0,0.03,0.08,0.018,0.013,<0.05,0.000029,<0.001000,0.000915,0.003890,0.000186,<0.0003
台北沿海海域(乙),林口發電廠,乙,2007/2/5 上午 07:20:00,5135,1.0,16.1,16.6,33.6,8.2,7.6,7.7,95.6,16.7,1.2,0.11,0.13,0.067,0.023,0.82,0.000028,<0.001000,0.000769,0.002530,0.000150,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2007/12/1 上午 09:40:00,5136,1.0,22.2,20.1,35.7,8.1,6.9,6.9,92.5,4.1,0.2,0.06,0.09,0.034,0.002,0.950,0.00010,<0.001,0.0026,0.0096,0.0006,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2007/8/1 上午 09:23:00,5136,1.0,32.6,32.0,34.8,8.1,6.2,6.2,101.4,6.3,0.8,0.02,0.02,0.007,0.004,0.161,0.00004,0.0012,0.0007,0.0085,0.0005,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2007/5/7 上午 09:01:00,5136,1.0,26.3,24.1,35.0,8.2,6.2,6.4,97.9,<2.0,0.1,0.03,0.01,0.022,0.003,0.196,0.000027,<0.001000,0.000526,0.003060,0.000356,<0.0003
台北沿海海域(乙),深澳發電廠,乙,2007/2/4 上午 09:17:00,5136,1.0,19.2,22.1,34.8,8.2,7.0,7.2,96.3,2.0,0.3,<0.02,0.07,0.027,0.005,0.49,0.000060,<0.001000,0.000783,0.002970,0.000217,0.0007
桃園沿海海域,海湖電廠,乙,2007/12/2 上午 08:35:00,5137,1.0,20.6,18.8,34.0,8.0,6.9,6.8,88.6,16.0,0.4,0.16,0.21,0.090,0.013,1.13,0.00085,<0.001,0.0040,0.0099,0.0023,<0.0003
桃園沿海海域,海湖電廠,乙,2007/8/2 上午 07:53:00,5137,1.0,31.3,31.3,33.5,8.2,6.4,6.2,101.1,15.0,12.5,0.05,0.04,0.006,0.009,0.104,0.00003,<0.001000,0.0020,0.0082,0.0003,<0.0003
桃園沿海海域,海湖電廠,乙,2007/5/8 上午 08:19:00,5137,1.0,26.1,24.7,34.0,8.2,6.1,6.2,90.7,4.6,2.3,0.08,0.18,0.071,0.020,0.417,0.000025,<0.001000,0.000838,0.005270,0.000207,<0.0003
桃園沿海海域,海湖電廠,乙,2007/2/5 上午 08:01:00,5137,1.0,15.9,17.0,33.6,8.3,7.4,7.6,94.7,11.1,0.9,0.13,0.14,0.057,0.020,0.76,0.000019,<0.001000,0.000381,0.001330,0.000084,<0.0003
桃園沿海海域,新南崁溪口,乙,2007/12/2 上午 08:55:00,5138,1.0,21.5,18.6,33.2,8.0,6.8,6.8,87.5,43.5,0.3,0.34,0.27,0.130,0.018,1.33,0.00024,<0.001,0.0033,0.0096,0.0005,<0.0003
桃園沿海海域,新南崁溪口,乙,2007/8/2 上午 08:15:00,5138,1.0,31.2,30.7,33.4,8.1,5.9,5.8,93.3,23.1,14.2,0.08,0.06,0.029,0.010,0.152,0.00003,<0.001000,0.0020,0.0067,0.0003,<0.0003
桃園沿海海域,新南崁溪口,乙,2007/5/8 上午 08:39:00,5138,1.0,27.0,25.2,34.0,8.1,6.0,6.1,89.1,27.4,3.1,0.24,0.13,0.062,0.021,0.323,0.000021,<0.001000,0.000738,0.002270,0.000217,<0.0003
桃園沿海海域,新南崁溪口,乙,2007/2/5 上午 08:20:00,5138,1.0,16.0,17.0,33.6,8.2,7.4,7.6,95.2,37.7,0.9,0.16,0.17,0.068,0.019,0.83,0.000027,<0.001000,0.000865,0.003250,0.000181,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2007/12/2 上午 09:15:00,5139,1.0,21.4,18.9,34.8,8.1,6.9,6.9,90.6,15.5,0.4,<0.02,0.11,0.074,0.006,0.762,0.00011,<0.001,0.0034,0.0068,0.0003,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2007/8/2 上午 08:39:00,5139,1.0,31.3,30.3,33.6,8.1,5.9,5.7,90.9,11.2,3.6,0.21,0.07,0.025,0.011,0.251,0.00004,0.0016,0.0012,0.0086,0.0005,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2007/5/8 上午 09:00:00,5139,1.0,28.0,25.5,34.7,8.2,6.2,6.2,91.6,<2.0,1.4,0.02,0.02,0.022,0.004,0.119,0.000028,<0.001000,0.001420,0.004100,0.000162,<0.0003
桃園沿海海域,沙崙中油卸油設施一,乙,2007/2/5 上午 08:45:00,5139,1.0,16.4,16.9,33.9,8.2,7.5,7.7,96.3,6.8,0.6,0.04,0.15,0.045,0.020,0.58,0.000021,<0.001000,0.000809,0.002510,0.000273,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2007/12/2 上午 09:30:00,5140,1.0,20.8,18.8,34.8,8.1,6.8,6.8,89.2,9.9,0.2,<0.02,0.12,0.053,0.007,0.772,0.00007,<0.001,0.0017,0.0067,0.0006,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2007/8/2 上午 08:52:00,5140,1.0,32.9,30.5,33.8,8.1,5.9,5.6,91.3,7.8,2.6,0.09,0.05,0.016,0.008,0.208,0.00002,<0.001000,0.0012,0.0090,0.0005,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2007/5/8 上午 09:15:00,5140,1.0,28.9,25.9,34.9,8.2,6.3,6.4,95.1,6.7,0.9,0.03,0.01,0.018,0.004,0.091,0.000012,<0.001000,0.000212,0.002920,0.000716,<0.0003
桃園沿海海域,沙崙中油卸油設施二,乙,2007/2/5 上午 08:59:00,5140,1.0,16.4,17.0,34.0,8.3,7.5,7.6,96.0,6.7,0.7,0.05,0.13,0.041,0.031,0.55,0.000022,<0.001000,0.000813,0.001490,0.000189,<0.0003
桃園沿海海域,觀音溪口,乙,2007/12/2 上午 10:10:00,5141,1.0,26.2,19.0,34.3,8.0,7.0,6.9,90.3,24.0,0.2,<0.02,0.19,0.068,0.006,0.913,0.00009,<0.001,0.0016,0.0067,0.0003,<0.0003
桃園沿海海域,觀音溪口,乙,2007/8/2 上午 09:20:00,5141,1.0,32.5,30.7,34.0,8.1,5.8,5.6,91.3,17.2,1.8,0.02,0.02,0.015,0.005,0.174,0.00003,<0.001000,0.0013,0.0072,0.0003,<0.0003
桃園沿海海域,觀音溪口,乙,2007/5/8 上午 09:50:00,5141,1.0,32.0,25.8,34.6,8.2,6.1,6.2,91.9,5.6,1.0,0.03,0.03,0.038,0.005,0.116,0.000022,<0.001000,0.001520,0.002590,0.000233,<0.0003
桃園沿海海域,觀音溪口,乙,2007/2/5 上午 09:35:00,5141,1.0,18.3,16.7,33.5,8.1,7.5,7.6,94.8,6.8,0.6,0.08,0.27,0.068,0.024,0.75,0.000036,<0.001000,0.000939,0.009530,0.000182,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2007/12/2 下午 12:40:00,5142,1.0,25.9,19.8,33.0,8.1,7.4,7.3,96.6,32.5,1.0,0.12,0.21,0.174,0.012,1.43,0.00011,<0.001,0.003,0.0096,0.0004,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2007/8/2 上午 11:42:00,5142,1.0,34.1,31.0,33.9,8.3,7.4,7.2,117.3,11.8,8.0,0.04,<0.01,0.011,0.003,0.072,0.00003,<0.001000,0.0018,0.0085,0.0006,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2007/5/8 下午 12:10:00,5142,1.0,33.5,26.7,33.8,8.2,6.7,6.5,97.9,5.2,1.9,0.03,0.04,0.037,0.004,0.410,0.000020,<0.001000,0.000453,0.004160,0.000252,<0.0003
新竹香山沿海海域,頭前溪口南側,乙,2007/2/5 上午 11:42:00,5142,1.0,19.7,16.8,33.5,8.2,8.0,8.1,101.2,4.5,1.3,0.07,0.17,0.041,0.014,0.68,0.000027,<0.001000,0.000819,0.002920,0.000182,<0.0003
新竹香山沿海海域,鳳山溪北側,乙,2007/12/2 下午 12:20:00,5143,1.0,25.5,19.8,32.5,8.1,7.4,7.3,95.4,19.3,1.2,0.12,0.22,0.207,0.015,1.55,0.00007,<0.001,0.0013,0.0064,0.0004,<0.0003
新竹香山沿海海域,鳳山溪北側,乙,2007/8/2 上午 11:29:00,5143,1.0,34.0,31.2,33.9,8.2,6.8,6.7,109.1,10.8,4.6,<0.02,<0.01,0.008,0.002,0.082,0.00004,<0.001000,0.0008,0.0088,0.0003,<0.0003
新竹香山沿海海域,鳳山溪北側,乙,2007/5/8 上午 11:49:00,5143,1.0,33.0,26.6,34.2,8.2,6.4,6.8,102.5,4.5,2.0,0.04,0.01,0.029,0.003,0.290,0.000017,0.001760,0.000755,0.003650,0.000521,<0.0003
新竹香山沿海海域,鳳山溪北側,乙,2007/2/5 上午 11:30:00,5143,1.0,19.6,16.8,33.5,8.2,8.2,8.2,103.0,4.6,1.1,0.06,0.18,0.049,0.010,0.70,0.000046,<0.001000,0.000814,0.003300,0.000231,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2007/12/2 下午 12:00:00,5144,1.0,24.3,20.1,34.7,8.1,7.2,7.2,96.6,8.2,1.0,<0.02,0.08,0.037,0.004,0.554,0.00009,<0.001,0.0012,0.0060,0.0004,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2007/8/2 上午 11:06:00,5144,1.0,30.5,30.6,33.4,8.1,6.5,6.5,104.2,3.7,1.4,<0.02,0.01,0.007,0.002,0.107,0.00004,0.0014,0.0009,0.0080,<0.000200,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2007/5/8 上午 11:30:00,5144,1.0,32.0,26.0,34.9,8.2,6.5,6.7,100.3,2.3,0.3,<0.02,<0.01,0.015,0.002,0.059,0.000018,<0.001000,0.000132,0.002810,0.000507,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2007/2/5 上午 11:10:00,5144,1.0,19.6,16.0,30.9,8.1,8.4,8.5,103.4,<2.0,0.6,<0.02,0.19,0.014,0.003,0.92,0.000033,<0.001000,0.000830,0.001520,0.000422,0.0003
新竹香山沿海海域,紅毛港外,乙,2007/12/2 上午 11:10:00,5145,1.0,25.5,19.8,34.2,8.0,7.4,7.4,97.8,23.0,0.4,<0.02,0.16,0.083,0.008,0.894,0.00011,<0.001,0.0014,0.0094,0.0002,<0.0003
新竹香山沿海海域,紅毛港外,乙,2007/8/2 上午 10:12:00,5145,1.0,35.0,31.0,34.0,8.1,6.5,6.3,103.4,9.3,4.6,<0.02,<0.01,0.007,0.002,0.059,0.00003,<0.001000,0.0006,0.0079,0.0003,<0.0003
新竹香山沿海海域,紅毛港外,乙,2007/5/8 上午 10:26:00,5145,1.0,31.8,25.7,34.6,8.2,6.4,6.5,97.1,2.4,1.6,0.02,<0.01,0.015,0.002,0.069,0.000017,<0.001000,0.000709,0.003650,0.000420,<0.0003
新竹香山沿海海域,紅毛港外,乙,2007/2/5 上午 10:25:00,5145,1.0,21.4,17.1,33.4,8.0,7.7,7.8,98.3,15.5,1.1,0.04,0.23,0.049,0.022,0.73,0.000064,<0.001000,0.000943,0.009620,0.000202,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2007/11/12 上午 08:50:00,5146,1.0,23.2,23.0,33.3,8.2,6.7,6.5,91.0,9.0,0.2,0.05,0.06,0.013,<0.001,0.484,0.00003,0.0012,0.0008,0.0071,0.0006,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2007/8/15 上午 10:29:00,5146,1.0,30.4,28.0,33.6,8.1,6.9,7.0,103.1,<2.0,0.6,0.11,<0.01,0.008,0.004,0.407,0.00004,<0.001000,0.0007,0.0044,0.0004,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2007/5/11 下午 02:39:00,5146,1.0,29.3,24.7,33.7,8.1,6.8,7.0,101.3,3.0,0.3,0.05,0.02,0.009,0.003,0.416,0.000017,0.004690,0.000213,0.001870,0.000334,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2007/2/6 上午 08:42:00,5146,1.0,23.4,20.8,33.8,8.2,7.0,7.0,94.1,<2.0,0.8,0.04,0.09,0.012,0.004,0.59,0.000029,<0.001000,0.000782,0.006690,0.000958,<0.0003
宜蘭蘇澳沿海海域    ,得子口溪口,甲,2007/11/12 上午 09:20:00,5147,1.0,23.0,21.8,33.0,8.2,6.8,6.7,90.7,4.9,0.2,0.04,0.05,0.024,<0.001,0.762,0.00002,<0.001,0.0005,0.0037,0.0003,<0.0003
宜蘭蘇澳沿海海域    ,得子口溪口,甲,2007/8/15 上午 10:07:00,5147,1.0,31.1,28.4,32.7,8.1,7.3,7.3,109.2,3.5,0.7,0.05,0.04,0.012,0.005,0.821,0.00001,<0.001000,0.0019,0.0073,0.0005,<0.0003
宜蘭蘇澳沿海海域    ,得子口溪口,甲,2007/5/11 下午 02:09:00,5147,1.0,29.2,25.4,34.1,8.1,7.4,7.0,102.3,4.4,<0.1,0.09,0.04,0.006,0.002,0.284,0.000013,<0.001000,0.000345,0.002460,0.000605,<0.0003
宜蘭蘇澳沿海海域    ,得子口溪口,甲,2007/2/6 上午 09:08:00,5147,1.0,22.1,20.8,34.1,8.2,7.0,7.0,95.1,<2.0,1.1,0.04,0.05,0.015,0.004,0.49,0.000020,<0.001000,0.000749,0.004490,0.000431,<0.0003
