採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
淺水灣,淺水灣右,甲,2016/8/29 下午 02:20:00,6203,29.8,8.1,--,32.8,--,--,--,--,33.3,--,--,--,--,15,<10
淺水灣,淺水灣中,甲,2016/8/29 下午 02:10:00,6202,29.8,8.1,--,32.8,--,--,--,--,33.3,--,--,--,--,30,31
淺水灣,淺水灣左,甲,2016/8/29 下午 02:00:00,6201,30.0,8.1,--,33.0,--,--,--,--,33.4,--,--,--,--,25,31
新金山海水浴場,新金山海水浴場右,乙,2016/8/29 下午 12:50:00,6023,28.8,7.9,--,33.8,--,--,--,--,32.4,--,--,--,--,55,<10
新金山海水浴場,新金山海水浴場中,乙,2016/8/29 下午 12:40:00,6022,28.8,7.9,--,33.7,--,--,--,--,32.4,--,--,--,--,40,<10
新金山海水浴場,新金山海水浴場左,乙,2016/8/29 下午 12:25:00,6021,28.8,7.9,--,33.8,--,--,--,--,32.6,--,--,--,--,60,20
崎頂海水浴場,崎頂海水浴場右,乙,2016/8/29 上午 10:58:00,6033,28.1,8.2,--,29.5,--,--,--,--,33.7,--,--,--,--,70,31
崎頂海水浴場,崎頂海水浴場中,乙,2016/8/29 上午 10:54:00,6032,28.1,8.2,--,29.5,--,--,--,--,33.7,--,--,--,--,65,20
崎頂海水浴場,崎頂海水浴場左,乙,2016/8/29 上午 10:50:00,6031,28.2,8.1,--,29.5,--,--,--,--,33.7,--,--,--,--,40,42
福隆海水浴場,福隆海水浴場右,乙,2016/8/29 上午 09:55:00,6013,28.5,8.0,--,33.0,--,--,--,--,28.8,--,--,--,--,810,75
福隆海水浴場,福隆海水浴場中,乙,2016/8/29 上午 09:45:00,6012,28.4,8.0,--,33.0,--,--,--,--,29.7,--,--,--,--,800,86
