採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
新金山海水浴場,新金山海水浴場右,乙,2012/8/20 下午 02:00:00,6023,29.4,8.2,1.9,32.7,6.6,<0.01,<0.01,0.002,31.8,0.838,--,104.0,0.019,<10,<10
新金山海水浴場,新金山海水浴場中,乙,2012/8/20 下午 01:45:00,6022,29.1,8.2,1.6,32.7,7.2,<0.01,<0.01,0.002,32.1,0.851,--,112.4,0.023,<10,<10
新金山海水浴場,新金山海水浴場左,乙,2012/8/20 下午 01:31:00,6021,28.3,8.2,1.9,32.7,7.0,<0.01,<0.01,0.003,31.9,0.568,--,105.9,0.013,<10,<10
后湖海濱公園,后湖海濱公園右,乙,2012/8/20 上午 11:54:00,6143,30.4,8.2,7.0,29.6,6.4,<0.01,0.03,0.008,31.9,0.572,--,101.1,0.027,15,<10
后湖海濱公園,后湖海濱公園中,乙,2012/8/20 上午 11:41:00,6142,30.9,8.2,7.2,29.7,6.3,<0.01,0.03,0.007,32.3,0.499,--,100.5,0.026,<10,<10
后湖海濱公園,后湖海濱公園左,乙,2012/8/20 上午 11:27:00,6141,31.3,8.2,8.6,29.7,6.1,<0.01,0.05,0.008,32.0,0.558,--,99.2,0.032,15,10
福隆海水浴場,福隆海水浴場右,乙,2012/8/20 上午 11:16:00,6013,28.3,8.0,4.1,32.8,6.3,<0.01,0.05,0.002,29.6,0.938,--,95.7,0.026,<10,<10
福隆海水浴場,福隆海水浴場中,乙,2012/8/20 上午 10:59:00,6012,27.9,8.0,2.7,32.8,6.5,0.01,0.06,0.003,29.7,0.854,--,98.0,0.021,<10,<10
福隆海水浴場,福隆海水浴場左,乙,2012/8/20 上午 10:43:00,6011,27.9,8.0,1.8,32.8,6.3,0.01,0.02,0.003,29.6,0.875,--,95.9,0.018,<10,<10
通霄海水浴場,通霄海水浴場右,乙,2012/8/20 上午 10:11:00,6043,30.4,8.2,19,30.1,7.8,0.02,<0.01,0.001,32.3,0.140,--,123.2,0.003,35,10
通霄海水浴場,通霄海水浴場中,乙,2012/8/20 上午 10:06:00,6042,31.0,8.2,16,30.1,7.1,0.03,<0.01,0.001,32.3,0.104,--,113.6,0.003,95,20
通霄海水浴場,通霄海水浴場左,乙,2012/8/20 上午 10:00:00,6041,30.5,8.2,19,30.1,7.4,0.03,<0.01,0.002,32.1,0.098,--,117.0,<0.003,70,31
塘后,塘后右,甲,2012/8/20 上午 09:45:00,6283,27.5,8.1,4.1,29.7,6.1,<0.01,0.02,0.005,31.6,0.337,--,94.1,0.018,15,20
塘后,塘后中,甲,2012/8/20 上午 09:36:00,6282,27.9,8.1,4.3,29.5,6.3,<0.01,0.02,0.005,31.4,0.413,--,94.7,0.036,15,10
外澳濱海遊憩區,外澳濱海遊憩區右,甲,2012/8/20 上午 09:30:00,6173,28.0,8.0,2.3,33.0,6.4,<0.01,0.02,0.003,30.9,0.454,--,98.0,0.035,20,<10
磯崎海水浴場,磯崎海水浴場右,甲,2012/8/20 上午 09:30:00,6213,29.5,8.1,7.1,30.2,6.4,<0.01,0.02,0.002,32.5,0.603,--,99.7,0.030,<10,20
塘后,塘后左,甲,2012/8/20 上午 09:26:00,6281,27.6,8.1,3.9,29.7,6.1,<0.01,<0.01,0.006,31.5,0.420,--,94.5,0.024,<10,<10
磯崎海水浴場,磯崎海水浴場中,甲,2012/8/20 上午 09:15:00,6212,29.5,8.1,6.5,30.1,6.4,<0.01,<0.01,0.002,32.2,0.779,--,100.8,0.041,10,31
外澳濱海遊憩區,外澳濱海遊憩區中,甲,2012/8/20 上午 09:13:00,6172,28.0,8.1,3.5,32.9,6.5,<0.01,0.02,0.003,30.8,0.985,--,99.1,0.035,35,<10
磯崎海水浴場,磯崎海水浴場左,甲,2012/8/20 上午 09:00:00,6211,29.4,8.1,6.3,30.1,6.9,<0.01,0.02,0.002,32.4,0.817,--,108.3,0.035,<10,10
外澳濱海遊憩區,外澳濱海遊憩區左,甲,2012/8/20 上午 08:56:00,6171,28.1,8.0,3.2,32.9,6.4,<0.01,0.06,0.003,30.7,0.755,--,98.5,0.027,95,10
崎頂海水浴場,崎頂海水浴場右,乙,2012/8/20 上午 08:46:00,6033,29.8,8.3,11,29.0,7.6,0.03,0.01,0.003,31.6,0.102,--,119.6,0.126,350,31
崎頂海水浴場,崎頂海水浴場中,乙,2012/8/20 上午 08:39:00,6032,29.6,8.3,11,29.0,7.4,0.02,0.01,0.003,31.6,0.096,--,116.4,0.139,260,10
崎頂海水浴場,崎頂海水浴場左,乙,2012/8/20 上午 08:33:00,6031,29.6,8.3,10,29.0,7.1,0.03,0.01,0.004,31.7,0.112,--,110.8,0.148,240,10
旗津海水浴場,旗津海水浴場右,乙,2012/8/19 下午 02:45:00,6083,29.6,8.2,7.2,29.8,6.2,<0.01,<0.01,0.003,32.8,0.270,--,97.9,0.017,<10,10
旗津海水浴場,旗津海水浴場中,乙,2012/8/19 下午 02:35:00,6082,29.7,8.2,7.7,29.8,6.2,<0.01,0.01,0.003,33.0,0.275,--,98.9,0.021,20,10
旗津海水浴場,旗津海水浴場左,乙,2012/8/19 下午 02:25:00,6081,29.6,8.2,9.3,29.8,6.3,<0.01,0.01,0.002,33.0,0.278,--,99.1,0.017,10,<10
西子灣海水浴場,西子灣海水浴場右,乙,2012/8/19 下午 02:20:00,6113,30.2,8.3,15,28.6,6.6,0.02,0.04,0.004,33.1,0.228,--,105.9,0.022,470,62
西子灣海水浴場,西子灣海水浴場中,乙,2012/8/19 下午 02:10:00,6112,30.4,8.3,10,28.6,6.6,0.01,0.01,0.004,33.0,0.219,--,105.0,0.025,10,<10
西子灣海水浴場,西子灣海水浴場左,乙,2012/8/19 下午 02:00:00,6111,30.4,8.3,9.6,28.6,6.6,<0.01,0.01,0.003,33.1,0.196,--,105.5,0.032,10,<10
杉原海水浴場,杉原海水浴場右,甲,2012/8/19 下午 01:58:00,6103,31.6,8.2,2.4,31.2,6.2,<0.01,0.02,0.001,33.1,0.359,--,100.4,0.011,10,<10
杉原海水浴場,杉原海水浴場中,甲,2012/8/19 下午 01:50:00,6102,31.7,8.2,2.3,31.2,6.2,0.01,<0.01,0.002,33.0,0.302,--,101.0,0.015,<10,<10
杉原海水浴場,杉原海水浴場左,甲,2012/8/19 下午 01:43:00,6101,31.2,8.2,2.3,31.2,6.2,<0.01,0.01,0.001,33.1,0.387,--,100.7,0.012,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2012/8/19 上午 10:45:00,6093,29.7,8.2,1.4,33.1,6.4,<0.01,<0.01,0.001,33.0,0.160,--,100.7,0.005,10,<10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2012/8/19 上午 10:40:00,6063,29.4,8.5,11,32.5,6.4,<0.01,0.01,0.002,33.3,0.241,--,100.3,0.031,10,10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2012/8/19 上午 10:35:00,6092,29.6,8.2,1.2,33.1,6.3,<0.01,<0.01,0.001,33.0,0.159,--,98.8,0.006,<10,41
觀音亭,觀音亭右,甲,2012/8/19 上午 10:35:00,6263,30.1,8.2,3.1,32.6,7.0,<0.01,0.03,0.004,33.0,0.392,--,110.6,0.005,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2012/8/19 上午 10:25:00,6062,29.4,8.5,12,32.5,6.3,<0.01,0.01,0.002,33.2,0.245,--,100.0,0.028,<10,<10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2012/8/19 上午 10:25:00,6091,30.0,8.2,1.2,33.1,6.3,<0.01,<0.01,<0.001,32.9,0.151,--,100.4,0.014,10,10
觀音亭,觀音亭中,甲,2012/8/19 上午 10:25:00,6262,30.2,8.2,4.0,32.6,6.9,<0.01,0.05,0.004,33.0,0.451,--,109.8,0.009,<10,<10
觀音亭,觀音亭左,甲,2012/8/19 上午 10:15:00,6261,30.2,8.2,4.0,32.6,6.7,<0.01,0.12,0.005,33.0,0.460,--,109.1,0.004,25,<10
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2012/8/19 上午 10:10:00,6061,29.5,8.5,11,32.5,6.4,<0.01,0.02,0.003,33.2,0.247,--,100.2,0.060,<10,10
后湖海濱公園,后湖海濱公園右,乙,2012/8/6 上午 11:58:00,6143,29.3,8.1,21,29.9,6.6,0.02,0.05,0.008,33.0,0.437,--,103.9,0.056,<10,<10
后湖海濱公園,后湖海濱公園中,乙,2012/8/6 上午 11:43:00,6142,29.4,8.1,18,29.9,6.5,0.01,0.09,0.006,33.1,0.446,--,102.8,0.048,<10,<10
