numberOfCraftWooden	numberOfCraftSteel	numberOfCraftFRP	tonnage	HP	county	fishingMethod	craftTypeBasedOnTons	tonnageMin	tonnageMax	year
NA	NA	1.00 	0.30 	16.00 	嘉義縣	其他	w < 5t	0	5	2003
NA	NA	1.00 	3.34 	26.00 	澎湖縣	公務用	w < 5t	0	5	2003
NA	NA	1.00 	2.15 	36.00 	嘉義縣	火誘網	w < 5t	0	5	2003
NA	NA	1.00 	0.52 	40.00 	新竹縣	鯛及雜魚延繩釣	Powered Sampans	0	0	2003
NA	NA	1.00 	0.82 	40.00 	屏東縣	其他	Powered Sampans	0	0	2003
NA	NA	1.00 	2.00 	50.00 	花蓮縣	鯛及雜魚延繩釣	Powered Sampans	0	0	2003
1.00 	NA	1.00 	3.78 	66.00 	屏東縣	火誘網	w < 5t	0	5	2003
NA	NA	1.00 	2.00 	70.00 	花蓮縣	一支釣	Powered Sampans	0	0	2003
NA	NA	1.00 	3.88 	70.00 	台南市	單船拖網	w < 5t	0	5	2003
NA	NA	1.00 	8.22 	70.00 	基隆市	其他	5t < w < 10t	5	10	2003
2.00 	NA	1.00 	11.17 	72.00 	屏東縣	刺網	w < 5t	0	5	2003
NA	NA	1.00 	12.30 	75.00 	台中縣	火誘網	10t < w < 20t	10	20	2003
NA	NA	1.00 	1.00 	85.00 	花蓮縣	鮪延繩釣	Powered Sampans	0	0	2003
NA	NA	1.00 	0.69 	90.00 	屏東縣	火誘網	Powered Sampans	0	0	2003
NA	NA	1.00 	7.09 	100.00 	新北市	曳繩網	5t < w < 10t	5	10	2003
NA	NA	1.00 	1.28 	110.00 	台中縣	火誘網	Powered Sampans	0	0	2003
NA	NA	1.00 	5.57 	110.00 	苗栗縣	火誘網	5t < w < 10t	5	10	2003
NA	NA	1.00 	0.65 	115.00 	台南縣	鯛及雜魚延繩釣	w < 5t	0	5	2003
NA	NA	1.00 	1.10 	115.00 	新竹縣	一支釣	w < 5t	0	5	2003
NA	NA	1.00 	1.96 	115.00 	新竹市	其他	w < 5t	0	5	2003
NA	NA	1.00 	3.71 	115.00 	花蓮縣	火誘網	w < 5t	0	5	2003
NA	NA	1.00 	4.98 	115.00 	花蓮縣	其他	w < 5t	0	5	2003
NA	NA	1.00 	4.99 	115.00 	宜蘭縣	單船拖網	w < 5t	0	5	2003
NA	NA	1.00 	6.21 	115.00 	雲林縣	其他	5t < w < 10t	5	10	2003
NA	NA	1.00 	6.45 	115.00 	新竹市	一支釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	1.00 	120.00 	台南縣	其他	Powered Sampans	0	0	2003
NA	NA	1.00 	3.70 	120.00 	新北市	鏢旗魚	Powered Sampans	0	0	2003
NA	NA	1.00 	32.52 	125.00 	澎湖縣	一支釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	3.43 	130.00 	金門縣	火誘網	w < 5t	0	5	2003
2.00 	NA	1.00 	11.22 	142.00 	屏東縣	鏢旗魚	w < 5t	0	5	2003
NA	NA	1.00 	2.93 	150.00 	新北市	單船拖網	w < 5t	0	5	2003
NA	NA	1.00 	5.81 	150.00 	台南縣	一支釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	2.20 	151.00 	宜蘭縣	鏢旗魚	w < 5t	0	5	2003
1.00 	NA	1.00 	4.25 	154.00 	新北市	其他	Powered Sampans	0	0	2003
NA	NA	1.00 	8.22 	155.00 	金門縣	單船拖網	5t < w < 10t	5	10	2003
NA	NA	1.00 	13.96 	165.00 	金門縣	火誘網	10t < w < 20t	10	20	2003
1.00 	NA	1.00 	18.56 	170.00 	台南市	刺網	5t < w < 10t	5	10	2003
NA	NA	1.00 	5.64 	180.00 	澎湖縣	一支釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	5.34 	200.00 	高雄市	一支釣	5t < w < 10t	5	10	2003
1.00 	NA	1.00 	6.18 	205.00 	花蓮縣	刺網	w < 5t	0	5	2003
NA	NA	1.00 	6.54 	210.00 	高雄縣	一支釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	7.91 	210.00 	高雄市	曳繩網	5t < w < 10t	5	10	2003
1.00 	NA	1.00 	15.44 	215.00 	澎湖縣	刺網	5t < w < 10t	5	10	2003
NA	NA	1.00 	7.02 	218.00 	基隆市	單船拖網	5t < w < 10t	5	10	2003
1.00 	NA	1.00 	15.76 	224.00 	新北市	鏢旗魚	5t < w < 10t	5	10	2003
1.00 	NA	1.00 	9.97 	231.00 	宜蘭縣	火誘網	w < 5t	0	5	2003
NA	1.00 	1.00 	2.80 	240.00 	桃園縣	火誘網	w < 5t	0	5	2003
NA	NA	1.00 	17.32 	240.00 	台南市	單船拖網	10t < w < 20t	10	20	2003
NA	NA	1.00 	19.65 	240.00 	台南縣	單船拖網	10t < w < 20t	10	20	2003
NA	NA	1.00 	36.84 	240.00 	嘉義縣	鯛及雜魚延繩釣	20t < w < 50t	20	50	2003
2.00 	NA	1.00 	52.17 	251.00 	新北市	鏢旗魚	10t < w < 20t	10	20	2003
NA	NA	1.00 	9.36 	255.00 	澎湖縣	鏢旗魚	5t < w < 10t	5	10	2003
NA	NA	1.00 	10.75 	255.00 	臺東縣	鯛及雜魚延繩釣	10t < w < 20t	10	20	2003
NA	NA	1.00 	8.63 	260.00 	宜蘭縣	刺網	5t < w < 10t	5	10	2003
8.00 	NA	1.00 	23.53 	268.00 	澎湖縣	刺網	w < 5t	0	5	2003
NA	NA	1.00 	24.73 	279.00 	宜蘭縣	一支釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	5.80 	280.00 	高雄市	其他	5t < w < 10t	5	10	2003
NA	NA	1.00 	7.86 	280.00 	屏東縣	其他	5t < w < 10t	5	10	2003
1.00 	NA	1.00 	25.32 	280.00 	花蓮縣	刺網	10t < w < 20t	10	20	2003
NA	NA	1.00 	31.74 	280.00 	新竹市	刺網	20t < w < 50t	20	50	2003
NA	NA	1.00 	5.25 	292.00 	新竹市	刺網	w < 5t	0	5	2003
NA	NA	1.00 	26.05 	330.00 	桃園縣	鯛及雜魚延繩釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	18.28 	340.00 	新竹市	單船拖網	10t < w < 20t	10	20	2003
NA	NA	1.00 	17.78 	350.00 	彰化縣	刺網	10t < w < 20t	10	20	2003
NA	NA	1.00 	19.45 	357.00 	台南縣	鯛及雜魚延繩釣	10t < w < 20t	10	20	2003
NA	NA	1.00 	29.31 	357.00 	高雄市	一支釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	19.18 	380.00 	臺東縣	單船拖網	10t < w < 20t	10	20	2003
1.00 	NA	1.00 	5.34 	390.00 	桃園縣	鯛及雜魚延繩釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	21.40 	390.00 	宜蘭縣	定置漁業作業	20t < w < 50t	20	50	2003
1.00 	NA	1.00 	19.23 	396.00 	宜蘭縣	鮪延繩釣	5t < w < 10t	5	10	2003
NA	NA	1.00 	16.55 	400.00 	臺東縣	一支釣	10t < w < 20t	10	20	2003
NA	NA	1.00 	19.90 	409.00 	新竹市	火誘網	10t < w < 20t	10	20	2003
NA	NA	1.00 	39.91 	415.00 	金門縣	鯛及雜魚延繩釣	20t < w < 50t	20	50	2003
1.00 	NA	1.00 	18.45 	430.00 	新北市	單船拖網	5t < w < 10t	5	10	2003
NA	NA	1.00 	9.94 	435.00 	台南市	其他	5t < w < 10t	5	10	2003
NA	NA	1.00 	18.62 	435.00 	花蓮縣	火誘網	10t < w < 20t	10	20	2003
NA	NA	1.00 	20.52 	435.00 	高雄市	火誘網	20t < w < 50t	20	50	2003
NA	NA	1.00 	36.94 	435.00 	金門縣	單船拖網	20t < w < 50t	20	50	2003
1.00 	NA	1.00 	37.95 	435.00 	高雄市	巾著網	10t < w < 20t	10	20	2003
NA	NA	1.00 	49.69 	435.00 	金門縣	火誘網	20t < w < 50t	20	50	2003
NA	NA	1.00 	19.85 	444.00 	花蓮縣	一支釣	10t < w < 20t	10	20	2003
NA	NA	1.00 	19.40 	450.00 	金門縣	巾著網	10t < w < 20t	10	20	2003
NA	NA	1.00 	55.57 	450.00 	金門縣	公務用	50t < w < 100t	50	100	2003
NA	NA	1.00 	55.81 	450.00 	宜蘭縣	刺網	50t < w < 100t	50	100	2003
NA	NA	1.00 	68.98 	450.00 	台中縣	鯛及雜魚延繩釣	50t < w < 100t	50	100	2003
NA	NA	1.00 	72.32 	450.00 	臺東縣	鮪延繩釣	50t < w < 100t	50	100	2003
NA	NA	1.00 	77.04 	450.00 	台南市	刺網	50t < w < 100t	50	100	2003
2.00 	NA	1.00 	47.56 	465.00 	嘉義縣	單船拖網	10t < w < 20t	10	20	2003
1.00 	NA	1.00 	17.15 	490.00 	桃園縣	鯛及雜魚延繩釣	10t < w < 20t	10	20	2003
2.00 	NA	1.00 	52.25 	512.00 	屏東縣	火誘網	10t < w < 20t	10	20	2003
4.00 	NA	1.00 	39.28 	526.00 	花蓮縣	刺網	5t < w < 10t	5	10	2003
NA	NA	1.00 	63.54 	530.00 	澎湖縣	火誘網	50t < w < 100t	50	100	2003
NA	NA	1.00 	49.44 	540.00 	新北市	鏢旗魚	20t < w < 50t	20	50	2003
NA	1.00 	1.00 	78.88 	560.00 	澎湖縣	鮪延繩釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	4.97 	581.00 	臺東縣	刺網	w < 5t	0	5	2003
4.00 	NA	1.00 	46.72 	613.00 	高雄市	刺網	5t < w < 10t	5	10	2003
NA	NA	1.00 	59.93 	640.00 	新竹市	刺網	50t < w < 100t	50	100	2003
NA	NA	1.00 	19.81 	650.00 	宜蘭縣	其他	10t < w < 20t	10	20	2003
NA	NA	1.00 	49.78 	650.00 	基隆市	一支釣	20t < w < 50t	20	50	2003
NA	NA	1.00 	32.56 	680.00 	新北市	公務用	20t < w < 50t	20	50	2003
NA	NA	1.00 	19.93 	735.00 	台中縣	一支釣	10t < w < 20t	10	20	2003
NA	NA	1.00 	99.50 	750.00 	宜蘭縣	公務用	50t < w < 100t	50	100	2003
NA	NA	1.00 	23.61 	800.00 	桃園縣	其他	20t < w < 50t	20	50	2003
NA	NA	1.00 	19.22 	818.00 	高雄縣	一支釣	10t < w < 20t	10	20	2003
5.00 	NA	1.00 	51.62 	843.00 	屏東縣	鏢旗魚	5t < w < 10t	5	10	2003
NA	NA	1.00 	37.32 	900.00 	台中縣	其他	20t < w < 50t	20	50	2003
NA	NA	1.00 	105.04 	900.00 	台南縣	刺網	100t < w < 200t	100	200	2003
NA	NA	1.00 	367.00 	1100.00 	新北市	刺網	200t < w < 500t	200	500	2003
NA	NA	1.00 	114.00 	1188.00 	新竹市	鯛及雜魚延繩釣	100t < w < 200t	100	200	2003
NA	NA	1.00 	12.15 	1240.00 	臺東縣	刺網	10t < w < 20t	10	20	2003
NA	1.00 	1.00 	244.16 	1280.00 	澎湖縣	鯛及雜魚延繩釣	100t < w < 200t	100	200	2003
1.00 	NA	1.00 	8.84 	1355.00 	臺東縣	火誘網	5t < w < 10t	5	10	2003
NA	NA	1.00 	19.93 	1360.00 	宜蘭縣	公務用	10t < w < 20t	10	20	2003
3.00 	NA	1.00 	63.82 	1665.00 	臺東縣	其他	10t < w < 20t	10	20	2003
NA	1.00 	1.00 	270.00 	2854.00 	台南市	單船拖網	100t < w < 200t	100	200	2003
40.00 	NA	1.00 	173.11 	3296.00 	高雄市	單船拖網	w < 5t	0	5	2003
NA	3.00 	1.00 	645.47 	3320.00 	屏東縣	單船拖網	100t < w < 200t	100	200	2003
NA	NA	1.00 	3.11 	3572.00 	臺東縣	火誘網	w < 5t	0	5	2003
NA	3.00 	1.00 	870.29 	4280.00 	宜蘭縣	單船拖網	200t < w < 500t	200	500	2003
NA	6.00 	1.00 	1851.03 	5630.00 	基隆市	鯛及雜魚延繩釣	200t < w < 500t	200	500	2003
1.00 	NA	1.00 	107.43 	5698.00 	臺東縣	刺網	20t < w < 50t	20	50	2003
NA	17.00 	1.00 	3183.16 	6160.00 	高雄市	鮪延繩釣	100t < w < 200t	100	200	2003
38.00 	NA	1.00 	671.60 	8021.00 	連江縣	鯛及雜魚延繩釣	10t < w < 20t	10	20	2003
NA	15.00 	1.00 	1122.93 	8930.00 	宜蘭縣	鯖圍網	50t < w < 100t	50	100	2003
NA	37.00 	1.00 	3520.77 	26761.00 	基隆市	單船拖網	50t < w < 100t	50	100	2003
NA	41.00 	1.00 	13964.97 	46150.00 	高雄市	單船拖網	200t < w < 500t	200	500	2003
NA	364.00 	1.00 	140993.87 	336600.00 	高雄市	鮪延繩釣	200t < w < 500t	200	500	2003
NA	NA	2.00 	2.22 	80.00 	基隆市	其他	Powered Sampans	0	0	2003
NA	NA	2.00 	5.51 	97.00 	宜蘭縣	鏢旗魚	Powered Sampans	0	0	2003
NA	NA	2.00 	2.99 	98.00 	新北市	鏢旗魚	w < 5t	0	5	2003
NA	NA	2.00 	2.07 	105.00 	金門縣	一支釣	Powered Sampans	0	0	2003
NA	NA	2.00 	2.10 	108.00 	金門縣	公務用	Powered Sampans	0	0	2003
NA	NA	2.00 	1.28 	145.00 	高雄市	巾著網	Powered Sampans	0	0	2003
1.00 	NA	2.00 	3.60 	145.00 	基隆市	刺網	Powered Sampans	0	0	2003
NA	NA	2.00 	2.14 	155.00 	新竹縣	刺網	Powered Sampans	0	0	2003
1.00 	NA	2.00 	4.16 	186.00 	雲林縣	其他	w < 5t	0	5	2003
NA	NA	2.00 	1.66 	190.00 	新竹縣	一支釣	Powered Sampans	0	0	2003
NA	NA	2.00 	6.06 	190.00 	基隆市	單船拖網	w < 5t	0	5	2003
NA	NA	2.00 	39.54 	210.00 	高雄縣	巾著網	10t < w < 20t	10	20	2003
NA	NA	2.00 	4.33 	220.00 	苗栗縣	火誘網	w < 5t	0	5	2003
NA	NA	2.00 	4.89 	237.00 	台中縣	火誘網	w < 5t	0	5	2003
NA	NA	2.00 	3.02 	260.00 	新竹市	火誘網	w < 5t	0	5	2003
NA	NA	2.00 	14.44 	280.00 	台中縣	火誘網	5t < w < 10t	5	10	2003
NA	NA	2.00 	16.03 	290.00 	金門縣	火誘網	5t < w < 10t	5	10	2003
NA	NA	2.00 	16.13 	304.00 	苗栗縣	一支釣	5t < w < 10t	5	10	2003
NA	NA	2.00 	34.12 	331.00 	台南市	刺網	10t < w < 20t	10	20	2003
1.00 	NA	2.00 	12.13 	350.00 	台南市	鯛及雜魚延繩釣	w < 5t	0	5	2003
NA	NA	2.00 	8.51 	485.00 	新竹市	鯛及雜魚延繩釣	5t < w < 10t	5	10	2003
NA	NA	2.00 	28.05 	488.00 	澎湖縣	其他	10t < w < 20t	10	20	2003
NA	NA	2.00 	30.48 	510.00 	澎湖縣	定置漁業作業	10t < w < 20t	10	20	2003
NA	NA	2.00 	30.48 	510.00 	花蓮縣	定置漁業作業	10t < w < 20t	10	20	2003
NA	NA	2.00 	15.86 	522.00 	宜蘭縣	火誘網	5t < w < 10t	5	10	2003
3.00 	NA	2.00 	41.54 	580.00 	高雄縣	火誘網	5t < w < 10t	5	10	2003
NA	NA	2.00 	37.59 	597.00 	基隆市	一支釣	10t < w < 20t	10	20	2003
1.00 	NA	2.00 	21.57 	635.00 	高雄市	火誘網	5t < w < 10t	5	10	2003
NA	NA	2.00 	75.42 	640.00 	基隆市	巾著網	20t < w < 50t	20	50	2003
NA	NA	2.00 	35.04 	645.00 	桃園縣	一支釣	10t < w < 20t	10	20	2003
NA	NA	2.00 	35.51 	683.00 	新竹市	其他	10t < w < 20t	10	20	2003
NA	NA	2.00 	58.62 	714.00 	高雄縣	一支釣	20t < w < 50t	20	50	2003
NA	NA	2.00 	68.84 	720.00 	基隆市	公務用	20t < w < 50t	20	50	2003
2.00 	NA	2.00 	108.69 	720.00 	雲林縣	其他	20t < w < 50t	20	50	2003
NA	NA	2.00 	15.59 	777.00 	澎湖縣	單船拖網	w < 5t	0	5	2003
NA	NA	2.00 	72.41 	830.00 	澎湖縣	公務用	20t < w < 50t	20	50	2003
17.00 	NA	2.00 	132.92 	854.00 	連江縣	鯛及雜魚延繩釣	5t < w < 10t	5	10	2003
NA	NA	2.00 	74.52 	870.00 	澎湖縣	其他	20t < w < 50t	20	50	2003
NA	NA	2.00 	89.82 	900.00 	台中縣	巾著網	20t < w < 50t	20	50	2003
NA	NA	2.00 	28.56 	1010.00 	澎湖縣	公務用	10t < w < 20t	10	20	2003
NA	NA	2.00 	120.14 	1050.00 	高雄縣	刺網	50t < w < 100t	50	100	2003
NA	NA	2.00 	168.61 	1200.00 	澎湖縣	刺網	50t < w < 100t	50	100	2003
3.00 	NA	2.00 	82.36 	1250.00 	雲林縣	其他	10t < w < 20t	10	20	2003
3.00 	NA	2.00 	221.30 	1750.00 	基隆市	火誘網	20t < w < 50t	20	50	2003
NA	NA	2.00 	38.63 	1980.00 	高雄縣	其他	10t < w < 20t	10	20	2003
NA	NA	2.00 	270.00 	3352.00 	新竹市	單船拖網	100t < w < 200t	100	200	2003
29.00 	NA	2.00 	267.74 	4685.00 	屏東縣	單船拖網	5t < w < 10t	5	10	2003
NA	24.00 	2.00 	3923.75 	19370.00 	宜蘭縣	單船拖網	100t < w < 200t	100	200	2003
NA	23.00 	2.00 	4044.80 	22133.00 	高雄市	單船拖網	100t < w < 200t	100	200	2003
NA	NA	3.00 	3.61 	5.00 	臺東縣	鯛及雜魚延繩釣	Powered Sampans	0	0	2003
NA	NA	3.00 	4.50 	125.00 	花蓮縣	刺網	Powered Sampans	0	0	2003
NA	NA	3.00 	17.40 	158.00 	金門縣	刺網	5t < w < 10t	5	10	2003
NA	NA	3.00 	1.82 	160.00 	嘉義縣	其他	Powered Sampans	0	0	2003
NA	NA	3.00 	1.68 	212.00 	高雄市	其他	Powered Sampans	0	0	2003
NA	NA	3.00 	4.11 	246.00 	苗栗縣	刺網	w < 5t	0	5	2003
1.00 	NA	3.00 	9.72 	300.00 	嘉義縣	刺網	w < 5t	0	5	2003
NA	NA	3.00 	7.06 	360.00 	高雄市	其他	w < 5t	0	5	2003
1.00 	2.00 	3.00 	38.18 	362.00 	台中縣	刺網	5t < w < 10t	5	10	2003
NA	NA	3.00 	109.14 	385.00 	台南市	刺網	20t < w < 50t	20	50	2003
NA	NA	3.00 	21.22 	465.00 	金門縣	鯛及雜魚延繩釣	5t < w < 10t	5	10	2003
NA	NA	3.00 	95.38 	505.00 	台南市	鯛及雜魚延繩釣	20t < w < 50t	20	50	2003
NA	NA	3.00 	24.87 	550.00 	花蓮縣	其他	5t < w < 10t	5	10	2003
1.00 	NA	3.00 	28.08 	590.00 	基隆市	一支釣	5t < w < 10t	5	10	2003
NA	NA	3.00 	12.53 	600.00 	台南市	其他	w < 5t	0	5	2003
NA	NA	3.00 	23.28 	650.00 	桃園縣	其他	5t < w < 10t	5	10	2003
NA	NA	3.00 	28.71 	706.00 	台南市	鯛及雜魚延繩釣	5t < w < 10t	5	10	2003
2.00 	NA	3.00 	35.30 	730.00 	宜蘭縣	一支釣	5t < w < 10t	5	10	2003
NA	NA	3.00 	38.40 	752.00 	苗栗縣	一支釣	20t < w < 50t	20	50	2003
NA	NA	3.00 	18.37 	785.00 	基隆市	公務用	5t < w < 10t	5	10	2003
NA	NA	3.00 	57.02 	825.00 	金門縣	刺網	10t < w < 20t	10	20	2003
NA	NA	3.00 	45.03 	900.00 	宜蘭縣	火誘網	10t < w < 20t	10	20	2003
1.00 	NA	3.00 	66.28 	975.00 	台南市	鯛及雜魚延繩釣	10t < w < 20t	10	20	2003
2.00 	NA	3.00 	76.29 	1121.00 	宜蘭縣	一支釣	10t < w < 20t	10	20	2003
NA	NA	3.00 	223.13 	1280.00 	台中縣	單船拖網	50t < w < 100t	50	100	2003
NA	NA	3.00 	52.46 	1310.00 	台中縣	其他	10t < w < 20t	10	20	2003
2.00 	NA	3.00 	89.63 	1520.00 	新北市	單船拖網	10t < w < 20t	10	20	2003
NA	NA	3.00 	122.64 	1635.00 	屏東縣	火誘網	20t < w < 50t	20	50	2003
NA	NA	3.00 	170.27 	1640.00 	新北市	刺網	50t < w < 100t	50	100	2003
1.00 	NA	3.00 	145.06 	1655.00 	高雄縣	刺網	20t < w < 50t	20	50	2003
NA	NA	3.00 	108.41 	1743.00 	新北市	火誘網	20t < w < 50t	20	50	2003
1.00 	NA	3.00 	153.78 	1825.00 	宜蘭縣	刺網	20t < w < 50t	20	50	2003
2.00 	NA	3.00 	74.34 	1840.00 	高雄市	刺網	10t < w < 20t	10	20	2003
NA	8.00 	3.00 	175.36 	2560.00 	台南縣	刺網	10t < w < 20t	10	20	2003
NA	NA	3.00 	314.22 	2850.00 	新北市	鯛及雜魚延繩釣	100t < w < 200t	100	200	2003
NA	NA	3.00 	131.54 	3235.00 	臺東縣	單船拖網	20t < w < 50t	20	50	2003
NA	NA	4.00 	4.39 	230.00 	宜蘭縣	一支釣	Powered Sampans	0	0	2003
1.00 	NA	4.00 	11.89 	351.00 	宜蘭縣	一支釣	w < 5t	0	5	2003
NA	NA	4.00 	5.98 	405.00 	新竹市	鯛及雜魚延繩釣	Powered Sampans	0	0	2003
20.00 	NA	4.00 	17.77 	443.00 	澎湖縣	火誘網	Powered Sampans	0	0	2003
NA	NA	4.00 	18.47 	444.00 	高雄市	刺網	w < 5t	0	5	2003
1.00 	NA	4.00 	10.14 	472.00 	屏東縣	一支釣	w < 5t	0	5	2003
NA	NA	4.00 	9.92 	605.00 	基隆市	公務用	w < 5t	0	5	2003
NA	NA	4.00 	24.16 	730.00 	彰化縣	刺網	5t < w < 10t	5	10	2003
NA	NA	4.00 	37.70 	779.00 	澎湖縣	單船拖網	5t < w < 10t	5	10	2003
1.00 	NA	4.00 	70.33 	888.00 	台中縣	刺網	10t < w < 20t	10	20	2003
NA	NA	4.00 	62.20 	983.00 	金門縣	單船拖網	10t < w < 20t	10	20	2003
NA	NA	4.00 	62.66 	1106.00 	宜蘭縣	刺網	10t < w < 20t	10	20	2003
NA	NA	4.00 	72.67 	1130.00 	金門縣	鯛及雜魚延繩釣	10t < w < 20t	10	20	2003
NA	NA	4.00 	158.39 	1135.00 	台南市	單船拖網	20t < w < 50t	20	50	2003
3.00 	NA	4.00 	57.08 	1281.00 	宜蘭縣	單船拖網	5t < w < 10t	5	10	2003
NA	NA	4.00 	78.50 	1300.00 	基隆市	單船拖網	10t < w < 20t	10	20	2003
NA	NA	4.00 	138.05 	1370.00 	新竹市	單船拖網	20t < w < 50t	20	50	2003
NA	NA	4.00 	150.71 	1430.00 	高雄市	其他	20t < w < 50t	20	50	2003
NA	NA	4.00 	134.88 	1690.00 	花蓮縣	巾著網	20t < w < 50t	20	50	2003
NA	NA	4.00 	155.08 	1809.00 	新北市	刺網	20t < w < 50t	20	50	2003
NA	NA	4.00 	166.24 	2020.00 	花蓮縣	單船拖網	20t < w < 50t	20	50	2003
NA	NA	4.00 	126.13 	2110.00 	高雄市	刺網	20t < w < 50t	20	50	2003
NA	NA	4.00 	69.63 	2124.00 	台南市	其他	10t < w < 20t	10	20	2003
1.00 	2.00 	4.00 	238.44 	3466.00 	高雄市	巾著網	20t < w < 50t	20	50	2003
NA	NA	4.00 	161.13 	3482.00 	花蓮縣	其他	20t < w < 50t	20	50	2003
1.00 	NA	5.00 	2.10 	409.00 	嘉義縣	一支釣	w < 5t	0	5	2003
NA	NA	5.00 	4.90 	448.00 	臺東縣	一支釣	Powered Sampans	0	0	2003
NA	NA	5.00 	10.00 	470.00 	高雄縣	火誘網	w < 5t	0	5	2003
NA	NA	5.00 	5.73 	475.00 	苗栗縣	刺網	Powered Sampans	0	0	2003
NA	NA	5.00 	7.91 	610.00 	苗栗縣	鯛及雜魚延繩釣	w < 5t	0	5	2003
NA	NA	5.00 	8.35 	665.00 	金門縣	一支釣	w < 5t	0	5	2003
NA	NA	5.00 	13.54 	745.00 	金門縣	鯛及雜魚延繩釣	w < 5t	0	5	2003
1.00 	NA	5.00 	47.33 	852.00 	台中縣	鯛及雜魚延繩釣	5t < w < 10t	5	10	2003
NA	NA	5.00 	88.96 	1312.00 	台中縣	單船拖網	10t < w < 20t	10	20	2003
1.00 	NA	5.00 	103.31 	2080.00 	高雄市	火誘網	10t < w < 20t	10	20	2003
NA	NA	5.00 	89.57 	2125.00 	高雄市	其他	10t < w < 20t	10	20	2003
NA	NA	5.00 	220.04 	2125.00 	新竹市	巾著網	20t < w < 50t	20	50	2003
NA	NA	5.00 	80.51 	2153.00 	新竹市	一支釣	10t < w < 20t	10	20	2003
NA	NA	5.00 	99.12 	2886.00 	花蓮縣	其他	10t < w < 20t	10	20	2003
NA	NA	5.00 	417.25 	3960.00 	台南市	單船拖網	50t < w < 100t	50	100	2003
3.00 	1.00 	5.00 	54.70 	4855.00 	臺東縣	鯛及雜魚延繩釣	5t < w < 10t	5	10	2003
NA	9.00 	5.00 	4433.95 	16810.00 	新北市	單船拖網	200t < w < 500t	200	500	2003
NA	NA	6.00 	13.26 	260.00 	金門縣	刺網	w < 5t	0	5	2003
NA	NA	6.00 	7.70 	373.00 	澎湖縣	公務用	Powered Sampans	0	0	2003
NA	NA	6.00 	5.07 	400.00 	屏東縣	刺網	Powered Sampans	0	0	2003
NA	NA	6.00 	10.98 	525.00 	台中縣	一支釣	w < 5t	0	5	2003
1.00 	NA	6.00 	52.68 	975.00 	新北市	刺網	5t < w < 10t	5	10	2003
NA	NA	6.00 	31.56 	1040.00 	新北市	一支釣	5t < w < 10t	5	10	2003
10.00 	NA	6.00 	133.24 	1312.00 	高雄縣	刺網	5t < w < 10t	5	10	2003
2.00 	NA	6.00 	234.78 	1825.00 	屏東縣	巾著網	20t < w < 50t	20	50	2003
4.00 	NA	6.00 	73.68 	1874.00 	桃園縣	刺網	5t < w < 10t	5	10	2003
NA	NA	6.00 	178.59 	1935.00 	宜蘭縣	火誘網	20t < w < 50t	20	50	2003
1.00 	NA	6.00 	111.12 	1940.00 	台中縣	鯛及雜魚延繩釣	10t < w < 20t	10	20	2003
2.00 	NA	6.00 	123.20 	2225.00 	高雄縣	刺網	10t < w < 20t	10	20	2003
15.00 	NA	6.00 	170.34 	2892.00 	花蓮縣	鮪延繩釣	5t < w < 10t	5	10	2003
8.00 	NA	6.00 	210.83 	3010.00 	花蓮縣	鮪延繩釣	10t < w < 20t	10	20	2003
2.00 	1.00 	6.00 	287.43 	3220.00 	台南縣	刺網	20t < w < 50t	20	50	2003
NA	NA	6.00 	109.77 	4030.00 	桃園縣	其他	10t < w < 20t	10	20	2003
NA	NA	6.00 	249.56 	7842.00 	宜蘭縣	其他	20t < w < 50t	20	50	2003
2.00 	NA	7.00 	24.14 	1305.00 	高雄縣	鯛及雜魚延繩釣	w < 5t	0	5	2003
74.00 	NA	7.00 	289.61 	3256.00 	屏東縣	鮪延繩釣	w < 5t	0	5	2003
NA	NA	7.00 	482.35 	4240.00 	台南縣	刺網	50t < w < 100t	50	100	2003
NA	NA	8.00 	10.00 	283.00 	金門縣	鯛及雜魚延繩釣	Powered Sampans	0	0	2003
NA	NA	8.00 	8.52 	670.00 	台中縣	一支釣	Powered Sampans	0	0	2003
NA	NA	8.00 	16.90 	745.00 	新竹市	一支釣	w < 5t	0	5	2003
NA	NA	8.00 	16.29 	765.00 	基隆市	一支釣	w < 5t	0	5	2003
NA	NA	8.00 	15.38 	775.00 	台南縣	一支釣	w < 5t	0	5	2003
NA	NA	8.00 	7.73 	1070.00 	新竹市	一支釣	Powered Sampans	0	0	2003
8.00 	NA	8.00 	61.54 	1454.00 	花蓮縣	鮪延繩釣	w < 5t	0	5	2003
5.00 	NA	8.00 	207.12 	1471.00 	新竹市	刺網	10t < w < 20t	10	20	2003
NA	6.00 	8.00 	114.64 	1587.00 	臺東縣	其他	5t < w < 10t	5	10	2003
